env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,fkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
24405,,,260,-203.5977,69.5594,,,,,,,,,,,,
24500,,,,,,50,50,29,65.3694,94.7964,50.4432,-44.1823,87.1538,221.5653,9.3828,243.677,2.9939
24529,,,124,-89.311,69.1815,,,,,,,,,,,,
24594,,,65,-54.4809,71.9182,,,,,,,,,,,,
24666,,,72,-64.3649,71.2475,,,,,,,,,,,,
24741,,,75,-54.4647,71.4948,,,,,,,,,,,,
24748,,,7,-3.2583,65.7962,,,,,,,,,,,,
24790,,,42,-31.7028,69.1061,,,,,,,,,,,,
24908,,,118,-156.1895,69.5715,,,,,,,,,,,,
25000,,,,,,50,50,29,70.761,93.0597,48.8587,-44.1823,84.4208,203.6668,9.5156,400.3753,3.2992
25000,99.7802,1000.0,,,,,,,,,,,,,,,
25100,,,192,-125.4004,23.2839,,,,,,,,,,,,
25500,,,,,,50,50,29,64.9155,95.9005,48.5826,-44.1823,87.3499,273.7318,7.7235,268.3445,3.3531
26000,,,,,,50,50,29,63.4278,93.8282,48.5466,-44.1823,86.2962,207.6971,9.4093,407.7956,3.6657
26100,,,1000,-907.6853,70.9328,,,,,,,,,,,,
26432,,,332,-346.4779,69.157,,,,,,,,,,,,
26500,,,,,,50,50,29,65.3662,93.6739,47.2597,-44.1823,85.7191,229.836,9.9431,241.1117,3.8051
26559,,,127,-35.6571,69.5591,,,,,,,,,,,,
27000,,,,,,50,50,29,67.6787,93.0764,49.0463,-44.1823,86.83,239.8486,9.4579,379.3636,3.455
27500,,,,,,50,50,29,64.2055,91.8578,48.11,-44.1823,80.04,247.23,9.1783,297.5406,3.5761
27559,,,1000,-862.6121,69.4206,,,,,,,,,,,,
28000,,,,,,50,50,29,62.7689,93.229,47.8874,-44.1823,84.9496,250.734,8.1213,465.0111,3.6569
28500,,,,,,50,50,29,61.5114,92.3346,49.0716,-44.1823,85.8049,218.1264,10.2836,354.5607,4.1371
28559,,,1000,-871.4056,70.6981,,,,,,,,,,,,
28577,,,18,-19.9273,66.5971,,,,,,,,,,,,
28689,,,112,-62.798,69.4819,,,,,,,,,,,,
28736,,,47,-59.7606,69.0158,,,,,,,,,,,,
28751,,,15,-14.3714,68.1777,,,,,,,,,,,,
28805,,,54,-24.5623,68.9062,,,,,,,,,,,,
28899,,,94,-50.2604,69.3691,,,,,,,,,,,,
28947,,,48,-46.8664,68.6516,,,,,,,,,,,,
29000,,,,,,50,50,29,60.5541,93.9939,50.7963,-44.1823,84.3472,201.4408,10.7092,361.6363,3.9473
29500,,,,,,50,50,29,60.1959,94.2659,50.4446,-44.1823,83.8005,208.4957,10.3331,427.7,3.8826
29947,,,1000,-785.3889,70.8261,,,,,,,,,,,,
30000,,,,,,50,50,29,63.9409,93.0227,47.9138,-44.1823,84.1623,232.9243,10.0839,279.0301,4.3326
30000,416.6392,908.5,,,,,,,,,,,,,,,
30055,,,108,-116.2026,16.4448,,,,,,,,,,,,
30090,,,35,-28.8887,71.5668,,,,,,,,,,,,
30288,,,198,-143.9324,69.035,,,,,,,,,,,,
30305,,,17,-21.7114,67.6788,,,,,,,,,,,,
30500,,,,,,50,50,29,66.1576,93.5681,49.963,-44.1823,81.5671,193.8089,10.0187,416.6868,4.1989
31000,,,,,,50,50,29,63.132,93.2334,46.7142,-44.1823,84.6909,252.9111,12.1121,556.6372,4.6854
31305,,,1000,-855.1325,69.735,,,,,,,,,,,,
31500,,,,,,50,50,29,63.3962,92.5684,46.2145,-44.1823,85.8698,309.8428,8.7457,346.3105,4.4676
32000,,,,,,50,50,29,64.2787,92.8062,48.6568,-44.1823,84.7775,246.2065,11.8268,432.0957,4.78
32305,,,1000,-828.0867,69.8964,,,,,,,,,,,,
32473,,,168,-152.183,69.5685,,,,,,,,,,,,
32500,,,,,,50,50,29,66.7726,94.6408,51.2271,-44.1823,82.7142,228.8405,11.9889,421.8533,5.0459
33000,,,,,,50,50,29,65.901,92.7847,45.591,-44.1823,87.755,305.7924,11.2542,500.12,4.8802
33473,,,1000,-792.3672,69.568,,,,,,,,,,,,
33500,,,,,,50,50,29,61.1676,94.3919,49.7466,-44.1823,81.3502,239.1656,11.2952,479.45,5.1074
33756,,,283,-214.2221,69.3819,,,,,,,,,,,,
33841,,,85,-85.0739,69.2506,,,,,,,,,,,,
34000,,,,,,50,50,29,63.1062,93.9598,49.8786,-44.1823,77.5708,249.8319,17.521,692.8154,5.1975
34037,,,196,-140.4126,69.3316,,,,,,,,,,,,
34198,,,161,-102.8027,69.0122,,,,,,,,,,,,
34450,,,252,-228.6011,70.1652,,,,,,,,,,,,
34500,,,,,,50,50,29,66.9787,93.644,48.9986,-44.1823,83.9866,251.5552,14.5942,621.4628,5.2791
34513,,,63,-55.1993,72.2748,,,,,,,,,,,,
34584,,,71,-53.2138,72.6005,,,,,,,,,,,,
34763,,,179,-153.6506,70.9301,,,,,,,,,,,,
34817,,,54,-25.0692,68.35,,,,,,,,,,,,
34916,,,99,-83.4327,69.5741,,,,,,,,,,,,
35000,,,,,,50,50,29,58.9968,94.0083,52.1232,-44.1823,79.4586,205.7864,17.452,707.6902,5.5122
35000,137.1989,841.4,,,,,,,,,,,,,,,
35047,,,131,-156.338,20.3759,,,,,,,,,,,,
35223,,,176,-134.9139,69.1704,,,,,,,,,,,,
35356,,,133,-47.14,68.3076,,,,,,,,,,,,
35377,,,21,-14.0726,71.7665,,,,,,,,,,,,
35474,,,97,-69.1563,72.8148,,,,,,,,,,,,
35500,,,,,,50,50,29,59.1948,94.414,50.4924,-44.1823,76.7912,201.7541,19.6866,749.5422,5.1531
35594,,,120,-114.3517,71.5299,,,,,,,,,,,,
35654,,,60,-53.2061,69.0763,,,,,,,,,,,,
35845,,,191,-152.9393,69.2462,,,,,,,,,,,,
35934,,,89,-54.7527,69.2677,,,,,,,,,,,,
36000,,,,,,50,50,29,58.5095,95.7026,51.8797,-44.1823,72.991,221.4077,29.7601,712.5845,6.0254
36092,,,158,-116.8375,69.8305,,,,,,,,,,,,
36408,,,316,-210.4049,71.792,,,,,,,,,,,,
36473,,,65,-88.8949,71.6199,,,,,,,,,,,,
36500,,,,,,50,50,29,58.8141,93.6972,48.0329,-44.1823,69.4069,213.5162,22.4471,567.6671,5.5964
36727,,,254,-87.8621,69.3907,,,,,,,,,,,,
36807,,,80,-77.9693,68.6181,,,,,,,,,,,,
37000,,,,,,50,50,29,59.9202,93.4643,49.7304,-44.1823,73.6013,223.3131,24.9417,826.0173,5.844
37034,,,227,-171.508,69.3861,,,,,,,,,,,,
37102,,,68,-26.3428,69.1747,,,,,,,,,,,,
37235,,,133,-92.1058,69.5528,,,,,,,,,,,,
37306,,,71,-80.5936,68.5295,,,,,,,,,,,,
37343,,,37,-60.1854,67.5697,,,,,,,,,,,,
37444,,,101,-85.546,68.7253,,,,,,,,,,,,
37500,,,,,,50,50,29,61.0087,94.5189,50.3051,-44.1823,66.1279,239.573,27.7359,994.4903,5.8594
37655,,,211,-183.4414,69.2278,,,,,,,,,,,,
37795,,,140,-97.9006,69.3755,,,,,,,,,,,,
37814,,,19,-19.6482,67.8342,,,,,,,,,,,,
38000,,,,,,50,50,29,59.8811,94.1011,51.474,-44.1823,70.2329,189.6667,26.9098,714.8503,6.0031
38197,,,383,-290.9247,69.3498,,,,,,,,,,,,
38406,,,209,-177.8861,69.1314,,,,,,,,,,,,
38500,,,,,,50,50,29,61.3792,94.9984,50.9869,-44.1823,76.8658,213.2629,29.6145,1107.9008,5.8652
38724,,,318,-176.3056,69.5918,,,,,,,,,,,,
38828,,,104,-64.9781,69.238,,,,,,,,,,,,
39000,,,,,,50,50,29,57.7008,96.2322,52.2693,-44.1823,71.066,216.7465,30.2967,777.6639,5.72
39039,,,211,-153.8058,72.4057,,,,,,,,,,,,
39271,,,232,-156.8616,69.5832,,,,,,,,,,,,
39468,,,197,-131.2933,69.2983,,,,,,,,,,,,
39500,,,,,,50,50,29,56.897,93.5954,51.4349,-44.1823,66.4761,223.8521,32.7034,901.1851,6.013
40000,,,,,,50,50,29,58.5372,94.2927,51.2292,-44.1823,66.5027,225.5604,26.4897,887.0095,5.9447
40000,270.7836,923.2,,,,,,,,,,,,,,,
40468,,,1000,-957.0661,51.4142,,,,,,,,,,,,
40500,,,,,,50,50,29,54.2952,94.1089,51.1368,-44.1823,74.8836,241.4296,24.6246,639.4337,5.8875
41000,,,,,,50,50,29,57.0238,95.08,50.9491,-44.1823,70.5738,222.5295,39.1281,727.6058,5.9987
41468,,,1000,-873.1479,70.6029,,,,,,,,,,,,
41500,,,,,,50,50,29,57.7375,96.1577,51.3172,-44.1823,71.3752,259.3042,29.2305,792.7682,6.531
41847,,,379,-226.8714,70.141,,,,,,,,,,,,
41974,,,127,-58.819,69.4314,,,,,,,,,,,,
42000,,,,,,50,50,29,58.1076,93.8689,49.3713,-44.1823,80.8266,260.0809,29.1124,969.0766,6.6341
42040,,,66,-41.7262,66.8109,,,,,,,,,,,,
42500,,,,,,50,50,29,56.7802,94.0701,49.6982,-44.1823,65.8148,237.2933,25.2535,656.6465,5.6253
43000,,,,,,50,50,29,56.8677,93.5146,49.9855,-44.1823,72.5814,214.9256,23.222,823.609,5.7908
43040,,,1000,-946.4797,71.9583,,,,,,,,,,,,
43113,,,73,-35.3462,69.2101,,,,,,,,,,,,
43147,,,34,4.2702,69.0363,,,,,,,,,,,,
43500,,,,,,50,50,29,57.6662,94.3303,50.1854,-44.1823,69.0729,244.0856,25.8765,1255.1429,5.9172
43593,,,446,-282.5139,71.5943,,,,,,,,,,,,
43788,,,195,-107.4202,70.3285,,,,,,,,,,,,
44000,,,,,,50,50,29,55.3952,96.4194,52.1332,-44.1823,73.8209,255.698,27.1495,859.2139,6.4893
44039,,,251,-146.4093,71.0495,,,,,,,,,,,,
44346,,,307,-268.7483,72.0369,,,,,,,,,,,,
44500,,,,,,50,50,29,53.7364,94.8091,50.7808,-44.1823,67.3522,233.1935,36.6894,1021.1418,6.4736
44615,,,269,-129.3592,72.9129,,,,,,,,,,,,
44761,,,146,-122.9831,71.3725,,,,,,,,,,,,
44811,,,50,-5.2815,68.8035,,,,,,,,,,,,
45000,,,,,,50,50,29,53.8093,97.156,51.8146,-44.1823,74.319,219.5611,31.0849,882.1937,6.1128
45000,68.8439,927.4,,,,,,,,,,,,,,,
45248,,,437,-285.201,38.3649,,,,,,,,,,,,
45323,,,75,-73.7835,69.2611,,,,,,,,,,,,
45472,,,149,-107.5692,69.3937,,,,,,,,,,,,
45500,,,,,,50,50,29,53.292,94.1596,51.0889,-44.1823,62.4547,228.8059,34.9252,982.5757,5.9172
45513,,,41,-19.7198,68.9448,,,,,,,,,,,,
45584,,,71,-65.8055,69.1463,,,,,,,,,,,,
45609,,,25,-25.2031,68.1915,,,,,,,,,,,,
45623,,,14,-14.3985,67.9729,,,,,,,,,,,,
45730,,,107,-78.0056,69.3122,,,,,,,,,,,,
46000,,,,,,50,50,29,50.365,94.5094,50.031,-44.1823,69.6186,241.2569,31.8774,1109.1675,6.2432
46269,,,539,-317.6356,71.8716,,,,,,,,,,,,
46500,,,,,,50,50,29,48.5199,94.8142,51.5123,-44.1823,62.1627,206.2671,28.8396,967.4207,6.6319
46676,,,407,-265.1966,69.8513,,,,,,,,,,,,
46874,,,198,-107.2423,70.937,,,,,,,,,,,,
46901,,,27,-31.5283,68.6251,,,,,,,,,,,,
47000,,,,,,50,50,29,51.5782,95.7176,49.7483,-44.1823,67.8455,268.2901,35.6861,845.2703,6.8769
47143,,,242,-155.2328,68.742,,,,,,,,,,,,
47157,,,14,-18.2386,68.1489,,,,,,,,,,,,
47179,,,22,-20.2921,68.6838,,,,,,,,,,,,
47251,,,72,-80.4772,69.5899,,,,,,,,,,,,
47329,,,78,-65.5241,69.1417,,,,,,,,,,,,
47500,,,,,,50,50,29,54.8089,95.6183,48.7374,-44.1823,66.4739,259.4121,33.4834,836.1647,6.1075
47798,,,469,-355.2328,69.4731,,,,,,,,,,,,
47832,,,34,-39.6578,68.562,,,,,,,,,,,,
48000,,,,,,50,50,29,49.1774,97.1113,52.1415,-44.1823,63.4556,202.6973,35.7976,892.95,5.5625
48321,,,489,-237.6561,69.4117,,,,,,,,,,,,
48347,,,26,-22.1024,68.9305,,,,,,,,,,,,
48500,,,,,,50,50,29,52.3473,95.9448,52.8673,-44.1823,66.205,217.2729,35.6551,1191.2091,6.2067
49000,,,,,,50,50,29,49.5472,96.6416,52.0564,-44.1823,63.228,232.1723,35.8794,937.328,5.8321
49347,,,1000,-932.547,69.5424,,,,,,,,,,,,
49373,,,26,12.9701,68.0785,,,,,,,,,,,,
49455,,,82,-41.4279,68.2812,,,,,,,,,,,,
49500,,,,,,50,50,29,52.8015,95.5942,50.042,-44.1823,64.3218,270.8069,32.2238,797.4958,6.4066
49569,,,114,-43.8888,68.966,,,,,,,,,,,,
49645,,,76,-30.101,69.2507,,,,,,,,,,,,
49712,,,67,-40.7646,68.9833,,,,,,,,,,,,
49926,,,214,-164.5343,71.2859,,,,,,,,,,,,
50000,,,,,,50,50,29,51.9032,97.0507,50.8546,-44.1823,69.8547,215.3131,24.1481,731.669,6.3261
50000,57.3154,753.9,,,,,,,,,,,,,,,
50500,,,,,,50,50,29,51.7528,95.7566,51.9011,-44.1823,67.4656,236.0913,27.7428,853.5344,5.6168
50559,,,633,-323.1261,48.5568,,,,,,,,,,,,
50660,,,101,-80.3965,69.2084,,,,,,,,,,,,
50682,,,22,-18.8415,68.6738,,,,,,,,,,,,
50898,,,216,-74.4706,68.7338,,,,,,,,,,,,
51000,,,,,,50,50,29,49.7546,97.4801,53.4084,-44.1823,69.3818,235.2962,21.8997,604.5078,5.4828
51024,,,126,-95.127,68.8448,,,,,,,,,,,,
51283,,,259,-103.7457,70.7962,,,,,,,,,,,,
51376,,,93,-49.275,69.5376,,,,,,,,,,,,
51500,,,,,,50,50,29,48.6907,97.7912,52.4355,-44.1823,71.2811,253.8377,38.9887,828.0586,5.6661
51558,,,182,-76.5235,69.5827,,,,,,,,,,,,
51644,,,86,-65.6439,69.5201,,,,,,,,,,,,
51668,,,24,-2.3659,66.8192,,,,,,,,,,,,
52000,,,,,,50,50,29,52.4533,96.1603,51.637,-44.1823,70.2715,224.1994,28.0758,617.4384,6.8408
52004,,,336,-217.4132,69.6214,,,,,,,,,,,,
52409,,,405,-164.8219,69.3909,,,,,,,,,,,,
52500,,,,,,50,50,29,53.3615,96.9595,52.9244,-44.1823,72.9195,235.7944,28.7663,910.6924,6.1459
52530,,,121,-98.8645,69.4156,,,,,,,,,,,,
