env_steps,return,length,train/length,train/return,FPS,op-kl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
31861,,,14,-5.0107,100.6856,,,,,,,
31986,,,125,236.869,101.1901,,,,,,,
32000,,,,,,-3.1299,-142.4387,156.8635,-3.1299,42.2004,1917.5864,4.0411
32002,,,16,-3.9427,104.3534,,,,,,,
32033,,,31,9.6978,104.9011,,,,,,,
32156,,,123,215.1003,101.7916,,,,,,,
32263,,,107,232.6907,100.9666,,,,,,,
32367,,,104,200.9941,101.0539,,,,,,,
32500,,,,,,-3.1558,-144.4218,143.3391,-3.1558,21.1093,578.0051,5.6614
32601,,,234,379.794,100.946,,,,,,,
32616,,,15,-4.8283,101.1498,,,,,,,
32757,,,141,253.653,100.8596,,,,,,,
32781,,,24,-0.0289,101.0652,,,,,,,
32998,,,217,337.4309,101.7328,,,,,,,
33000,,,,,,-3.4063,-144.5239,148.9151,-3.4063,23.742,873.4746,4.0679
33179,,,181,316.8055,104.3677,,,,,,,
33276,,,97,84.8099,104.5277,,,,,,,
33500,,,,,,-3.2432,-143.6122,151.6375,-3.2432,19.9841,653.9134,4.4376
33604,,,328,504.1408,104.5539,,,,,,,
33746,,,142,272.5336,104.5881,,,,,,,
33844,,,98,207.3803,104.5238,,,,,,,
33960,,,116,282.9673,103.8811,,,,,,,
34000,,,,,,-3.3674,-146.196,137.379,-3.3674,19.9031,650.526,4.4868
34136,,,176,322.2192,102.3112,,,,,,,
34376,,,240,331.3338,103.62,,,,,,,
34500,,,,,,-3.5332,-148.5604,158.4107,-3.5332,26.4409,919.5329,5.23
34591,,,215,214.4315,104.5943,,,,,,,
34732,,,141,265.579,104.6481,,,,,,,
35000,,,,,,-3.5404,-143.9712,151.774,-3.5404,19.0159,1371.4642,5.0021
35000,651.6262,599.2,,,,,,,,,,
35058,,,326,459.5467,69.3241,,,,,,,
35093,,,35,9.6139,104.128,,,,,,,
35432,,,339,506.4035,104.3587,,,,,,,
35500,,,,,,-3.3717,-148.1994,174.8867,-3.3717,21.7726,758.8284,5.0855
35633,,,201,313.8251,100.5395,,,,,,,
35833,,,200,337.7303,100.4675,,,,,,,
35966,,,133,236.9624,100.6036,,,,,,,
35975,,,9,-2.4908,98.4522,,,,,,,
35986,,,11,-3.7406,98.9242,,,,,,,
36000,,,,,,-4.12,-146.5112,132.9348,-4.12,19.9552,926.6534,4.9179
36159,,,173,234.2051,100.1802,,,,,,,
36277,,,118,201.8158,101.0398,,,,,,,
36428,,,151,256.2047,100.7494,,,,,,,
36500,,,,,,-3.6111,-145.8462,123.4932,-3.6111,18.9336,803.2774,5.2353
36570,,,142,261.2746,100.5886,,,,,,,
36761,,,191,283.3285,101.2269,,,,,,,
36953,,,192,292.8992,100.8678,,,,,,,
37000,,,,,,-4.0633,-145.0535,158.9376,-4.0633,19.1618,716.1004,4.5868
37029,,,76,55.1816,100.7688,,,,,,,
37209,,,180,282.5632,100.8973,,,,,,,
37313,,,104,167.7504,101.1077,,,,,,,
37500,,,,,,-3.8995,-149.5547,204.8268,-3.8995,17.9611,666.8231,4.02
37521,,,208,339.4185,100.0472,,,,,,,
37674,,,153,247.2192,101.1218,,,,,,,
37841,,,167,278.8258,101.0113,,,,,,,
37980,,,139,199.1982,101.123,,,,,,,
38000,,,,,,-3.8096,-147.3093,155.5017,-3.8096,21.4993,923.7817,5.3668
38301,,,321,340.6155,101.0317,,,,,,,
38444,,,143,260.5836,101.0588,,,,,,,
38461,,,17,0.4489,100.8509,,,,,,,
38500,,,,,,-3.6014,-148.5738,222.8621,-3.6014,14.7441,351.152,3.6673
38590,,,129,203.8747,100.9443,,,,,,,
38604,,,14,4.8496,100.9444,,,,,,,
38648,,,44,32.4304,101.1962,,,,,,,
38818,,,170,324.3782,101.2258,,,,,,,
38962,,,144,274.1705,101.1361,,,,,,,
39000,,,,,,-3.9372,-145.4224,209.6658,-3.9372,19.4821,657.1503,4.4118
39031,,,69,62.7594,101.4941,,,,,,,
39290,,,259,460.7625,104.8525,,,,,,,
39303,,,13,0.0139,104.8386,,,,,,,
39318,,,15,4.9414,105.0619,,,,,,,
39334,,,16,3.5772,104.6576,,,,,,,
39374,,,40,28.5906,104.7576,,,,,,,
39500,,,,,,-4.1174,-146.6567,176.8228,-4.1174,17.8992,675.2282,4.2462
39677,,,303,560.3364,102.7645,,,,,,,
39780,,,103,16.824,100.9777,,,,,,,
39898,,,118,71.8238,101.3,,,,,,,
39927,,,29,4.3893,101.3436,,,,,,,
40000,,,,,,-4.295,-145.1817,214.1841,-4.295,44.3849,844.9055,4.3076
40000,87.3795,163.7,,,,,,,,,,
40045,,,118,50.7405,74.234,,,,,,,
40067,,,22,7.0873,101.132,,,,,,,
40235,,,168,289.3567,101.1263,,,,,,,
40500,,,,,,-4.1694,-146.0746,199.6492,-4.1694,17.9373,682.3983,4.2055
40540,,,305,420.9121,101.7856,,,,,,,
40765,,,225,546.7591,103.2113,,,,,,,
40906,,,141,271.9708,100.9332,,,,,,,
41000,,,,,,-4.2356,-143.0843,183.5594,-4.2356,33.1658,1183.9137,4.8288
41089,,,183,371.7292,101.0655,,,,,,,
41228,,,139,215.0757,101.0956,,,,,,,
41334,,,106,144.0936,100.8412,,,,,,,
41500,,,,,,-4.0797,-142.2771,180.6778,-4.0797,23.2189,688.0674,4.9436
41555,,,221,176.9978,100.8296,,,,,,,
41704,,,149,234.6009,100.683,,,,,,,
41818,,,114,54.2269,101.0014,,,,,,,
41962,,,144,246.129,100.9098,,,,,,,
42000,,,,,,-4.5572,-146.7692,166.8214,-4.5572,23.0495,513.0724,3.7606
42232,,,270,474.7615,100.4107,,,,,,,
42352,,,120,97.8327,100.9863,,,,,,,
42487,,,135,204.3676,101.1422,,,,,,,
42500,,,,,,-4.5908,-144.3902,156.1919,-4.5908,15.4013,644.382,4.9413
42944,,,457,516.3371,100.9253,,,,,,,
43000,,,,,,-4.2356,-141.7878,137.1818,-4.2356,15.9377,554.0706,4.1373
43119,,,175,290.4163,101.1841,,,,,,,
43273,,,154,250.4413,101.3055,,,,,,,
