env_steps,return,length,train/length,train/return,FPS,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
17822,,,45,66.4559,90.0436,,,,,,,
17858,,,36,50.2491,90.2047,,,,,,,
17882,,,24,30.4886,90.1472,,,,,,,
17892,,,10,8.84,90.2982,,,,,,,
17929,,,37,50.6807,90.0147,,,,,,,
17941,,,12,12.2941,89.9305,,,,,,,
17959,,,18,18.7278,89.9421,,,,,,,
17970,,,11,11.4884,90.1974,,,,,,,
18000,,,,,,-184.465,7.0999,0.0007,-0.0187,64.0886,963.8815,7.5637
18020,,,50,76.9487,89.5458,,,,,,,
18031,,,11,8.038,90.0773,,,,,,,
18088,,,57,89.693,90.1945,,,,,,,
18102,,,14,13.1273,89.9486,,,,,,,
18137,,,35,49.5781,86.0813,,,,,,,
18148,,,11,11.2913,83.9572,,,,,,,
18187,,,39,55.5519,84.0617,,,,,,,
18214,,,27,35.3084,83.444,,,,,,,
18227,,,13,13.5757,83.9764,,,,,,,
18266,,,39,56.1701,83.7531,,,,,,,
18318,,,52,82.024,84.2339,,,,,,,
18393,,,75,123.7024,90.4307,,,,,,,
18475,,,82,129.627,90.2947,,,,,,,
18500,,,,,,-189.6753,9.37,0.0006,-0.0181,63.4966,787.9831,2.8121
18635,,,160,318.8308,88.375,,,,,,,
18686,,,51,76.8074,82.6132,,,,,,,
18728,,,42,58.4773,90.2822,,,,,,,
18740,,,12,11.5872,90.1813,,,,,,,
18889,,,149,304.8593,90.3224,,,,,,,
18944,,,55,87.0196,90.2423,,,,,,,
19000,,,,,,-194.514,12.5,0.001,-0.0256,54.7344,2381.4248,6.2635
19022,,,78,140.8134,84.7265,,,,,,,
19086,,,64,106.6135,89.0085,,,,,,,
19110,,,24,26.9573,89.8981,,,,,,,
19241,,,131,304.3005,90.0905,,,,,,,
19281,,,40,55.8905,89.7996,,,,,,,
19317,,,36,47.583,88.9567,,,,,,,
19344,,,27,31.2402,83.6957,,,,,,,
19355,,,11,9.9847,83.5074,,,,,,,
19420,,,65,105.5606,83.6466,,,,,,,
19500,,,,,,-195.9293,22.3756,0.002,-0.024,87.495,4570.1792,10.9692
19566,,,146,334.49,83.785,,,,,,,
19596,,,30,35.0737,83.2416,,,,,,,
19732,,,136,307.2707,83.7416,,,,,,,
19768,,,36,45.2665,83.6148,,,,,,,
19778,,,10,8.1368,89.304,,,,,,,
19849,,,71,126.0905,90.134,,,,,,,
19865,,,16,15.2942,90.2841,,,,,,,
19874,,,9,7.1006,89.7459,,,,,,,
20000,,,,,,-197.451,15.0504,0.0003,-0.0136,107.0313,3399.6921,4.6389
20000,364.8354,150.0,,,,,,,,,,
20035,,,161,412.0625,74.4228,,,,,,,
20067,,,32,40.0311,82.9586,,,,,,,
20093,,,26,29.7295,90.4294,,,,,,,
20223,,,130,283.1364,90.3011,,,,,,,
