env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
33000,,,0.5964,0.8015,0.2219,-152.2848,5.9724,0.026,-0.4257,3.8022,83.2444,3.293,,,
33000,,,,,,,,,,,,,1000,2081.6205,84.0682
33500,,,0.5969,0.8028,0.216,-152.3994,5.4164,0.0264,-0.427,3.6464,85.7538,5.435,,,
34000,,,0.5978,0.7935,0.2123,-158.1278,4.8248,0.0245,-0.405,3.0289,76.3641,2.9379,,,
34000,,,,,,,,,,,,,1000,2095.3107,81.134
34500,,,0.603,0.8107,0.2359,-155.3926,5.082,0.0246,-0.4311,3.0228,78.1202,4.2383,,,
35000,,,0.5951,0.7897,0.2353,-158.9879,5.9921,0.0275,-0.4542,3.2543,90.3833,4.5324,,,
35000,3702.2473,1000.0,,,,,,,,,,,,,
35000,,,,,,,,,,,,,1000,2181.5853,73.6858
35500,,,0.6005,0.8023,0.2311,-164.4474,4.8613,0.0268,-0.4482,3.1118,84.5166,3.779,,,
36000,,,0.594,0.8071,0.2109,-170.4669,6.0669,0.026,-0.4088,3.3244,141.4435,4.2754,,,
36000,,,,,,,,,,,,,1000,2203.1887,82.2768
36500,,,0.5885,0.805,0.2156,-171.3847,4.1516,0.0283,-0.4256,3.4545,95.3635,2.9936,,,
37000,,,0.5852,0.8046,0.2085,-172.9342,5.4271,0.0263,-0.4254,3.3111,66.8793,4.037,,,
37000,,,,,,,,,,,,,1000,2316.0417,82.344
37500,,,0.596,0.8065,0.2396,-173.5671,5.0617,0.0283,-0.4705,3.841,111.0322,4.1946,,,
38000,,,0.5929,0.8143,0.2175,-178.5751,5.3833,0.0266,-0.4267,3.8663,119.108,5.9175,,,
38000,,,,,,,,,,,,,1000,2346.5973,81.9025
38500,,,0.6027,0.8086,0.2187,-177.1296,5.6611,0.0272,-0.4236,2.9987,141.3765,4.6165,,,
39000,,,0.6048,0.813,0.2286,-181.2466,4.8487,0.0282,-0.4464,2.7875,64.6411,3.8041,,,
39000,,,,,,,,,,,,,1000,2394.5766,82.1094
39500,,,0.5984,0.8199,0.2171,-185.2044,4.6308,0.0269,-0.4289,3.1775,102.86,4.3238,,,
40000,,,0.6013,0.8204,0.22,-187.2322,5.2719,0.0291,-0.4427,3.1872,72.3214,3.7167,,,
40000,3805.6304,1000.0,,,,,,,,,,,,,
40000,,,,,,,,,,,,,1000,2306.1076,73.0566
40500,,,0.5906,0.8147,0.2158,-196.4468,4.9779,0.0283,-0.4207,3.2207,87.9225,6.3006,,,
41000,,,0.5948,0.8202,0.2452,-197.5862,4.3582,0.0297,-0.465,3.1266,138.7305,2.8982,,,
41000,,,,,,,,,,,,,1000,2406.8803,82.3289
41500,,,0.5958,0.826,0.2289,-201.0095,5.5918,0.0276,-0.4436,3.3006,126.1839,3.1896,,,
42000,,,0.592,0.8251,0.2095,-198.7898,4.5092,0.0277,-0.4259,3.4131,122.4732,5.1244,,,
42000,,,,,,,,,,,,,1000,2635.5255,81.3066
42500,,,0.5962,0.8169,0.2209,-204.7815,4.3019,0.0259,-0.4359,2.9473,91.6529,5.2825,,,
43000,,,0.5998,0.8196,0.2153,-202.9364,3.7913,0.0284,-0.4234,3.038,96.5211,4.8897,,,
43000,,,,,,,,,,,,,1000,2808.1681,81.7293
43500,,,0.5924,0.8286,0.2253,-210.9992,5.4599,0.028,-0.4451,3.0644,74.4716,7.1193,,,
44000,,,0.6016,0.8384,0.2197,-210.4039,5.3105,0.0281,-0.4225,3.0763,85.9391,5.4218,,,
44000,,,,,,,,,,,,,1000,2702.3607,82.5188
44500,,,0.5962,0.8409,0.2181,-211.2488,4.0004,0.0301,-0.4359,3.4832,153.3526,5.8196,,,
45000,,,0.5908,0.8238,0.2268,-217.6789,4.1148,0.0281,-0.4456,3.2002,83.4721,4.3166,,,
45000,3910.7126,1000.0,,,,,,,,,,,,,
45000,,,,,,,,,,,,,1000,2911.5362,74.7154
45500,,,0.5946,0.8332,0.218,-220.4217,4.5168,0.0285,-0.4277,2.8506,65.5095,3.1809,,,
46000,,,0.5911,0.8367,0.2185,-222.6004,4.0443,0.0292,-0.436,3.2989,69.7231,2.1776,,,
46000,,,,,,,,,,,,,1000,2890.6484,83.954
46500,,,0.5921,0.8374,0.2232,-226.9815,4.9686,0.0297,-0.4217,2.7925,148.3148,5.5572,,,
47000,,,0.5985,0.8375,0.221,-225.4657,4.8408,0.0288,-0.4316,3.4131,90.2715,4.0377,,,
47000,,,,,,,,,,,,,1000,3027.0986,82.0334
47500,,,0.5885,0.8429,0.2214,-232.2112,5.159,0.0296,-0.4384,3.2015,87.3211,4.7957,,,
48000,,,0.5993,0.8407,0.223,-230.787,4.1811,0.0297,-0.4344,3.8572,160.673,4.961,,,
48000,,,,,,,,,,,,,1000,3141.3323,81.6011
48500,,,0.5914,0.844,0.2203,-234.4401,4.57,0.0297,-0.4467,3.5361,206.7746,3.8559,,,
49000,,,0.6032,0.851,0.2189,-235.6015,6.3052,0.0286,-0.4345,3.5662,124.0961,6.1957,,,
49000,,,,,,,,,,,,,1000,2982.4689,82.5451
49500,,,0.5942,0.8421,0.2279,-240.2137,5.0352,0.029,-0.4477,3.3675,94.6381,6.3057,,,
50000,,,0.6002,0.8496,0.2377,-240.4535,5.5169,0.0297,-0.4484,3.7113,126.0547,6.5458,,,
50000,4231.5096,1000.0,,,,,,,,,,,,,
50000,,,,,,,,,,,,,1000,3126.7311,72.2356
50500,,,0.5932,0.8452,0.2145,-247.1796,4.1108,0.0293,-0.4234,3.2088,79.0895,4.3158,,,
51000,,,0.5997,0.8471,0.2268,-249.4481,6.2738,0.0273,-0.4488,3.6931,153.4899,5.195,,,
51000,,,,,,,,,,,,,1000,3230.2925,81.4633
51500,,,0.5937,0.8497,0.225,-251.16,4.8173,0.0299,-0.4463,4.0626,116.642,5.6569,,,
52000,,,0.5977,0.8534,0.2384,-248.845,4.3206,0.0316,-0.4642,3.5094,143.4066,6.0339,,,
52000,,,,,,,,,,,,,1000,3308.2686,80.8139
52500,,,0.5976,0.8468,0.2336,-256.2964,4.646,0.0303,-0.449,3.6968,116.2175,4.413,,,
53000,,,0.6008,0.8556,0.2348,-260.3979,5.0095,0.0296,-0.4456,3.0963,115.3053,4.2634,,,
53000,,,,,,,,,,,,,1000,3327.4975,83.0785
53500,,,0.5943,0.8536,0.2118,-263.6441,5.3962,0.03,-0.4156,3.5456,126.5292,5.7306,,,
54000,,,0.6027,0.8523,0.2285,-259.3344,3.9897,0.0292,-0.4487,3.6066,287.8334,3.7014,,,
54000,,,,,,,,,,,,,1000,3331.8281,84.5437
54500,,,0.5967,0.8547,0.227,-259.3581,5.0449,0.0317,-0.4487,3.5651,93.1328,3.6967,,,
55000,,,0.595,0.8575,0.2175,-271.0128,4.8284,0.0308,-0.4244,3.2066,121.1197,4.0954,,,
55000,4533.8008,1000.0,,,,,,,,,,,,,
55000,,,,,,,,,,,,,1000,3296.5736,72.165
55500,,,0.5871,0.8427,0.2217,-274.3555,4.726,0.0298,-0.4443,3.1305,152.6862,4.5787,,,
56000,,,0.6005,0.8641,0.2108,-273.9003,5.448,0.0298,-0.4221,3.7013,109.8176,3.9652,,,
56000,,,,,,,,,,,,,1000,3304.723,80.3859
56500,,,0.5825,0.8538,0.2357,-275.6359,4.6615,0.0345,-0.4665,3.2767,153.6476,5.1622,,,
57000,,,0.6012,0.8677,0.2175,-274.5131,4.1707,0.0335,-0.4396,2.951,203.0706,4.7973,,,
57000,,,,,,,,,,,,,1000,3424.8948,80.6292
57500,,,0.5929,0.8584,0.2308,-280.474,5.524,0.0314,-0.4481,3.4441,111.5744,6.9344,,,
