env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
18721,,,79,-48.0131,89.0978,,,,,,,
19000,,,,,,1159.4274,1136.9073,12373.6123,1159.4274,8.57,421.0016,3.5517
19500,,,,,,1184.1899,1161.402,10994.834,1184.1899,8.0297,303.1425,3.7397
19721,,,1000,-991.6465,89.1411,,,,,,,
19738,,,17,-8.8567,89.4273,,,,,,,
20000,,,,,,1121.4431,1101.9778,10897.6729,1121.4431,9.9763,543.4604,4.2198
20000,248.9752,1000.0,,,,,,,,,,
20500,,,,,,1215.8063,1190.2539,11410.7627,1215.8063,9.0782,327.7235,4.9467
20738,,,1000,-992.7968,65.1226,,,,,,,
20819,,,81,-52.382,89.0344,,,,,,,
20858,,,39,-31.6758,88.8444,,,,,,,
20928,,,70,-77.7353,89.1505,,,,,,,
21000,,,,,,1150.6343,1126.2469,7669.6953,1150.6343,10.5782,539.433,5.1952
21500,,,,,,1121.7006,1096.6356,9531.0889,1121.7006,10.628,724.2933,5.1728
21928,,,1000,-975.2716,89.0766,,,,,,,
22000,,,,,,1178.0669,1152.2076,10409.4541,1178.0669,10.9549,585.9269,4.9897
22500,,,,,,1179.4231,1160.7823,11368.8574,1179.4231,11.7025,477.8346,6.0002
22928,,,1000,-1026.2459,90.8724,,,,,,,
22938,,,10,-11.3449,89.2768,,,,,,,
22986,,,48,-53.8696,89.5027,,,,,,,
23000,,,,,,1126.1396,1098.8462,7480.5322,1126.1396,12.3732,805.5873,6.4918
23015,,,29,-35.5717,89.1384,,,,,,,
23053,,,38,-19.416,89.0611,,,,,,,
23339,,,286,-275.158,91.2704,,,,,,,
23352,,,13,-9.2552,88.1638,,,,,,,
23500,,,,,,1181.3579,1148.3655,12096.7471,1181.3579,27.4634,767.7532,6.7577
24000,,,,,,1175.2424,1144.5696,11165.3652,1175.2424,19.0233,636.0641,7.3748
24352,,,1000,-1084.5416,88.9004,,,,,,,
24368,,,16,-7.9347,89.1913,,,,,,,
24408,,,40,-43.9612,87.9792,,,,,,,
24445,,,37,-41.9994,89.1438,,,,,,,
24499,,,54,-73.2368,88.5461,,,,,,,
24500,,,,,,1221.277,1183.6327,12482.2471,1221.277,23.1057,874.0976,7.111
24626,,,127,-153.1116,89.0065,,,,,,,
24713,,,87,-133.9594,88.8438,,,,,,,
24844,,,131,-76.2467,88.8168,,,,,,,
24909,,,65,-27.8946,89.058,,,,,,,
25000,,,,,,1234.7798,1192.2814,12145.6504,1234.7798,34.8244,943.7606,8.2259
25000,-417.0274,582.7,,,,,,,,,,
25500,,,,,,1176.7341,1137.8534,10591.1123,1176.7341,29.6598,1181.3285,8.0064
25909,,,1000,-1084.7501,74.615,,,,,,,
25947,,,38,-12.6017,89.3597,,,,,,,
26000,,,,,,1275.7323,1234.9858,9902.1621,1275.7323,29.1797,1200.9518,8.9602
26069,,,122,-138.5996,89.1977,,,,,,,
26085,,,16,-20.4657,88.3042,,,,,,,
26271,,,186,-154.935,88.8437,,,,,,,
26378,,,107,-129.9821,89.1906,,,,,,,
26500,,,,,,1279.4366,1231.8177,11698.1543,1279.4366,39.582,1116.955,8.3083
26521,,,143,-141.8307,88.8463,,,,,,,
26599,,,78,-28.1197,89.2619,,,,,,,
26687,,,88,-30.5837,89.1571,,,,,,,
26733,,,46,-32.5557,89.0528,,,,,,,
26798,,,65,-32.7868,88.8675,,,,,,,
26814,,,16,-28.5593,89.4711,,,,,,,
26951,,,137,-206.284,89.0412,,,,,,,
27000,,,,,,1332.2581,1282.6085,9085.6475,1332.2581,70.7131,1512.267,10.0387
27095,,,144,-146.2524,89.0715,,,,,,,
27276,,,181,-142.4947,88.7688,,,,,,,
27335,,,59,-58.6373,89.4299,,,,,,,
27390,,,55,-54.0877,89.2801,,,,,,,
27445,,,55,-47.136,88.6483,,,,,,,
27500,,,,,,1242.918,1189.0984,11213.4902,1242.918,60.1318,2564.5637,9.2277
27560,,,115,-171.2234,88.8091,,,,,,,
27580,,,20,-11.3835,89.4921,,,,,,,
28000,,,,,,1265.5049,1206.0773,11809.1553,1265.5049,60.9212,2127.3037,10.2166
28500,,,,,,1271.738,1215.1185,8000.6006,1271.738,54.7205,1906.3483,11.2328
28580,,,1000,-1133.4931,88.8965,,,,,,,
28599,,,19,-12.9213,89.2506,,,,,,,
28694,,,95,-75.7269,88.7688,,,,,,,
28825,,,131,-152.5434,88.5626,,,,,,,
28840,,,15,-9.4776,89.4605,,,,,,,
29000,,,,,,1344.063,1282.407,10194.582,1344.063,91.7201,2947.9485,10.5802
29258,,,418,-474.8732,88.6759,,,,,,,
29322,,,64,-80.5872,88.6197,,,,,,,
29500,,,,,,1255.6626,1183.2023,11526.7217,1255.6626,82.3021,1655.4276,11.8169
29737,,,415,-392.4202,88.6348,,,,,,,
29759,,,22,-19.2685,88.6638,,,,,,,
29987,,,228,-328.263,88.8917,,,,,,,
30000,,,,,,1329.2775,1258.1113,11750.3633,1329.2775,97.5747,2657.2615,11.9986
30000,-899.6439,1000.0,,,,,,,,,,
30021,,,34,-39.7086,7.7124,,,,,,,
30150,,,129,-146.8035,87.8238,,,,,,,
30500,,,,,,1368.1304,1299.2842,13428.8682,1368.1304,109.0586,2736.2581,13.9805
31000,,,,,,1432.2976,1353.1406,15297.6992,1432.2976,95.4779,3569.8081,12.8219
31150,,,1000,-1202.669,90.2233,,,,,,,
31500,,,,,,1364.0581,1281.8666,14265.9355,1364.0581,99.1762,4342.1714,15.3785
32000,,,,,,1327.3446,1236.7236,10670.083,1327.3446,92.656,2687.5776,16.4052
32150,,,1000,-1492.6659,89.3025,,,,,,,
32500,,,,,,1318.2578,1223.3003,11901.5176,1318.2578,91.6108,3842.9941,14.8979
33000,,,,,,1413.6211,1315.9641,11035.3623,1413.6211,94.3464,3684.7112,15.3071
33150,,,1000,-1470.9768,89.3104,,,,,,,
33250,,,100,-62.9679,88.7111,,,,,,,
33322,,,72,-69.3947,90.313,,,,,,,
33391,,,69,-90.9656,89.4964,,,,,,,
33500,,,,,,1317.4604,1213.1484,10990.4023,1317.4604,127.5597,5763.4263,16.7364
34000,,,,,,1305.9392,1219.8485,11708.7002,1305.9392,103.1165,7271.4341,15.7943
34391,,,1000,-1379.0909,88.48,,,,,,,
34460,,,69,-62.6758,88.5203,,,,,,,
34500,,,,,,1340.7657,1244.6436,15880.5566,1340.7657,107.4833,2928.9697,16.2408
35000,,,,,,1280.8239,1163.7727,11602.8398,1280.8239,130.6988,5266.0659,16.846
35000,-401.8155,721.9,,,,,,,,,,
35460,,,1000,-1335.967,70.3894,,,,,,,
35491,,,31,-34.4473,88.8878,,,,,,,
35500,,,,,,1369.9946,1279.5233,12410.915,1369.9946,116.3463,4508.9478,18.1488
35637,,,146,-177.3047,88.6344,,,,,,,
36000,,,,,,1365.2756,1239.1255,11821.9727,1365.2756,191.3586,4717.8613,20.3376
36500,,,,,,1463.6221,1329.9789,8801.6416,1463.6221,117.5653,4577.0234,20.1697
36637,,,1000,-1262.0994,89.2957,,,,,,,
36686,,,49,-70.1539,88.634,,,,,,,
37000,,,,,,1381.3433,1252.3398,13646.8613,1381.3433,151.7087,3921.064,21.3864
37500,,,,,,1409.0076,1285.7064,14496.125,1409.0076,165.4115,6051.8862,20.4883
37686,,,1000,-1256.8122,90.1126,,,,,,,
37771,,,85,-74.0255,89.072,,,,,,,
38000,,,,,,1414.4839,1277.7908,15251.8662,1414.4839,207.3696,7415.6724,21.609
38500,,,,,,1390.3549,1254.7953,9314.5449,1390.3549,181.4369,8560.9766,25.082
38771,,,1000,-1368.2014,88.6697,,,,,,,
38834,,,63,-60.3687,88.2144,,,,,,,
39000,,,,,,1363.7502,1208.3367,13229.0576,1363.7502,277.8051,7304.21,26.9262
39500,,,,,,1440.3289,1290.1658,11838.3193,1440.3289,184.1373,10710.8184,24.8333
39834,,,1000,-1370.5946,91.9248,,,,,,,
40000,,,,,,1425.5981,1256.1553,10089.9131,1425.5981,208.0592,6422.4507,27.5228
40000,-521.5022,442.8,,,,,,,,,,
40152,,,318,-320.7521,61.8333,,,,,,,
40289,,,137,-160.3613,94.2748,,,,,,,
40370,,,81,-87.8278,90.4221,,,,,,,
40500,,,,,,1454.5858,1266.8323,14541.1055,1454.5858,222.8023,9146.0469,29.1185
40645,,,275,-233.1273,88.7065,,,,,,,
40900,,,255,-355.539,91.7708,,,,,,,
41000,,,,,,1378.0828,1175.2141,12250.6699,1378.0828,331.2829,12496.8809,29.8692
41016,,,116,-139.6268,88.6351,,,,,,,
41080,,,64,-43.839,88.9024,,,,,,,
41159,,,79,-114.2134,88.9435,,,,,,,
41288,,,129,-113.3684,89.0305,,,,,,,
41500,,,,,,1552.8235,1365.8289,13856.3994,1552.8235,340.8686,8181.3018,27.8212
42000,,,,,,1444.228,1247.3668,11285.0615,1444.228,329.0862,7556.0898,29.2116
42288,,,1000,-1429.2437,91.207,,,,,,,
42488,,,200,-187.7257,88.7143,,,,,,,
42500,,,,,,1519.994,1300.2184,12071.5957,1519.994,297.0533,9645.8613,32.3597
42605,,,117,-139.6794,88.7433,,,,,,,
42807,,,202,-222.1245,93.0106,,,,,,,
43000,,,,,,1452.4719,1254.4026,13449.8906,1452.4719,437.9586,14151.5615,27.3941
43500,,,,,,1451.967,1230.3398,11263.0498,1451.967,475.9095,11680.2354,31.3308
43807,,,1000,-1373.0769,89.849,,,,,,,
43844,,,37,-45.0524,88.5116,,,,,,,
44000,,,,,,1481.5363,1259.3447,15502.1064,1481.5363,396.0514,12115.6426,35.1551
44500,,,,,,1452.6218,1223.7407,11361.5625,1452.6218,482.4952,23859.2246,32.8719
44844,,,1000,-1363.6759,89.16,,,,,,,
45000,,,,,,1500.9556,1274.511,14392.6621,1500.9556,485.79,13151.7617,33.2091
45000,-572.9589,553.7,,,,,,,,,,
45284,,,440,-442.8062,63.8084,,,,,,,
45384,,,100,-98.9242,88.7207,,,,,,,
45500,,,,,,1530.6143,1260.8492,13050.165,1530.6143,590.4207,14954.5723,35.9719
46000,,,,,,1589.8829,1356.5281,10299.0566,1589.8829,527.2938,13930.0127,37.2731
46384,,,1000,-1331.1376,90.3298,,,,,,,
46484,,,100,-104.2049,87.4566,,,,,,,
46500,,,,,,1572.8977,1307.2438,12836.0596,1572.8977,588.7487,15941.4375,36.0833
46542,,,58,-78.5058,88.9398,,,,,,,
46709,,,167,-192.4619,88.7723,,,,,,,
46813,,,104,-93.6851,90.9456,,,,,,,
46939,,,126,-115.0924,94.3686,,,,,,,
46962,,,23,-18.2661,91.0741,,,,,,,
47000,,,,,,1535.8433,1290.0199,16991.0762,1535.8433,913.4378,16703.6895,37.7266
47003,,,41,-32.199,88.681,,,,,,,
47500,,,,,,1625.8492,1361.3538,12341.1191,1625.8492,712.7793,19580.8027,38.858
48000,,,,,,1558.5625,1302.4368,17623.543,1558.5625,638.1018,18884.0547,38.4317
48003,,,1000,-1306.6016,90.7188,,,,,,,
48149,,,146,-187.9552,88.8577,,,,,,,
48199,,,50,-50.1632,88.8372,,,,,,,
48227,,,28,-42.5335,88.7304,,,,,,,
48299,,,72,-67.8143,88.6316,,,,,,,
48457,,,158,-174.0621,89.0286,,,,,,,
48500,,,,,,1649.9424,1348.4368,16048.9639,1649.9424,596.0997,17461.8105,44.9355
48823,,,366,-339.574,92.949,,,,,,,
48950,,,127,-128.6159,94.4982,,,,,,,
49000,,,,,,1657.9536,1340.127,11815.8135,1657.9536,929.8068,17234.6191,42.3118
49500,,,,,,1557.7122,1257.5537,11524.3975,1557.7122,763.9026,23815.3594,40.4659
49950,,,1000,-1627.2565,91.3152,,,,,,,
50000,,,,,,1548.0122,1233.5383,12000.3311,1548.0122,846.3749,21493.0762,39.3662
50000,-477.2508,589.5,,,,,,,,,,
50450,,,500,-454.7379,62.6922,,,,,,,
50500,,,,,,1613.0867,1300.1111,15517.3369,1613.0867,880.0704,29814.752,45.2064
50695,,,245,-315.9135,88.6845,,,,,,,
50790,,,95,-110.4796,89.3664,,,,,,,
50805,,,15,-15.6363,94.1635,,,,,,,
50853,,,48,-59.6856,88.4508,,,,,,,
50923,,,70,-102.6453,88.8312,,,,,,,
51000,,,,,,1644.9935,1332.4954,14836.6816,1644.9935,897.8083,19340.0312,42.9675
51500,,,,,,1593.6641,1249.0938,12161.1143,1593.6641,891.0089,19133.7285,40.737
51923,,,1000,-1370.8323,89.3522,,,,,,,
51993,,,70,-88.1871,88.3451,,,,,,,
52000,,,,,,1548.5039,1247.2058,12763.3135,1548.5039,778.9731,25508.9121,44.0362
52042,,,49,-43.0784,88.8013,,,,,,,
52288,,,246,-289.1303,88.6963,,,,,,,
52405,,,117,-117.4764,88.8201,,,,,,,
52428,,,23,-25.9636,88.7714,,,,,,,
52500,,,,,,1645.254,1324.9142,12720.0088,1645.254,1147.9691,23740.0527,44.9408
52591,,,163,-122.3904,89.5934,,,,,,,
52842,,,251,-242.8683,92.8326,,,,,,,
52903,,,61,-50.5341,94.4654,,,,,,,
53000,,,,,,1685.0239,1345.7992,14105.8652,1685.0239,963.5653,33369.6758,45.0472
53198,,,295,-271.0151,92.5432,,,,,,,
53296,,,98,-37.8464,94.2478,,,,,,,
53398,,,102,-102.4883,88.7141,,,,,,,
53442,,,44,-25.2202,88.6698,,,,,,,
53500,,,,,,1564.8311,1207.5151,14933.3193,1564.8311,1160.9219,24499.957,48.8755
54000,,,,,,1662.1252,1316.9637,13859.9697,1662.1252,1013.625,21400.4531,42.6458
54164,,,722,-698.5606,90.6555,,,,,,,
54241,,,77,-116.2829,88.8479,,,,,,,
54300,,,59,-72.0662,91.6206,,,,,,,
54336,,,36,-39.3448,94.3322,,,,,,,
54416,,,80,-103.0788,88.2265,,,,,,,
54500,,,,,,1657.9043,1280.5696,13465.4971,1657.9043,1286.0951,23234.6445,45.4156
54624,,,208,-241.606,90.3315,,,,,,,
54652,,,28,-46.7014,88.7008,,,,,,,
54696,,,44,-54.069,88.4401,,,,,,,
55000,,,,,,1664.3601,1270.3516,11862.0889,1664.3601,2734.6787,41502.6289,48.7272
55000,-273.8105,309.7,,,,,,,,,,
55500,,,,,,1748.809,1382.7496,13682.0693,1748.809,908.1296,20151.6445,41.5792
55696,,,1000,-1509.3091,81.9831,,,,,,,
56000,,,,,,1624.4586,1265.3179,16288.7051,1624.4586,953.687,21164.6113,47.6579
56500,,,,,,1617.2993,1256.4891,12735.9512,1617.2993,1047.8909,28438.3105,43.7202
56696,,,1000,-1496.4073,90.0924,,,,,,,
56727,,,31,-22.9458,88.3425,,,,,,,
57000,,,,,,1681.9126,1300.4099,12283.7656,1681.9126,844.2082,21115.1387,40.0688
57500,,,,,,1732.7007,1344.1609,13665.9375,1732.7007,1065.3093,25109.2324,45.0631
57727,,,1000,-1650.2253,88.7275,,,,,,,
57985,,,258,-259.6823,92.4208,,,,,,,
58000,,,,,,1621.3887,1237.197,13613.2109,1621.3887,825.7889,21438.8848,42.7832
58093,,,108,-76.2211,93.605,,,,,,,
58150,,,57,-85.5679,91.0773,,,,,,,
58500,,,,,,1629.0294,1290.3225,15721.709,1629.0294,811.5859,17854.377,43.9746
59000,,,,,,1689.3685,1270.6536,13653.4609,1689.3685,1020.0764,32293.7598,47.07
59150,,,1000,-1597.3576,89.3845,,,,,,,
59500,,,,,,1636.6895,1293.0764,15860.0225,1636.6895,800.4166,22110.7051,43.7867
60000,,,,,,1683.9922,1279.3663,15910.4668,1683.9922,735.9041,20767.0215,41.7399
60000,-387.1429,233.7,,,,,,,,,,
60150,,,1000,-1449.9606,82.5677,,,,,,,
60167,,,17,-13.0873,88.7308,,,,,,,
60314,,,147,-153.3923,88.4553,,,,,,,
60500,,,,,,1649.3738,1250.9641,12516.1016,1649.3738,1004.6982,23087.7617,45.815
60678,,,364,-413.1254,88.7016,,,,,,,
61000,,,,,,1637.6465,1251.1099,11514.1221,1637.6465,1050.7236,20612.418,45.5836
61500,,,,,,1668.3007,1287.8157,12723.5977,1668.3007,743.5973,21764.5762,44.883
61678,,,1000,-1514.2639,89.389,,,,,,,
61873,,,195,-271.1244,88.5757,,,,,,,
61906,,,33,-54.099,91.0704,,,,,,,
61949,,,43,-56.3237,88.5826,,,,,,,
62000,,,,,,1606.0754,1219.1788,12279.0479,1606.0754,765.6487,19248.3301,48.6499
62073,,,124,-123.6472,93.9281,,,,,,,
62127,,,54,-104.9979,94.1786,,,,,,,
62324,,,197,-167.1002,94.0055,,,,,,,
62385,,,61,-83.0131,91.0513,,,,,,,
62500,,,,,,1587.5679,1185.8804,13160.1455,1587.5679,801.4315,21204.666,44.8749
62849,,,464,-664.554,90.445,,,,,,,
63000,,,,,,1663.8821,1294.6912,12882.8945,1663.8821,1280.2935,32374.6113,50.6977
63500,,,,,,1717.4398,1287.9977,18224.3477,1717.4398,988.0909,26358.1875,43.8711
63849,,,1000,-1442.6037,90.4507,,,,,,,
64000,,,,,,1696.2078,1313.9323,13606.3652,1696.2078,873.4203,24821.541,47.1432
64163,,,314,-306.84,91.0259,,,,,,,
64344,,,181,-142.3926,88.4635,,,,,,,
64445,,,101,-95.8888,88.4441,,,,,,,
64500,,,,,,1820.2449,1420.8643,16300.4775,1820.2449,924.7995,25467.2109,45.5612
64549,,,104,-93.371,90.525,,,,,,,
64687,,,138,-146.1653,91.4986,,,,,,,
64834,,,147,-146.2778,94.2169,,,,,,,
64871,,,37,-21.6833,87.9677,,,,,,,
64981,,,110,-117.2639,92.471,,,,,,,
65000,,,,,,1708.123,1301.391,12695.4268,1708.123,907.961,19255.1133,44.3564
65000,-215.1519,246.1,,,,,,,,,,
65201,,,220,-258.1344,63.7482,,,,,,,
65500,,,,,,1711.5648,1299.926,15237.8398,1711.5648,843.7275,27123.8672,49.5694
66000,,,,,,1730.532,1308.6826,17196.1191,1730.532,1259.6821,19700.0781,45.8659
66201,,,1000,-1635.1716,90.3405,,,,,,,
66453,,,252,-206.2833,91.9574,,,,,,,
66500,,,,,,1654.4904,1276.0398,15049.0977,1654.4904,922.5264,20405.4492,40.324
66631,,,178,-185.7025,88.3769,,,,,,,
66711,,,80,-73.4315,88.3139,,,,,,,
66937,,,226,-237.7137,88.2902,,,,,,,
67000,,,,,,1698.3916,1321.437,12916.8691,1698.3916,803.2309,21727.2227,42.9716
67057,,,120,-132.1273,91.3799,,,,,,,
