env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
15555,,,36,60.4879,106.6344,,,,,,,
15654,,,99,235.361,106.1839,,,,,,,
15775,,,121,305.0525,106.1237,,,,,,,
15822,,,47,78.7755,106.3652,,,,,,,
15936,,,114,285.06,104.8318,,,,,,,
16000,,,,,,0.0044,-140.0554,3.4251,0.0044,24.0611,447.653,2.2264
16033,,,97,221.5052,110.4676,,,,,,,
16139,,,106,272.4619,110.2517,,,,,,,
16252,,,113,266.6703,109.9634,,,,,,,
16372,,,120,317.7275,110.49,,,,,,,
16422,,,50,87.6638,110.5728,,,,,,,
16500,,,,,,0.0045,-141.9667,3.9944,0.0045,28.78,627.4152,3.6133
16536,,,114,302.0916,110.5689,,,,,,,
16553,,,17,22.8584,109.5191,,,,,,,
16674,,,121,308.9735,110.3941,,,,,,,
16791,,,117,290.3197,109.347,,,,,,,
16843,,,52,92.785,109.6284,,,,,,,
16954,,,111,263.6385,107.8202,,,,,,,
17000,,,,,,0.0045,-146.0265,10.6705,0.0045,33.8531,434.2908,3.2436
17080,,,126,318.4884,106.2378,,,,,,,
17196,,,116,280.3055,106.8032,,,,,,,
17310,,,114,299.5961,105.9043,,,,,,,
17421,,,111,287.4223,106.5066,,,,,,,
17445,,,24,38.0144,106.7054,,,,,,,
17500,,,,,,0.0048,-146.7715,5.7851,0.0048,38.7788,471.5402,2.1188
17560,,,115,294.2239,106.4247,,,,,,,
17672,,,112,291.695,106.1254,,,,,,,
17782,,,110,267.927,106.487,,,,,,,
17804,,,22,33.9409,106.1742,,,,,,,
17857,,,53,88.6163,106.4063,,,,,,,
17973,,,116,298.8873,106.5724,,,,,,,
18000,,,,,,0.0049,-151.1981,6.1879,0.0049,39.9153,608.5995,1.7392
18019,,,46,78.8673,106.5556,,,,,,,
18136,,,117,312.564,106.4215,,,,,,,
18250,,,114,293.0457,106.4591,,,,,,,
18366,,,116,288.376,106.7748,,,,,,,
18395,,,29,47.1062,106.6665,,,,,,,
18500,,,,,,0.0045,-154.499,5.7232,0.0045,35.0077,1492.3633,2.107
18512,,,117,299.7741,106.35,,,,,,,
18628,,,116,313.5694,105.8672,,,,,,,
18686,,,58,100.0512,106.5465,,,,,,,
18738,,,52,88.9905,106.3638,,,,,,,
18861,,,123,319.942,106.0888,,,,,,,
18978,,,117,278.2425,106.3495,,,,,,,
19000,,,,,,0.0046,-160.4966,6.7925,0.0046,22.3593,528.7678,2.1371
19022,,,44,76.5487,106.1268,,,,,,,
19134,,,112,271.7049,106.373,,,,,,,
19191,,,57,99.1108,106.5333,,,,,,,
19315,,,124,290.4155,106.4593,,,,,,,
19354,,,39,62.318,106.5116,,,,,,,
19376,,,22,32.9888,106.5251,,,,,,,
19419,,,43,74.9381,106.1837,,,,,,,
19500,,,,,,0.0048,-159.2772,5.6863,0.0048,28.7607,571.3172,1.8167
19537,,,118,287.7999,106.5467,,,,,,,
19662,,,125,320.5191,106.6563,,,,,,,
19780,,,118,308.5021,106.636,,,,,,,
19806,,,26,40.9528,106.7666,,,,,,,
19920,,,114,300.8691,106.5964,,,,,,,
20000,,,,,,0.0044,-161.8736,3.5931,0.0044,14.994,582.0373,2.4245
20000,279.7411,115.1,,,,,,,,,,
20034,,,114,279.7086,88.5518,,,,,,,
20068,,,34,55.3392,106.7628,,,,,,,
20179,,,111,270.1224,106.7105,,,,,,,
20220,,,41,68.2449,106.5583,,,,,,,
20339,,,119,294.2849,106.7947,,,,,,,
20382,,,43,67.9041,106.242,,,,,,,
20496,,,114,289.8354,106.4322,,,,,,,
20500,,,,,,0.0048,-164.4571,7.0551,0.0048,66.3856,1387.0239,3.2916
20612,,,116,280.638,106.379,,,,,,,
20726,,,114,292.1539,106.5307,,,,,,,
20768,,,42,73.9748,106.3838,,,,,,,
20880,,,112,280.181,106.5808,,,,,,,
20986,,,106,268.755,106.5996,,,,,,,
21000,,,,,,0.0048,-163.5787,4.6717,0.0048,35.5112,727.819,4.556
21100,,,114,266.4597,106.5146,,,,,,,
21213,,,113,291.0854,106.5978,,,,,,,
21246,,,33,54.7664,106.1844,,,,,,,
21271,,,25,38.2128,105.6745,,,,,,,
21384,,,113,281.0652,106.1432,,,,,,,
21498,,,114,286.7965,106.4395,,,,,,,
21500,,,,,,0.0052,-170.4171,4.0281,0.0052,28.3116,578.5509,2.8028
21611,,,113,291.7935,106.6913,,,,,,,
21633,,,22,33.0303,106.1004,,,,,,,
21648,,,15,19.0461,105.9651,,,,,,,
21763,,,115,283.3668,106.3601,,,,,,,
21883,,,120,312.8313,106.4263,,,,,,,
21991,,,108,266.6404,106.3904,,,,,,,
22000,,,,,,0.0048,-167.6259,5.2201,0.0048,22.822,851.0368,2.4142
22110,,,119,286.6044,106.2846,,,,,,,
22225,,,115,289.5238,106.1394,,,,,,,
22341,,,116,290.02,106.2844,,,,,,,
22454,,,113,294.8157,106.2111,,,,,,,
22500,,,,,,0.0046,-171.2456,6.2317,0.0046,19.1311,547.4265,2.5865
22542,,,88,193.3759,106.4447,,,,,,,
22676,,,134,367.0273,105.7712,,,,,,,
22797,,,121,309.6361,105.8919,,,,,,,
22818,,,21,31.3435,106.0444,,,,,,,
22942,,,124,317.3213,105.8196,,,,,,,
23000,,,,,,0.0046,-170.8422,5.103,0.0046,46.6437,1443.7097,3.8034
23061,,,119,310.6328,106.1581,,,,,,,
23078,,,17,23.5264,106.6432,,,,,,,
23193,,,115,289.0889,105.9735,,,,,,,
23218,,,25,38.5121,106.3645,,,,,,,
23243,,,25,39.6251,105.7418,,,,,,,
23363,,,120,311.3627,106.4575,,,,,,,
23379,,,16,19.6424,106.0101,,,,,,,
23500,,,,,,0.0047,-171.7211,4.5016,0.0047,44.8709,2227.3975,1.4357
23502,,,123,313.0749,106.2058,,,,,,,
23625,,,123,326.4722,106.0076,,,,,,,
23748,,,123,312.235,106.4027,,,,,,,
23861,,,113,281.2158,106.5677,,,,,,,
23985,,,124,312.3681,106.5534,,,,,,,
24000,,,,,,0.0045,-167.4181,6.6671,0.0045,52.0098,1725.8627,2.0508
24114,,,129,335.1121,106.3331,,,,,,,
24135,,,21,28.2475,106.4923,,,,,,,
24267,,,132,340.1542,106.5233,,,,,,,
24393,,,126,332.8446,106.4419,,,,,,,
24500,,,,,,0.0047,-170.434,13.6127,0.0047,28.1246,1064.2645,6.3855
24523,,,130,330.1191,106.2232,,,,,,,
24638,,,115,283.334,106.2814,,,,,,,
24760,,,122,318.4,106.5727,,,,,,,
24871,,,111,282.3367,106.5177,,,,,,,
24887,,,16,21.5056,106.7041,,,,,,,
25000,,,,,,0.0044,-172.706,3.7702,0.0044,49.5689,1533.8641,1.8969
25000,310.5748,122.4,,,,,,,,,,
25009,,,122,313.8396,88.5296,,,,,,,
25129,,,120,287.2095,106.4256,,,,,,,
25250,,,121,304.399,106.3428,,,,,,,
25372,,,122,305.3101,106.4852,,,,,,,
25404,,,32,52.4462,106.4678,,,,,,,
25432,,,28,45.473,106.459,,,,,,,
25500,,,,,,0.0044,-170.0018,5.6233,0.0044,27.5993,829.8322,5.7399
25557,,,125,329.2792,106.0602,,,,,,,
25577,,,20,29.5073,105.93,,,,,,,
25688,,,111,276.5486,106.2981,,,,,,,
25816,,,128,332.0258,109.6077,,,,,,,
25835,,,19,24.4448,110.3873,,,,,,,
25963,,,128,321.2509,108.856,,,,,,,
25981,,,18,25.7857,105.8765,,,,,,,
26000,,,,,,0.0043,-172.9762,9.6272,0.0043,17.5292,481.9075,4.3252
26106,,,125,323.4338,106.2466,,,,,,,
26244,,,138,379.7509,106.4742,,,,,,,
26373,,,129,343.7973,105.9053,,,,,,,
26401,,,28,40.986,105.9543,,,,,,,
26500,,,,,,0.0044,-174.5286,5.7325,0.0044,28.7447,1092.709,2.4399
26531,,,130,330.8414,106.2952,,,,,,,
26661,,,130,330.2181,106.4793,,,,,,,
26791,,,130,335.1384,106.3661,,,,,,,
26808,,,17,21.0018,105.8298,,,,,,,
26844,,,36,57.2394,106.0466,,,,,,,
26973,,,129,336.5047,106.4979,,,,,,,
27000,,,,,,0.0044,-173.957,3.9325,0.0044,44.4798,1398.266,2.8309
27108,,,135,351.7951,106.3071,,,,,,,
27247,,,139,373.1863,106.3553,,,,,,,
27377,,,130,325.6418,106.0911,,,,,,,
27500,,,,,,0.0045,-172.3938,5.7908,0.0045,16.0333,697.9722,2.7551
27517,,,140,371.9933,105.9356,,,,,,,
27650,,,133,347.7169,105.9889,,,,,,,
27663,,,13,15.219,105.8826,,,,,,,
27681,,,18,20.7624,105.8516,,,,,,,
27810,,,129,335.5746,106.1164,,,,,,,
27943,,,133,339.4144,106.0285,,,,,,,
27961,,,18,22.7129,102.5399,,,,,,,
28000,,,,,,0.0044,-172.8144,6.2648,0.0044,67.9405,3190.7004,3.2713
28095,,,134,361.246,106.0248,,,,,,,
28222,,,127,320.1891,105.973,,,,,,,
28249,,,27,36.6998,105.2149,,,,,,,
28268,,,19,26.0158,105.6489,,,,,,,
28287,,,19,25.7504,106.1941,,,,,,,
28426,,,139,341.2406,105.4979,,,,,,,
