env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
9984,,,24,-4.8067,80.497,,,,,,,,,,
9994,,,10,-6.2411,80.2804,,,,,,,,,,
10000,,,,,,0.3217,0.7532,0.112,-92.8001,13.1113,0.052,-0.2187,36.4515,498.8276,4.3811
10000,-0.6455,32.8,,,,,,,,,,,,,
10017,,,23,-8.4905,58.7225,,,,,,,,,,
10037,,,20,-5.0458,79.9674,,,,,,,,,,
10054,,,17,-9.0879,80.5292,,,,,,,,,,
10073,,,19,-8.8889,80.0342,,,,,,,,,,
10080,,,7,-3.0717,81.8476,,,,,,,,,,
10104,,,24,-3.9626,80.7435,,,,,,,,,,
10114,,,10,-4.9807,79.3304,,,,,,,,,,
10122,,,8,-5.5136,80.0171,,,,,,,,,,
10166,,,44,16.5678,80.582,,,,,,,,,,
10186,,,20,-7.4055,80.0008,,,,,,,,,,
10194,,,8,-4.8986,79.9627,,,,,,,,,,
10212,,,18,-6.505,80.2124,,,,,,,,,,
10231,,,19,-9.0709,81.3227,,,,,,,,,,
10253,,,22,-5.6673,80.3055,,,,,,,,,,
10260,,,7,-5.0472,81.1284,,,,,,,,,,
10298,,,38,12.3229,80.3287,,,,,,,,,,
10318,,,20,-4.6655,80.6154,,,,,,,,,,
10358,,,40,18.5864,80.1698,,,,,,,,,,
10391,,,33,2.0814,80.6169,,,,,,,,,,
10405,,,14,-10.4343,80.7956,,,,,,,,,,
10429,,,24,-4.2194,79.8054,,,,,,,,,,
10437,,,8,-5.2003,79.8651,,,,,,,,,,
10445,,,8,-5.2203,79.4654,,,,,,,,,,
10466,,,21,-1.9116,80.3604,,,,,,,,,,
10482,,,16,-9.2592,80.6472,,,,,,,,,,
10499,,,17,-12.7901,80.2586,,,,,,,,,,
10500,,,,,,0.3372,0.7596,0.1367,-102.1872,13.3102,0.0493,-0.2519,48.3388,291.1766,1.7501
10508,,,9,-8.0122,80.4584,,,,,,,,,,
10515,,,7,-5.8165,80.1819,,,,,,,,,,
10526,,,11,-5.8463,80.9274,,,,,,,,,,
10547,,,21,-9.9307,80.3911,,,,,,,,,,
10559,,,12,-9.037,80.9379,,,,,,,,,,
10567,,,8,-4.8717,80.5246,,,,,,,,,,
10574,,,7,-4.0989,80.1808,,,,,,,,,,
10581,,,7,-5.109,80.869,,,,,,,,,,
10599,,,18,-12.9412,80.6365,,,,,,,,,,
10616,,,17,-6.7877,80.7242,,,,,,,,,,
10648,,,32,13.1639,80.9598,,,,,,,,,,
10662,,,14,-12.8298,80.8255,,,,,,,,,,
