env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
58000,,,,,,,,,,1000,2703.0579,81.1686
58500,,,-184.9927,3.6057,0.0031,-0.0444,3.1178,95.76,2.7649,,,
59000,,,-180.4936,4.0812,0.0034,-0.0445,2.5864,80.8134,3.6363,,,
59000,,,,,,,,,,1000,2638.9785,85.8316
59500,,,-179.753,4.7111,0.0035,-0.0448,2.737,122.6919,6.7623,,,
60000,,,-186.193,4.0144,0.0031,-0.0438,2.4246,64.8714,2.6417,,,
60000,3811.4283,1000.0,,,,,,,,,,
60000,,,,,,,,,,1000,2724.2677,72.8631
60500,,,-190.6503,3.6098,0.0029,-0.0422,2.5884,115.0028,3.9185,,,
61000,,,-186.3508,4.6027,0.003,-0.0426,2.9343,119.4808,5.6948,,,
61000,,,,,,,,,,1000,2708.5116,80.9398
61500,,,-191.2797,3.7245,0.0033,-0.0461,2.9823,61.1395,3.4351,,,
62000,,,-192.3432,3.2303,0.0032,-0.0451,2.3765,77.4082,3.8704,,,
62000,,,,,,,,,,1000,2900.973,80.9424
62500,,,-196.9616,3.2698,0.0031,-0.0432,2.778,86.4598,2.714,,,
63000,,,-197.0603,3.5746,0.0032,-0.0439,2.3933,112.4883,3.9692,,,
63000,,,,,,,,,,1000,2955.53,81.9011
63500,,,-200.0935,3.4457,0.0029,-0.0431,2.7678,95.8688,2.9833,,,
64000,,,-202.8825,3.9371,0.0032,-0.0455,2.4157,75.7724,5.055,,,
64000,,,,,,,,,,1000,3087.1343,81.0445
64500,,,-202.2133,3.1278,0.0038,-0.0478,2.7095,91.4338,4.2036,,,
65000,,,-204.6147,3.6992,0.0029,-0.0423,2.6907,184.7368,3.6936,,,
65000,3986.7588,1000.0,,,,,,,,,,
65000,,,,,,,,,,1000,3143.6987,74.3333
65500,,,-203.5091,3.925,0.003,-0.0417,2.4851,108.2069,3.957,,,
66000,,,-202.3102,3.152,0.0031,-0.043,2.9461,111.632,2.7581,,,
66000,,,,,,,,,,1000,3127.9036,81.8017
66500,,,-206.4512,5.1151,0.0028,-0.0409,2.3929,94.6304,3.9553,,,
67000,,,-207.9703,3.4212,0.0032,-0.0437,2.6444,108.2694,5.3115,,,
67000,,,,,,,,,,1000,3261.7165,85.7964
67500,,,-213.4344,4.1819,0.003,-0.0418,2.3561,87.9302,3.8331,,,
68000,,,-213.1792,4.6379,0.0034,-0.0459,2.931,153.2211,4.7662,,,
68000,,,,,,,,,,1000,3238.2017,81.89
68500,,,-213.9189,4.1006,0.0028,-0.042,2.6771,139.1499,4.0524,,,
69000,,,-213.9912,3.0621,0.0029,-0.0438,2.4054,94.1921,3.7517,,,
69000,,,,,,,,,,1000,3322.2167,80.9479
69500,,,-222.3836,5.145,0.0029,-0.0422,2.536,138.1671,4.1795,,,
70000,,,-221.1664,3.8209,0.0028,-0.0403,2.3159,62.0461,3.8331,,,
70000,4295.0213,1000.0,,,,,,,,,,
70000,,,,,,,,,,1000,3359.5258,75.5004
70500,,,-224.2688,3.5501,0.0029,-0.0424,2.2862,115.8071,5.013,,,
71000,,,-220.8282,4.4139,0.0027,-0.0397,2.5786,174.6551,3.5353,,,
71000,,,,,,,,,,1000,3443.8549,83.7425
71500,,,-226.7538,5.7967,0.0031,-0.0434,2.4848,142.5397,3.2168,,,
72000,,,-229.9718,4.2705,0.003,-0.0434,2.2321,82.201,4.1758,,,
72000,,,,,,,,,,1000,3389.1488,81.3452
72500,,,-227.4523,4.0456,0.0027,-0.042,2.3112,124.7548,2.8103,,,
73000,,,-231.7542,4.1696,0.0029,-0.0432,2.4257,94.8301,4.8853,,,
73000,,,,,,,,,,1000,3441.6594,83.8376
73500,,,-232.0777,3.7601,0.0028,-0.0408,2.5464,103.5361,3.6271,,,
74000,,,-233.8328,3.0462,0.0025,-0.0395,2.3169,84.6125,4.2498,,,
74000,,,,,,,,,,1000,3556.4737,84.296
74500,,,-235.6578,3.2062,0.0029,-0.0435,2.5924,144.5706,4.1127,,,
75000,,,-229.9401,3.7143,0.0026,-0.0386,2.7062,128.4842,3.9119,,,
75000,4355.163,1000.0,,,,,,,,,,
75000,,,,,,,,,,1000,3566.1145,73.6503
75500,,,-242.975,3.0437,0.0024,-0.0377,2.178,92.8343,3.7314,,,
76000,,,-244.4616,4.019,0.0027,-0.0405,2.3498,94.8534,5.0863,,,
76000,,,,,,,,,,1000,3556.129,82.3312
