env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
4429,,,20,96.9981,66.9695,,,,,,,,,,
4446,,,17,81.2534,71.4488,,,,,,,,,,
4471,,,25,124.8662,71.1575,,,,,,,,,,
4493,,,22,102.6067,70.7023,,,,,,,,,,
4500,,,,,,0.405,0.5772,0.1296,-117.9681,17.0668,0.0858,-0.2514,19.1726,103.4551,3.2633
4512,,,19,91.1849,71.4224,,,,,,,,,,
4531,,,19,90.537,71.3011,,,,,,,,,,
4550,,,19,91.553,70.6316,,,,,,,,,,
4567,,,17,81.5142,71.203,,,,,,,,,,
4585,,,18,86.1551,71.1431,,,,,,,,,,
4609,,,24,116.2593,70.8604,,,,,,,,,,
4627,,,18,85.7698,70.6545,,,,,,,,,,
4645,,,18,87.3761,71.2191,,,,,,,,,,
4670,,,25,118.3253,70.9661,,,,,,,,,,
4697,,,27,132.1882,71.2119,,,,,,,,,,
4715,,,18,87.4824,71.0721,,,,,,,,,,
4736,,,21,103.7303,71.3364,,,,,,,,,,
4757,,,21,100.2891,71.1349,,,,,,,,,,
4775,,,18,86.3017,71.0472,,,,,,,,,,
4792,,,17,81.2682,71.3049,,,,,,,,,,
4809,,,17,81.3773,70.732,,,,,,,,,,
4840,,,31,163.3754,70.8936,,,,,,,,,,
4889,,,49,239.6959,71.2725,,,,,,,,,,
4914,,,25,118.7492,70.9987,,,,,,,,,,
4932,,,18,86.8644,71.2768,,,,,,,,,,
4956,,,24,121.5064,71.288,,,,,,,,,,
4975,,,19,90.7671,70.8832,,,,,,,,,,
4997,,,22,109.1459,71.203,,,,,,,,,,
5000,,,,,,0.3649,0.5806,0.12,-134.9084,31.6056,0.0673,-0.2247,21.8672,78.5524,4.1531
5000,79.4746,16.6,,,,,,,,,,,,,
5016,,,19,92.5677,34.6195,,,,,,,,,,
5037,,,21,98.8602,71.0271,,,,,,,,,,
5060,,,23,112.0335,71.1768,,,,,,,,,,
5089,,,29,148.8749,70.9801,,,,,,,,,,
5114,,,25,124.595,70.3368,,,,,,,,,,
