env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
31500,,,1.7287,0.7407,0.5579,-79.0819,5.2311,0.2729,-1.1312,3.4077,68.5347,1.6956,,,
32000,,,1.7317,0.7469,0.5551,-80.9505,6.1432,0.2888,-1.0886,2.2475,22.4287,2.0116,,,
32000,,,,,,,,,,,,,1000,503.1418,84.5811
32500,,,1.7273,0.76,0.5788,-82.5138,4.212,0.2476,-1.1398,3.027,33.0144,1.2602,,,
33000,,,1.6934,0.7435,0.5351,-81.2755,5.0116,0.2642,-1.0706,2.6573,17.3855,1.5531,,,
33000,,,,,,,,,,,,,1000,398.963,86.443
33500,,,1.7086,0.7518,0.5732,-82.3052,4.4003,0.2442,-1.1558,3.6101,30.2639,2.2515,,,
34000,,,1.6884,0.7442,0.5458,-83.4626,4.9986,0.2554,-1.0663,2.8818,73.8238,1.6061,,,
34000,,,,,,,,,,,,,1000,546.998,87.1721
34500,,,1.7228,0.7435,0.5398,-86.1289,5.7319,0.2923,-1.0875,3.0384,29.2665,2.4366,,,
35000,,,1.6903,0.7517,0.5584,-85.6513,4.7237,0.2345,-1.1061,2.3398,15.8268,1.7284,,,
35000,1637.2531,1000.0,,,,,,,,,,,,,
35000,,,,,,,,,,,,,1000,560.8518,72.2073
35500,,,1.7291,0.7542,0.5685,-86.2726,5.445,0.2628,-1.1322,3.0325,25.3522,1.8289,,,
36000,,,1.6951,0.7557,0.5761,-87.0227,4.2976,0.2331,-1.1348,3.3023,29.5708,2.6278,,,
36000,,,,,,,,,,,,,1000,620.0858,85.193
36500,,,1.6872,0.7507,0.547,-88.873,4.5298,0.2576,-1.0941,4.5767,33.997,1.5241,,,
37000,,,1.6909,0.7444,0.5392,-91.0505,5.3476,0.263,-1.0958,3.2526,24.7935,1.8869,,,
37000,,,,,,,,,,,,,1000,599.7101,87.4479
37500,,,1.6999,0.7579,0.5518,-89.6441,4.7989,0.2556,-1.0621,3.5576,39.457,1.9631,,,
38000,,,1.7493,0.7599,0.5714,-95.2409,7.6924,0.2887,-1.1221,5.6626,37.834,2.3068,,,
38000,,,,,,,,,,,,,1000,772.8201,86.2221
38500,,,1.6912,0.7541,0.5647,-93.1138,5.5254,0.2396,-1.1143,3.784,43.1259,2.3276,,,
39000,,,1.6851,0.7564,0.5462,-95.381,5.0204,0.2477,-1.0965,2.8553,28.1015,2.0901,,,
39000,,,,,,,,,,,,,1000,591.3952,85.1268
39500,,,1.664,0.746,0.5525,-93.2888,4.5961,0.2397,-1.0887,3.4995,30.0091,2.3501,,,
40000,,,1.6979,0.7406,0.5508,-96.5225,5.427,0.273,-1.1211,2.9077,18.8778,2.6318,,,
40000,2246.1864,1000.0,,,,,,,,,,,,,
40000,,,,,,,,,,,,,1000,564.6879,73.6797
