env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
64000,,,,,,,,,,,,,1000,3929.3558,78.0933
64500,,,0.378,0.8904,0.1327,-278.1414,6.4449,0.0642,-0.2601,3.1611,130.2384,2.2335,,,
65000,,,0.3664,0.8842,0.1282,-280.8216,5.3727,0.0611,-0.2544,2.9935,199.1393,2.4729,,,
65000,4206.0194,1000.0,,,,,,,,,,,,,
65000,,,,,,,,,,,,,1000,3996.5669,63.7766
65500,,,0.3603,0.8807,0.1211,-287.2996,6.7458,0.0614,-0.2457,2.7106,227.2864,3.3082,,,
66000,,,0.3801,0.8925,0.1473,-277.6369,6.7928,0.0584,-0.2812,2.9576,190.9331,2.1131,,,
66000,,,,,,,,,,,,,1000,4046.8244,77.9284
66500,,,0.3696,0.8842,0.1326,-284.2273,7.4823,0.0604,-0.2594,3.1677,150.2707,2.8319,,,
67000,,,0.3765,0.8915,0.1296,-286.949,6.8744,0.0647,-0.2595,3.4295,140.087,3.9682,,,
67000,,,,,,,,,,,,,1000,4075.4273,79.5522
67500,,,0.3696,0.8987,0.1602,-287.7212,6.6438,0.0479,-0.3108,2.8397,166.3459,2.8281,,,
68000,,,0.3741,0.8995,0.1346,-292.8942,7.0273,0.0618,-0.2669,2.9406,229.6253,2.8306,,,
68000,,,,,,,,,,,,,1000,4226.2431,80.5849
68500,,,0.3754,0.8826,0.1305,-298.0536,5.4752,0.0645,-0.2622,2.7264,122.2792,3.0425,,,
69000,,,0.3665,0.8847,0.1313,-293.4257,4.9727,0.0595,-0.2612,2.9069,160.5767,2.8304,,,
69000,,,,,,,,,,,,,1000,4088.3988,79.0813
69500,,,0.3672,0.8967,0.1292,-302.0105,5.2794,0.0608,-0.2608,3.2609,215.2993,2.4135,,,
70000,,,0.3703,0.8978,0.1226,-302.9805,5.5013,0.0659,-0.2386,2.9398,256.0936,2.3531,,,
70000,4889.4754,1000.0,,,,,,,,,,,,,
70000,,,,,,,,,,,,,1000,3839.3342,64.7572
70500,,,0.357,0.8898,0.1262,-307.9612,5.3695,0.0572,-0.2519,2.7612,170.5395,3.8836,,,
71000,,,0.3537,0.8865,0.1238,-308.2885,5.841,0.057,-0.2508,3.1345,159.2192,3.5108,,,
71000,,,,,,,,,,,,,1000,4245.0995,78.9356
71500,,,0.3713,0.905,0.1316,-307.9634,6.447,0.0613,-0.2606,2.8462,126.3733,2.15,,,
72000,,,0.3644,0.8918,0.1268,-317.6541,5.9063,0.0607,-0.2536,3.4674,256.6251,3.7566,,,
72000,,,,,,,,,,,,,1000,4236.3035,79.1073
72500,,,0.3776,0.8995,0.133,-307.1723,4.7109,0.0641,-0.2568,3.1655,300.03,2.3222,,,
73000,,,0.3719,0.8966,0.1327,-314.1857,5.9344,0.0614,-0.2624,3.0774,133.1062,2.8709,,,
73000,,,,,,,,,,,,,1000,4492.6144,79.7025
73500,,,0.3773,0.9026,0.1768,-309.3392,6.3269,0.0444,-0.3349,2.7716,193.3962,2.7191,,,
74000,,,0.3671,0.8845,0.1267,-317.8685,5.5621,0.0623,-0.252,2.9861,240.2237,2.3541,,,
74000,,,,,,,,,,,,,1000,2983.1501,77.7927
74500,,,0.3734,0.8938,0.1324,-308.4827,5.616,0.0625,-0.2622,3.0496,203.0634,3.7939,,,
75000,,,0.3585,0.8927,0.1252,-312.5497,7.4556,0.0591,-0.2568,3.1009,170.819,4.3629,,,
75000,4995.2153,1000.0,,,,,,,,,,,,,
75000,,,,,,,,,,,,,1000,4391.5324,63.893
75500,,,0.372,0.8919,0.1252,-319.7737,6.4333,0.0657,-0.2544,7.2272,199.6244,4.1513,,,
76000,,,0.3528,0.8908,0.1224,-320.5348,6.1434,0.0574,-0.2483,3.0558,142.4431,3.9249,,,
76000,,,,,,,,,,,,,1000,1086.6374,78.3725
76500,,,0.364,0.8963,0.1266,-321.6514,7.1607,0.0606,-0.2549,6.409,226.5378,4.0219,,,
77000,,,0.3654,0.9011,0.1302,-321.3603,5.1466,0.0594,-0.2576,3.5487,186.0527,2.9823,,,
77000,,,,,,,,,,,,,1000,4314.9774,77.8802
77500,,,0.3611,0.9087,0.1789,-322.2581,6.2563,0.0379,-0.317,4.0487,349.139,4.0318,,,
78000,,,0.3572,0.9051,0.1264,-324.1592,6.5975,0.0579,-0.2468,4.2207,183.4924,4.6769,,,
78000,,,,,,,,,,,,,1000,4385.7938,77.1101
78500,,,0.3463,0.9055,0.1228,-327.9496,5.7417,0.054,-0.248,3.0411,285.3801,2.7303,,,
79000,,,0.3492,0.9077,0.1241,-332.3187,4.338,0.0547,-0.2501,3.1746,312.8842,2.8515,,,
