env_steps,return,length,train/length,train/return,FPS,op-l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
24205,,,1000,-1303.5696,103.3918,,,,,,,
24258,,,53,-14.6281,103.2366,,,,,,,
24456,,,198,-208.1223,103.0626,,,,,,,
24500,,,,,,7.9098,-448.3713,79.5181,7.9098,1019.153,16131.416,31.5335
24559,,,103,-101.8067,102.8405,,,,,,,
24702,,,143,-40.0979,102.7468,,,,,,,
24803,,,101,-115.8235,103.0696,,,,,,,
24858,,,55,-70.1084,102.8921,,,,,,,
24967,,,109,-74.8475,102.3993,,,,,,,
25000,,,,,,8.5186,-485.2503,95.7589,8.5186,592.2052,14532.8076,33.4635
25000,-120.8464,817.6,,,,,,,,,,
25170,,,203,-227.9205,46.0795,,,,,,,
25500,,,,,,7.805,-476.1737,74.4198,7.805,652.9274,15195.6104,36.6696
26000,,,,,,7.6624,-493.92,76.4222,7.6624,629.576,13280.6357,33.737
26170,,,1000,-1396.788,102.5857,,,,,,,
26303,,,133,-153.6685,102.2412,,,,,,,
26500,,,,,,7.7522,-538.9866,80.8782,7.7522,703.596,15744.1045,37.7973
26554,,,251,-271.7668,102.5829,,,,,,,
27000,,,,,,7.5514,-488.124,84.8847,7.5514,438.4531,13721.2871,32.6089
27500,,,,,,7.5053,-513.6547,73.1848,7.5053,465.3079,10323.4912,27.003
27554,,,1000,-1205.0496,106.238,,,,,,,
27564,,,10,-6.6451,106.4798,,,,,,,
27631,,,67,-52.1817,106.7804,,,,,,,
27695,,,64,-122.8184,106.7667,,,,,,,
27723,,,28,-33.8438,106.7877,,,,,,,
28000,,,,,,7.4573,-549.9865,83.5854,7.4573,452.3235,11225.3398,22.4336
28500,,,,,,7.3599,-511.3871,71.4579,7.3599,504.9832,9041.0283,28.5564
28723,,,1000,-1308.6615,102.6224,,,,,,,
28766,,,43,-44.6871,102.7593,,,,,,,
29000,,,,,,7.4577,-550.3785,91.5146,7.4577,498.3796,14227.0928,23.5502
29500,,,,,,6.9841,-560.9818,80.4505,6.9841,511.063,12326.2197,25.2726
29766,,,1000,-1167.9348,104.5503,,,,,,,
29804,,,38,-53.8912,106.7545,,,,,,,
29864,,,60,-45.6482,106.6234,,,,,,,
29903,,,39,-30.4947,101.8102,,,,,,,
29920,,,17,-10.5922,102.8254,,,,,,,
29931,,,11,-13.1662,102.3791,,,,,,,
30000,,,,,,7.0839,-553.0025,81.8019,7.0839,531.0305,14658.417,25.38
30000,-60.0018,84.7,,,,,,,,,,
30030,,,99,-112.043,81.162,,,,,,,
30137,,,107,-98.0522,106.431,,,,,,,
30162,,,25,-23.8981,106.5982,,,,,,,
30181,,,19,-24.4202,106.557,,,,,,,
30215,,,34,-34.5813,106.0527,,,,,,,
30256,,,41,-46.1278,106.2531,,,,,,,
30298,,,42,-25.3328,106.0685,,,,,,,
30399,,,101,-105.776,106.6172,,,,,,,
30418,,,19,-25.877,106.24,,,,,,,
30500,,,,,,6.4599,-559.3893,76.183,6.4599,560.4902,13385.5146,32.9782
31000,,,,,,7.006,-590.1099,81.3636,7.006,885.4506,20567.3066,27.7107
31418,,,1000,-1275.5695,103.6992,,,,,,,
31500,,,,,,7.2943,-606.6446,82.4921,7.2943,645.3313,16573.9512,33.0759
32000,,,,,,6.8385,-570.2689,79.339,6.8385,643.0366,22256.4043,42.5094
32418,,,1000,-1188.4078,102.3528,,,,,,,
32500,,,,,,6.8111,-576.1892,87.2477,6.8111,753.8118,20733.8359,34.356
32544,,,126,-192.7396,102.412,,,,,,,
32569,,,25,-24.558,102.1821,,,,,,,
32679,,,110,-97.4393,102.4789,,,,,,,
32698,,,19,-37.8884,101.9636,,,,,,,
32794,,,96,-143.9633,105.8136,,,,,,,
32913,,,119,-83.6762,103.5274,,,,,,,
32949,,,36,-53.4527,106.2979,,,,,,,
32961,,,12,-23.1392,106.8785,,,,,,,
33000,,,,,,6.6877,-600.6033,78.8181,6.6877,811.0198,19613.1309,22.3948
33071,,,110,-164.3203,102.426,,,,,,,
33098,,,27,-50.5644,102.2531,,,,,,,
33204,,,106,-152.5078,102.3594,,,,,,,
33325,,,121,-107.3328,102.4182,,,,,,,
33356,,,31,-33.0034,102.4784,,,,,,,
33500,,,,,,6.6721,-626.9509,76.372,6.6721,2117.6938,22365.1387,27.0527
34000,,,,,,6.6113,-639.017,90.0476,6.6113,890.9794,23611.8633,39.3066
34356,,,1000,-1476.7098,102.1289,,,,,,,
34500,,,,,,6.6419,-582.1304,76.2867,6.6419,1312.6072,28539.8652,30.4691
35000,,,,,,6.4425,-648.9302,88.0695,6.4425,1276.4585,25805.4785,30.0862
35000,-177.5344,902.7,,,,,,,,,,
35356,,,1000,-1479.7569,80.4888,,,,,,,
35370,,,14,-18.4996,105.6692,,,,,,,
35500,,,,,,6.025,-654.8695,84.9879,6.025,1318.6841,28010.2363,26.3346
36000,,,,,,5.6578,-628.2114,75.8914,5.6578,965.3953,16629.334,22.8366
36370,,,1000,-1434.5353,103.6323,,,,,,,
36382,,,12,-12.2971,102.8131,,,,,,,
36425,,,43,-23.9437,102.0739,,,,,,,
36500,,,,,,5.4861,-643.5346,78.6591,5.4861,1076.4316,36128.7148,18.0384
37000,,,,,,5.5001,-693.6042,93.8082,5.5001,1158.8713,21833.7246,32.9382
37425,,,1000,-1501.4822,102.2562,,,,,,,
37500,,,,,,5.5559,-710.2428,82.028,5.5559,1601.9763,40958.918,26.4313
37572,,,147,-90.7389,102.451,,,,,,,
37775,,,203,-212.5533,106.0539,,,,,,,
38000,,,,,,5.4538,-693.074,83.4319,5.4538,1733.0134,28046.0938,40.7051
38500,,,,,,5.2729,-750.0148,92.6037,5.2729,1579.0042,36025.543,30.6006
38775,,,1000,-1297.9301,103.9858,,,,,,,
38811,,,36,-34.6255,102.1133,,,,,,,
39000,,,,,,5.3938,-783.7573,94.2178,5.3938,1851.1279,44919.7266,35.5771
39500,,,,,,5.0112,-816.9219,89.3064,5.0112,1809.4182,31316.8789,28.1104
39811,,,1000,-1265.5342,102.1744,,,,,,,
39845,,,34,-53.0432,102.7524,,,,,,,
39853,,,8,-12.9904,102.3475,,,,,,,
40000,,,,,,5.2962,-875.5475,103.9043,5.2962,2226.9268,57646.8125,34.5825
40000,-806.9452,805.4,,,,,,,,,,
40500,,,,,,5.0344,-820.2172,99.4544,5.0344,2064.009,40630.1836,49.0049
40853,,,1000,-1465.9793,81.9546,,,,,,,
41000,,,,,,4.8176,-892.9739,98.1343,4.8176,3009.8777,47580.2188,42.9519
41382,,,529,-663.3222,102.283,,,,,,,
41427,,,45,-32.9252,102.3018,,,,,,,
41486,,,59,-46.9525,102.3579,,,,,,,
41500,,,,,,4.9604,-941.8635,111.9109,4.9604,3115.4241,61404.1445,48.2713
41549,,,63,1.2175,101.6718,,,,,,,
41572,,,23,-15.9147,102.35,,,,,,,
42000,,,,,,4.6233,-922.4486,107.0843,4.6233,2507.1406,61015.2305,29.0122
42500,,,,,,4.6334,-964.8722,124.7082,4.6334,2970.301,62247.8906,61.4333
42572,,,1000,-1322.7948,104.6083,,,,,,,
42594,,,22,-1.5848,106.5375,,,,,,,
42609,,,15,-19.5405,106.5018,,,,,,,
42653,,,44,-69.9649,106.3033,,,,,,,
43000,,,,,,4.4224,-960.1969,116.1164,4.4224,3568.3716,86593.3047,82.4299
43500,,,,,,4.7052,-1067.6879,135.3346,4.7052,2943.106,47227.8359,58.4401
43653,,,1000,-1562.9551,104.2491,,,,,,,
44000,,,,,,4.9375,-1096.201,149.7455,4.9375,3247.3721,72723.2969,66.3496
44500,,,,,,4.4723,-1071.301,140.0478,4.4723,3742.3052,94595.875,57.6444
44653,,,1000,-1400.8534,103.5736,,,,,,,
45000,,,,,,4.3936,-1141.6255,142.3058,4.3936,3888.4666,70559.6641,51.4949
45000,243.6049,614.1,,,,,,,,,,
45158,,,505,-631.7823,74.7987,,,,,,,
45500,,,,,,4.4806,-1233.891,138.6223,4.4806,3719.7275,76410.7656,48.2037
46000,,,,,,4.2844,-1231.168,148.8115,4.2844,4993.2246,120810.0547,92.668
46158,,,1000,-1238.9032,102.2119,,,,,,,
46292,,,134,-73.6467,102.3607,,,,,,,
46357,,,65,-52.8003,102.5389,,,,,,,
46500,,,,,,4.2187,-1240.8186,155.1093,4.2187,5984.2041,89204.3828,64.6756
46719,,,362,-379.4826,104.4464,,,,,,,
46936,,,217,-280.6109,105.0745,,,,,,,
47000,,,,,,4.3614,-1291.52,143.7084,4.3614,6483.2627,137989.125,84.5297
47500,,,,,,4.4552,-1453.1158,147.909,4.4552,5109.4941,97252.1016,75.3248
47936,,,1000,-1346.1485,102.1602,,,,,,,
47948,,,12,-16.7642,102.2077,,,,,,,
48000,,,,,,4.1999,-1435.3203,182.8788,4.1999,6962.2256,115678.7656,90.0431
48411,,,463,-392.6819,102.2366,,,,,,,
48500,,,,,,4.5934,-1424.5444,147.7278,4.5934,6820.1699,126227.0312,68.0561
48993,,,582,-689.4786,103.7316,,,,,,,
49000,,,,,,4.2763,-1430.3784,152.46,4.2763,5493.7852,104264.5781,103.2228
49010,,,17,-11.3586,101.5693,,,,,,,
49128,,,118,-53.5933,102.3423,,,,,,,
49187,,,59,-82.006,102.0734,,,,,,,
49500,,,,,,4.3596,-1608.4688,191.7388,4.3596,7376.8086,145432.4062,103.5664
50000,,,,,,4.0876,-1600.3971,179.7472,4.0876,7919.5752,162339.4062,75.0987
50000,249.0179,820.9,,,,,,,,,,
50187,,,1000,-1279.0757,81.7403,,,,,,,
50224,,,37,-42.3506,102.187,,,,,,,
50500,,,,,,4.2153,-1580.2881,159.3719,4.2153,6022.8477,94613.2656,92.711
51000,,,,,,4.1562,-1651.4607,143.2746,4.1562,7990.6309,138963.1406,84.0431
51224,,,1000,-1105.4505,104.2564,,,,,,,
51500,,,,,,4.4772,-1644.2373,195.3658,4.4772,6393.751,143328.5312,99.8158
52000,,,,,,4.0723,-1593.979,175.3764,4.0723,8406.0723,166584.7031,73.1294
52224,,,1000,-1196.1654,105.2447,,,,,,,
52500,,,,,,4.2385,-1723.9069,189.1186,4.2385,6818.1489,136332.8438,81.9275
53000,,,,,,3.9758,-1687.4656,178.9054,3.9758,6189.6582,139632.8281,83.5932
53224,,,1000,-1153.4885,105.4698,,,,,,,
53455,,,231,-194.2797,102.4468,,,,,,,
53500,,,,,,4.1358,-1656.8143,175.6424,4.1358,11566.1797,231281.3125,125.3144
54000,,,,,,4.263,-1687.8907,181.5809,4.263,7224.3311,161741.25,121.4393
54455,,,1000,-1237.6931,103.3922,,,,,,,
54500,,,,,,4.345,-1733.0685,171.0171,4.345,6213.4111,181005.5312,88.6356
55000,,,,,,4.2522,-1793.3962,178.6007,4.2522,6650.541,147793.9219,72.3262
55000,-176.8843,532.3,,,,,,,,,,
55455,,,1000,-998.7842,88.9323,,,,,,,
55500,,,,,,3.9024,-1631.2522,169.3997,3.9024,6972.0615,170399.6094,78.2646
55563,,,108,-90.0348,102.297,,,,,,,
55642,,,79,-104.5088,102.2099,,,,,,,
55662,,,20,3.6504,102.3585,,,,,,,
55697,,,35,-23.2565,102.5365,,,,,,,
55865,,,168,-120.1781,102.4141,,,,,,,
55882,,,17,-11.7472,102.2293,,,,,,,
56000,,,,,,4.2609,-1976.3634,147.9463,4.2609,6699.7856,133692.0156,89.175
56500,,,,,,4.3483,-1788.6489,145.2615,4.3483,6327.2983,142657.9375,56.6508
56882,,,1000,-1148.8448,102.2594,,,,,,,
56894,,,12,-15.6746,102.9494,,,,,,,
56932,,,38,-42.8969,102.5865,,,,,,,
56968,,,36,-29.5552,102.5275,,,,,,,
57000,,,,,,4.2305,-1963.88,194.1063,4.2305,5747.1289,135572.4062,111.2088
57145,,,177,-187.4166,102.4113,,,,,,,
57500,,,,,,4.3337,-2009.8436,168.9244,4.3337,8204.1426,183189.5625,130.905
57513,,,368,-438.278,102.1063,,,,,,,
57637,,,124,-122.5623,102.4281,,,,,,,
57787,,,150,-140.6639,102.0558,,,,,,,
58000,,,,,,4.35,-1953.4795,153.6268,4.35,4824.0903,116520.0078,90.9787
58500,,,,,,4.0194,-1824.2937,151.5797,4.0194,6223.0352,173876.5938,82.8074
58787,,,1000,-1239.0466,101.734,,,,,,,
58886,,,99,-107.6461,102.5208,,,,,,,
