env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
17862,,,20,-18.9131,26.8913,,,,,,,,,,
17881,,,19,-26.7506,25.7831,,,,,,,,,,
17895,,,14,-35.2816,29.0421,,,,,,,,,,
18000,,,,,,4.5033,0.9898,1.3797,-126.6141,11.5326,5.7011,-1.3938,98.1697,463.8162,8.9088
18055,,,160,-224.8189,31.2536,,,,,,,,,,
18226,,,171,-182.5987,31.2384,,,,,,,,,,
18254,,,28,-22.7281,31.3107,,,,,,,,,,
18264,,,10,-14.7575,31.1549,,,,,,,,,,
18302,,,38,-31.4335,30.9788,,,,,,,,,,
18369,,,67,-75.8897,31.3185,,,,,,,,,,
18500,,,,,,4.5347,0.9521,1.3391,-131.9582,11.1005,6.1483,-1.3327,86.9291,506.4138,7.8049
18531,,,162,-151.9009,31.2591,,,,,,,,,,
18565,,,34,-59.0982,31.3176,,,,,,,,,,
18595,,,30,-18.404,31.2833,,,,,,,,,,
19000,,,,,,4.5528,0.9709,1.3594,-138.0986,17.8974,6.0331,-1.3734,88.1435,647.8854,12.1587
19500,,,,,,4.5479,0.9927,1.3659,-141.5143,15.6551,5.9892,-1.3621,107.3256,1034.9717,11.4005
19595,,,1000,-929.4638,28.4611,,,,,,,,,,
19666,,,71,-54.4534,26.9504,,,,,,,,,,
19814,,,148,-153.7475,27.5355,,,,,,,,,,
19839,,,25,-32.3851,31.3392,,,,,,,,,,
19897,,,58,-34.8842,27.369,,,,,,,,,,
19912,,,15,-16.0273,27.1018,,,,,,,,,,
20000,,,,,,4.5358,0.9641,1.3446,-136.9098,12.9079,6.0992,-1.3419,108.0352,792.9083,9.0679
20000,216.83,819.6,,,,,,,,,,,,,
20500,,,,,,4.4977,0.9744,1.3275,-146.8105,12.012,5.9267,-1.2862,141.1986,1108.6346,8.5271
20912,,,1000,-876.5881,26.0018,,,,,,,,,,
