env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
8500,,,,,,0.3153,0.7558,0.1173,-110.6034,14.3675,0.0453,-0.2187,36.8827,413.0946,4.6251
8513,,,101,189.5401,80.2918,,,,,,,,,,
8526,,,13,-3.1993,79.6882,,,,,,,,,,
8597,,,71,57.6852,80.2267,,,,,,,,,,
8617,,,20,0.6989,79.9139,,,,,,,,,,
8638,,,21,-8.3549,80.6901,,,,,,,,,,
8646,,,8,-5.959,80.2682,,,,,,,,,,
8659,,,13,-1.7673,79.6311,,,,,,,,,,
8679,,,20,-2.9614,79.787,,,,,,,,,,
8754,,,75,91.525,80.5307,,,,,,,,,,
8765,,,11,-5.2464,80.5307,,,,,,,,,,
8776,,,11,-5.2944,79.533,,,,,,,,,,
8804,,,28,8.066,80.2052,,,,,,,,,,
8829,,,25,5.0267,80.5688,,,,,,,,,,
8852,,,23,1.3686,79.9305,,,,,,,,,,
8967,,,115,206.6338,80.3483,,,,,,,,,,
8991,,,24,5.95,78.989,,,,,,,,,,
8999,,,8,-6.3929,80.7869,,,,,,,,,,
9000,,,,,,0.3239,0.7704,0.1014,-121.9792,9.0939,0.056,-0.2016,43.1399,467.3203,2.9135
9072,,,73,99.9439,80.3085,,,,,,,,,,
9091,,,19,1.8102,79.9036,,,,,,,,,,
9136,,,45,25.8563,80.5429,,,,,,,,,,
9143,,,7,-5.6215,80.2387,,,,,,,,,,
9157,,,14,-1.656,80.3287,,,,,,,,,,
9168,,,11,-7.6433,79.5629,,,,,,,,,,
9205,,,37,20.1375,80.6607,,,,,,,,,,
9304,,,99,184.5294,80.4374,,,,,,,,,,
9314,,,10,-4.9921,80.2056,,,,,,,,,,
9375,,,61,60.4022,80.2763,,,,,,,,,,
9386,,,11,-4.55,80.594,,,,,,,,,,
9406,,,20,-12.6757,80.0544,,,,,,,,,,
9447,,,41,21.6656,80.1295,,,,,,,,,,
9463,,,16,-10.4758,80.5169,,,,,,,,,,
9500,,,,,,0.3288,0.7601,0.1252,-126.5539,15.5912,0.0481,-0.2163,73.2325,679.4557,4.5235
9522,,,59,57.7738,80.3303,,,,,,,,,,
9534,,,12,-7.0783,80.4643,,,,,,,,,,
9657,,,123,75.429,80.6577,,,,,,,,,,
9664,,,7,-6.8321,79.744,,,,,,,,,,
9685,,,21,-1.028,80.2994,,,,,,,,,,
9704,,,19,-5.3716,80.3579,,,,,,,,,,
9746,,,42,19.62,80.3774,,,,,,,,,,
9808,,,62,48.2101,80.6502,,,,,,,,,,
9841,,,33,12.9407,80.4988,,,,,,,,,,
9858,,,17,-4.7222,79.8556,,,,,,,,,,
9881,,,23,1.838,80.5845,,,,,,,,,,
9900,,,19,-3.8914,80.0125,,,,,,,,,,
9914,,,14,-4.6848,80.2807,,,,,,,,,,
9922,,,8,-6.1596,79.9942,,,,,,,,,,
9933,,,11,-2.247,79.8984,,,,,,,,,,
9940,,,7,-7.4089,79.9426,,,,,,,,,,
9949,,,9,-4.8125,79.9743,,,,,,,,,,
9971,,,22,-4.1209,79.9115,,,,,,,,,,
9990,,,19,-8.5544,80.1271,,,,,,,,,,
10000,,,,,,0.3303,0.7705,0.0993,-136.7383,15.2864,0.0603,-0.1916,74.2903,669.9759,4.5316
10000,17.3446,38.7,,,,,,,,,,,,,
10052,,,62,38.5736,68.7396,,,,,,,,,,
10077,,,25,3.8031,80.1676,,,,,,,,,,
10114,,,37,13.8325,80.6339,,,,,,,,,,
10123,,,9,-4.6651,79.3824,,,,,,,,,,
10216,,,93,129.9065,80.5217,,,,,,,,,,
10242,,,26,1.9839,80.1945,,,,,,,,,,
10259,,,17,-5.1058,80.4496,,,,,,,,,,
10307,,,48,27.4135,80.2536,,,,,,,,,,
10360,,,53,8.5927,80.1874,,,,,,,,,,
10381,,,21,-8.2402,79.5082,,,,,,,,,,
10403,,,22,-12.8816,80.6067,,,,,,,,,,
10424,,,21,-7.1998,80.2421,,,,,,,,,,
10432,,,8,-4.1551,80.571,,,,,,,,,,
10443,,,11,-8.1734,80.2284,,,,,,,,,,
10472,,,29,2.8857,79.9795,,,,,,,,,,
10482,,,10,-4.1824,79.5388,,,,,,,,,,
10500,,,,,,0.3344,0.7706,0.1038,-144.7687,12.6454,0.0606,-0.2011,66.6773,836.6977,4.1929
10504,,,22,-5.4281,80.2789,,,,,,,,,,
10512,,,8,-3.877,80.9122,,,,,,,,,,
10536,,,24,0.7291,79.3387,,,,,,,,,,
10554,,,18,-10.8215,79.9988,,,,,,,,,,
10561,,,7,-5.0642,79.444,,,,,,,,,,
10569,,,8,-3.0136,79.9915,,,,,,,,,,
10576,,,7,-5.5634,80.5287,,,,,,,,,,
10599,,,23,-0.8347,80.0581,,,,,,,,,,
10651,,,52,19.1168,79.7939,,,,,,,,,,
10677,,,26,-2.5984,75.6677,,,,,,,,,,
10696,,,19,-3.8893,80.3133,,,,,,,,,,
10707,,,11,-3.8834,78.6617,,,,,,,,,,
10717,,,10,-5.4397,80.4006,,,,,,,,,,
10730,,,13,-5.9938,80.5476,,,,,,,,,,
10782,,,52,11.4639,80.3981,,,,,,,,,,
10789,,,7,-3.4945,81.0087,,,,,,,,,,
10812,,,23,-4.0828,80.1484,,,,,,,,,,
10985,,,173,214.9459,80.3673,,,,,,,,,,
10993,,,8,-3.9588,79.889,,,,,,,,,,
11000,,,,,,0.3368,0.7709,0.1007,-151.2023,21.6307,0.0635,-0.2023,52.0412,429.0466,5.2668
11030,,,37,12.3179,79.9867,,,,,,,,,,
11038,,,8,-1.8544,80.7402,,,,,,,,,,
11077,,,39,21.1016,80.1934,,,,,,,,,,
11100,,,23,-1.8348,79.5657,,,,,,,,,,
11107,,,7,-5.6905,79.7104,,,,,,,,,,
11131,,,24,-2.5681,79.3162,,,,,,,,,,
