env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
72000,,,0.504,0.9157,0.1846,-351.4468,5.0234,0.0274,-0.364,4.7534,114.5801,2.9652,,,
72000,,,,,,,,,,,,,1000,5066.1984,82.6482
72500,,,0.4967,0.9146,0.1807,-355.0911,6.0388,0.0252,-0.3534,4.7118,335.3065,3.2682,,,
73000,,,0.5059,0.918,0.1836,-359.2752,5.1623,0.0275,-0.3565,4.0592,292.0725,4.2824,,,
73000,,,,,,,,,,,,,1000,5073.0454,83.0085
73500,,,0.4966,0.921,0.1824,-358.4847,5.0957,0.0254,-0.3563,4.4634,237.9877,4.2888,,,
74000,,,0.4848,0.9136,0.1735,-365.4479,4.7741,0.0247,-0.3439,4.1272,111.0955,3.4982,,,
74000,,,,,,,,,,,,,1000,4938.7931,80.2612
74500,,,0.4895,0.9096,0.1744,-359.0974,8.2709,0.0261,-0.3486,6.834,265.2194,3.6042,,,
75000,,,0.4899,0.9074,0.1846,-362.7994,9.0867,0.0238,-0.3647,6.0351,358.5221,8.227,,,
75000,6010.9603,1000.0,,,,,,,,,,,,,
75000,,,,,,,,,,,,,1000,5151.6732,72.01
75500,,,0.4899,0.9089,0.1797,-368.7902,6.5043,0.0249,-0.3576,4.3432,333.2637,3.5779,,,
76000,,,0.5048,0.9205,0.1872,-367.9284,7.5019,0.0273,-0.3702,4.6948,307.162,4.3676,,,
76000,,,,,,,,,,,,,1000,5237.8148,82.3852
76500,,,0.4982,0.9268,0.1811,-373.0438,4.8982,0.0249,-0.3551,3.8941,121.2304,3.0534,,,
77000,,,0.4907,0.9118,0.1692,-374.5172,6.1616,0.0266,-0.3382,4.5929,224.2679,5.3398,,,
77000,,,,,,,,,,,,,1000,5353.2673,85.2641
77500,,,0.4902,0.9122,0.187,-374.1894,5.0821,0.0231,-0.374,4.8316,145.5979,4.4142,,,
78000,,,0.4989,0.9206,0.182,-374.9389,4.7196,0.0265,-0.3633,5.4171,226.7846,4.0162,,,
78000,,,,,,,,,,,,,1000,5242.8735,85.2374
78500,,,0.4881,0.9162,0.1749,-378.9915,6.4604,0.0252,-0.3545,5.0035,204.1572,3.2999,,,
79000,,,0.4977,0.9223,0.1738,-381.9545,6.7481,0.0275,-0.3482,4.156,219.9314,6.5426,,,
79000,,,,,,,,,,,,,1000,3713.2715,81.9227
79500,,,0.4874,0.933,0.1781,-389.9562,5.2379,0.022,-0.3517,4.7478,273.4435,4.6915,,,
80000,,,0.4926,0.9316,0.1796,-385.2509,6.0014,0.0238,-0.351,4.5811,273.6473,4.4763,,,
80000,6288.0694,1000.0,,,,,,,,,,,,,
80000,,,,,,,,,,,,,1000,5347.2928,72.1615
80500,,,0.4993,0.9182,0.1798,-384.1092,5.8403,0.0263,-0.3526,4.426,215.6023,4.6076,,,
81000,,,0.4985,0.9184,0.1901,-387.8041,4.7377,0.0244,-0.369,4.6452,197.252,3.4276,,,
81000,,,,,,,,,,,,,1000,5514.618,80.413
81500,,,0.5058,0.9331,0.1892,-392.4207,6.6077,0.0252,-0.3637,4.0598,200.6571,3.2934,,,
82000,,,0.4973,0.9256,0.1861,-401.1043,6.4526,0.0238,-0.3768,5.1137,240.3094,4.2683,,,
82000,,,,,,,,,,,,,1000,5433.379,80.4079
82500,,,0.4789,0.9247,0.1795,-406.7084,6.3416,0.021,-0.3573,4.965,360.954,4.1782,,,
83000,,,0.4935,0.9287,0.1771,-394.7282,4.7852,0.0248,-0.3626,8.6192,414.2482,5.5173,,,
83000,,,,,,,,,,,,,1000,5491.9527,80.3704
83500,,,0.4897,0.9225,0.183,-391.1387,5.8196,0.0228,-0.3671,8.5813,249.1712,5.2178,,,
84000,,,0.4908,0.9345,0.1816,-405.3729,6.5392,0.0229,-0.3559,4.2573,175.9771,4.8968,,,
84000,,,,,,,,,,,,,1000,5845.5548,79.9591
84500,,,0.4987,0.9285,0.1751,-401.6385,6.0579,0.0266,-0.3458,4.5784,324.6087,6.1164,,,
85000,,,0.4888,0.927,0.1752,-401.7675,6.3256,0.0241,-0.3508,14.1911,659.9632,4.126,,,
85000,6399.821,1000.0,,,,,,,,,,,,,
85000,,,,,,,,,,,,,1000,5809.1474,72.7734
85500,,,0.4905,0.9296,0.1841,-415.4188,5.735,0.023,-0.3581,4.518,318.3834,5.2961,,,
86000,,,0.4796,0.9218,0.1721,-416.6865,5.4786,0.0217,-0.3432,4.9347,220.4434,4.9072,,,
86000,,,,,,,,,,,,,1000,5878.1782,81.4049
86500,,,0.4864,0.9301,0.1789,-404.8036,5.4612,0.0228,-0.3627,3.8516,325.1943,4.8714,,,
87000,,,0.4812,0.9276,0.1763,-415.5961,6.6927,0.022,-0.3503,4.3732,219.1203,7.8304,,,
87000,,,,,,,,,,,,,1000,5921.7302,83.9872
87500,,,0.475,0.9208,0.1741,-418.5046,5.1496,0.022,-0.347,4.5084,367.7824,3.3755,,,
88000,,,0.4833,0.9457,0.1723,-419.0712,5.5326,0.0218,-0.3444,4.0207,183.8749,4.2106,,,
88000,,,,,,,,,,,,,1000,5973.0238,82.0042
88500,,,0.4897,0.9375,0.1744,-422.1616,5.3561,0.0236,-0.345,4.909,287.8604,4.5189,,,
89000,,,0.4756,0.9363,0.1795,-431.9867,5.4172,0.0196,-0.3541,5.0768,472.121,5.5361,,,
89000,,,,,,,,,,,,,1000,6188.1515,80.2912
89500,,,0.4742,0.9318,0.1717,-432.1798,5.1933,0.0204,-0.3413,4.3781,163.043,3.7286,,,
90000,,,0.4786,0.9434,0.1788,-429.7227,5.3089,0.0201,-0.3581,4.9297,319.9275,2.986,,,
90000,6580.3341,1000.0,,,,,,,,,,,,,
90000,,,,,,,,,,,,,1000,6193.7568,72.3862
