env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
35000,,,,,,50,21,3,188.6163,65.7029,21.4286,40.9891,-0.9551,6.5959,164.8718,0.2992
35000,-163.669,1448.1,,,,,,,,,,,,,,
35500,,,,,,50,22,3,176.0012,67.7711,17.3809,42.5914,-0.292,6.0039,65.6508,0.2988
36000,,,,,,50,20,3,177.6801,96.1076,17.7891,72.1855,-1.3655,3.7117,54.5383,0.2937
36500,,,,,,50,24,4,162.2461,29.3097,19.5711,4.5293,-1.136,5.9062,62.4571,0.2052
36588,,,1600,-119.1427,14.406,,,,,,,,,,,
37000,,,,,,50,23,4,181.0037,45.5356,13.4151,22.2121,-1.116,2.3636,85.4501,0.2387
37500,,,,,,50,20,4,184.1145,98.9444,110.9563,75.9355,-21.7014,2.1528,28.0579,0.2309
38000,,,,,,50,50,7,70.4351,25.0594,146.0751,3.1047,-15.0606,4.3002,26.7196,0.4348
38188,,,1600,-91.9775,15.2992,,,,,,,,,,,
38500,,,,,,50,19,3,212.6485,46.82,10.0742,24.3377,4.2775,2.304,33.0204,0.1323
39000,,,,,,50,19,4,219.2018,71.9174,22.0243,50.7589,-1.4375,2.067,26.3913,0.2135
39500,,,,,,50,18,3,267.6064,70.1773,21.2319,48.5235,0.3733,2.0503,12.5827,0.3005
39788,,,1600,-96.3524,15.3709,,,,,,,,,,,
40000,,,,,,50,36,4,131.3426,22.8156,13.6994,2.7208,-0.1357,1.7879,13.0637,0.3365
40000,-175.4559,1600.0,,,,,,,,,,,,,,
40500,,,,,,50,41,5,115.872,45.0659,20.1082,24.1414,-0.483,4.0788,26.7972,0.2429
41000,,,,,,50,24,4,165.5161,41.5052,10.1648,21.3705,-0.729,1.66,31.1193,0.3126
41388,,,1600,-102.9549,14.2897,,,,,,,,,,,
41500,,,,,,50,20,3,207.2688,27.7332,9.7698,7.5638,-0.9129,2.4701,41.3348,0.1928
42000,,,,,,50,21,4,197.1236,66.1835,20.5815,44.5559,0.9473,2.2588,15.8447,0.4843
42500,,,,,,50,50,6,98.5927,22.2762,12.9112,1.6619,-0.8847,1.416,17.29,0.1565
42988,,,1600,-101.8495,15.2676,,,,,,,,,,,
43000,,,,,,50,29,4,151.6832,42.096,42.3397,23.1573,-1.9967,2.2877,58.4841,0.3924
43500,,,,,,50,50,6,90.3127,20.4128,23.2155,0.8644,-10.4277,1.1435,28.7629,0.3482
44000,,,,,,50,30,4,145.5021,42.2762,10.5531,23.393,-0.8835,6.2727,47.3937,0.3424
44500,,,,,,50,23,4,175.7463,41.7471,8.813,24.0704,1.032,1.3967,35.9005,0.4322
44588,,,1600,-86.6007,15.1572,,,,,,,,,,,
45000,,,,,,50,50,7,99.8936,41.5653,20.0114,24.7597,-0.4139,1.2868,38.8175,0.8074
45000,-107.7204,1600.0,,,,,,,,,,,,,,
45500,,,,,,50,24,4,171.1382,22.5494,16.2813,4.8734,-0.3012,2.0691,40.0398,0.411
46000,,,,,,50,50,7,80.7889,16.8991,17.1335,0.7107,-0.2685,2.7058,29.2394,0.7301
46188,,,1600,-60.1795,14.2515,,,,,,,,,,,
46286,,,98,-119.2883,15.1806,,,,,,,,,,,
46500,,,,,,50,40,5,118.9286,37.6752,30.4308,21.0322,3.3564,1.7137,25.0077,0.5959
47000,,,,,,50,25,3,152.7276,36.8321,17.7572,21.034,-0.6571,0.3808,14.4919,0.3095
47500,,,,,,50,19,3,200.5174,56.7952,16.4175,40.8801,-0.3959,0.6742,10.8338,0.507
47886,,,1600,-69.6116,15.13,,,,,,,,,,,
