env_steps,return,length,rank-3,rank-2,rank-1,cond,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
47500,,,50,47,18,119.5143,413.8961,-44.1823,-44.1823,123.2129,19028.0488,3.3914,325.2748,3.7552,,,
48000,,,50,48,19,109.3941,443.5715,-44.1823,-44.1823,150.313,12213.9023,3.5252,222.4915,4.4388,,,
48000,,,,,,,,,,,,,,,1000,3831.734,21.0773
48500,,,50,48,19,110.6905,517.1799,-44.1823,-44.1823,220.576,37804.7344,3.8116,233.6891,5.0872,,,
49000,,,50,45,18,118.9691,467.2387,-44.1823,-44.1823,158.6695,18555.6113,3.4989,286.7632,5.3279,,,
49000,,,,,,,,,,,,,,,1000,3822.5465,20.4121
49500,,,50,49,19,108.4867,481.093,-44.1823,-44.1823,181.4433,19340.5254,2.8206,98.1958,5.501,,,
50000,,,50,48,19,109.7206,459.7078,-44.1823,-44.1823,156.797,14618.3076,2.8065,139.8839,6.3778,,,
50000,5500.5183,1000.0,,,,,,,,,,,,,,,
50000,,,,,,,,,,,,,,,1000,3895.2413,15.2517
50500,,,50,48,19,104.9903,517.5212,-44.1823,-44.1823,216.8263,29435.168,3.3145,221.8302,3.879,,,
51000,,,50,48,19,112.0516,486.1941,-44.1823,-44.1823,174.2141,21489.3281,3.3572,177.4245,3.6114,,,
51000,,,,,,,,,,,,,,,1000,3833.3322,21.256
51500,,,50,49,19,100.146,468.8127,-44.1823,-44.1823,161.3149,24976.127,2.4914,127.34,4.8844,,,
52000,,,50,48,18,113.3231,494.334,-44.1823,-44.1823,180.0756,15957.6455,3.7318,271.6831,5.0324,,,
52000,,,,,,,,,,,,,,,1000,3886.5225,20.6322
52500,,,50,47,18,121.0884,443.3918,-44.1823,-44.1823,122.9892,16856.1855,3.3009,229.3211,3.6706,,,
53000,,,50,46,18,115.6302,477.4359,-44.1822,-44.1823,156.7897,17883.3828,5.4448,164.0497,5.1386,,,
53000,,,,,,,,,,,,,,,1000,3759.8853,21.0761
53500,,,50,46,18,114.4234,418.2014,-44.1823,-44.1823,91.9991,15940.0947,3.6094,211.4164,5.9356,,,
54000,,,50,46,18,120.2974,483.6962,-44.1823,-44.1823,155.2729,21729.4043,4.084,304.826,6.1797,,,
54000,,,,,,,,,,,,,,,1000,4089.6138,21.7113
54500,,,50,47,18,109.309,455.0116,-44.1823,-44.1823,124.9558,16049.1855,2.9625,246.3684,5.3167,,,
55000,,,50,47,18,111.3767,534.1962,-44.1823,-44.1823,199.2652,28053.0176,3.6732,281.3644,3.6929,,,
55000,5836.9591,1000.0,,,,,,,,,,,,,,,
