env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
15500,,,,,,50,50,50,9.0296,0.5033,23.5568,24.1672,-36.668,10.7644,1.3835,7.4871,0.1636
16000,,,,,,50,50,50,9.4503,0.4579,23.927,24.4184,-37.9509,11.4207,3.5785,4.4001,0.132
16057,,,1000,-809.5795,74.7834,,,,,,,,,,,,
16105,,,48,-6.4017,70.6458,,,,,,,,,,,,
16128,,,23,5.509,69.863,,,,,,,,,,,,
16163,,,35,-31.54,71.2449,,,,,,,,,,,,
16189,,,26,-11.0908,73.6161,,,,,,,,,,,,
16240,,,51,-21.8963,74.0879,,,,,,,,,,,,
16264,,,24,-28.7362,72.8458,,,,,,,,,,,,
16279,,,15,-0.0881,73.8226,,,,,,,,,,,,
16322,,,43,-27.2404,74.246,,,,,,,,,,,,
16345,,,23,-7.8056,74.1333,,,,,,,,,,,,
16500,,,,,,50,50,50,8.6288,0.5662,25.5353,25.446,-38.9197,11.8153,7.5012,7.8061,0.162
17000,,,,,,50,50,50,9.1753,0.4516,25.3208,25.4873,-39.8097,7.3759,8.2988,13.868,0.2568
17345,,,1000,-819.7912,73.7733,,,,,,,,,,,,
17363,,,18,-31.0743,71.9506,,,,,,,,,,,,
17500,,,,,,50,50,50,9.3223,0.6763,25.8963,25.6673,-40.2685,12.5961,3.9457,5.7223,0.1725
17520,,,157,-84.3884,74.327,,,,,,,,,,,,
17566,,,46,-29.3477,73.5063,,,,,,,,,,,,
17630,,,64,-34.8184,74.0726,,,,,,,,,,,,
17642,,,12,-11.6578,72.4998,,,,,,,,,,,,
17669,,,27,-24.7369,72.129,,,,,,,,,,,,
18000,,,,,,50,50,50,8.9082,0.4456,26.4648,27.0918,-41.4338,10.4778,4.1593,6.2615,0.1948
18500,,,,,,50,50,50,9.035,0.5222,25.7631,25.5036,-42.1387,11.2017,6.9568,6.8998,0.216
18669,,,1000,-792.7856,74.5634,,,,,,,,,,,,
18691,,,22,-17.8659,72.8001,,,,,,,,,,,,
18712,,,21,-12.4467,72.8672,,,,,,,,,,,,
19000,,,,,,50,50,50,9.0896,0.8433,27.0494,26.5601,-42.2696,16.1525,4.9666,8.9519,0.136
19500,,,,,,50,50,50,9.4868,0.5557,25.3371,25.4013,-43.3364,8.1495,11.4557,15.2092,0.1594
19712,,,1000,-767.8584,74.3791,,,,,,,,,,,,
20000,,,,,,50,50,50,9.5979,0.4324,25.6816,25.2745,-44.0716,8.3289,5.0765,13.2604,0.141
20000,982.2033,1000.0,,,,,,,,,,,,,,,
20500,,,,,,50,50,50,9.6259,0.4628,25.3328,25.1941,-44.954,7.3854,1.3842,8.2568,0.1442
20712,,,1000,-723.4593,52.0204,,,,,,,,,,,,
20847,,,135,-65.5369,70.5169,,,,,,,,,,,,
20938,,,91,-73.6036,70.7965,,,,,,,,,,,,
21000,,,,,,50,50,50,9.2358,0.3694,27.0152,27.3465,-45.7696,8.4932,6.4524,11.6349,0.1443
21028,,,90,-25.1862,69.7954,,,,,,,,,,,,
21060,,,32,2.8977,69.789,,,,,,,,,,,,
21090,,,30,-22.996,70.5178,,,,,,,,,,,,
21147,,,57,-26.2473,70.4095,,,,,,,,,,,,
21159,,,12,-21.9644,68.8557,,,,,,,,,,,,
21193,,,34,-46.1784,70.103,,,,,,,,,,,,
21221,,,28,-19.3609,70.3419,,,,,,,,,,,,
21286,,,65,-44.7438,70.6111,,,,,,,,,,,,
21352,,,66,-86.8979,69.8004,,,,,,,,,,,,
21392,,,40,-19.7907,70.505,,,,,,,,,,,,
21500,,,,,,50,50,50,9.9021,0.4025,26.9293,26.9722,-46.1719,9.672,14.1029,11.8156,0.1714
22000,,,,,,50,50,50,9.4059,0.6791,26.6931,26.4842,-46.6414,13.0299,11.4663,7.9945,0.1688
22392,,,1000,-787.1262,71.1198,,,,,,,,,,,,
22488,,,96,-13.9942,71.0094,,,,,,,,,,,,
22500,,,,,,50,50,49,10.1776,0.5855,26.8513,26.6425,-46.9471,9.7768,1.9041,11.8209,0.2157
22536,,,48,-12.6915,70.3707,,,,,,,,,,,,
22613,,,77,-71.3535,70.4538,,,,,,,,,,,,
22690,,,77,-92.1624,70.7424,,,,,,,,,,,,
22712,,,22,-25.1202,68.0894,,,,,,,,,,,,
22781,,,69,-13.3098,70.5696,,,,,,,,,,,,
22815,,,34,-20.0669,70.132,,,,,,,,,,,,
22831,,,16,-11.9866,69.783,,,,,,,,,,,,
22850,,,19,-25.1801,69.208,,,,,,,,,,,,
22879,,,29,-10.1671,69.6929,,,,,,,,,,,,
23000,,,,,,50,50,49,10.228,0.4328,27.0212,26.9836,-47.9055,9.0549,5.4064,11.8731,0.1856
23026,,,147,-51.6897,70.8781,,,,,,,,,,,,
23044,,,18,-8.3323,68.6525,,,,,,,,,,,,
23075,,,31,-46.8601,70.2415,,,,,,,,,,,,
23091,,,16,-10.0772,69.6626,,,,,,,,,,,,
23111,,,20,-11.4991,68.6295,,,,,,,,,,,,
23136,,,25,-25.2864,70.187,,,,,,,,,,,,
23155,,,19,-10.298,73.5178,,,,,,,,,,,,
23264,,,109,-48.2425,70.4892,,,,,,,,,,,,
23309,,,45,-84.6072,70.2467,,,,,,,,,,,,
23397,,,88,-113.0452,70.4487,,,,,,,,,,,,
23411,,,14,-19.7659,69.8332,,,,,,,,,,,,
23456,,,45,-15.3282,70.5578,,,,,,,,,,,,
23483,,,27,-39.9965,72.3198,,,,,,,,,,,,
23500,,,,,,50,50,49,10.298,0.4656,27.967,28.5656,-48.2934,13.4475,7.581,8.105,0.2768
23535,,,52,-4.9839,71.4489,,,,,,,,,,,,
23604,,,69,-34.1184,70.7596,,,,,,,,,,,,
23630,,,26,-3.2386,70.4946,,,,,,,,,,,,
23696,,,66,-53.9865,70.8075,,,,,,,,,,,,
23754,,,58,3.1817,70.5482,,,,,,,,,,,,
24000,,,,,,50,50,49,10.1032,0.5585,27.7508,27.6883,-48.4897,9.6992,6.8911,15.8145,0.2165
24500,,,,,,50,50,46,10.734,0.5182,27.3697,27.2792,-49.2698,7.0758,7.4989,8.3056,0.2217
24754,,,1000,-651.3148,73.0626,,,,,,,,,,,,
24800,,,46,42.2755,70.5558,,,,,,,,,,,,
24851,,,51,-15.7167,70.5094,,,,,,,,,,,,
24924,,,73,-61.6394,71.0613,,,,,,,,,,,,
24942,,,18,3.4998,69.5477,,,,,,,,,,,,
24975,,,33,-21.1072,68.6317,,,,,,,,,,,,
25000,,,,,,50,50,48,10.6333,0.6785,28.5165,28.3937,-49.1563,15.5261,8.4436,18.1441,0.2912
25000,968.429,1000.0,,,,,,,,,,,,,,,
25040,,,65,-49.2588,10.3435,,,,,,,,,,,,
25077,,,37,-21.1086,69.1116,,,,,,,,,,,,
25126,,,49,-25.9939,70.9835,,,,,,,,,,,,
25500,,,,,,50,50,49,10.4002,0.5987,29.3506,29.2548,-49.8559,10.1715,4.9686,9.3949,0.2522
26000,,,,,,50,50,46,10.891,0.5983,28.273,28.1439,-49.888,9.5875,4.3968,14.0403,0.2625
26126,,,1000,-645.815,72.8497,,,,,,,,,,,,
26264,,,138,-73.409,74.1562,,,,,,,,,,,,
26343,,,79,-66.3662,74.2606,,,,,,,,,,,,
26414,,,71,16.6034,71.6465,,,,,,,,,,,,
26500,,,,,,50,50,47,10.4116,0.6604,29.3412,29.1616,-50.6209,12.3202,16.564,12.4125,0.256
26533,,,119,-118.1111,73.8388,,,,,,,,,,,,
26564,,,31,-15.2685,73.9967,,,,,,,,,,,,
26685,,,121,-109.2734,72.4459,,,,,,,,,,,,
27000,,,,,,50,50,48,10.5344,0.5052,29.5836,29.4272,-51.2209,11.7037,6.876,14.4301,0.2049
27500,,,,,,50,50,46,11.4681,0.7338,29.5822,29.9884,-50.8666,11.5734,3.5336,6.1076,0.2884
27685,,,1000,-582.728,71.1751,,,,,,,,,,,,
27790,,,105,-75.579,71.0008,,,,,,,,,,,,
27837,,,47,-34.6227,69.9749,,,,,,,,,,,,
27882,,,45,-30.4355,70.7589,,,,,,,,,,,,
27924,,,42,-35.9644,70.5535,,,,,,,,,,,,
27947,,,23,-22.277,70.1984,,,,,,,,,,,,
28000,,,,,,50,50,47,10.9078,0.4401,30.055,29.738,-51.615,8.9627,1.8917,17.2771,0.3099
28023,,,76,-23.7521,70.428,,,,,,,,,,,,
28107,,,84,-71.2126,70.5162,,,,,,,,,,,,
28133,,,26,-20.9602,70.7032,,,,,,,,,,,,
28245,,,112,-60.1888,74.0016,,,,,,,,,,,,
