env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
28135,,,23,-28.8131,94.3936,,,,,,,
28256,,,121,-134.7602,94.0686,,,,,,,
28361,,,105,-131.8506,97.2935,,,,,,,
28433,,,72,-87.821,99.9102,,,,,,,
28500,,,,,,0.1204,-2974.1355,164.5334,0.1204,51785.0742,457325.0625,101.1718
29000,,,,,,0.1187,-3136.4844,169.0858,0.1187,48836.3672,517528.4375,138.0172
29433,,,1000,-748.537,94.5598,,,,,,,
29500,,,,,,0.1257,-3428.2839,163.8155,0.1257,62584.4453,505589.8438,153.845
29523,,,90,-83.3208,93.1326,,,,,,,
29585,,,62,-75.0383,93.6526,,,,,,,
30000,,,,,,0.1164,-3357.9006,185.4203,0.1164,51819.2109,671365.5,181.1475
30000,305.5494,910.5,,,,,,,,,,
30500,,,,,,0.121,-3641.2395,179.0481,0.121,65483.9688,518492.125,151.4078
30585,,,1000,-819.8644,74.1287,,,,,,,
30615,,,30,-15.5326,93.0983,,,,,,,
30665,,,50,-51.4457,93.7456,,,,,,,
30685,,,20,-1.6527,93.6025,,,,,,,
30706,,,21,-10.1193,94.1333,,,,,,,
31000,,,,,,0.1182,-3740.9204,182.9684,0.1182,57545.0312,591887.3125,170.1966
31500,,,,,,0.1127,-3935.9099,150.4382,0.1127,56207.3594,635942.9375,136.7957
31706,,,1000,-968.5106,94.9884,,,,,,,
32000,,,,,,0.1111,-4082.0405,197.8283,0.1111,59374.9453,776638.0,250.7699
32011,,,305,-298.9347,99.7978,,,,,,,
32500,,,,,,0.1003,-3996.957,245.5445,0.1003,58476.9609,615629.5,250.9203
33000,,,,,,0.1063,-4063.135,205.8405,0.1063,82451.8984,650375.0625,192.9188
33011,,,1000,-799.3188,93.5713,,,,,,,
33150,,,139,-8.9197,93.4845,,,,,,,
33500,,,,,,0.1092,-4550.6968,169.2597,0.1092,68784.2266,640845.3125,173.8669
34000,,,,,,0.1054,-4516.0332,188.123,0.1054,64753.2734,913605.0,196.7077
34150,,,1000,-720.4658,94.4507,,,,,,,
