env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
25500,,,,,,,,,,,,,500,-5006.8922,37.9576
26000,,,1.2283,6.1706,0.4697,366.1295,12.6378,77.1916,-0.4559,200.4693,3791.2043,1.7124,,,
26000,,,,,,,,,,,,,500,-4623.1655,37.2793
26500,,,1.2254,6.3434,0.4504,371.1074,12.3778,82.2556,-0.4677,130.4807,7421.708,2.1398,,,
26500,,,,,,,,,,,,,500,-2340.4395,37.2702
27000,,,1.2195,6.3773,0.452,368.5724,15.0188,78.8146,-0.4615,176.3216,6354.1255,2.7695,,,
27000,,,,,,,,,,,,,500,-2584.2682,38.5602
27500,,,1.1984,6.1406,0.4464,375.3236,10.767,76.1625,-0.4485,100.2334,4732.2227,2.4658,,,
27500,,,,,,,,,,,,,500,-2865.3063,36.6597
28000,,,1.2098,6.3281,0.4488,378.8734,19.5749,82.7735,-0.4523,107.9214,2510.9873,2.2979,,,
28000,,,,,,,,,,,,,500,-2629.7986,37.1063
28500,,,1.2053,6.6065,0.4528,370.6203,17.0251,91.9031,-0.4462,124.4914,6719.0308,2.626,,,
28500,,,,,,,,,,,,,500,-2131.1913,37.4246
29000,,,1.2098,6.1036,0.447,368.9674,21.7037,69.9486,-0.4515,216.6935,3525.6299,2.24,,,
29000,,,,,,,,,,,,,500,-971.6496,37.8576
29500,,,1.1874,5.9429,0.436,366.4779,14.2739,71.021,-0.4329,311.149,4486.6377,2.5891,,,
29500,,,,,,,,,,,,,500,-1240.9734,37.0236
30000,,,1.191,6.0158,0.452,373.0396,25.1011,72.3052,-0.4537,84.4582,3202.073,4.2133,,,
30000,-5701.8494,500.0,,,,,,,,,,,,,
30000,,,,,,,,,,,,,500,-2819.6428,31.8982
30500,,,1.2154,6.4468,0.4594,380.2156,17.0355,81.5905,-0.4712,70.3889,2298.7522,2.4917,,,
30500,,,,,,,,,,,,,500,-1765.8568,37.6268
31000,,,1.2195,6.4632,0.4693,368.8019,26.0076,84.8417,-0.4506,61.4855,3991.6152,4.2964,,,
31000,,,,,,,,,,,,,500,-2283.9178,36.3376
31500,,,1.2273,6.5585,0.4671,370.0998,12.0145,86.078,-0.454,88.6124,5047.0234,2.2863,,,
31500,,,,,,,,,,,,,500,-1477.2228,37.1234
32000,,,1.1945,6.1778,0.4561,366.7495,13.2716,75.3392,-0.4616,65.0401,4534.1094,3.3679,,,
32000,,,,,,,,,,,,,500,-3969.5575,37.3661
32500,,,1.197,5.7981,0.4513,366.8253,21.1256,71.6935,-0.4428,128.1771,3625.8252,3.9342,,,
32500,,,,,,,,,,,,,500,-1052.4415,36.9217
33000,,,1.1594,6.2317,0.4367,371.6901,15.8846,80.2396,-0.4452,175.4359,5235.3999,2.3266,,,
33000,,,,,,,,,,,,,500,-2596.1162,37.354
33500,,,1.1676,5.6595,0.4417,366.9979,15.1742,63.6396,-0.4274,61.398,5089.7344,2.7615,,,
33500,,,,,,,,,,,,,500,-1860.7404,37.6181
34000,,,1.1808,5.9767,0.447,366.237,16.3212,73.2122,-0.444,74.9865,4975.1846,3.5915,,,
34000,,,,,,,,,,,,,500,-3904.8766,38.9134
34500,,,1.1638,5.96,0.4451,361.2051,11.83,69.9762,-0.4441,195.0573,8934.376,2.2358,,,
34500,,,,,,,,,,,,,500,-2306.0001,38.8507
35000,,,1.1449,5.8177,0.4357,356.8744,14.266,70.6578,-0.4413,82.0444,7766.582,3.6312,,,
35000,-4975.7311,500.0,,,,,,,,,,,,,
35000,,,,,,,,,,,,,500,-2338.1834,33.2285
