env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
50500,,,0.353,0.8047,0.1279,-158.714,4.3705,0.0552,-0.2587,2.7679,191.5391,3.1708,,,
51000,,,0.3581,0.808,0.131,-162.6768,4.2002,0.0558,-0.2647,2.7147,108.9186,2.3228,,,
51000,,,,,,,,,,,,,1000,2281.6673,77.7592
51500,,,0.351,0.806,0.1253,-160.5143,3.7777,0.0557,-0.2581,2.7586,139.0004,3.1049,,,
52000,,,0.3539,0.8022,0.1259,-165.8285,6.544,0.0565,-0.252,2.9231,126.9554,3.814,,,
52000,,,,,,,,,,,,,1000,2355.4965,77.1628
52500,,,0.3525,0.8129,0.1149,-165.5564,4.3929,0.0615,-0.2279,2.7038,129.3852,2.9721,,,
53000,,,0.3515,0.8156,0.1263,-166.1846,4.3346,0.0551,-0.2561,3.1446,124.5995,3.0023,,,
53000,,,,,,,,,,,,,1000,2391.4819,78.0551
53500,,,0.3549,0.82,0.1244,-172.8499,3.9435,0.0572,-0.2445,5.3709,204.1047,2.2597,,,
54000,,,0.3541,0.8205,0.1288,-169.5622,3.9057,0.055,-0.2551,3.4917,187.1111,3.2508,,,
54000,,,,,,,,,,,,,1000,2651.589,78.6577
54500,,,0.351,0.8167,0.1218,-173.5735,4.2795,0.057,-0.2383,2.7665,142.9995,2.9831,,,
55000,,,0.3542,0.8236,0.1257,-176.9904,5.7343,0.0563,-0.2477,6.4922,249.5426,5.9909,,,
55000,3740.2578,1000.0,,,,,,,,,,,,,
55000,,,,,,,,,,,,,1000,2489.9231,67.2985
55500,,,0.3431,0.8078,0.2163,-177.9004,3.9403,0.0208,-0.2977,2.4605,117.8539,3.2366,,,
56000,,,0.3467,0.8218,0.1092,-176.6523,4.7088,0.0612,-0.2151,3.2234,191.7811,3.7575,,,
56000,,,,,,,,,,,,,1000,2540.3064,77.7457
56500,,,0.351,0.8254,0.1195,-175.9445,4.127,0.0577,-0.2404,3.2677,210.8594,3.7049,,,
57000,,,0.3439,0.8197,0.1176,-183.8624,4.386,0.0549,-0.2343,3.6878,129.6138,3.0339,,,
57000,,,,,,,,,,,,,1000,2504.6375,78.5117
57500,,,0.3429,0.8287,0.1186,-186.4497,4.302,0.0545,-0.2368,4.1504,297.1256,4.3925,,,
58000,,,0.3457,0.8137,0.1186,-182.8863,4.9324,0.0561,-0.2415,3.5324,168.4016,3.24,,,
58000,,,,,,,,,,,,,1000,2639.828,77.7015
58500,,,0.351,0.8247,0.1265,-186.316,3.4543,0.0541,-0.2494,2.8668,217.5475,2.6631,,,
59000,,,0.3494,0.8314,0.1204,-191.6128,4.1107,0.0567,-0.2374,4.2126,163.1269,2.3788,,,
59000,,,,,,,,,,,,,1000,2731.2155,79.2917
59500,,,0.3478,0.8308,0.1249,-194.4185,4.9062,0.0534,-0.2482,2.5209,109.6596,2.2829,,,
60000,,,0.3507,0.8333,0.1163,-198.0499,4.6425,0.0593,-0.2274,3.624,192.2771,4.0251,,,
60000,3915.9681,1000.0,,,,,,,,,,,,,
60000,,,,,,,,,,,,,1000,2949.7058,65.8389
60500,,,0.3496,0.8417,0.1199,-194.8283,4.5949,0.0569,-0.2332,2.5185,90.4977,3.8068,,,
61000,,,0.3462,0.8282,0.0927,-200.1584,3.4548,0.0692,-0.176,4.342,218.838,2.8056,,,
61000,,,,,,,,,,,,,1000,2985.8729,78.5066
61500,,,0.3407,0.8269,0.1177,-201.755,4.1319,0.0537,-0.2412,2.5154,60.422,4.1529,,,
62000,,,0.3526,0.8338,0.1248,-196.8527,4.2802,0.0559,-0.2494,2.7437,177.1679,3.4989,,,
62000,,,,,,,,,,,,,1000,3058.5846,78.5664
62500,,,0.3467,0.8381,0.1199,-200.8696,3.8863,0.0554,-0.2454,3.3892,192.014,2.9927,,,
63000,,,0.3415,0.838,0.1161,-200.4357,3.8981,0.0547,-0.2319,2.736,159.5096,2.7888,,,
63000,,,,,,,,,,,,,1000,3095.2524,79.6267
63500,,,0.3513,0.8478,0.1182,-201.6675,4.5184,0.0583,-0.2332,2.8945,234.4427,3.1977,,,
64000,,,0.3553,0.8365,0.1197,-205.3699,4.165,0.0599,-0.2442,3.1366,232.2075,2.1205,,,
64000,,,,,,,,,,,,,1000,3200.1947,78.666
64500,,,0.3517,0.8369,0.1212,-214.3312,3.8459,0.0567,-0.2377,2.4602,134.0862,2.682,,,
65000,,,0.3424,0.8386,0.1116,-212.3848,4.5435,0.0577,-0.2301,3.5485,152.3026,5.3932,,,
65000,4411.5526,1000.0,,,,,,,,,,,,,
65000,,,,,,,,,,,,,1000,3330.3035,65.3713
65500,,,0.3463,0.8449,0.1156,-220.1532,4.6203,0.0573,-0.2286,3.0187,239.7209,2.6847,,,
66000,,,0.3499,0.8534,0.1216,-217.2397,3.6961,0.0559,-0.2306,2.9599,166.6469,2.0697,,,
66000,,,,,,,,,,,,,1000,3299.9785,76.1141
66500,,,0.3476,0.838,0.3542,-216.262,4.2566,0.0096,-0.6487,3.4216,180.1822,2.6147,,,
67000,,,0.3459,0.8552,0.1211,-213.6739,3.8331,0.0546,-0.2376,3.4935,218.8617,4.294,,,
67000,,,,,,,,,,,,,1000,3334.3911,78.4998
67500,,,0.3458,0.8463,0.1213,-220.2954,5.6687,0.0543,-0.2423,3.0981,145.5704,3.9659,,,
68000,,,0.336,0.8474,0.1111,-222.663,3.8561,0.0548,-0.2129,3.2571,158.6658,3.1891,,,
68000,,,,,,,,,,,,,1000,3284.1408,80.5457
