env_steps,return,length,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
29000,,,,,,,,,,,,,,1000,437.667,31.0155
29500,,,50,50,12,42.4866,-85.8529,3.6299,0.6952,-4.2196,2.6728,95.914,2.0539,,,
30000,,,50,50,12,42.7275,-86.1632,2.4626,0.6958,-4.1826,2.354,52.0285,1.7785,,,
30000,2113.4325,1000.0,,,,,,,,,,,,,,
30000,,,,,,,,,,,,,,1000,482.1775,27.9126
30500,,,50,50,12,41.6721,-89.9791,2.9628,0.6683,-4.2713,2.801,72.3241,1.7843,,,
31000,,,50,50,13,39.0353,-84.4471,3.0217,0.7453,-4.33,2.4159,44.9301,2.3917,,,
31000,,,,,,,,,,,,,,1000,376.6847,30.9901
31500,,,50,50,13,40.5965,-88.3959,2.4781,0.7139,-4.458,2.0428,20.4976,1.7177,,,
32000,,,50,50,13,40.6487,-89.9803,2.8842,0.6867,-4.1544,3.1992,53.3562,2.2001,,,
32000,,,,,,,,,,,,,,1000,497.7453,31.1387
32500,,,50,50,13,41.0957,-94.2649,3.5257,0.7834,-4.2654,2.546,29.4672,1.8283,,,
33000,,,50,50,13,40.1412,-90.4702,3.4462,0.6448,-3.6778,2.7991,70.2342,2.5774,,,
33000,,,,,,,,,,,,,,1000,465.3105,31.0051
33500,,,50,50,13,37.5844,-94.3907,3.0047,0.7865,-4.9327,2.6894,40.0612,3.155,,,
34000,,,50,50,14,37.9883,-97.989,3.5343,0.7538,-4.0509,3.0903,58.7759,2.3445,,,
34000,,,,,,,,,,,,,,1000,1041.2774,32.1246
34500,,,50,50,14,34.614,-98.1445,2.3893,0.6614,-4.452,2.6673,34.7974,1.7942,,,
35000,,,50,50,14,37.3595,-99.2953,2.8935,0.8052,-4.3675,3.0565,28.6612,2.2977,,,
35000,2144.4226,1000.0,,,,,,,,,,,,,,
35000,,,,,,,,,,,,,,1000,576.2954,28.8655
35500,,,50,50,13,40.5548,-99.0568,2.3494,0.7506,-4.4696,3.098,67.554,1.8,,,
