env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
38000,,,,,,,,,,,,1000,510.5941,94.4009
38500,,,1.0002,0.7523,0.0955,-72.2699,6.8922,0.3985,4.9026,27.7867,1.353,,,
39000,,,0.9975,0.7564,0.0937,-72.8094,8.5099,0.3874,7.4254,34.2381,0.9529,,,
39000,,,,,,,,,,,,1000,1075.3356,94.083
39500,,,0.9804,0.7438,0.0932,-67.3187,8.4089,0.3855,4.2686,20.0347,2.0071,,,
40000,,,0.998,0.7505,0.0953,-73.9549,8.1937,0.3995,6.4229,39.5982,1.8619,,,
40000,2186.6403,1000.0,,,,,,,,,,,,
40000,,,,,,,,,,,,1000,17.6374,77.681
40500,,,1.0132,0.7596,0.0969,-77.5542,9.6654,0.4112,5.7108,26.492,1.3883,,,
41000,,,0.9649,0.7577,0.0914,-76.9878,7.2897,0.3468,4.7411,25.7282,2.1867,,,
41000,,,,,,,,,,,,1000,1222.2675,93.1199
41500,,,0.9933,0.7647,0.095,-79.2004,7.8986,0.386,5.7416,37.4383,1.6812,,,
42000,,,0.9819,0.7468,0.0921,-76.8095,8.159,0.3813,5.3377,34.7733,2.8957,,,
42000,,,,,,,,,,,,1000,1428.9806,92.8588
42500,,,0.9737,0.75,0.0917,-78.697,8.8564,0.3688,10.0319,66.833,2.2694,,,
43000,,,0.9803,0.7592,0.0922,-86.3772,10.325,0.3677,5.0786,70.7028,1.8694,,,
43000,,,,,,,,,,,,1000,1633.4686,92.7627
43500,,,0.9968,0.7605,0.0943,-85.0454,10.3874,0.3926,7.4349,41.0809,2.8771,,,
44000,,,0.998,0.7677,0.0955,-87.9784,10.763,0.3879,5.7296,57.843,2.8663,,,
44000,,,,,,,,,,,,1000,515.4658,92.6449
44500,,,1.0081,0.763,0.0967,-89.0193,8.0441,0.4028,5.9144,36.8422,1.1792,,,
45000,,,0.972,0.7619,0.0918,-87.0222,9.0132,0.3634,5.9567,42.9696,3.0015,,,
45000,2357.0982,1000.0,,,,,,,,,,,,
45000,,,,,,,,,,,,1000,1666.3818,77.4978
45500,,,0.9743,0.7632,0.0926,-94.454,8.9078,0.3618,6.8428,40.7158,2.0475,,,
46000,,,0.9853,0.7645,0.0923,-89.5124,9.8439,0.3755,6.691,43.9689,2.7675,,,
46000,,,,,,,,,,,,1000,1297.0031,92.6664
46500,,,0.9778,0.7582,0.0927,-93.1415,8.7787,0.3655,3.4873,32.9999,2.1287,,,
47000,,,0.9542,0.7676,0.0894,-92.7931,11.5242,0.3341,4.2704,46.1021,2.1153,,,
47000,,,,,,,,,,,,1000,1590.2278,92.8245
47500,,,0.9851,0.7746,0.0946,-95.6083,10.6659,0.3658,4.2615,40.5893,2.8992,,,
48000,,,0.9703,0.759,0.09,-93.1771,7.8782,0.3717,4.1572,30.3457,1.6374,,,
48000,,,,,,,,,,,,1000,1575.7162,93.5112
48500,,,0.9779,0.7668,0.0928,-97.8339,7.7547,0.3637,7.638,79.3366,1.1087,,,
49000,,,0.9873,0.771,0.0927,-101.2709,7.764,0.3672,3.7613,19.1904,1.8839,,,
49000,,,,,,,,,,,,1000,1643.7434,97.4358
49500,,,0.9813,0.7825,0.0929,-97.7669,9.9013,0.3521,3.8942,37.6561,1.4003,,,
50000,,,0.9927,0.7772,0.0941,-102.9808,10.0492,0.3823,4.5164,55.2862,1.1795,,,
50000,2400.306,1000.0,,,,,,,,,,,,
50000,,,,,,,,,,,,1000,1851.4888,77.5401
50500,,,0.9765,0.7795,0.0924,-105.4533,9.658,0.3582,4.5628,28.2252,2.2136,,,
51000,,,1.0071,0.7764,0.0952,-109.3444,9.8744,0.4039,4.169,76.3306,1.9534,,,
51000,,,,,,,,,,,,1000,1776.7985,97.4221
51500,,,0.9844,0.7816,0.0923,-106.2316,8.2354,0.3605,3.988,38.1143,1.9474,,,
52000,,,0.9811,0.7764,0.0947,-105.6757,8.614,0.3509,6.3324,58.492,1.9342,,,
52000,,,,,,,,,,,,1000,777.6978,96.0311
52500,,,0.9817,0.7773,0.0936,-105.6006,10.6728,0.3601,3.906,26.5472,2.6473,,,
53000,,,1.0002,0.7904,0.0934,-111.944,8.7164,0.3858,4.0701,78.4938,1.1912,,,
53000,,,,,,,,,,,,1000,1239.5344,94.2629
53500,,,0.9619,0.7844,0.0921,-109.5846,8.4093,0.3209,3.4135,49.3903,1.3783,,,
54000,,,0.9583,0.7856,0.0904,-116.0287,7.8189,0.3278,3.5431,18.2074,1.6089,,,
54000,,,,,,,,,,,,1000,1868.6816,98.0298
54500,,,0.9671,0.7892,0.0913,-107.2771,8.9771,0.3328,5.9365,53.8402,2.0622,,,
55000,,,0.9838,0.7813,0.094,-112.4892,13.343,0.3562,5.2368,27.1704,1.8498,,,
55000,2523.3359,1000.0,,,,,,,,,,,,
55000,,,,,,,,,,,,1000,1774.8541,80.708
55500,,,0.9744,0.79,0.0917,-113.581,8.5481,0.3455,4.6385,32.0589,2.3176,,,
56000,,,1.0115,0.7919,0.0963,-117.6788,9.2538,0.3897,6.0031,60.6679,1.9912,,,
56000,,,,,,,,,,,,1000,1820.8049,93.0772
56500,,,1.0067,0.7948,0.0956,-116.3588,8.2293,0.389,7.7705,47.8399,1.7906,,,
57000,,,1.0102,0.793,0.0967,-122.8822,9.1425,0.376,5.235,44.4897,1.6541,,,
57000,,,,,,,,,,,,1000,2002.6796,95.58
57500,,,1.0034,0.7999,0.0967,-118.6431,7.8275,0.3734,4.8801,27.6695,1.5414,,,
58000,,,0.9691,0.7865,0.0917,-118.7498,8.8966,0.3534,5.3833,61.2866,1.2916,,,
58000,,,,,,,,,,,,1000,1791.1807,96.3754
58500,,,1.0262,0.7989,0.0991,-121.0066,10.9951,0.4,4.7832,41.8285,1.7451,,,
59000,,,0.9994,0.7959,0.0965,-123.6213,8.6343,0.3645,5.6667,39.8809,0.9991,,,
59000,,,,,,,,,,,,1000,2010.3646,94.9565
59500,,,1.0243,0.7947,0.0992,-129.7425,10.8303,0.3937,4.8344,42.0082,1.7776,,,
60000,,,1.0117,0.7977,0.0975,-129.2588,8.9911,0.3773,5.047,31.9592,1.8406,,,
60000,2505.2304,1000.0,,,,,,,,,,,,
60000,,,,,,,,,,,,1000,2011.473,77.492
60500,,,0.9921,0.796,0.0947,-127.7582,9.9518,0.372,7.5961,43.298,1.5291,,,
61000,,,1.0201,0.792,0.0974,-134.3008,8.958,0.4117,4.3681,88.0307,1.6428,,,
61000,,,,,,,,,,,,1000,626.0335,97.6307
61500,,,0.9953,0.7982,0.0935,-123.8565,10.2596,0.3604,4.5939,46.5624,2.0982,,,
62000,,,1.0119,0.797,0.0972,-122.5481,7.2606,0.39,4.2806,78.1102,1.0803,,,
62000,,,,,,,,,,,,1000,2090.8472,98.1839
62500,,,1.0093,0.7886,0.0965,-131.6603,10.1654,0.3857,4.5502,25.3545,1.8949,,,
63000,,,1.0256,0.8068,0.0988,-126.5407,8.7304,0.3911,3.832,50.6243,2.3095,,,
63000,,,,,,,,,,,,1000,1999.7772,94.5982
63500,,,1.0073,0.7976,0.0967,-129.4853,8.4441,0.3779,6.0305,38.481,2.0165,,,
64000,,,1.0032,0.8044,0.0979,-130.9193,7.8906,0.3671,4.0448,55.6388,1.5104,,,
64000,,,,,,,,,,,,1000,1065.2173,94.0686
64500,,,1.063,0.8001,0.1049,-135.2803,9.8261,0.4473,5.675,54.8763,1.6036,,,
65000,,,1.016,0.8104,0.0965,-135.4333,8.8307,0.3714,4.9346,59.5812,1.4783,,,
65000,2733.1912,1000.0,,,,,,,,,,,,
65000,,,,,,,,,,,,1000,2106.4624,78.4796
65500,,,1.0131,0.8036,0.0972,-136.2028,9.3293,0.37,5.1043,52.1584,2.908,,,
66000,,,1.0012,0.8057,0.0951,-139.9977,9.0678,0.3651,4.1609,34.5406,2.6634,,,
66000,,,,,,,,,,,,1000,2137.2979,97.9419
66500,,,1.0094,0.8124,0.0958,-136.3237,8.9106,0.3623,4.2917,31.9135,2.1589,,,
67000,,,1.0309,0.8062,0.1006,-138.1768,10.9235,0.3957,5.6414,52.0803,2.1603,,,
67000,,,,,,,,,,,,1000,2158.315,96.1096
67500,,,1.0353,0.8008,0.0998,-136.0477,8.7166,0.4159,5.4374,40.1612,1.9827,,,
68000,,,1.0408,0.7998,0.1013,-139.121,10.9971,0.4205,3.783,21.8496,1.9782,,,
68000,,,,,,,,,,,,1000,790.4706,96.1918
68500,,,1.0238,0.8088,0.0988,-140.1169,11.5515,0.3908,5.0069,39.3046,2.3261,,,
69000,,,1.028,0.8157,0.0998,-142.9831,8.5405,0.3904,5.3421,71.1514,2.3517,,,
69000,,,,,,,,,,,,1000,2226.2587,94.0197
69500,,,1.0146,0.8181,0.0972,-141.4417,8.8582,0.3672,6.196,66.7998,1.7862,,,
70000,,,1.047,0.8141,0.1018,-148.2873,10.313,0.4169,6.7806,43.031,3.3664,,,
70000,2863.2915,1000.0,,,,,,,,,,,,
70000,,,,,,,,,,,,1000,2299.9943,81.839
70500,,,1.0142,0.8103,0.0975,-145.1275,11.3668,0.3658,4.5061,40.7763,0.9696,,,
71000,,,1.0643,0.8032,0.1043,-145.3056,9.7573,0.4566,4.5026,47.7749,1.096,,,
71000,,,,,,,,,,,,1000,2228.4633,96.165
71500,,,1.0239,0.8248,0.098,-143.7141,8.8451,0.3791,4.6656,32.917,1.8005,,,
72000,,,1.0396,0.815,0.1015,-151.7649,11.3871,0.3983,4.497,37.558,2.4719,,,
72000,,,,,,,,,,,,1000,2450.4591,94.534
72500,,,1.0231,0.8127,0.0987,-144.7653,10.4835,0.386,3.8752,23.7352,1.4979,,,
73000,,,1.0595,0.8219,0.1041,-151.5494,11.3071,0.4139,4.6396,67.161,1.604,,,
73000,,,,,,,,,,,,1000,2437.5441,97.697
73500,,,1.0528,0.8184,0.1016,-154.0164,9.1011,0.413,5.0434,79.6389,1.7462,,,
74000,,,1.0227,0.818,0.0992,-152.5652,9.3201,0.3797,4.1423,24.9363,2.2052,,,
74000,,,,,,,,,,,,1000,2415.4564,96.239
74500,,,1.0402,0.8249,0.1004,-154.9148,9.8548,0.3986,4.0491,44.9842,1.5787,,,
75000,,,1.0281,0.8199,0.0998,-153.9044,10.1496,0.3952,3.2924,44.0346,2.2074,,,
75000,2912.8465,1000.0,,,,,,,,,,,,
75000,,,,,,,,,,,,1000,2487.1945,77.5219
75500,,,1.0496,0.8275,0.1021,-155.3198,9.3761,0.4137,5.8499,80.3765,1.6765,,,
76000,,,1.0419,0.8262,0.1016,-154.6861,10.6666,0.4077,4.2631,36.8666,1.8209,,,
76000,,,,,,,,,,,,1000,2708.1876,92.8102
76500,,,1.055,0.8307,0.1033,-157.701,9.4766,0.4138,3.6508,26.9103,1.9373,,,
77000,,,1.0386,0.8305,0.1002,-157.6802,10.6844,0.3879,5.6272,54.5925,3.2659,,,
77000,,,,,,,,,,,,1000,2554.9658,92.8925
77500,,,1.047,0.8264,0.1012,-159.7755,9.5858,0.4131,7.4702,65.1791,1.5794,,,
78000,,,1.0511,0.8283,0.1036,-162.9853,10.0224,0.4053,5.2768,29.6234,1.9491,,,
78000,,,,,,,,,,,,1000,2768.3774,93.0965
78500,,,1.0644,0.8256,0.1041,-161.6257,9.5419,0.4345,4.9237,86.8531,2.0727,,,
79000,,,1.0373,0.8263,0.1012,-163.1569,11.057,0.396,3.5783,57.2293,1.5323,,,
79000,,,,,,,,,,,,1000,2700.8435,92.8086
79500,,,1.0931,0.8397,0.1087,-167.5342,10.5783,0.4528,4.9156,62.2348,2.83,,,
80000,,,1.0562,0.8307,0.1018,-165.8433,9.6946,0.4095,4.7323,67.2855,1.9663,,,
80000,3205.5545,1000.0,,,,,,,,,,,,
80000,,,,,,,,,,,,1000,2815.9259,78.8747
80500,,,1.0634,0.8304,0.1043,-170.0015,10.5833,0.4149,4.3237,44.3465,1.9339,,,
81000,,,1.0696,0.8314,0.1037,-169.9225,11.433,0.4258,4.0985,19.4641,2.3367,,,
81000,,,,,,,,,,,,1000,818.9877,92.5401
81500,,,1.0716,0.8225,0.1052,-166.5461,9.5917,0.4437,4.7049,52.2446,2.0673,,,
82000,,,1.0613,0.8228,0.104,-175.8542,9.3741,0.4217,4.2012,30.5519,1.8056,,,
82000,,,,,,,,,,,,1000,2845.821,92.7015
82500,,,1.0831,0.8267,0.1065,-176.3018,12.2511,0.466,4.406,56.2209,2.2181,,,
83000,,,1.053,0.8218,0.1036,-176.7859,9.6339,0.4027,4.7869,60.1082,2.7989,,,
83000,,,,,,,,,,,,1000,2931.4961,92.5606
83500,,,1.0464,0.8284,0.1012,-169.9778,11.2239,0.4123,5.1068,96.4498,1.9326,,,
