env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
9221,,,65,315.461,7.1692,,,,,,,,,,,
9292,,,71,379.9414,7.5546,,,,,,,,,,,
9338,,,46,252.891,7.1423,,,,,,,,,,,
9403,,,65,350.2413,8.1494,,,,,,,,,,,
9449,,,46,214.3683,7.9199,,,,,,,,,,,
9481,,,32,157.5217,7.4373,,,,,,,,,,,
9500,,,,,,50,50,14,19.1896,-224.825,22.296,0.2289,-1.7025,125.319,417.2553,2.7881
9512,,,31,140.8993,7.9001,,,,,,,,,,,
9546,,,34,175.0189,7.2834,,,,,,,,,,,
9574,,,28,142.713,6.3193,,,,,,,,,,,
9615,,,41,186.1325,6.2833,,,,,,,,,,,
9645,,,30,151.5583,7.2006,,,,,,,,,,,
9704,,,59,294.9792,7.2228,,,,,,,,,,,
9745,,,41,203.9213,8.9303,,,,,,,,,,,
9785,,,40,193.8119,8.4703,,,,,,,,,,,
9803,,,18,86.0406,7.1856,,,,,,,,,,,
9839,,,36,167.8604,6.6755,,,,,,,,,,,
9858,,,19,91.4269,7.2165,,,,,,,,,,,
9904,,,46,230.1757,6.8731,,,,,,,,,,,
9980,,,76,349.8627,8.2894,,,,,,,,,,,
10000,,,,,,50,50,9,20.3734,-249.6829,19.3074,0.2083,-1.5996,124.8343,484.0118,9.5863
10000,180.7517,34.8,,,,,,,,,,,,,,
10001,,,21,103.3635,6.8051,,,,,,,,,,,
10023,,,22,109.6298,6.0732,,,,,,,,,,,
10071,,,48,248.8036,6.3035,,,,,,,,,,,
10096,,,25,124.0956,6.3751,,,,,,,,,,,
10119,,,23,113.4933,7.0061,,,,,,,,,,,
10143,,,24,119.6446,9.6364,,,,,,,,,,,
10212,,,69,323.8347,7.3715,,,,,,,,,,,
10285,,,73,348.2061,7.3206,,,,,,,,,,,
10314,,,29,145.4428,6.2365,,,,,,,,,,,
10355,,,41,196.0729,6.217,,,,,,,,,,,
10393,,,38,199.0039,6.39,,,,,,,,,,,
10417,,,24,120.3856,6.3451,,,,,,,,,,,
10451,,,34,169.9783,7.1639,,,,,,,,,,,
10474,,,23,114.107,7.7641,,,,,,,,,,,
10500,,,,,,50,50,12,19.5619,-262.2364,17.4374,0.2248,-1.5395,159.4363,311.2396,4.4492
10535,,,61,281.7734,8.9234,,,,,,,,,,,
10577,,,42,221.9162,7.0458,,,,,,,,,,,
10625,,,48,261.6405,10.2925,,,,,,,,,,,
10680,,,55,294.6619,7.2474,,,,,,,,,,,
10738,,,58,293.4716,7.7291,,,,,,,,,,,
10773,,,35,174.7017,6.5489,,,,,,,,,,,
10797,,,24,122.5193,6.1501,,,,,,,,,,,
10855,,,58,294.318,7.0214,,,,,,,,,,,
10911,,,56,303.3473,7.2232,,,,,,,,,,,
10930,,,19,92.1752,10.3912,,,,,,,,,,,
10948,,,18,86.0929,8.3236,,,,,,,,,,,
10973,,,25,128.709,8.4398,,,,,,,,,,,
10990,,,17,80.9209,6.4497,,,,,,,,,,,
11000,,,,,,50,50,14,19.1113,-270.1152,29.1849,0.2213,-1.643,212.7611,292.6019,11.692
11017,,,27,137.416,6.7406,,,,,,,,,,,
11062,,,45,243.9016,6.3622,,,,,,,,,,,
11104,,,42,192.6407,6.4732,,,,,,,,,,,
11168,,,64,324.2521,8.1617,,,,,,,,,,,
11214,,,46,244.6253,7.0898,,,,,,,,,,,
11243,,,29,148.9963,6.5011,,,,,,,,,,,
11290,,,47,240.2109,6.4778,,,,,,,,,,,
11327,,,37,194.0719,7.5513,,,,,,,,,,,
11347,,,20,96.2713,6.6082,,,,,,,,,,,
11387,,,40,203.3997,6.765,,,,,,,,,,,
11409,,,22,109.1668,7.471,,,,,,,,,,,
11430,,,21,103.935,8.371,,,,,,,,,,,
11450,,,20,99.0915,10.7265,,,,,,,,,,,
11476,,,26,133.3564,7.1635,,,,,,,,,,,
11500,,,,,,50,50,8,22.3421,-284.0327,19.6295,0.2359,-1.5495,181.4219,1090.2029,8.4812
11503,,,27,134.6731,7.2224,,,,,,,,,,,
11577,,,74,384.2763,7.0014,,,,,,,,,,,
11602,,,25,123.8482,7.2791,,,,,,,,,,,
11652,,,50,242.1844,7.3302,,,,,,,,,,,
11673,,,21,104.2715,6.2966,,,,,,,,,,,
11736,,,63,305.4975,7.6076,,,,,,,,,,,
11772,,,36,192.1048,6.8313,,,,,,,,,,,
11817,,,45,237.5763,6.6636,,,,,,,,,,,
11874,,,57,267.6746,6.4788,,,,,,,,,,,
11932,,,58,314.7394,6.8743,,,,,,,,,,,
11950,,,18,86.5887,7.2214,,,,,,,,,,,
11989,,,39,210.2878,7.544,,,,,,,,,,,
12000,,,,,,50,50,11,22.235,-299.8452,17.1969,0.23,-1.6382,184.3468,355.7488,6.3866
12011,,,22,106.898,6.9841,,,,,,,,,,,
12030,,,19,91.8213,8.3913,,,,,,,,,,,
12062,,,32,170.5217,6.5353,,,,,,,,,,,
12091,,,29,147.3814,7.0405,,,,,,,,,,,
12131,,,40,207.4354,7.2728,,,,,,,,,,,
12181,,,50,239.5056,7.7118,,,,,,,,,,,
12202,,,21,103.2355,6.6581,,,,,,,,,,,
12233,,,31,158.0192,6.5083,,,,,,,,,,,
12278,,,45,244.35,6.5182,,,,,,,,,,,
12324,,,46,251.569,6.677,,,,,,,,,,,
12364,,,40,211.2263,8.6467,,,,,,,,,,,
12408,,,44,220.816,9.0306,,,,,,,,,,,
12432,,,24,121.1683,8.2024,,,,,,,,,,,
12485,,,53,287.7548,7.5818,,,,,,,,,,,
12500,,,,,,50,50,10,20.8824,-303.1844,28.8079,0.2128,-1.6985,293.45,2135.9429,3.719
12540,,,55,297.3996,6.2196,,,,,,,,,,,
12582,,,42,227.9672,6.827,,,,,,,,,,,
12608,,,26,130.7133,6.3107,,,,,,,,,,,
12649,,,41,222.4695,6.6555,,,,,,,,,,,
12666,,,17,80.9197,9.5404,,,,,,,,,,,
12692,,,26,130.9129,8.5913,,,,,,,,,,,
12734,,,42,222.5209,7.6585,,,,,,,,,,,
12782,,,48,257.8196,8.193,,,,,,,,,,,
12805,,,23,114.3065,8.3252,,,,,,,,,,,
12845,,,40,205.9949,6.6212,,,,,,,,,,,
12896,,,51,269.1461,9.9267,,,,,,,,,,,
12912,,,16,76.5127,6.9696,,,,,,,,,,,
12955,,,43,232.1534,7.3831,,,,,,,,,,,
13000,,,,,,50,50,8,22.6237,-326.1331,23.3375,0.2189,-1.7886,217.203,428.1627,3.188
13008,,,53,288.1301,6.9329,,,,,,,,,,,
13033,,,25,126.377,6.0303,,,,,,,,,,,
13067,,,34,171.2591,7.2116,,,,,,,,,,,
13087,,,20,98.124,6.1808,,,,,,,,,,,
13104,,,17,81.2597,6.3773,,,,,,,,,,,
13160,,,56,307.6706,6.8387,,,,,,,,,,,
13178,,,18,87.897,7.5556,,,,,,,,,,,
13196,,,18,86.6948,5.9002,,,,,,,,,,,
13219,,,23,115.682,6.3664,,,,,,,,,,,
13249,,,30,150.9841,6.4228,,,,,,,,,,,
13288,,,39,209.3853,6.1935,,,,,,,,,,,
13324,,,36,180.3269,7.2154,,,,,,,,,,,
13347,,,23,114.8585,6.6729,,,,,,,,,,,
13405,,,58,275.0895,7.7178,,,,,,,,,,,
13459,,,54,283.7627,7.1903,,,,,,,,,,,
13500,,,,,,50,50,8,21.7353,-340.0303,28.2852,0.2346,-1.7875,235.3689,545.418,8.2823
13510,,,51,267.8722,6.962,,,,,,,,,,,
13530,,,20,97.2485,6.423,,,,,,,,,,,
13562,,,32,167.0784,7.3454,,,,,,,,,,,
13584,,,22,110.7417,7.7934,,,,,,,,,,,
13606,,,22,109.6052,8.3939,,,,,,,,,,,
13660,,,54,299.2979,8.4509,,,,,,,,,,,
13716,,,56,300.5623,7.4933,,,,,,,,,,,
13768,,,52,256.093,7.0263,,,,,,,,,,,
13795,,,27,135.5008,6.7007,,,,,,,,,,,
13827,,,32,161.4976,5.9081,,,,,,,,,,,
13871,,,44,232.3944,7.0184,,,,,,,,,,,
13887,,,16,76.5376,6.0186,,,,,,,,,,,
13928,,,41,195.6891,7.8471,,,,,,,,,,,
13945,,,17,81.1385,7.2067,,,,,,,,,,,
13967,,,22,108.7079,6.3241,,,,,,,,,,,
13984,,,17,81.0141,8.5385,,,,,,,,,,,
14000,,,,,,50,50,11,21.6123,-337.6587,24.0131,0.2592,-1.8542,269.9051,1153.0654,6.2468
14006,,,22,110.8248,6.152,,,,,,,,,,,
14054,,,48,261.8323,6.6353,,,,,,,,,,,
14073,,,19,92.5698,6.9383,,,,,,,,,,,
14126,,,53,256.5652,7.1133,,,,,,,,,,,
14165,,,39,185.0353,8.1049,,,,,,,,,,,
14188,,,23,115.9208,6.38,,,,,,,,,,,
14244,,,56,262.3184,7.9175,,,,,,,,,,,
14272,,,28,139.3526,7.5581,,,,,,,,,,,
14293,,,21,105.6784,7.3932,,,,,,,,,,,
14315,,,22,109.2746,7.6986,,,,,,,,,,,
14349,,,34,171.3255,8.8308,,,,,,,,,,,
14365,,,16,76.3001,8.3228,,,,,,,,,,,
14411,,,46,248.0611,6.6348,,,,,,,,,,,
14435,,,24,119.3959,6.2569,,,,,,,,,,,
14478,,,43,213.1674,6.8471,,,,,,,,,,,
14500,,,,,,50,50,7,22.5431,-360.0697,31.5587,0.2535,-1.7876,476.2391,3299.416,8.4618
14502,,,24,120.9582,7.4066,,,,,,,,,,,
14540,,,38,197.5737,8.7611,,,,,,,,,,,
14579,,,39,209.4693,7.3306,,,,,,,,,,,
14600,,,21,103.8069,5.7328,,,,,,,,,,,
14646,,,46,248.0,7.05,,,,,,,,,,,
14695,,,49,270.2783,6.8455,,,,,,,,,,,
14714,,,19,93.1205,6.9145,,,,,,,,,,,
14780,,,66,352.9089,8.3547,,,,,,,,,,,
14800,,,20,98.3819,8.6827,,,,,,,,,,,
14825,,,25,127.6735,5.9334,,,,,,,,,,,
14863,,,38,196.8225,6.1972,,,,,,,,,,,
14891,,,28,139.9894,6.7724,,,,,,,,,,,
14933,,,42,227.1455,5.8568,,,,,,,,,,,
14959,,,26,130.8198,6.197,,,,,,,,,,,
14981,,,22,109.1571,6.311,,,,,,,,,,,
15000,,,,,,50,50,9,21.6505,-369.8069,24.4345,0.2416,-1.7672,298.1579,584.9103,6.2314
15000,191.868,37.2,,,,,,,,,,,,,,
15006,,,25,124.2776,4.8788,,,,,,,,,,,
15053,,,47,249.9098,6.2781,,,,,,,,,,,
15079,,,26,130.906,6.0486,,,,,,,,,,,
15139,,,60,340.1512,7.5473,,,,,,,,,,,
15201,,,62,331.0633,6.7822,,,,,,,,,,,
15218,,,17,81.4046,5.784,,,,,,,,,,,
15237,,,19,93.1161,7.7734,,,,,,,,,,,
15261,,,24,120.7396,7.0815,,,,,,,,,,,
15321,,,60,292.5316,7.0859,,,,,,,,,,,
15363,,,42,217.7982,6.9562,,,,,,,,,,,
15381,,,18,86.8541,8.2946,,,,,,,,,,,
