env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
38500,,,-112.107,2.6878,0.0031,-0.0461,1.9744,60.2383,2.5001,,,
39000,,,-110.804,3.8969,0.0036,-0.0502,2.309,74.1986,3.245,,,
39000,,,,,,,,,,1000,1156.6063,12.0397
39500,,,-109.6165,3.0876,0.0041,-0.0547,1.9893,71.1049,1.9082,,,
40000,,,-114.6087,3.6802,0.0035,-0.0497,2.407,61.547,2.8771,,,
40000,2248.1649,1000.0,,,,,,,,,,
40000,,,,,,,,,,1000,1226.0327,11.035
40500,,,-116.0154,2.8016,0.0035,-0.0492,2.5218,61.1106,2.6254,,,
41000,,,-116.4875,3.2151,0.0037,-0.0521,2.1464,124.1427,2.1763,,,
41000,,,,,,,,,,1000,781.6864,11.8232
41500,,,-117.6333,4.3691,0.0031,-0.0451,1.8396,72.608,4.4701,,,
42000,,,-119.3004,3.5338,0.0037,-0.0517,2.3865,55.3568,3.2309,,,
42000,,,,,,,,,,1000,1217.2274,11.8687
42500,,,-121.9678,3.4941,0.004,-0.0525,2.4369,60.5866,2.0507,,,
43000,,,-121.9859,3.4053,0.0031,-0.0466,2.347,53.7545,3.6536,,,
43000,,,,,,,,,,1000,669.0361,11.7234
43500,,,-122.2841,2.42,0.0029,-0.0445,2.0329,86.7499,2.0669,,,
44000,,,-123.894,3.3694,0.0167,-0.1115,1.8928,61.4964,4.2762,,,
44000,,,,,,,,,,1000,933.8852,11.8959
44500,,,-125.7795,2.9323,0.0034,-0.048,2.9002,121.545,3.7481,,,
45000,,,-125.1666,3.8428,0.004,-0.0533,1.9112,56.5941,2.9396,,,
45000,2641.4845,1000.0,,,,,,,,,,
45000,,,,,,,,,,1000,1354.7119,11.246
45500,,,-121.945,3.6105,0.0047,-0.0567,2.2176,68.349,3.6831,,,
46000,,,-122.3438,2.6509,0.0036,-0.0505,1.8287,83.7753,2.9909,,,
46000,,,,,,,,,,1000,600.3115,11.8355
46500,,,-125.7014,2.8556,0.0037,-0.0515,2.2616,75.9622,3.0044,,,
47000,,,-127.5936,2.4608,0.0033,-0.0479,1.9804,44.2296,2.2977,,,
47000,,,,,,,,,,1000,1385.5701,11.8183
47500,,,-127.3127,2.5231,0.0035,-0.0493,2.1006,52.9458,2.8756,,,
48000,,,-129.2863,3.0148,0.0036,-0.0496,2.146,111.8741,2.7739,,,
48000,,,,,,,,,,1000,1619.5832,11.8734
48500,,,-128.0336,3.0615,0.0028,-0.0443,1.914,85.8472,3.4079,,,
49000,,,-127.6024,3.7752,0.0034,-0.0489,2.1211,77.0472,3.831,,,
49000,,,,,,,,,,1000,1163.0141,11.7836
49500,,,-133.1377,3.4536,0.0032,-0.0475,2.229,87.3872,3.5374,,,
50000,,,-134.0785,3.1204,0.0035,-0.0487,2.2393,90.6782,2.4405,,,
50000,2871.942,1000.0,,,,,,,,,,
50000,,,,,,,,,,1000,1812.3263,11.1587
50500,,,-137.2948,3.5748,0.0064,-0.0716,2.3208,70.1238,4.4415,,,
51000,,,-138.3849,3.0676,0.0036,-0.0497,1.9725,58.828,2.7531,,,
51000,,,,,,,,,,1000,1791.0719,12.1898
51500,,,-138.611,2.9433,0.0032,-0.0478,2.1787,75.3557,2.3851,,,
52000,,,-139.5589,2.7371,0.0034,-0.048,1.6802,55.9879,3.1217,,,
52000,,,,,,,,,,1000,1565.3246,12.2049
52500,,,-140.1481,2.5668,0.0039,-0.0532,2.0959,72.3831,3.0322,,,
53000,,,-143.2703,5.1223,0.0034,-0.05,2.2467,83.4185,3.1952,,,
53000,,,,,,,,,,1000,1968.1987,12.1104
53500,,,-143.6689,2.7697,0.0036,-0.0482,2.264,95.2615,3.1038,,,
54000,,,-144.2754,2.9595,0.0031,-0.0461,2.2339,60.3474,3.4085,,,
54000,,,,,,,,,,1000,2018.1131,11.6281
54500,,,-142.0518,3.0773,0.0032,-0.0448,1.9522,64.6893,2.7674,,,
55000,,,-148.1602,2.8521,0.0036,-0.0494,2.2519,94.4948,2.2614,,,
55000,3103.0067,1000.0,,,,,,,,,,
55000,,,,,,,,,,1000,2205.8788,11.3729
55500,,,-148.3649,2.6256,0.0034,-0.0474,1.9943,56.9043,3.5027,,,
56000,,,-149.7173,3.9388,0.0038,-0.0504,2.0808,83.3149,3.0035,,,
56000,,,,,,,,,,1000,2054.0752,11.7749
56500,,,-150.4093,3.1105,0.006,-0.0696,1.8244,57.5995,2.2104,,,
57000,,,-156.0248,2.6086,0.0028,-0.0439,2.0829,78.1341,2.936,,,
57000,,,,,,,,,,1000,2216.0104,11.7226
