env_steps,return,length,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
77000,,,50,50,8,50.2467,-193.1575,4.821,4.4053,144.646,2.1559,,,
77000,,,,,,,,,,,,1000,2967.798,21.013
77500,,,50,50,6,54.07,-192.5143,4.9887,3.6341,80.5211,2.67,,,
78000,,,50,50,7,50.8273,-198.014,4.2685,3.2436,41.8754,2.913,,,
78000,,,,,,,,,,,,1000,2991.7941,21.8061
78500,,,50,50,6,54.7957,-201.3634,3.3733,3.7653,81.5038,3.135,,,
79000,,,50,50,6,50.2864,-201.3723,4.1301,3.8893,140.0717,3.1571,,,
79000,,,,,,,,,,,,1000,3146.0436,21.9181
79500,,,50,50,5,59.5787,-209.5123,5.4809,4.2627,108.6148,4.7968,,,
80000,,,50,50,6,54.764,-203.9597,5.6045,3.6172,63.6912,2.319,,,
80000,3710.8011,1000.0,,,,,,,,,,,,
80000,,,,,,,,,,,,1000,3229.5543,16.1731
80500,,,50,50,7,53.12,-211.5972,3.7932,4.0994,89.6475,3.2829,,,
81000,,,50,50,7,55.1228,-208.7084,6.6069,5.2535,64.3332,4.1016,,,
81000,,,,,,,,,,,,1000,3291.4617,22.1814
81500,,,50,50,5,62.5028,-211.757,3.6041,3.8936,91.5703,3.041,,,
82000,,,50,50,6,59.4343,-212.4666,3.9445,4.1047,99.9283,3.032,,,
82000,,,,,,,,,,,,1000,3225.6263,21.2544
82500,,,50,50,6,55.5669,-217.3647,6.1522,3.8393,112.5951,3.0744,,,
83000,,,50,50,5,56.2057,-218.0815,4.5912,4.7524,158.0074,3.5272,,,
83000,,,,,,,,,,,,1000,3274.6807,22.231
83500,,,50,50,5,59.854,-212.9627,3.7212,4.1219,100.2222,3.6513,,,
84000,,,50,50,5,59.4948,-214.7369,4.6434,4.6486,330.2848,2.9947,,,
84000,,,,,,,,,,,,1000,3477.0104,22.2072
84500,,,50,50,5,60.7275,-220.0211,4.6608,4.0133,151.899,3.6043,,,
85000,,,50,50,5,55.4549,-217.5479,4.972,3.9743,86.6439,3.1204,,,
85000,4000.6948,1000.0,,,,,,,,,,,,
85000,,,,,,,,,,,,1000,3606.3359,16.0936
85500,,,50,50,5,63.4392,-217.358,4.2208,3.5737,81.0953,2.5984,,,
86000,,,50,50,5,66.9228,-226.7834,6.1144,5.5772,93.0146,5.6345,,,
86000,,,,,,,,,,,,1000,3470.7854,20.7621
86500,,,50,50,5,64.0886,-227.2935,3.578,3.2795,72.6574,2.8207,,,
87000,,,50,50,5,59.8429,-230.9309,4.7955,8.3021,294.1112,3.8567,,,
87000,,,,,,,,,,,,1000,3423.9865,22.7827
87500,,,50,50,5,61.9629,-229.6975,4.683,4.4604,181.4475,3.0736,,,
88000,,,50,50,5,68.337,-237.5032,4.5938,4.9162,107.6729,2.8118,,,
88000,,,,,,,,,,,,1000,3654.4554,21.9016
88500,,,50,50,5,61.5666,-232.1115,3.6035,4.2198,112.753,2.9177,,,
89000,,,50,50,5,67.007,-237.0403,4.9582,4.4812,194.6833,2.9176,,,
89000,,,,,,,,,,,,1000,3599.3011,22.3825
89500,,,50,50,5,63.451,-242.5193,5.3077,4.6748,94.9075,2.9204,,,
90000,,,50,50,5,64.4388,-235.5175,4.1963,4.6221,168.9381,2.7603,,,
90000,4156.6223,1000.0,,,,,,,,,,,,
90000,,,,,,,,,,,,1000,3825.9157,16.6607
90500,,,50,50,5,63.1727,-238.8552,5.5622,7.2467,301.3569,2.7135,,,
91000,,,50,50,5,63.9401,-246.1998,5.5626,6.8406,191.2461,3.3787,,,
91000,,,,,,,,,,,,1000,3782.7524,21.8019
91500,,,50,50,5,62.4165,-245.5806,5.745,4.978,232.4062,4.2454,,,
92000,,,50,50,5,66.1513,-245.7815,5.9987,5.2954,217.1979,5.2967,,,
92000,,,,,,,,,,,,1000,3592.9918,21.3794
92500,,,50,50,5,64.1508,-253.2637,4.3635,4.8369,173.0303,3.4284,,,
93000,,,50,50,5,64.2617,-250.4317,5.7603,3.8898,139.7389,3.0078,,,
93000,,,,,,,,,,,,1000,3812.754,20.6659
93500,,,50,50,5,62.2617,-243.8193,6.622,4.8735,164.3337,2.621,,,
94000,,,50,50,4,67.3787,-256.4404,7.5573,4.4835,274.8655,3.4116,,,
94000,,,,,,,,,,,,1000,4192.6359,21.1322
