env_steps,return,length,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
26000,,,50,50,13,57.9619,0.78,0.5555,1.1873,0.6742,-65.3024,3.0677,0.3215,1.7515,22.8713,2.342,,,
26000,,,,,,,,,,,,,,,,,1000,233.1696,37.6296
26500,,,50,50,13,59.4139,0.7935,0.5745,1.2095,0.6954,-67.4015,1.8057,0.2796,2.3033,66.1447,1.7483,,,
27000,,,50,50,13,59.6664,0.8133,0.5782,1.1865,0.6968,-67.2002,2.3963,0.263,1.6101,37.608,1.5032,,,
27000,,,,,,,,,,,,,,,,,1000,1000.4422,37.3934
27500,,,50,50,13,56.6536,0.765,0.4599,1.1635,0.5762,-74.3484,2.442,0.2609,1.6556,29.436,2.7875,,,
28000,,,50,50,14,62.1348,0.772,0.448,1.1504,0.563,-72.7844,3.1531,0.2634,2.6073,39.7112,2.2719,,,
28000,,,,,,,,,,,,,,,,,1000,430.5223,37.5688
28500,,,50,50,13,63.1104,0.7761,0.5702,1.1789,0.6881,-74.2591,3.2987,0.3033,2.7887,61.9275,3.9165,,,
29000,,,50,50,13,70.9381,0.8141,0.5514,1.1774,0.6692,-71.2907,2.2872,0.3316,2.335,53.5546,2.4919,,,
29000,,,,,,,,,,,,,,,,,1000,221.661,37.8292
29500,,,50,50,12,67.8282,0.7802,0.5277,1.1371,0.6414,-70.0286,2.813,0.2616,1.5721,75.3145,2.1778,,,
30000,,,50,50,12,68.6325,0.7682,0.5787,1.1752,0.6962,-71.4305,3.6708,0.331,2.6911,124.4466,1.5558,,,
30000,1076.5485,1000.0,,,,,,,,,,,,,,,,,
30000,,,,,,,,,,,,,,,,,1000,377.4197,28.2568
30500,,,50,50,12,61.4193,0.7908,0.5269,1.1802,0.6449,-74.363,2.8659,0.3261,2.4459,44.7862,2.7032,,,
31000,,,50,50,13,63.6054,0.765,0.5436,1.1866,0.6623,-80.7533,2.0384,0.2617,2.9018,44.0369,1.6459,,,
31000,,,,,,,,,,,,,,,,,1000,1042.1366,37.6525
31500,,,50,50,13,60.4284,0.8416,0.6047,1.222,0.7269,-83.5311,2.8678,0.359,2.402,36.7676,2.0702,,,
32000,,,50,50,13,62.0131,0.8778,0.5676,1.2426,0.6919,-89.3292,2.5654,0.3008,2.6729,87.0648,2.7601,,,
32000,,,,,,,,,,,,,,,,,1000,1137.779,38.1171
32500,,,50,50,12,61.7062,0.8328,0.581,1.2083,0.7018,-84.5385,3.927,0.2537,2.5721,69.8941,2.512,,,
33000,,,50,50,14,59.0005,0.829,0.5925,1.177,0.7102,-93.401,3.4685,0.2897,3.7687,128.1369,2.7404,,,
33000,,,,,,,,,,,,,,,,,1000,918.6542,37.9395
33500,,,50,50,11,66.5031,0.8489,0.5758,1.2136,0.6972,-87.415,2.5542,0.3401,4.185,94.9154,1.7228,,,
