env_steps,return,length,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
54500,,,0.0465,-225.5491,4.5939,0.0465,4.3779,145.7438,3.0461,,,
55000,,,0.0476,-233.1877,4.8458,0.0476,4.3773,115.292,3.4363,,,
55000,4727.284,1000.0,,,,,,,,,,
55000,,,,,,,,,,1000,3456.7167,91.1787
55500,,,0.0476,-237.5074,5.0312,0.0476,4.4901,99.2922,3.4513,,,
56000,,,0.0488,-237.6091,5.4453,0.0488,4.5716,202.7987,2.9602,,,
56000,,,,,,,,,,1000,3481.0751,104.6335
56500,,,0.0465,-239.3277,6.1483,0.0465,4.6096,115.516,4.9419,,,
57000,,,0.0455,-242.4066,5.7495,0.0455,4.2843,108.1842,6.4482,,,
57000,,,,,,,,,,1000,3527.6307,103.6976
57500,,,0.0483,-246.1269,5.641,0.0483,4.5706,118.9801,3.8806,,,
58000,,,0.0454,-251.2714,5.6801,0.0454,4.9006,277.6258,3.176,,,
58000,,,,,,,,,,1000,3552.4346,105.2759
58500,,,0.0477,-250.923,7.6029,0.0477,5.2801,188.1778,6.9999,,,
59000,,,0.0483,-259.0914,5.7478,0.0483,4.6481,185.7953,6.8784,,,
59000,,,,,,,,,,1000,3775.4477,104.0564
59500,,,0.0469,-261.5071,5.4996,0.0469,5.0409,114.8475,5.2026,,,
60000,,,0.0477,-265.7177,5.744,0.0477,4.6214,182.4004,5.2242,,,
60000,5315.544,1000.0,,,,,,,,,,
60000,,,,,,,,,,1000,3797.933,89.9278
60500,,,0.0501,-268.3704,5.7164,0.0501,4.7135,149.3156,5.83,,,
61000,,,0.0486,-269.8869,6.2627,0.0486,5.5496,260.8974,5.7602,,,
61000,,,,,,,,,,1000,3974.8037,101.979
61500,,,0.0484,-274.3254,7.4824,0.0484,4.6415,98.0949,7.2515,,,
62000,,,0.0461,-274.9398,4.9816,0.0461,4.5936,143.8633,5.0989,,,
62000,,,,,,,,,,1000,3940.1315,103.0176
62500,,,0.0482,-279.3341,6.5472,0.0482,5.0138,176.5139,4.4259,,,
63000,,,0.0473,-280.931,6.4955,0.0473,4.9735,149.3387,6.2726,,,
63000,,,,,,,,,,1000,4118.5228,103.925
63500,,,0.0487,-282.7174,6.6232,0.0487,5.1988,195.9539,6.296,,,
64000,,,0.0503,-291.7382,5.5122,0.0503,5.0726,208.4253,4.5144,,,
64000,,,,,,,,,,1000,4169.5578,103.7663
64500,,,0.0485,-296.3429,5.8131,0.0485,4.6177,108.8422,4.9306,,,
65000,,,0.0468,-297.8385,6.358,0.0468,4.7386,149.1178,5.2657,,,
65000,5623.3754,1000.0,,,,,,,,,,
65000,,,,,,,,,,1000,4296.9136,89.7138
65500,,,0.0452,-299.7087,5.5598,0.0452,4.6493,220.8895,5.3245,,,
66000,,,0.0482,-305.4003,7.4969,0.0482,5.3853,153.1808,8.5615,,,
66000,,,,,,,,,,1000,4378.0004,102.7905
66500,,,0.0461,-308.3598,5.6532,0.0461,5.0968,166.6932,6.5223,,,
67000,,,0.0443,-307.1462,6.6015,0.0443,5.2486,230.6227,4.6605,,,
67000,,,,,,,,,,1000,4519.7655,102.923
67500,,,0.0458,-309.1344,6.5107,0.0458,4.962,207.1484,6.5376,,,
68000,,,0.0461,-313.1848,5.6068,0.0461,4.5357,240.7501,5.4172,,,
68000,,,,,,,,,,1000,4251.7021,104.6291
68500,,,0.0453,-320.524,6.387,0.0453,5.4034,191.3382,6.2924,,,
69000,,,0.0465,-316.1266,5.6095,0.0465,6.3529,240.8258,6.5623,,,
69000,,,,,,,,,,1000,4509.5848,104.6456
69500,,,0.0454,-325.1398,5.517,0.0454,5.0158,192.1871,6.6952,,,
70000,,,0.047,-326.2879,6.721,0.047,5.3217,307.3071,6.0563,,,
70000,6151.5207,1000.0,,,,,,,,,,
70000,,,,,,,,,,1000,4677.2861,91.6387
70500,,,0.0445,-329.3643,5.8293,0.0445,4.7599,137.7296,4.4692,,,
71000,,,0.0455,-332.6854,7.035,0.0455,5.4635,284.6674,9.0129,,,
71000,,,,,,,,,,1000,4810.3776,105.7426
71500,,,0.0446,-334.8697,6.2206,0.0446,8.8021,251.3057,4.1852,,,
72000,,,0.0465,-343.1016,5.9939,0.0465,4.9355,180.8436,7.5468,,,
72000,,,,,,,,,,1000,4749.6545,104.8858
72500,,,0.0443,-345.74,7.2078,0.0443,5.3468,206.9355,8.9616,,,
73000,,,0.0455,-343.9452,6.5998,0.0455,5.7831,319.7458,8.2855,,,
73000,,,,,,,,,,1000,4918.5841,104.7042
73500,,,0.0462,-352.8618,6.6187,0.0462,4.7691,187.3728,5.5108,,,
74000,,,0.0427,-351.4728,5.7853,0.0427,5.0469,208.9209,4.4607,,,
74000,,,,,,,,,,1000,5166.2205,105.3497
74500,,,0.0439,-356.0648,6.0692,0.0439,5.6429,192.7437,6.618,,,
75000,,,0.0464,-356.5152,5.6163,0.0464,4.9708,174.8106,8.4906,,,
75000,6405.3988,1000.0,,,,,,,,,,
75000,,,,,,,,,,1000,5289.3654,89.6536
75500,,,0.0463,-362.8719,8.7498,0.0463,5.156,109.8803,8.3459,,,
76000,,,0.0449,-367.2545,5.96,0.0449,5.8343,238.2411,7.3561,,,
76000,,,,,,,,,,1000,5211.6778,103.6827
76500,,,0.0452,-369.1236,7.5805,0.0452,5.5663,334.0143,4.5199,,,
77000,,,0.0438,-371.2178,8.077,0.0438,5.8051,239.5778,6.9109,,,
77000,,,,,,,,,,1000,5228.8468,103.9745
77500,,,0.0435,-371.3584,6.4269,0.0435,4.8705,181.4133,5.3012,,,
78000,,,0.0441,-376.3073,6.4815,0.0441,5.5065,251.9474,9.8406,,,
78000,,,,,,,,,,1000,5123.8093,103.7137
78500,,,0.044,-375.1824,7.6293,0.044,6.2131,251.0762,4.9745,,,
79000,,,0.0446,-383.3286,6.833,0.0446,6.4431,369.1721,4.978,,,
79000,,,,,,,,,,1000,5657.1649,105.3463
79500,,,0.0433,-386.8968,6.5241,0.0433,5.7451,185.501,7.0443,,,
80000,,,0.0437,-389.4392,6.6778,0.0437,4.6882,159.3463,4.5626,,,
80000,6848.1323,1000.0,,,,,,,,,,
80000,,,,,,,,,,1000,5400.3099,92.0408
80500,,,0.0437,-393.1568,5.3036,0.0437,6.2109,199.9312,5.8237,,,
81000,,,0.0447,-393.1824,6.4642,0.0447,5.4715,165.3693,4.0038,,,
81000,,,,,,,,,,1000,5535.2224,105.7807
81500,,,0.0462,-398.8226,8.4685,0.0462,7.8334,243.7121,6.5205,,,
82000,,,0.0446,-401.1223,6.5682,0.0446,5.8564,219.2851,5.4958,,,
82000,,,,,,,,,,1000,5644.3893,104.4356
82500,,,0.0425,-406.4053,6.1297,0.0425,5.6833,208.8389,4.9702,,,
83000,,,0.0427,-405.5437,6.3956,0.0427,7.4638,393.4153,5.955,,,
83000,,,,,,,,,,1000,5648.0883,102.8528
