env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
18022,,,25,125.4452,25.3989,,,,,,,,,,,
18059,,,37,182.0662,29.6417,,,,,,,,,,,
18094,,,35,185.4035,25.4119,,,,,,,,,,,
18121,,,27,133.7237,27.8849,,,,,,,,,,,
18173,,,52,283.0144,26.8787,,,,,,,,,,,
18219,,,46,244.5118,27.239,,,,,,,,,,,
18247,,,28,137.2464,28.0298,,,,,,,,,,,
18276,,,29,148.7127,27.2187,,,,,,,,,,,
18303,,,27,138.9587,31.0061,,,,,,,,,,,
18326,,,23,114.4867,34.5295,,,,,,,,,,,
18349,,,23,114.1849,29.0039,,,,,,,,,,,
18367,,,18,86.0367,27.958,,,,,,,,,,,
18389,,,22,107.842,24.316,,,,,,,,,,,
18412,,,23,113.3864,27.6254,,,,,,,,,,,
18450,,,38,203.7007,26.5174,,,,,,,,,,,
18468,,,18,86.5502,30.1717,,,,,,,,,,,
18489,,,21,102.8273,28.652,,,,,,,,,,,
18500,,,,,,50,50,41,15.989,17.0723,-451.7513,78.2977,17.0723,688.8759,2653.8669,5.7306
18536,,,47,250.0686,25.8912,,,,,,,,,,,
18558,,,22,108.1931,27.1762,,,,,,,,,,,
18590,,,32,168.5019,27.6603,,,,,,,,,,,
18611,,,21,102.903,28.9377,,,,,,,,,,,
18637,,,26,130.2074,29.3913,,,,,,,,,,,
18658,,,21,101.4047,26.4917,,,,,,,,,,,
18709,,,51,243.1763,30.2834,,,,,,,,,,,
18728,,,19,91.5739,27.8844,,,,,,,,,,,
18755,,,27,132.0274,29.293,,,,,,,,,,,
18797,,,42,227.7713,30.1698,,,,,,,,,,,
18823,,,26,124.0645,26.3711,,,,,,,,,,,
18842,,,19,92.5108,27.4124,,,,,,,,,,,
18863,,,21,103.2319,26.837,,,,,,,,,,,
18884,,,21,102.7301,28.946,,,,,,,,,,,
18939,,,55,247.3416,30.7991,,,,,,,,,,,
18961,,,22,108.6578,33.3763,,,,,,,,,,,
18996,,,35,185.5939,34.9045,,,,,,,,,,,
19000,,,,,,50,50,42,15.133,16.9902,-459.3773,79.1129,16.9902,810.5129,3459.7756,3.7285
19120,,,124,594.6385,28.1362,,,,,,,,,,,
19144,,,24,115.7667,31.2046,,,,,,,,,,,
19218,,,74,387.0381,29.1748,,,,,,,,,,,
19245,,,27,132.4131,35.5977,,,,,,,,,,,
19268,,,23,111.6975,31.4155,,,,,,,,,,,
19292,,,24,118.9485,31.5698,,,,,,,,,,,
19317,,,25,119.3655,28.6394,,,,,,,,,,,
19343,,,26,127.3789,28.3997,,,,,,,,,,,
19364,,,21,102.4454,27.6592,,,,,,,,,,,
19470,,,106,500.6521,31.0142,,,,,,,,,,,
