env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
8195,,,66,-115.8765,27.5061,,,,,,,,,,
8234,,,39,-116.796,23.3587,,,,,,,,,,
8379,,,145,-135.6424,24.4249,,,,,,,,,,
8432,,,53,-106.5375,24.4768,,,,,,,,,,
8489,,,57,-105.932,26.1505,,,,,,,,,,
8500,,,,,,8,3,1,2781.8958,175.1442,127.1067,128.186,27.6938,9471.7539,0.0
8546,,,57,-107.0263,25.3302,,,,,,,,,,
8593,,,47,-106.0733,27.3063,,,,,,,,,,
8646,,,53,-104.9977,25.6417,,,,,,,,,,
8714,,,68,-106.3258,23.5477,,,,,,,,,,
8820,,,106,-105.6044,25.8867,,,,,,,,,,
8894,,,74,-104.172,29.4059,,,,,,,,,,
8949,,,55,-107.8143,25.2221,,,,,,,,,,
9000,,,,,,9,3,1,2737.7556,169.3349,100.9124,123.1982,45.1309,8658.2256,0.0
9017,,,68,-103.5541,23.7173,,,,,,,,,,
9064,,,47,-107.624,30.5537,,,,,,,,,,
9134,,,70,-103.6289,28.4723,,,,,,,,,,
9235,,,101,-112.8261,24.9175,,,,,,,,,,
9320,,,85,-102.9919,23.8193,,,,,,,,,,
9378,,,58,-105.3733,25.0801,,,,,,,,,,
9447,,,69,-102.6391,26.8955,,,,,,,,,,
9500,,,,,,9,4,1,2833.6787,300.6333,155.415,255.5135,22.447,4650.2744,0.0
9509,,,62,-103.7375,24.142,,,,,,,,,,
9554,,,45,-106.8696,23.5779,,,,,,,,,,
9631,,,77,-104.3174,26.5463,,,,,,,,,,
9700,,,69,-103.371,26.4703,,,,,,,,,,
9783,,,83,-103.7137,24.4199,,,,,,,,,,
9847,,,64,-103.7282,26.4115,,,,,,,,,,
9914,,,67,-102.7516,27.1219,,,,,,,,,,
9997,,,83,-126.8146,26.8267,,,,,,,,,,
10000,,,,,,10,3,1,2806.2646,271.5026,206.7131,223.5364,12.7627,2713.7112,0.0
10000,-104.6864,104.9,,,,,,,,,,,,,
10085,,,88,-104.7603,16.7547,,,,,,,,,,
10168,,,83,-104.0175,23.6782,,,,,,,,,,
10227,,,59,-109.3087,23.2861,,,,,,,,,,
10290,,,63,-104.4417,25.4916,,,,,,,,,,
10388,,,98,-105.948,25.1277,,,,,,,,,,
10500,,,,,,9,3,1,2761.4785,112.1899,165.9353,66.1309,12.2462,3757.7996,0.0
10501,,,113,-126.3933,26.0387,,,,,,,,,,
10555,,,54,-101.874,24.0422,,,,,,,,,,
10607,,,52,-107.5046,24.3689,,,,,,,,,,
10659,,,52,-106.2743,24.6446,,,,,,,,,,
10711,,,52,-106.9325,27.7378,,,,,,,,,,
10779,,,68,-106.7386,30.4755,,,,,,,,,,
10833,,,54,-102.3355,26.1453,,,,,,,,,,
10921,,,88,-102.6738,23.5599,,,,,,,,,,
10967,,,46,-104.1111,25.512,,,,,,,,,,
11000,,,,,,9,3,1,2853.0417,129.9718,115.2654,78.5699,9.8833,2936.4836,0.0
11026,,,59,-101.4293,24.4637,,,,,,,,,,
11068,,,42,-104.978,27.4288,,,,,,,,,,
11131,,,63,-103.1452,29.7947,,,,,,,,,,
11203,,,72,-104.1928,27.4026,,,,,,,,,,
11275,,,72,-101.5935,27.5483,,,,,,,,,,
11392,,,117,-113.2223,27.8833,,,,,,,,,,
11500,,,,,,9,3,1,2874.8765,153.0639,143.2128,102.3602,10.2943,3669.7866,0.0
11538,,,146,-141.9164,25.577,,,,,,,,,,
11612,,,74,-104.2983,25.2077,,,,,,,,,,
11684,,,72,-110.1758,26.4065,,,,,,,,,,
11735,,,51,-106.663,27.5052,,,,,,,,,,
11785,,,50,-107.8301,23.0555,,,,,,,,,,
11907,,,122,-106.5511,24.4569,,,,,,,,,,
11959,,,52,-107.0725,26.5623,,,,,,,,,,
12000,,,,,,9,3,1,2716.5884,123.9977,95.6747,70.4953,9.6501,2200.4983,0.0
12023,,,64,-108.3964,25.5191,,,,,,,,,,
12083,,,60,-104.0527,23.0928,,,,,,,,,,
12167,,,84,-106.5502,25.4682,,,,,,,,,,
12245,,,78,-105.7002,29.9828,,,,,,,,,,
12295,,,50,-106.9254,27.429,,,,,,,,,,
12349,,,54,-107.5035,26.0877,,,,,,,,,,
12455,,,106,-104.3204,28.0744,,,,,,,,,,
12500,,,,,,8,3,1,2771.7732,146.7563,76.8884,92.8178,9.1277,3365.1348,0.0
12504,,,49,-106.9484,23.2793,,,,,,,,,,
12603,,,99,-111.9103,25.5366,,,,,,,,,,
12667,,,64,-103.4377,24.7593,,,,,,,,,,
12746,,,79,-104.2655,24.9049,,,,,,,,,,
12855,,,109,-107.4715,24.0848,,,,,,,,,,
12911,,,56,-108.3506,24.4695,,,,,,,,,,
12969,,,58,-102.9292,24.5372,,,,,,,,,,
13000,,,,,,9,3,1,2821.8713,221.4105,271.45,161.3189,7.4919,2892.6531,0.0
13029,,,60,-107.1852,27.2008,,,,,,,,,,
13075,,,46,-107.2231,30.7843,,,,,,,,,,
13145,,,70,-106.4485,28.0878,,,,,,,,,,
13211,,,66,-104.3228,25.8087,,,,,,,,,,
13280,,,69,-103.856,28.4109,,,,,,,,,,
13334,,,54,-105.8153,26.8137,,,,,,,,,,
13432,,,98,-106.9435,25.3858,,,,,,,,,,
13500,,,,,,8,3,1,2843.5242,260.3267,163.5196,200.3335,9.8017,2645.4658,0.0
13575,,,143,-108.5199,24.0707,,,,,,,,,,
13663,,,88,-102.9272,27.4337,,,,,,,,,,
13713,,,50,-107.6558,26.2361,,,,,,,,,,
13761,,,48,-104.1649,24.3495,,,,,,,,,,
13815,,,54,-103.0007,23.0493,,,,,,,,,,
13861,,,46,-103.1761,26.0457,,,,,,,,,,
13910,,,49,-102.6136,27.317,,,,,,,,,,
13959,,,49,-103.4821,24.7555,,,,,,,,,,
14000,,,,,,7,3,1,2813.1863,135.0852,262.313,74.1616,6.0786,1830.5211,0.0
14009,,,50,-105.2816,25.9248,,,,,,,,,,
14060,,,51,-106.8207,30.0028,,,,,,,,,,
14112,,,52,-107.9547,24.1236,,,,,,,,,,
14162,,,50,-106.2128,27.0108,,,,,,,,,,
14225,,,63,-105.7759,25.5234,,,,,,,,,,
14274,,,49,-107.9078,27.1067,,,,,,,,,,
14346,,,72,-104.8003,26.2194,,,,,,,,,,
14471,,,125,-136.2901,30.6707,,,,,,,,,,
14500,,,,,,8,3,1,2848.1189,116.949,99.9563,55.8616,17.7916,8612.1016,0.0
14521,,,50,-105.8467,31.5023,,,,,,,,,,
14585,,,64,-107.0263,25.3116,,,,,,,,,,
14642,,,57,-108.8035,23.8017,,,,,,,,,,
14707,,,65,-121.9699,25.0956,,,,,,,,,,
14800,,,93,-103.2726,28.2341,,,,,,,,,,
14861,,,61,-106.2081,24.7725,,,,,,,,,,
14913,,,52,-107.4566,27.8267,,,,,,,,,,
14966,,,53,-101.5891,25.3745,,,,,,,,,,
15000,,,,,,7,3,1,2871.3347,123.988,238.1822,59.9656,6.2798,2804.5833,0.0
15000,-104.6513,104.0,,,,,,,,,,,,,
15049,,,83,-99.905,16.9282,,,,,,,,,,
15116,,,67,-103.6035,27.3211,,,,,,,,,,
15184,,,68,-105.643,26.8256,,,,,,,,,,
15241,,,57,-103.5702,24.78,,,,,,,,,,
15291,,,50,-106.2739,25.5522,,,,,,,,,,
15338,,,47,-106.8659,27.3204,,,,,,,,,,
15430,,,92,-110.7768,24.5381,,,,,,,,,,
