env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
32000,,,0.9186,0.7395,0.0816,-37.4351,8.3446,0.7958,3.2952,13.0001,0.6282,,,
32000,,,,,,,,,,,,1000,1021.8163,41.7114
32500,,,0.8824,0.7537,0.077,-37.1072,8.9095,0.7027,3.1496,27.3276,0.92,,,
33000,,,0.9212,0.7468,0.0837,-41.024,8.4635,0.7786,2.8049,15.2806,1.1773,,,
33000,,,,,,,,,,,,1000,1155.951,41.5802
33500,,,0.9121,0.745,0.0816,-45.4878,10.0006,0.755,3.0626,8.5675,1.144,,,
34000,,,0.9015,0.7429,0.0799,-41.6195,8.5816,0.7307,3.3408,18.1386,0.9288,,,
34000,,,,,,,,,,,,1000,481.1037,41.6639
34500,,,0.9135,0.7493,0.0823,-44.3745,11.4675,0.747,3.0933,11.636,0.8524,,,
35000,,,0.8804,0.7471,0.0773,-42.9242,7.9922,0.7186,3.5076,28.8337,0.8411,,,
35000,1935.0394,1000.0,,,,,,,,,,,,
35000,,,,,,,,,,,,1000,1049.1957,34.4347
35500,,,0.9131,0.7514,0.0811,-45.2864,9.6789,0.7505,3.5063,22.7981,0.8407,,,
36000,,,0.9106,0.747,0.0822,-47.8409,10.0745,0.7433,3.8099,10.2458,0.9284,,,
36000,,,,,,,,,,,,1000,1340.7414,41.846
36500,,,0.9078,0.7494,0.0815,-48.7414,10.132,0.7393,3.407,14.0847,1.0517,,,
37000,,,0.9017,0.7529,0.081,-53.4212,9.8693,0.7307,4.6654,12.7493,0.7676,,,
37000,,,,,,,,,,,,1000,1414.6523,42.2919
37500,,,0.9141,0.7614,0.0832,-53.2841,9.4984,0.745,3.541,11.0374,0.6168,,,
38000,,,0.9364,0.7593,0.0857,-58.6089,10.8166,0.7803,3.5924,29.1096,1.1418,,,
38000,,,,,,,,,,,,1000,1387.278,39.1136
38500,,,0.8918,0.7604,0.0815,-58.1619,9.0391,0.7116,3.9601,46.4366,1.0109,,,
39000,,,0.9276,0.7672,0.084,-56.7628,9.7995,0.7737,3.2558,14.1098,1.1629,,,
39000,,,,,,,,,,,,1000,1389.4358,38.6893
39500,,,0.9335,0.7624,0.0859,-62.6215,9.999,0.7745,3.0165,15.2363,0.851,,,
40000,,,0.9155,0.7665,0.0824,-59.2496,11.6931,0.7485,3.4806,14.5144,1.2601,,,
40000,2192.1938,1000.0,,,,,,,,,,,,
40000,,,,,,,,,,,,1000,279.558,33.4778
40500,,,0.9043,0.7592,0.0815,-64.3409,9.5173,0.7249,4.079,25.3025,1.2205,,,
41000,,,0.9008,0.7581,0.081,-63.6691,11.0299,0.7208,3.4243,11.6721,1.4563,,,
41000,,,,,,,,,,,,1000,993.3384,41.2874
41500,,,0.918,0.7611,0.0831,-67.0958,11.2884,0.7569,4.1564,18.3955,1.0822,,,
42000,,,0.9412,0.7558,0.0845,-65.283,10.8051,0.7929,4.1355,25.9026,0.7267,,,
42000,,,,,,,,,,,,1000,372.8141,42.1194
42500,,,0.9106,0.7687,0.0838,-66.994,9.4315,0.7339,4.1561,38.7259,1.1457,,,
