env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
30000,,,1.1995,0.8882,0.445,-85.7033,3.3861,1.6002,-0.4555,1.4934,47.0103,2.2741,,,
30000,1831.9157,1000.0,,,,,,,,,,,,,
30000,,,,,,,,,,,,,1000,313.2669,35.2729
30500,,,1.1941,0.9449,0.4415,-86.9523,2.8283,1.7731,-0.4528,1.4303,30.8261,1.3773,,,
31000,,,1.2167,0.9281,0.4547,-86.5928,3.0173,1.7419,-0.4469,1.7296,76.7517,2.0324,,,
31000,,,,,,,,,,,,,1000,339.3018,36.6828
31500,,,1.2117,0.9792,0.4558,-87.0699,3.5037,1.9645,-0.4448,1.4508,54.408,2.6351,,,
32000,,,1.2084,0.9628,0.4507,-89.9283,3.2308,1.8585,-0.4582,1.4085,37.8239,1.8326,,,
32000,,,,,,,,,,,,,1000,687.4144,36.7332
32500,,,1.2396,0.9326,0.4727,-89.1098,3.2446,1.8667,-0.4735,2.3536,75.2172,2.2169,,,
33000,,,1.2079,0.9339,0.4564,-87.9985,3.5153,1.7809,-0.456,1.4192,57.148,2.6975,,,
33000,,,,,,,,,,,,,1000,334.6202,37.766
33500,,,1.2173,0.9839,0.455,-91.8828,3.7485,1.9246,-0.4588,2.1018,76.9287,3.1832,,,
34000,,,1.217,0.9237,0.468,-90.0919,3.2877,1.8263,-0.4672,1.5909,32.9889,2.3827,,,
34000,,,,,,,,,,,,,1000,1350.2619,38.9904
34500,,,1.216,0.9835,0.4562,-90.924,3.116,1.9419,-0.4696,1.9932,73.5747,2.2792,,,
35000,,,1.2031,0.98,0.4553,-93.5161,3.237,2.0074,-0.4661,1.9904,64.3384,2.0628,,,
35000,2400.1311,1000.0,,,,,,,,,,,,,
35000,,,,,,,,,,,,,1000,1269.7379,33.9619
35500,,,1.2183,1.008,0.456,-100.1158,3.6913,2.0677,-0.4546,1.9651,53.4443,3.2843,,,
36000,,,1.2269,0.9712,0.4686,-100.2814,3.5516,2.0317,-0.4502,1.8567,54.6821,1.2784,,,
36000,,,,,,,,,,,,,1000,1369.487,37.5307
36500,,,1.2183,1.0159,0.4587,-100.1199,3.0991,2.0502,-0.4488,1.6235,51.2497,2.6197,,,
37000,,,1.2279,1.0336,0.4682,-101.5955,3.7237,2.2217,-0.4624,1.886,55.7293,3.4714,,,
37000,,,,,,,,,,,,,1000,1280.4547,37.7331
37500,,,1.1933,1.0483,0.4466,-102.557,2.9945,2.168,-0.4702,1.789,53.0273,2.0582,,,
38000,,,1.2294,1.0884,0.4648,-105.709,3.2158,2.3504,-0.4705,2.237,66.341,2.3795,,,
38000,,,,,,,,,,,,,1000,1547.3752,37.984
38500,,,1.2226,1.0831,0.4593,-106.0948,3.0706,2.3483,-0.4606,2.1434,66.8828,2.5537,,,
