env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
31500,,,2.3624,1.0702,0.7668,-58.066,6.0851,0.9124,-0.7939,3.7379,18.0835,1.8974,,,
32000,,,2.3865,1.0705,0.7619,-56.7784,7.1968,0.9463,-0.7829,3.1396,12.9408,1.6586,,,
32000,,,,,,,,,,,,,1000,1317.3443,33.7766
32500,,,2.3719,1.0858,0.7689,-61.1546,6.592,0.9188,-0.7542,3.3879,15.5124,1.4721,,,
33000,,,2.3388,1.0923,0.7648,-62.3092,6.6388,0.9412,-0.7837,4.1496,29.9476,1.4801,,,
33000,,,,,,,,,,,,,1000,713.1355,33.6916
33500,,,2.4257,1.096,0.808,-63.4944,7.4038,0.9628,-0.8081,3.1585,45.0233,0.9848,,,
34000,,,2.3934,1.1088,0.8009,-65.1099,6.7586,0.9896,-0.7876,3.9638,36.386,1.4321,,,
34000,,,,,,,,,,,,,1000,1387.6467,33.7995
34500,,,2.3971,1.0843,0.793,-67.7346,6.2181,0.9491,-0.8336,3.9466,15.0606,1.3661,,,
35000,,,2.4359,1.0907,0.811,-69.0457,7.339,0.9752,-0.8143,3.3075,27.8589,1.4934,,,
35000,2232.015,1000.0,,,,,,,,,,,,,
35000,,,,,,,,,,,,,1000,1507.9002,31.584
35500,,,2.5004,1.1044,0.8268,-70.7592,7.3817,1.031,-0.8026,3.7664,21.0682,1.5295,,,
36000,,,2.5233,1.1429,0.8305,-73.7034,7.6546,0.9994,-0.831,2.999,24.1263,1.0946,,,
36000,,,,,,,,,,,,,1000,1455.383,33.6771
36500,,,2.4655,1.1193,0.837,-75.5816,7.0523,0.9418,-0.815,3.1128,32.1076,1.2768,,,
37000,,,2.463,1.1203,0.82,-75.2068,6.7176,1.0313,-0.8484,3.1569,25.9334,1.1111,,,
37000,,,,,,,,,,,,,1000,556.4854,33.7348
37500,,,2.4799,1.1297,0.8142,-78.4539,6.9285,0.9719,-0.8312,4.1649,28.9115,1.694,,,
38000,,,2.4855,1.1381,0.8331,-80.5098,7.9279,0.9707,-0.826,3.244,16.4286,1.7405,,,
38000,,,,,,,,,,,,,1000,963.2499,33.7413
38500,,,2.4489,1.1385,0.8218,-81.3851,6.7737,0.9027,-0.8281,4.9382,29.0618,1.4708,,,
39000,,,2.4042,1.1082,0.7954,-78.9507,7.0847,0.9087,-0.7904,3.4965,26.4652,1.3194,,,
39000,,,,,,,,,,,,,1000,361.5095,33.6971
39500,,,2.4972,1.161,0.7882,-81.5005,9.6615,1.0169,-0.7929,3.7391,35.9314,1.2038,,,
40000,,,2.4369,1.1201,0.7905,-79.1598,8.2022,0.9413,-0.7733,3.528,37.6946,2.1316,,,
