env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
15334,,,19,1.375,98.5776,,,,,,,
15366,,,32,18.3031,98.3667,,,,,,,
15392,,,26,10.1223,98.4418,,,,,,,
15500,,,,,,0.1004,-440.1391,42.844,0.1004,1108.7498,21770.0938,18.6932
15508,,,116,216.9008,98.0611,,,,,,,
15572,,,64,68.607,98.4919,,,,,,,
15579,,,7,-5.1868,98.0213,,,,,,,
15756,,,177,288.2174,99.1941,,,,,,,
15788,,,32,14.6854,104.6371,,,,,,,
15823,,,35,21.502,104.3897,,,,,,,
15932,,,109,179.349,99.9535,,,,,,,
15956,,,24,9.1849,98.4467,,,,,,,
15981,,,25,7.6783,98.254,,,,,,,
16000,,,,,,0.1028,-477.19,85.3563,0.1028,1822.4976,15054.9092,38.9208
16008,,,27,5.1312,98.4574,,,,,,,
16130,,,122,199.139,98.4478,,,,,,,
16249,,,119,210.5991,100.2769,,,,,,,
16256,,,7,-4.3581,98.1071,,,,,,,
16274,,,18,-5.4364,98.4523,,,,,,,
16398,,,124,135.5428,101.5717,,,,,,,
16465,,,67,138.7378,104.3177,,,,,,,
16484,,,19,2.0979,104.063,,,,,,,
16500,,,,,,0.0976,-512.1772,68.8884,0.0976,1294.1035,14090.2979,30.8226
16508,,,24,6.1799,103.8324,,,,,,,
16631,,,123,66.4519,104.2266,,,,,,,
16641,,,10,-3.6275,104.2252,,,,,,,
16659,,,18,-6.1126,103.998,,,,,,,
16684,,,25,8.2132,89.7015,,,,,,,
16743,,,59,71.8634,98.395,,,,,,,
16758,,,15,-7.8798,97.9968,,,,,,,
16863,,,105,146.9295,101.3044,,,,,,,
16888,,,25,5.6228,97.5306,,,,,,,
17000,,,,,,0.1031,-549.3361,42.4354,0.1031,1290.9996,11693.0869,28.0509
17051,,,163,7.217,98.0455,,,,,,,
17152,,,101,126.3447,98.0254,,,,,,,
17179,,,27,7.2731,97.5895,,,,,,,
17204,,,25,3.8256,97.7042,,,,,,,
17367,,,163,308.0915,98.0604,,,,,,,
17500,,,,,,0.1043,-590.6837,41.6986,0.1043,1666.0573,11016.7451,13.5556
17507,,,140,26.0452,97.8764,,,,,,,
17621,,,114,-7.5444,98.0803,,,,,,,
17846,,,225,316.6045,98.144,,,,,,,
17857,,,11,-4.6329,99.0218,,,,,,,
17867,,,10,-6.7054,97.7386,,,,,,,
17891,,,24,5.3596,97.5311,,,,,,,
18000,,,,,,0.0969,-624.4832,39.9624,0.0969,1461.601,14217.6768,16.4348
18058,,,167,278.3581,98.4059,,,,,,,
18189,,,131,247.6751,98.4,,,,,,,
18263,,,74,64.9552,101.558,,,,,,,
18402,,,139,243.8281,103.9468,,,,,,,
18487,,,85,188.3175,103.8317,,,,,,,
18500,,,,,,0.0965,-665.4844,35.2865,0.0965,2022.9124,16584.3359,12.6377
18508,,,21,1.2919,103.6971,,,,,,,
18735,,,227,384.5889,99.089,,,,,,,
18933,,,198,272.4413,98.405,,,,,,,
19000,,,,,,0.1009,-713.362,55.5005,0.1009,2281.7681,16198.7295,34.6183
19061,,,128,247.0372,98.5401,,,,,,,
19171,,,110,177.325,101.2486,,,,,,,
19265,,,94,97.8358,104.1084,,,,,,,
19430,,,165,261.897,102.4335,,,,,,,
19500,,,,,,0.0972,-757.8724,89.8912,0.0972,1739.1707,18176.0332,33.8425
19587,,,157,94.9095,98.0409,,,,,,,
19705,,,118,178.9068,98.2099,,,,,,,
19730,,,25,2.4951,98.3777,,,,,,,
19755,,,25,3.583,98.7754,,,,,,,
19777,,,22,2.0229,98.304,,,,,,,
19802,,,25,4.9953,98.0122,,,,,,,
19809,,,7,-4.9225,97.495,,,,,,,
19818,,,9,-5.78,98.3373,,,,,,,
19986,,,168,300.1882,99.2038,,,,,,,
20000,,,,,,0.1016,-783.2787,64.9206,0.1016,2512.9866,16288.9199,35.1343
20000,363.4004,384.2,,,,,,,,,,
20183,,,197,-72.4826,73.639,,,,,,,
20358,,,175,299.7692,104.2198,,,,,,,
20380,,,22,-0.85,104.3476,,,,,,,
20500,,,,,,0.0963,-832.3828,47.4446,0.0963,2945.1846,37306.7227,28.9803
20515,,,135,224.037,102.8833,,,,,,,
20525,,,10,-5.419,98.3021,,,,,,,
20535,,,10,-6.0165,98.0202,,,,,,,
20576,,,41,21.5603,98.5286,,,,,,,
20726,,,150,251.5706,98.5279,,,,,,,
20753,,,27,7.0137,98.4089,,,,,,,
20766,,,13,-4.7897,98.5527,,,,,,,
20793,,,27,8.737,98.3522,,,,,,,
20871,,,78,73.1791,98.1855,,,,,,,
21000,,,,,,0.0982,-858.1358,55.2263,0.0982,2284.5767,22957.8555,21.9808
21117,,,246,131.2105,98.1039,,,,,,,
21129,,,12,-3.1631,98.5743,,,,,,,
21163,,,34,24.6678,98.4388,,,,,,,
21286,,,123,146.4852,97.983,,,,,,,
21350,,,64,60.1782,98.209,,,,,,,
21377,,,27,8.8834,97.9478,,,,,,,
21398,,,21,-1.5316,98.2031,,,,,,,
21416,,,18,-0.6294,98.4581,,,,,,,
21436,,,20,-3.928,98.2818,,,,,,,
21446,,,10,-3.3116,98.3521,,,,,,,
21500,,,,,,0.1022,-900.7261,59.4427,0.1022,4491.0112,58857.7422,39.0346
21571,,,125,254.8048,98.3307,,,,,,,
21595,,,24,5.296,98.4568,,,,,,,
21670,,,75,83.1477,103.3717,,,,,,,
21694,,,24,0.1478,104.3415,,,,,,,
21725,,,31,17.6496,104.3004,,,,,,,
21749,,,24,3.7909,104.4303,,,,,,,
21814,,,65,60.6493,99.2717,,,,,,,
21833,,,19,-4.7762,96.9688,,,,,,,
21841,,,8,-3.9457,98.4798,,,,,,,
21906,,,65,81.3525,102.4456,,,,,,,
21933,,,27,8.1812,104.4154,,,,,,,
21997,,,64,78.4618,104.3439,,,,,,,
22000,,,,,,0.1017,-925.9794,70.4585,0.1017,4336.5947,34757.3516,29.5673
22028,,,31,11.537,98.5391,,,,,,,
22090,,,62,83.8335,97.9886,,,,,,,
22100,,,10,-3.2324,98.1583,,,,,,,
22226,,,126,170.6882,97.9742,,,,,,,
22292,,,66,136.6994,98.0999,,,,,,,
22305,,,13,-7.4982,98.4655,,,,,,,
22337,,,32,12.241,98.279,,,,,,,
22459,,,122,185.698,98.1568,,,,,,,
22476,,,17,-6.2186,98.0855,,,,,,,
22500,,,,,,0.1058,-967.2158,64.3316,0.1058,4403.3252,45659.6875,36.7856
22514,,,38,25.9768,96.9686,,,,,,,
22776,,,262,152.1639,97.823,,,,,,,
22783,,,7,-5.4043,98.1635,,,,,,,
22791,,,8,-4.3391,99.3864,,,,,,,
22814,,,23,3.289,98.0374,,,,,,,
22829,,,15,-5.1042,98.5505,,,,,,,
22943,,,114,206.9201,98.2964,,,,,,,
22956,,,13,-3.0263,97.8395,,,,,,,
22975,,,19,-3.0887,98.3018,,,,,,,
22994,,,19,-6.7129,98.6178,,,,,,,
23000,,,,,,0.0953,-973.5629,86.0583,0.0953,2925.9661,24404.2246,41.0987
23005,,,11,-2.8586,96.0258,,,,,,,
23105,,,100,145.0382,98.1825,,,,,,,
23127,,,22,-0.5178,98.7852,,,,,,,
23152,,,25,3.3064,98.1487,,,,,,,
23175,,,23,3.6352,98.5904,,,,,,,
23360,,,185,108.977,98.4396,,,,,,,
23375,,,15,-1.8978,97.5681,,,,,,,
23465,,,90,142.4899,98.1575,,,,,,,
23476,,,11,-2.9636,97.9957,,,,,,,
23489,,,13,-0.9635,98.0781,,,,,,,
23500,,,,,,0.0854,-974.3577,46.6658,0.0854,2596.7605,26153.6992,24.7943
23520,,,31,14.1397,98.6702,,,,,,,
23565,,,45,20.5051,99.6704,,,,,,,
23593,,,28,6.3326,98.422,,,,,,,
23603,,,10,-4.0772,98.581,,,,,,,
23630,,,27,5.623,98.673,,,,,,,
23682,,,52,42.7311,98.3865,,,,,,,
23722,,,40,26.08,98.4202,,,,,,,
23753,,,31,9.3429,97.5969,,,,,,,
23787,,,34,13.4328,102.4509,,,,,,,
23805,,,18,3.6575,104.3186,,,,,,,
23905,,,100,-36.8682,104.3028,,,,,,,
24000,,,,,,0.0887,-967.7136,68.059,0.0887,3919.2627,30315.1602,29.4801
24003,,,98,-25.932,101.4518,,,,,,,
24080,,,77,-9.3169,98.3205,,,,,,,
24201,,,121,-39.8914,98.2784,,,,,,,
24354,,,153,37.3572,98.0531,,,,,,,
24438,,,84,-26.7389,101.9415,,,,,,,
24500,,,,,,0.0776,-987.9523,38.7036,0.0776,2568.2549,31878.2773,18.523
24527,,,89,-34.6628,105.2963,,,,,,,
24621,,,94,-19.2667,105.1893,,,,,,,
24752,,,131,-14.7138,102.9765,,,,,,,
24942,,,190,-44.7954,98.2575,,,,,,,
25000,,,,,,0.078,-1006.2036,49.6601,0.078,3256.8999,27473.416,28.6698
25000,1.5479,129.2,,,,,,,,,,
25059,,,117,-43.4042,79.9384,,,,,,,
25175,,,116,-3.8148,97.988,,,,,,,
25339,,,164,-33.736,98.1686,,,,,,,
25465,,,126,-2.6919,97.9289,,,,,,,
25500,,,,,,0.0815,-1014.4977,48.9945,0.0815,2912.2214,31778.0059,37.7316
25579,,,114,-40.1514,98.3426,,,,,,,
25673,,,94,67.3565,97.9951,,,,,,,
25698,,,25,1.5209,98.6173,,,,,,,
25759,,,61,4.9674,98.365,,,,,,,
25780,,,21,0.573,98.6786,,,,,,,
25806,,,26,4.4652,98.7116,,,,,,,
25836,,,30,15.3363,98.1147,,,,,,,
25904,,,68,29.0024,98.3494,,,,,,,
25913,,,9,-1.86,98.079,,,,,,,
25931,,,18,-6.3923,97.3328,,,,,,,
25954,,,23,-4.2024,98.2485,,,,,,,
25984,,,30,8.5995,98.5019,,,,,,,
25995,,,11,-4.3842,98.562,,,,,,,
26000,,,,,,0.0913,-1068.6919,52.429,0.0913,3145.2053,31413.5723,26.1493
26021,,,26,2.9076,98.0389,,,,,,,
26095,,,74,45.4461,97.5752,,,,,,,
26122,,,27,4.2736,97.7362,,,,,,,
26159,,,37,13.0315,97.8257,,,,,,,
