env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
35000,,,,,,,,,,,,1000,1781.4279,82.7371
35500,,,1.5451,0.7763,0.1643,-96.153,6.8238,0.5043,3.1229,20.7297,1.2126,,,
36000,,,1.4792,0.7637,0.1579,-98.2059,5.2476,0.4459,3.107,28.0393,1.9581,,,
36000,,,,,,,,,,,,1000,1703.6938,99.8602
36500,,,1.5306,0.7785,0.1628,-103.9327,6.621,0.4848,3.1464,15.4178,1.6769,,,
37000,,,1.5216,0.7876,0.1621,-103.2315,5.8856,0.4637,3.2188,34.186,1.4774,,,
37000,,,,,,,,,,,,1000,1660.9788,100.3054
37500,,,1.5505,0.7787,0.1653,-106.8102,6.3115,0.518,4.0395,27.2262,1.4507,,,
38000,,,1.5124,0.7773,0.1598,-106.1367,6.98,0.4608,3.5825,18.1045,1.0611,,,
38000,,,,,,,,,,,,1000,1388.6867,99.851
38500,,,1.5355,0.7781,0.1636,-108.2493,6.3021,0.4871,2.7995,13.1665,1.2174,,,
39000,,,1.516,0.7801,0.1623,-114.3841,6.7783,0.4545,3.3505,23.6019,1.6058,,,
39000,,,,,,,,,,,,1000,1431.7344,100.5791
39500,,,1.539,0.7776,0.1657,-115.1249,6.8909,0.4897,3.7332,16.7324,1.8147,,,
40000,,,1.5144,0.7812,0.1597,-115.2131,6.9234,0.4649,3.0338,42.4156,1.5454,,,
40000,2596.5133,1000.0,,,,,,,,,,,,
40000,,,,,,,,,,,,1000,1794.0442,82.376
40500,,,1.5167,0.7734,0.1623,-118.4463,6.8076,0.4768,3.0664,30.5518,2.3576,,,
41000,,,1.5325,0.7816,0.1639,-119.8012,5.2906,0.4716,3.8001,63.886,1.5169,,,
41000,,,,,,,,,,,,1000,1716.5734,100.3085
41500,,,1.5213,0.7922,0.1636,-125.3408,6.5715,0.4423,3.4475,31.1717,1.6513,,,
42000,,,1.5549,0.7754,0.1671,-124.5307,6.0623,0.5128,3.5593,29.478,1.6202,,,
42000,,,,,,,,,,,,1000,1846.6853,103.0644
42500,,,1.5495,0.7941,0.1669,-126.7997,6.6265,0.4778,3.2242,15.9259,1.6614,,,
43000,,,1.5408,0.7971,0.1645,-128.7444,6.5136,0.4603,3.4716,16.7861,1.9205,,,
43000,,,,,,,,,,,,1000,1795.2788,100.2142
43500,,,1.5882,0.7987,0.1714,-130.2711,6.8318,0.5167,4.101,58.7709,1.4035,,,
44000,,,1.5607,0.7842,0.166,-131.4627,6.4742,0.5089,3.5687,21.1896,2.1255,,,
44000,,,,,,,,,,,,1000,1855.9695,100.4567
44500,,,1.5399,0.7973,0.1638,-135.0538,5.8381,0.4646,3.7042,27.9924,2.0364,,,
45000,,,1.5578,0.8016,0.1665,-133.7979,6.5095,0.4786,3.0671,27.8034,2.0327,,,
45000,2758.1445,1000.0,,,,,,,,,,,,
45000,,,,,,,,,,,,1000,1756.1323,81.9073
