env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
35000,,,1.079,0.7425,0.1074,-68.6335,7.2053,0.3194,2.9793,13.3545,2.3125,,,
35000,2002.8247,1000.0,,,,,,,,,,,,
35000,,,,,,,,,,,,1000,1144.5524,77.6956
35500,,,1.0929,0.7414,0.1093,-70.5788,8.4604,0.3399,2.9628,25.4896,2.2656,,,
36000,,,1.0764,0.7444,0.1069,-73.1563,6.9852,0.316,3.0905,25.953,1.5766,,,
36000,,,,,,,,,,,,1000,697.1346,92.4133
36500,,,1.0717,0.7581,0.1055,-73.1433,8.2009,0.2981,2.9658,34.5289,1.7262,,,
37000,,,1.1122,0.7515,0.1108,-74.2471,6.9081,0.3518,3.5816,28.6784,1.8196,,,
37000,,,,,,,,,,,,1000,623.7845,93.9785
37500,,,1.1015,0.751,0.1083,-73.7594,9.4906,0.3514,3.1108,20.1863,2.2942,,,
38000,,,1.1023,0.7605,0.111,-79.9073,8.1027,0.3238,3.7582,21.1606,1.4961,,,
38000,,,,,,,,,,,,1000,1119.5892,92.6285
38500,,,1.1002,0.7507,0.1089,-79.2007,7.6648,0.3436,2.921,19.8458,2.493,,,
39000,,,1.0966,0.7507,0.1086,-79.504,6.8413,0.332,4.3094,42.9986,1.508,,,
39000,,,,,,,,,,,,1000,1112.7227,95.6357
39500,,,1.0911,0.761,0.1077,-81.5557,7.1221,0.3148,3.6064,15.4001,2.629,,,
40000,,,1.1061,0.7644,0.1103,-84.8865,6.7593,0.3271,3.8554,35.8074,1.5497,,,
40000,2205.0449,1000.0,,,,,,,,,,,,
40000,,,,,,,,,,,,1000,1507.9209,77.4146
40500,,,1.1273,0.7561,0.1134,-85.9901,7.4365,0.3657,3.5622,25.1073,1.3965,,,
41000,,,1.1031,0.7563,0.1097,-88.5937,9.4735,0.3376,3.5555,38.9167,2.3161,,,
41000,,,,,,,,,,,,1000,1513.7233,93.0044
41500,,,1.0967,0.7613,0.11,-90.0574,7.5369,0.3235,4.1789,38.7876,1.0274,,,
42000,,,1.1062,0.7631,0.1102,-91.9055,6.7228,0.332,4.4726,43.5033,1.5218,,,
42000,,,,,,,,,,,,1000,1497.4911,96.3444
42500,,,1.1354,0.7707,0.1124,-92.8125,8.8861,0.3667,3.5864,24.3351,1.7408,,,
43000,,,1.1028,0.7628,0.1092,-93.2694,7.6531,0.3245,4.614,28.49,1.8611,,,
43000,,,,,,,,,,,,1000,573.3817,95.239
43500,,,1.0935,0.7662,0.1091,-96.325,10.2925,0.3063,3.4939,29.3914,2.9242,,,
44000,,,1.1196,0.7673,0.1121,-95.0233,8.9122,0.3625,3.227,35.2095,2.1547,,,
44000,,,,,,,,,,,,1000,1801.1412,94.1265
44500,,,1.1391,0.7702,0.1143,-96.5673,10.312,0.3822,4.4684,39.3638,3.0681,,,
