env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
28500,,,0.4499,0.7896,0.1682,-119.0712,5.375,0.0871,-0.3249,2.3153,125.5475,1.5583,,,
29000,,,0.4416,0.7868,0.1583,-119.8964,4.3416,0.0882,-0.3194,2.8563,82.112,2.1287,,,
29000,,,,,,,,,,,,,1000,1586.837,82.9638
29500,,,0.447,0.7805,0.1798,-114.6753,5.6352,0.0795,-0.349,3.7656,217.8202,1.945,,,
30000,,,0.4347,0.7873,0.1534,-125.6484,5.9612,0.0865,-0.3102,2.399,59.7901,1.8511,,,
30000,3026.4233,1000.0,,,,,,,,,,,,,
30000,,,,,,,,,,,,,1000,1638.6064,72.4061
30500,,,0.4358,0.794,0.1487,-124.5955,5.8574,0.0891,-0.3072,2.7246,150.447,2.0852,,,
31000,,,0.4444,0.7887,0.17,-126.9265,6.7559,0.0835,-0.3276,2.5265,71.9304,3.3329,,,
31000,,,,,,,,,,,,,1000,427.1581,80.9486
31500,,,0.4359,0.7882,0.1589,-130.6478,6.8499,0.0841,-0.3204,2.8048,70.492,2.398,,,
32000,,,0.4438,0.8001,0.1594,-126.3384,5.6364,0.0878,-0.3064,2.8004,171.6382,1.3637,,,
32000,,,,,,,,,,,,,1000,1673.7909,81.3517
32500,,,0.437,0.7833,0.1574,-128.3491,6.0829,0.0855,-0.3216,2.8915,68.8109,1.8364,,,
33000,,,0.4432,0.7962,0.1588,-132.5775,6.1548,0.0887,-0.3132,2.9434,127.1362,2.2159,,,
33000,,,,,,,,,,,,,1000,1804.8373,80.813
33500,,,0.4481,0.8107,0.1687,-134.9651,5.4786,0.0863,-0.3268,2.6663,116.1393,2.0396,,,
34000,,,0.4392,0.8073,0.1547,-140.8236,5.6443,0.0886,-0.316,3.7123,133.4241,1.2342,,,
34000,,,,,,,,,,,,,1000,1541.082,81.0749
34500,,,0.4343,0.7891,0.1559,-136.7603,6.0819,0.0853,-0.3081,3.1615,142.9767,1.92,,,
35000,,,0.4381,0.8034,0.1562,-137.5076,7.248,0.0877,-0.3081,2.891,245.7889,3.4214,,,
35000,3440.9487,1000.0,,,,,,,,,,,,,
35000,,,,,,,,,,,,,1000,1809.3699,73.1313
35500,,,0.4341,0.7972,0.1546,-144.8993,6.7671,0.0855,-0.3011,3.5281,105.3258,2.3119,,,
36000,,,0.4349,0.8052,0.1676,-144.3861,9.1492,0.079,-0.3258,3.2434,106.6958,3.5601,,,
36000,,,,,,,,,,,,,1000,2020.3742,80.7757
36500,,,0.4289,0.8182,0.1598,-150.4165,6.3597,0.0798,-0.3133,3.2438,123.2698,2.4108,,,
37000,,,0.4326,0.8033,0.1761,-145.9783,5.0058,0.0742,-0.3433,2.8162,82.1435,1.8479,,,
37000,,,,,,,,,,,,,1000,1868.0445,81.028
37500,,,0.4417,0.8046,0.1576,-154.6564,7.1154,0.0879,-0.312,3.3205,90.9761,2.1975,,,
38000,,,0.4336,0.8193,0.1511,-158.4509,5.8771,0.0876,-0.3087,4.1437,224.7086,2.0972,,,
38000,,,,,,,,,,,,,1000,2152.1198,80.793
38500,,,0.4269,0.808,0.1536,-160.1053,6.3503,0.0818,-0.298,3.4615,147.0905,2.1445,,,
39000,,,0.4286,0.8191,0.1505,-159.8447,6.1948,0.0841,-0.3013,3.3487,122.4765,1.4259,,,
39000,,,,,,,,,,,,,1000,1934.498,81.4798
39500,,,0.4317,0.8163,0.1576,-160.0796,5.2557,0.0826,-0.3085,3.121,81.8157,1.4928,,,
40000,,,0.4297,0.7988,0.166,-163.0326,6.7859,0.0767,-0.3278,3.3766,158.0535,2.5396,,,
40000,3809.2338,1000.0,,,,,,,,,,,,,
40000,,,,,,,,,,,,,1000,2178.9465,73.1914
40500,,,0.4193,0.8083,0.1585,-174.8973,5.091,0.0755,-0.3037,3.1829,171.6723,1.4255,,,
41000,,,0.4279,0.8164,0.1549,-170.3016,5.6416,0.0813,-0.3027,4.1092,145.4496,2.0717,,,
41000,,,,,,,,,,,,,1000,2174.5834,80.9996
41500,,,0.4376,0.8187,0.1515,-171.2719,6.2496,0.0892,-0.2999,3.9825,103.7186,1.9381,,,
42000,,,0.4272,0.8148,0.154,-174.8082,7.5051,0.0815,-0.3068,3.209,274.2621,2.3437,,,
42000,,,,,,,,,,,,,1000,624.7811,82.7042
42500,,,0.4294,0.8191,0.1494,-176.2168,5.5973,0.0853,-0.2948,3.3228,284.6225,2.1534,,,
43000,,,0.4227,0.8148,0.1477,-177.835,5.2299,0.0831,-0.2926,3.7302,159.6956,2.7157,,,
43000,,,,,,,,,,,,,1000,2406.3225,82.0462
43500,,,0.4283,0.8186,0.1538,-176.2625,5.4496,0.0827,-0.3104,3.4111,217.9232,2.4926,,,
44000,,,0.4372,0.8271,0.1548,-176.9316,6.3385,0.087,-0.3086,3.4585,150.4148,2.6981,,,
44000,,,,,,,,,,,,,1000,2550.5719,80.9567
44500,,,0.4261,0.8302,0.1685,-181.9418,5.7603,0.0735,-0.3297,4.2333,128.816,1.753,,,
45000,,,0.4241,0.8279,0.1529,-184.0136,6.656,0.0807,-0.2999,3.5052,204.9133,2.5557,,,
45000,3961.7214,1000.0,,,,,,,,,,,,,
45000,,,,,,,,,,,,,1000,2432.0128,74.3187
45500,,,0.4214,0.8224,0.1487,-182.2023,6.0861,0.0807,-0.3017,27.2019,243.6693,3.649,,,
46000,,,0.4224,0.8241,0.1543,-188.3915,6.8644,0.0785,-0.3104,4.7127,230.1532,3.3042,,,
46000,,,,,,,,,,,,,1000,977.857,81.6992
46500,,,0.4271,0.8275,0.1561,-188.3431,5.5373,0.0805,-0.3101,4.8947,228.6373,3.2315,,,
47000,,,0.4207,0.8219,0.1446,-189.1333,5.064,0.0829,-0.2908,3.9659,133.9523,1.8959,,,
47000,,,,,,,,,,,,,1000,2612.9382,82.9089
47500,,,0.4204,0.8291,0.152,-194.8072,5.6948,0.0792,-0.2982,3.6038,135.5083,2.641,,,
48000,,,0.4117,0.8342,0.144,-200.5116,6.0678,0.0782,-0.2979,3.3403,193.9879,2.0734,,,
48000,,,,,,,,,,,,,1000,2725.6043,83.0731
48500,,,0.4183,0.8289,0.1554,-196.7999,6.9678,0.076,-0.3135,5.1241,110.3939,3.5042,,,
49000,,,0.4217,0.8418,0.1748,-196.9608,6.0859,0.0675,-0.3354,4.2187,245.0695,2.0705,,,
49000,,,,,,,,,,,,,1000,2722.9341,83.9841
49500,,,0.4221,0.8347,0.1443,-198.7146,6.4031,0.0841,-0.2786,3.6431,125.6559,2.9784,,,
50000,,,0.4046,0.8363,0.1457,-207.557,5.4621,0.0735,-0.2897,3.4429,95.3898,3.1843,,,
50000,4270.1725,1000.0,,,,,,,,,,,,,
50000,,,,,,,,,,,,,1000,2569.9632,74.0187
50500,,,0.4106,0.8339,0.1453,-203.9753,6.8077,0.0771,-0.2851,3.0122,114.0411,2.4604,,,
51000,,,0.4118,0.8333,0.1482,-205.178,7.5003,0.0758,-0.2859,3.4351,100.9844,2.6938,,,
51000,,,,,,,,,,,,,1000,2758.4903,80.8766
51500,,,0.4131,0.8482,0.1434,-210.6898,6.2953,0.0791,-0.2841,3.3443,167.8752,3.3629,,,
52000,,,0.4139,0.844,0.146,-216.9026,5.61,0.078,-0.2871,3.1862,252.6183,2.1134,,,
52000,,,,,,,,,,,,,1000,2886.573,81.1416
52500,,,0.4142,0.8398,0.1478,-209.3186,5.8787,0.0775,-0.2878,3.0964,154.2118,2.8973,,,
53000,,,0.4176,0.8408,0.156,-213.9437,6.2491,0.0754,-0.3117,5.1261,204.3398,2.6878,,,
53000,,,,,,,,,,,,,1000,2538.2884,83.0408
53500,,,0.4156,0.8365,0.1501,-219.4693,6.1506,0.077,-0.3011,3.3045,179.2619,2.433,,,
54000,,,0.4173,0.8529,0.1464,-219.2108,5.8569,0.0804,-0.2906,4.0158,111.5531,3.2604,,,
