env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
42500,,,536.3314,839.4528,44444.0469,536.3314,2.3102,164.61,3.319,,,
43000,,,566.0137,898.3834,43330.6797,566.0137,2.7387,230.1135,3.3752,,,
43000,,,,,,,,,,1000,3221.2948,91.7369
43500,,,521.5792,808.1467,33144.1602,521.5792,2.5061,79.089,3.3333,,,
44000,,,487.0312,735.8715,30708.041,487.0312,2.2692,77.378,2.9983,,,
44000,,,,,,,,,,1000,3254.9893,92.1745
44500,,,502.6839,760.4109,25862.8574,502.6839,3.1745,253.9048,3.5578,,,
45000,,,482.2856,715.8217,28048.0723,482.2856,2.6442,244.9197,3.245,,,
45000,5245.609,1000.0,,,,,,,,,,
45000,,,,,,,,,,1000,3385.9748,76.3873
45500,,,506.028,765.2143,33664.2695,506.028,2.7621,181.266,2.7918,,,
46000,,,508.6059,765.0635,25334.293,508.6059,2.7882,162.4657,3.9924,,,
46000,,,,,,,,,,1000,3489.6718,91.4277
46500,,,506.3998,761.7861,31641.9277,506.3998,2.8091,203.7339,3.1981,,,
47000,,,499.9835,745.2686,29938.918,499.9835,2.9898,137.4164,2.1943,,,
47000,,,,,,,,,,1000,3114.5095,92.3014
47500,,,535.6981,813.2772,44341.25,535.6981,3.4908,87.6216,4.4801,,,
48000,,,455.543,648.5057,27356.9629,455.543,2.8116,196.6987,3.5022,,,
48000,,,,,,,,,,1000,3549.9895,97.608
48500,,,506.268,749.2803,35214.3125,506.268,3.0143,195.7083,3.3752,,,
49000,,,504.6102,743.5228,32680.1367,504.6102,2.8168,202.5547,3.1816,,,
49000,,,,,,,,,,1000,3618.1564,92.4656
49500,,,526.7468,786.585,36200.875,526.7468,2.7434,128.4376,2.8054,,,
50000,,,479.0672,685.4928,28967.6934,479.0672,4.0376,178.9435,3.1359,,,
50000,5490.5911,1000.0,,,,,,,,,,
50000,,,,,,,,,,1000,3360.272,77.0865
50500,,,502.4963,734.4951,32837.6641,502.4963,2.8936,120.9952,3.0766,,,
51000,,,512.6705,749.6242,25951.0371,512.6705,2.8775,135.2972,2.2252,,,
51000,,,,,,,,,,1000,3618.6582,94.1795
51500,,,496.5214,712.9597,39223.8672,496.5214,3.3436,265.9824,3.9923,,,
52000,,,571.7573,858.1337,83433.2812,571.7573,2.9014,246.6021,3.4626,,,
52000,,,,,,,,,,1000,3743.9327,94.7427
52500,,,502.9364,720.4534,29297.6348,502.9364,5.4633,280.2213,2.5604,,,
53000,,,520.6191,754.6274,36283.4023,520.6191,3.6858,97.6874,4.0234,,,
53000,,,,,,,,,,1000,2401.078,91.8082
53500,,,522.7274,757.5822,37856.0117,522.7274,2.8758,141.9136,3.4661,,,
54000,,,512.9799,734.3087,34778.1094,512.9799,3.2161,150.5089,4.0076,,,
54000,,,,,,,,,,1000,3755.0013,91.7492
54500,,,514.265,736.403,33019.3594,514.265,2.9338,144.8935,3.3145,,,
55000,,,503.1175,708.4738,35265.0,503.1175,3.0107,174.6974,2.7448,,,
55000,5595.8763,1000.0,,,,,,,,,,
55000,,,,,,,,,,1000,3866.9117,76.7382
55500,,,482.0552,666.0399,23600.6484,482.0552,3.4304,139.2655,3.263,,,
56000,,,508.2397,714.0984,30609.5352,508.2397,3.6904,201.3281,2.9082,,,
56000,,,,,,,,,,1000,3915.6647,96.0357
56500,,,488.6257,675.3629,35182.6953,488.6257,2.9761,204.1443,2.9496,,,
57000,,,496.0653,686.4037,36698.957,496.0653,3.2265,272.2866,3.4668,,,
57000,,,,,,,,,,1000,3885.1503,95.3987
57500,,,534.91,757.6124,57373.0195,534.91,3.1085,175.2001,2.7687,,,
58000,,,512.6017,715.722,38836.5938,512.6017,3.2341,156.1165,3.6077,,,
58000,,,,,,,,,,1000,3973.1665,91.8232
58500,,,564.2587,815.4818,49479.9844,564.2587,3.2593,299.8781,4.3582,,,
59000,,,526.8258,740.6335,37674.3672,526.8258,3.1092,120.5027,3.1753,,,
59000,,,,,,,,,,1000,4180.942,92.8905
59500,,,476.1233,637.9695,31729.8516,476.1233,2.9945,149.0418,3.1017,,,
60000,,,539.4274,762.1039,37606.457,539.4274,3.2792,147.7094,2.542,,,
60000,5710.7908,1000.0,,,,,,,,,,
60000,,,,,,,,,,1000,4182.3749,77.5304
60500,,,516.7872,712.5442,41845.3984,516.7872,3.3618,312.9037,4.0543,,,
61000,,,507.5515,693.3853,31969.998,507.5515,3.0487,177.3953,2.7314,,,
61000,,,,,,,,,,1000,4288.9639,94.8019
61500,,,492.9401,661.0059,29226.3066,492.9401,3.2115,240.2687,4.4819,,,
62000,,,489.7852,649.2722,28595.4688,489.7852,3.7688,102.3683,3.8965,,,
62000,,,,,,,,,,1000,4319.2476,97.4407
62500,,,508.8943,687.0924,25700.5586,508.8943,3.0545,134.4498,3.4303,,,
63000,,,507.8398,684.0266,38564.2305,507.8398,3.2989,200.5239,3.9262,,,
63000,,,,,,,,,,1000,4466.1884,94.3131
63500,,,534.2098,732.0507,59995.4258,534.2098,3.4559,321.3725,2.7566,,,
64000,,,497.8448,660.1445,29979.416,497.8448,3.3897,106.7651,3.72,,,
64000,,,,,,,,,,1000,4490.4164,96.2896
64500,,,623.7793,905.1715,36943.5469,623.7793,4.4086,186.2731,2.7656,,,
65000,,,581.838,821.728,49078.4023,581.838,5.3173,253.3061,5.2478,,,
65000,6100.8799,1000.0,,,,,,,,,,
65000,,,,,,,,,,1000,291.6867,79.2713
65500,,,580.8848,823.5082,40303.6172,580.8848,4.4172,185.9145,2.9913,,,
66000,,,561.6719,782.007,40239.4375,561.6719,4.8211,111.5384,3.1922,,,
66000,,,,,,,,,,1000,4476.5207,93.3822
66500,,,542.0201,738.5819,42372.8008,542.0201,3.7169,182.8736,3.0889,,,
67000,,,580.2237,813.0682,45125.9219,580.2237,4.8901,268.8544,4.341,,,
67000,,,,,,,,,,1000,4590.0792,91.87
67500,,,600.9532,856.0538,42315.0273,600.9532,4.0702,151.8911,2.9821,,,
68000,,,564.5013,776.5114,53778.5078,564.5013,4.3663,408.9587,4.0956,,,
68000,,,,,,,,,,1000,4776.0668,91.6416
68500,,,501.0824,646.9224,29679.375,501.0824,3.9714,230.9165,4.1527,,,
69000,,,524.9459,694.2765,26221.0684,524.9459,4.6031,198.1907,3.3338,,,
69000,,,,,,,,,,1000,4801.3091,91.7213
69500,,,539.4392,717.5359,56279.9766,539.4392,5.3576,184.1665,3.5404,,,
70000,,,531.9433,701.0065,40076.6797,531.9433,5.0193,505.8715,5.51,,,
70000,6162.0289,1000.0,,,,,,,,,,
70000,,,,,,,,,,1000,4759.9011,76.385
70500,,,533.5883,701.0988,47151.0781,533.5883,3.4377,155.9618,3.4072,,,
71000,,,488.3629,610.7485,30010.9883,488.3629,4.5627,545.4275,3.5565,,,
71000,,,,,,,,,,1000,4686.6959,91.2966
71500,,,519.5687,673.557,25779.4414,519.5687,3.9088,185.5764,3.7292,,,
72000,,,561.1835,750.744,44114.5703,561.1835,12.6112,343.0807,3.5127,,,
72000,,,,,,,,,,1000,4723.4751,93.8978
72500,,,496.6769,620.1765,53321.3477,496.6769,3.3816,105.6729,6.3248,,,
73000,,,561.8498,753.3868,40598.0625,561.8498,4.7672,450.8923,4.4562,,,
73000,,,,,,,,,,1000,4845.7644,92.6073
73500,,,543.1359,709.745,36997.4492,543.1359,3.8036,164.4782,4.744,,,
74000,,,562.2312,746.8024,57833.1094,562.2312,3.8576,188.3871,4.2315,,,
74000,,,,,,,,,,1000,5079.0508,91.5204
74500,,,545.2345,710.562,39364.8164,545.2345,4.9112,516.1928,3.5887,,,
75000,,,514.3641,647.9358,42807.8164,514.3641,4.4266,172.0379,3.7721,,,
75000,6060.9051,1000.0,,,,,,,,,,
75000,,,,,,,,,,1000,5112.822,76.2863
75500,,,531.9556,682.0292,27812.0898,531.9556,4.1618,191.3276,2.8451,,,
76000,,,540.3424,692.9584,37513.793,540.3424,4.204,243.944,4.6167,,,
76000,,,,,,,,,,1000,5104.4969,94.0414
76500,,,537.4478,684.9766,44701.3398,537.4478,4.4716,253.038,3.2104,,,
