env_steps,return,length,train/length,train/return,FPS,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
44000,,,,,,3837.2358,-44.1822,-44.1823,3841.0112,20890.2461,1.557,70.2972,0.7952
44500,,,,,,3690.981,-44.1823,-44.1823,3695.0898,20371.0312,1.3028,49.7009,1.052
45000,,,,,,3608.667,-44.1823,-44.1823,3612.2178,27065.1113,3.0321,148.6975,1.2283
45000,-111.9856,219.4,,,,,,,,,,,
45238,,,1600,-135.7202,75.1823,,,,,,,,
45295,,,57,-107.8311,81.6422,,,,,,,,
45369,,,74,-108.7423,81.2597,,,,,,,,
45434,,,65,-109.582,81.9025,,,,,,,,
45496,,,62,-107.4986,81.5126,,,,,,,,
45500,,,,,,3550.1001,-44.1823,-44.1823,3554.1714,26115.2715,1.9009,156.3068,0.8106
45551,,,55,-110.7732,81.6551,,,,,,,,
45597,,,46,-105.6904,80.9884,,,,,,,,
46000,,,,,,3359.291,-44.1823,-44.1823,3362.2427,18512.584,1.1277,53.3837,1.0747
46500,,,,,,3479.6553,-44.1823,-44.1823,3483.9468,17322.0996,1.3993,89.6427,0.8804
47000,,,,,,3470.0154,-44.1823,-44.1823,3474.6384,23255.957,1.4445,90.9845,0.9848
47197,,,1600,-103.9212,82.6645,,,,,,,,
47275,,,78,-104.2988,82.7771,,,,,,,,
47356,,,81,-104.3255,83.3654,,,,,,,,
47422,,,66,-103.6605,82.8786,,,,,,,,
47500,,,,,,3666.7427,-44.1822,-44.1823,3671.7507,23392.9902,1.6087,76.9011,0.5606
48000,,,,,,3451.9272,-44.1823,-44.1823,3456.6201,19794.5469,1.0323,103.0686,0.8415
48500,,,,,,3550.7246,-44.1823,-44.1823,3555.0696,19447.8594,1.9196,102.2575,0.9882
48983,,,1561,-235.6234,81.7828,,,,,,,,
49000,,,,,,3486.8589,-44.1823,-44.1823,3493.5151,21871.9141,2.3501,92.1362,1.121
49074,,,91,-104.3119,81.5109,,,,,,,,
49156,,,82,-103.2058,81.2855,,,,,,,,
49337,,,181,-139.128,81.4656,,,,,,,,
49442,,,105,-106.343,81.5863,,,,,,,,
49500,,,,,,3822.6594,-44.1823,-44.1823,3825.1292,22671.6875,2.7669,164.5702,1.1148
49531,,,89,-120.7556,83.0928,,,,,,,,
49625,,,94,-103.8397,81.4792,,,,,,,,
50000,,,,,,3635.792,-44.1823,-44.1823,3639.9038,15920.2852,1.4751,72.4735,0.9724
50000,-117.7215,692.8,,,,,,,,,,,
50500,,,,,,3664.0977,-44.1823,-44.1816,3668.5671,19491.7031,1.5974,103.5039,1.0179
50895,,,1270,-205.5936,59.1991,,,,,,,,
51000,,,,,,3752.6729,-44.1823,-44.1823,3755.9204,20306.3438,1.2882,86.2704,1.1887
51032,,,137,-108.7021,81.0273,,,,,,,,
51110,,,78,-105.2666,81.5703,,,,,,,,
51206,,,96,-112.0847,81.0537,,,,,,,,
51500,,,,,,3785.0095,-44.1823,-44.1823,3791.439,23079.7812,1.7616,78.6089,0.8457
52000,,,,,,3821.3511,-44.1823,-44.1823,3826.7913,23572.0859,2.0046,108.9298,1.2472
52500,,,,,,4124.7549,-44.1823,-44.1823,4130.3394,27010.8945,2.6946,69.5321,0.8586
52806,,,1600,-99.2023,82.0405,,,,,,,,
