env_steps,return,length,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
16000,,,50,50,10,47.0193,-37.8338,1.82,0.5951,-3.7934,1.3832,41.853,1.4226,,,
16000,,,,,,,,,,,,,,1000,651.2945,6.8239
16500,,,50,50,10,49.5568,-36.9968,2.3394,0.5781,-3.5964,1.1028,30.636,1.6179,,,
17000,,,50,50,10,45.677,-38.6277,2.3161,0.5635,-3.5166,1.4654,39.6509,1.4192,,,
17000,,,,,,,,,,,,,,1000,351.9878,7.4015
17500,,,50,50,9,51.7311,-41.1906,2.3289,0.5808,-3.829,1.4007,42.4051,0.8965,,,
18000,,,50,50,10,46.205,-41.4371,2.0446,0.5712,-3.6501,1.419,31.8028,1.3319,,,
18000,,,,,,,,,,,,,,1000,317.3128,6.9453
18500,,,50,50,9,50.7519,-47.4055,2.0647,0.5451,-3.7172,1.3083,16.0295,0.935,,,
19000,,,50,50,11,47.5928,-47.0702,2.2602,0.5859,-3.8215,1.6117,44.5238,1.5576,,,
19000,,,,,,,,,,,,,,1000,673.7206,7.3548
19500,,,50,50,9,50.8645,-50.2041,2.0006,0.5854,-3.7413,1.2041,15.6562,1.4596,,,
20000,,,50,50,9,49.1159,-50.9675,2.0697,0.6341,-3.8866,1.2196,11.3735,1.2529,,,
20000,1863.5522,1000.0,,,,,,,,,,,,,,
20000,,,,,,,,,,,,,,1000,741.8049,6.23
20500,,,50,50,10,53.8262,-54.4689,2.2936,0.6283,-4.1194,1.8551,17.6752,1.4902,,,
21000,,,50,50,10,50.035,-56.4613,2.1499,0.6148,-3.9025,1.4428,26.4715,1.4633,,,
21000,,,,,,,,,,,,,,1000,710.866,7.1457
21500,,,50,50,10,50.0999,-55.9852,2.3328,0.6046,-4.084,1.3956,16.2404,1.083,,,
22000,,,50,50,9,53.4731,-60.3114,2.6559,0.6528,-4.1954,1.9441,41.5482,1.9841,,,
22000,,,,,,,,,,,,,,1000,869.2763,7.0634
22500,,,50,50,10,52.7743,-61.7231,2.3792,0.6011,-3.9605,1.571,27.062,1.3473,,,
23000,,,50,50,10,49.9167,-62.6752,2.8765,0.6273,-4.0611,1.9329,25.2226,1.3411,,,
23000,,,,,,,,,,,,,,1000,318.0994,7.0687
23500,,,50,50,10,51.4719,-66.9866,2.8053,0.7041,-4.1935,1.8799,35.288,1.209,,,
24000,,,50,50,10,52.2125,-64.3272,2.7187,0.6796,-4.088,1.6793,22.4442,1.2802,,,
24000,,,,,,,,,,,,,,1000,437.724,7.0321
24500,,,50,50,10,49.9932,-67.4044,2.9641,0.6132,-4.2385,1.8005,24.1937,1.513,,,
25000,,,50,50,9,48.6579,-69.5765,2.4854,0.6163,-4.25,1.6072,35.6572,1.386,,,
25000,1896.3105,1000.0,,,,,,,,,,,,,,
25000,,,,,,,,,,,,,,1000,1014.8183,6.4012
25500,,,50,50,9,51.5378,-73.3151,2.5077,0.6368,-4.2237,1.4693,19.9161,1.721,,,
26000,,,50,50,10,50.9726,-74.685,2.522,0.656,-4.4052,1.8416,45.8805,1.3083,,,
26000,,,,,,,,,,,,,,1000,1003.0894,7.1023
26500,,,50,50,10,48.4439,-72.6919,2.6753,0.6497,-4.138,2.0621,29.2279,1.1507,,,
27000,,,50,50,9,51.2674,-78.0599,2.2084,0.6721,-4.6866,2.652,25.1098,1.6965,,,
27000,,,,,,,,,,,,,,1000,1112.3004,6.9512
27500,,,50,50,10,51.9191,-78.2763,2.6115,0.707,-4.6147,2.6141,65.8787,1.6221,,,
28000,,,50,50,10,47.613,-79.8741,2.7342,0.7006,-4.4201,2.2039,53.1493,1.2956,,,
28000,,,,,,,,,,,,,,1000,482.2645,6.9305
28500,,,50,50,9,50.5509,-84.8022,3.0139,0.661,-4.5273,2.5744,76.163,1.3244,,,
29000,,,50,50,10,50.1978,-83.0038,3.2401,0.6524,-4.537,2.8794,29.4926,1.9965,,,
29000,,,,,,,,,,,,,,1000,654.0046,7.2492
29500,,,50,50,9,50.3787,-84.7228,2.6795,0.7007,-4.6402,2.4783,29.0009,1.5707,,,
30000,,,50,50,10,46.9613,-82.1444,2.756,0.7294,-4.5613,2.9855,48.2971,1.6058,,,
30000,1962.2037,1000.0,,,,,,,,,,,,,,
30000,,,,,,,,,,,,,,1000,671.3888,6.3083
30500,,,50,50,11,47.2919,-87.0487,3.328,0.7247,-5.5511,2.747,34.1202,1.7375,,,
31000,,,50,50,9,48.9388,-84.7759,3.1001,0.7381,-4.7152,2.0044,30.6329,2.1239,,,
31000,,,,,,,,,,,,,,1000,510.6103,7.2484
31500,,,50,50,10,46.6002,-87.4632,2.8141,0.733,-5.0877,2.4408,47.7918,2.6088,,,
32000,,,50,50,11,45.8474,-91.289,4.2603,0.6563,-4.4213,2.978,65.0578,1.6936,,,
32000,,,,,,,,,,,,,,1000,799.4345,7.0951
32500,,,50,50,10,50.0636,-94.5986,2.6306,0.7261,-4.7146,2.5625,57.2409,2.1784,,,
33000,,,50,50,10,48.0864,-95.0691,2.7849,0.6376,-4.4833,2.6568,34.4269,1.5324,,,
33000,,,,,,,,,,,,,,1000,744.8507,7.0518
33500,,,50,50,10,45.2488,-93.6677,3.2785,0.6771,-4.4088,2.4183,29.4822,1.7139,,,
34000,,,50,50,11,46.3283,-101.9745,2.9469,0.7661,-4.8417,2.1587,31.1946,1.7961,,,
34000,,,,,,,,,,,,,,1000,1178.8915,7.329
34500,,,50,50,11,43.1344,-98.0921,2.9828,0.6598,-4.6144,3.7329,86.4247,1.6118,,,
35000,,,50,50,10,46.1055,-102.9326,2.6748,0.7673,-4.5425,2.6342,55.4553,1.3032,,,
35000,2154.1785,1000.0,,,,,,,,,,,,,,
35000,,,,,,,,,,,,,,1000,914.8569,6.3337
35500,,,50,50,9,48.4464,-101.7828,3.0823,0.7156,-5.2199,2.4176,46.7744,2.4639,,,
36000,,,50,50,11,46.661,-102.8419,3.0914,0.75,-4.4134,5.0086,66.5455,1.8074,,,
36000,,,,,,,,,,,,,,1000,743.8285,7.1831
36500,,,50,50,10,46.5977,-104.3735,3.2867,0.7307,-4.8297,2.5908,35.1041,1.8294,,,
37000,,,50,50,10,49.4541,-109.3329,2.5307,0.6958,-4.3459,2.426,53.1416,1.8701,,,
37000,,,,,,,,,,,,,,1000,1305.0538,6.9488
37500,,,50,50,9,51.7727,-107.8595,2.9123,0.6876,-4.7772,4.3044,44.5428,2.7428,,,
38000,,,50,50,9,49.9547,-109.7114,3.1199,0.7173,-4.7049,3.4332,132.1338,2.1202,,,
38000,,,,,,,,,,,,,,1000,1314.9443,6.7413
38500,,,50,50,8,51.7562,-113.5959,3.4021,0.7227,-5.1238,3.4192,80.3561,1.9284,,,
39000,,,50,50,9,48.6439,-111.606,2.9054,0.6946,-4.9172,3.5011,70.03,2.7694,,,
39000,,,,,,,,,,,,,,1000,1034.4777,6.9823
39500,,,50,50,10,48.8461,-117.9501,2.9942,0.72,-4.7601,2.3355,35.6869,2.3769,,,
40000,,,50,50,9,47.5196,-113.6825,2.8951,0.765,-5.2974,3.5102,43.2959,2.3472,,,
40000,2263.186,1000.0,,,,,,,,,,,,,,
40000,,,,,,,,,,,,,,1000,492.3424,6.3282
40500,,,50,50,9,49.0463,-115.8106,3.1828,0.7025,-4.8126,2.7143,29.1792,2.9713,,,
41000,,,50,50,9,46.0237,-113.2087,3.7778,0.7167,-4.5772,3.1805,54.7276,2.8734,,,
41000,,,,,,,,,,,,,,1000,988.9634,7.08
41500,,,50,50,9,49.1578,-114.1148,3.3825,0.7222,-5.2049,2.4927,53.5136,2.0202,,,
42000,,,50,50,8,50.499,-118.9332,3.4708,0.7367,-4.8969,3.5934,75.2329,1.8971,,,
42000,,,,,,,,,,,,,,1000,1197.086,7.1198
42500,,,50,50,9,51.2245,-122.2044,4.1928,0.7009,-4.2924,3.2591,71.5504,1.7083,,,
43000,,,50,50,9,48.5859,-121.9006,2.5251,0.7013,-4.93,2.2268,30.9186,3.308,,,
43000,,,,,,,,,,,,,,1000,1485.4381,7.0509
43500,,,50,50,8,49.8598,-124.9585,3.2031,0.7103,-5.1942,3.2486,57.0093,1.9909,,,
44000,,,50,50,8,50.7412,-122.77,3.3006,0.699,-5.3251,2.4102,54.7893,1.7015,,,
44000,,,,,,,,,,,,,,1000,774.2975,7.228
44500,,,50,50,9,48.9545,-128.8341,2.924,0.7061,-5.1568,2.6691,68.185,1.5755,,,
45000,,,50,50,8,53.8194,-129.7409,3.8234,0.706,-5.2582,2.5926,70.2872,2.1753,,,
45000,2488.9292,1000.0,,,,,,,,,,,,,,
45000,,,,,,,,,,,,,,1000,1422.0239,6.3593
45500,,,50,50,9,50.1036,-130.5518,3.3865,0.7372,-5.1706,2.8804,65.7481,2.052,,,
46000,,,50,50,7,56.4936,-133.4069,4.7042,0.7195,-5.1783,2.4213,66.2258,2.0199,,,
46000,,,,,,,,,,,,,,1000,849.8598,6.8685
46500,,,50,50,7,50.8226,-130.3091,3.344,0.6648,-4.8398,3.295,96.4405,1.979,,,
47000,,,50,50,8,53.5005,-128.8706,3.2505,0.7255,-5.5009,3.663,59.5252,1.9389,,,
47000,,,,,,,,,,,,,,1000,1391.5541,6.9564
47500,,,50,50,8,53.9712,-132.7593,4.3887,0.6633,-4.7064,3.4379,37.8823,2.4605,,,
48000,,,50,50,7,54.0462,-137.6287,4.0953,0.6699,-5.413,3.3882,63.6605,2.6031,,,
48000,,,,,,,,,,,,,,1000,1097.5608,6.8497
48500,,,50,50,7,55.5361,-133.5531,4.339,0.7034,-5.0694,6.7567,111.9828,3.2846,,,
49000,,,50,50,8,50.8478,-135.1351,4.6038,0.7343,-5.2647,2.6915,33.1888,2.5054,,,
49000,,,,,,,,,,,,,,1000,739.6308,7.2693
49500,,,50,50,7,58.3062,-137.0343,3.1015,0.6952,-5.0764,3.5129,73.2835,1.9566,,,
50000,,,50,50,7,52.121,-136.9562,3.3272,0.6853,-5.2706,3.5129,54.1104,2.0665,,,
50000,2581.7424,1000.0,,,,,,,,,,,,,,
50000,,,,,,,,,,,,,,1000,1517.6357,6.3911
50500,,,50,50,7,50.6689,-135.9562,3.1574,0.7174,-4.9399,2.7729,37.5492,2.0826,,,
51000,,,50,50,7,55.0401,-138.0616,4.1688,0.6898,-5.1941,3.5777,41.3662,1.7788,,,
51000,,,,,,,,,,,,,,1000,1396.9473,6.8146
51500,,,50,50,8,50.1127,-139.8239,2.9766,0.7348,-4.9336,3.9795,45.769,1.6328,,,
52000,,,50,50,6,57.771,-138.729,2.4948,0.7347,-5.3155,3.1832,80.3543,2.8377,,,
52000,,,,,,,,,,,,,,1000,757.5512,7.08
52500,,,50,50,7,54.5368,-141.0354,5.1126,0.6948,-5.2559,4.4304,71.5003,1.9417,,,
53000,,,50,50,8,52.5072,-142.8064,3.5436,0.7925,-5.2556,2.0998,70.982,2.1182,,,
53000,,,,,,,,,,,,,,1000,868.8079,7.2303
53500,,,50,50,8,51.8158,-140.6561,3.4206,0.7135,-4.642,2.8577,88.9832,3.12,,,
54000,,,50,50,8,49.7184,-138.7118,4.8687,0.7026,-5.129,3.3107,78.3816,4.196,,,
54000,,,,,,,,,,,,,,1000,1139.0744,7.0053
54500,,,50,50,7,52.3376,-146.3316,4.5911,0.6942,-4.8293,2.4458,76.9273,2.776,,,
55000,,,50,50,8,50.0092,-142.1004,3.2766,0.694,-5.1632,3.8791,44.3532,1.6418,,,
55000,2807.2243,1000.0,,,,,,,,,,,,,,
55000,,,,,,,,,,,,,,1000,1082.2061,6.0437
55500,,,50,50,7,53.162,-140.6823,2.9354,0.7266,-5.1736,3.2794,62.8279,1.7984,,,
56000,,,50,50,8,53.7227,-143.3448,4.7233,0.6306,-4.8207,3.3354,75.7392,2.298,,,
56000,,,,,,,,,,,,,,1000,1845.6031,7.199
56500,,,50,50,7,53.4774,-144.6758,3.4702,0.7274,-5.1373,3.6523,80.4569,2.2761,,,
57000,,,50,50,7,51.2557,-148.3401,4.1844,0.7184,-6.2239,2.9438,95.7164,1.7912,,,
57000,,,,,,,,,,,,,,1000,1937.8345,6.959
57500,,,50,50,7,53.0267,-146.5723,2.8593,0.6663,-5.5754,2.5232,68.7179,1.6479,,,
58000,,,50,50,7,61.9912,-148.6819,3.8275,0.732,-5.0801,3.6219,57.1586,2.0702,,,
58000,,,,,,,,,,,,,,1000,1539.6385,6.9756
58500,,,50,50,6,56.2156,-154.1099,3.3583,0.7088,-5.1858,3.2001,62.697,3.1839,,,
59000,,,50,50,6,57.6767,-150.7878,2.8365,0.7478,-5.0783,3.6363,80.8683,2.0716,,,
59000,,,,,,,,,,,,,,1000,1968.534,6.8598
59500,,,50,50,6,59.5104,-152.4733,3.3836,0.713,-5.144,5.7055,156.6617,2.2141,,,
60000,,,50,50,7,60.2127,-155.7078,3.5564,0.6992,-5.7637,3.2602,78.2759,2.1167,,,
60000,3108.6019,1000.0,,,,,,,,,,,,,,
60000,,,,,,,,,,,,,,1000,884.2608,6.1467
60500,,,50,50,6,57.0812,-154.2629,3.8216,0.7432,-5.6126,3.8177,94.6368,1.9363,,,
61000,,,50,50,6,58.5198,-156.3717,3.1849,0.7099,-5.2339,3.778,90.4914,2.1226,,,
61000,,,,,,,,,,,,,,1000,867.8415,7.0816
61500,,,50,50,7,54.879,-151.9454,3.6511,0.7081,-5.4925,3.0596,42.694,2.1878,,,
62000,,,50,50,7,55.5131,-156.7573,3.8991,0.7189,-5.0827,5.9673,138.2497,1.9832,,,
62000,,,,,,,,,,,,,,1000,2112.1563,6.8407
62500,,,50,50,7,53.6685,-158.7113,3.4073,0.6907,-5.2637,3.1318,58.3796,3.9257,,,
63000,,,50,50,7,55.5691,-154.0153,3.9643,0.7578,-5.5366,2.5464,49.2124,2.3948,,,
63000,,,,,,,,,,,,,,1000,1947.7608,7.1471
63500,,,50,50,6,54.3035,-160.3936,4.2252,0.7015,-5.4526,5.2055,76.2557,2.503,,,
64000,,,50,50,6,56.2135,-157.82,3.765,0.7507,-5.8343,5.2698,145.9224,2.1059,,,
64000,,,,,,,,,,,,,,1000,2086.4258,7.0489
64500,,,50,50,6,58.5239,-160.2003,3.6548,0.7292,-6.2646,4.25,86.3494,2.7484,,,
65000,,,50,50,6,56.6754,-169.8087,4.6941,0.7395,-5.3518,2.8832,74.427,1.5139,,,
65000,3410.226,1000.0,,,,,,,,,,,,,,
65000,,,,,,,,,,,,,,1000,2150.3342,6.1207
65500,,,50,50,6,55.4385,-164.8256,3.4765,0.7347,-5.0881,3.3846,63.9001,3.1005,,,
66000,,,50,50,6,59.5044,-165.6259,7.2966,0.7509,-6.1106,4.8938,62.5525,3.2538,,,
66000,,,,,,,,,,,,,,1000,2226.625,7.024
66500,,,50,50,6,60.0969,-161.7181,3.4729,0.6962,-6.0669,3.4442,92.9288,2.608,,,
67000,,,50,50,6,60.253,-167.0267,5.1042,0.7378,-5.7641,6.3012,103.6299,2.2682,,,
67000,,,,,,,,,,,,,,1000,2448.4811,7.0784
67500,,,50,50,6,55.2834,-167.3916,2.9936,0.7687,-5.7267,3.2139,116.8273,2.9253,,,
68000,,,50,50,6,60.318,-169.1696,4.104,0.7365,-6.3713,3.2802,76.6944,2.8578,,,
68000,,,,,,,,,,,,,,1000,2482.9327,7.2125
68500,,,50,50,6,61.947,-170.6589,3.9016,0.7315,-6.0608,5.4972,149.6286,2.2421,,,
69000,,,50,50,5,64.4791,-176.5701,3.411,0.7533,-6.0523,4.0356,192.1344,3.043,,,
69000,,,,,,,,,,,,,,1000,2737.8183,6.9465
69500,,,50,50,5,68.3006,-179.0676,3.6973,0.7689,-6.1423,3.1106,54.3807,3.2761,,,
70000,,,50,50,5,64.1965,-170.9577,4.4588,0.7306,-6.1664,4.6904,109.2405,2.9401,,,
70000,3660.7354,1000.0,,,,,,,,,,,,,,
70000,,,,,,,,,,,,,,1000,2669.2895,6.1348
70500,,,50,50,5,61.0662,-175.8271,5.5637,0.7987,-6.046,3.9228,120.8619,2.8439,,,
71000,,,50,50,5,65.6422,-177.365,4.6986,0.7699,-6.8384,3.6454,66.4286,2.6854,,,
71000,,,,,,,,,,,,,,1000,2613.6371,7.3003
71500,,,50,50,5,66.2693,-182.8074,3.9908,0.8434,-6.7936,5.331,103.5003,2.1932,,,
72000,,,50,50,5,65.9874,-185.7714,4.3768,0.7855,-6.4663,4.1755,114.4673,2.956,,,
72000,,,,,,,,,,,,,,1000,1882.3504,7.4714
72500,,,50,50,5,65.9137,-185.7638,3.2595,0.8058,-6.4634,5.5706,146.7591,2.6857,,,
73000,,,50,50,5,62.7329,-181.56,4.9375,0.8589,-6.249,5.1578,156.3532,2.3657,,,
73000,,,,,,,,,,,,,,1000,2784.2398,6.9094
73500,,,50,50,5,67.1228,-184.6375,4.5806,0.8277,-6.4208,6.5528,128.6336,2.2705,,,
74000,,,50,50,5,73.5382,-190.6915,4.1882,0.8101,-6.7542,4.1965,118.9485,2.0828,,,
74000,,,,,,,,,,,,,,1000,3112.3632,6.8239
74500,,,50,50,5,66.1618,-186.8449,3.2806,0.7934,-6.3199,5.6378,82.3884,2.9863,,,
75000,,,50,50,5,73.7607,-191.5506,5.5235,0.8467,-6.6902,4.9678,151.1837,4.1076,,,
75000,4086.2128,1000.0,,,,,,,,,,,,,,
75000,,,,,,,,,,,,,,1000,2959.8327,6.5704
75500,,,50,50,4,73.9301,-192.0114,4.392,0.8732,-7.138,4.8817,231.367,2.6699,,,
76000,,,50,50,5,74.3849,-198.6725,3.4662,0.7936,-6.422,5.1926,160.1912,3.5697,,,
76000,,,,,,,,,,,,,,1000,3206.7513,6.7037
76500,,,50,50,5,78.4985,-200.1933,4.185,0.8926,-8.2662,8.9809,247.8761,2.8572,,,
77000,,,50,50,5,67.0603,-197.0416,4.628,0.8176,-6.6868,4.3231,102.2049,3.3316,,,
77000,,,,,,,,,,,,,,1000,3292.21,7.1251
77500,,,50,50,4,77.3109,-191.045,5.0754,0.9224,-8.3012,6.1532,138.9594,3.2773,,,
78000,,,50,50,4,73.324,-207.0906,4.9986,0.8613,-7.3196,5.6347,106.0078,3.7432,,,
78000,,,,,,,,,,,,,,1000,3201.5593,7.1492
78500,,,50,50,4,76.1745,-203.8299,3.4583,0.8814,-7.628,7.9527,178.0217,3.5866,,,
79000,,,50,50,5,79.1324,-210.224,6.5468,0.9055,-6.922,4.9987,181.7057,5.0088,,,
79000,,,,,,,,,,,,,,1000,3358.0325,6.9894
79500,,,50,50,3,79.8907,-212.7653,4.9716,0.865,-8.0193,4.3581,139.7866,3.0413,,,
80000,,,50,50,3,76.952,-204.2953,4.9805,0.8706,-7.9499,5.3579,181.2302,3.0232,,,
80000,3988.5987,1000.0,,,,,,,,,,,,,,
80000,,,,,,,,,,,,,,1000,3321.057,6.1771
80500,,,50,50,4,83.1345,-211.6214,4.6322,0.909,-7.6662,6.403,128.3303,2.9098,,,
81000,,,50,50,3,85.247,-216.4661,5.4147,0.8982,-8.2883,5.0098,93.7022,2.9378,,,
81000,,,,,,,,,,,,,,1000,3419.7219,6.8666
81500,,,50,50,3,82.763,-212.1946,12.1649,0.8314,-7.6735,6.9865,167.2157,2.8137,,,
82000,,,50,50,3,87.4912,-219.2507,6.2769,0.8917,-8.7576,6.3687,101.0212,3.1715,,,
82000,,,,,,,,,,,,,,1000,3489.5479,7.3841
82500,,,50,50,4,83.4096,-220.4706,6.4952,0.7938,-7.8961,5.9318,90.0609,2.9561,,,
83000,,,50,50,3,86.1495,-217.7504,5.203,0.8373,-7.5296,5.6223,118.2047,3.0518,,,
83000,,,,,,,,,,,,,,1000,3317.8783,7.573
83500,,,50,50,3,87.0545,-225.9901,5.3686,0.8902,-8.8453,5.6689,252.0787,2.9057,,,
84000,,,50,50,3,73.5171,-222.2647,4.7606,0.871,-7.1768,11.6722,208.1491,3.8999,,,
84000,,,,,,,,,,,,,,1000,3611.8094,7.5969
84500,,,50,50,3,89.5695,-225.4413,6.4904,0.8516,-8.0921,5.4599,250.1898,2.62,,,
85000,,,50,50,3,88.8194,-231.0329,7.4642,0.9118,-8.1691,7.1726,133.671,4.0554,,,
85000,4565.342,1000.0,,,,,,,,,,,,,,
85000,,,,,,,,,,,,,,1000,3628.8841,6.9739
85500,,,50,50,3,80.8579,-230.4123,7.8968,0.8626,-8.4739,5.3821,177.8417,2.9373,,,
86000,,,50,50,3,85.0778,-238.0381,6.8529,0.9065,-8.9776,6.2616,216.7008,2.8556,,,
86000,,,,,,,,,,,,,,1000,3614.6457,8.0816
86500,,,50,50,3,94.147,-236.4328,5.5024,0.8175,-8.3934,4.5498,144.3549,3.5813,,,
87000,,,50,50,3,89.8328,-235.119,5.5863,0.891,-8.5406,5.6032,158.926,3.9987,,,
87000,,,,,,,,,,,,,,1000,3590.7424,7.7335
87500,,,50,50,3,85.8187,-239.2367,6.8668,0.7991,-8.5232,5.8732,123.1821,3.2069,,,
88000,,,50,50,3,85.4738,-246.6884,11.0663,0.875,-7.9441,5.7172,115.0039,4.3047,,,
88000,,,,,,,,,,,,,,1000,3620.6101,7.9258
88500,,,50,50,3,87.0979,-248.0681,5.4648,0.9203,-8.2058,6.6399,114.7075,3.1027,,,
89000,,,50,50,3,98.7269,-247.3718,7.4062,0.9312,-9.0477,6.239,544.7988,4.576,,,
89000,,,,,,,,,,,,,,1000,3890.5864,7.6726
89500,,,50,50,3,88.6035,-256.5419,5.7638,0.8408,-8.7685,6.0162,93.6342,2.7575,,,
90000,,,50,50,3,89.7844,-255.8886,3.6496,0.7851,-7.7204,5.4378,55.3289,2.8101,,,
90000,4687.1328,1000.0,,,,,,,,,,,,,,
90000,,,,,,,,,,,,,,1000,3991.5058,7.0584
90500,,,50,49,3,100.3765,-254.6021,6.8636,0.8929,-10.0503,7.1405,403.5042,2.8636,,,
91000,,,50,50,3,93.7637,-255.4038,5.4138,0.8066,-8.8415,6.1915,176.2749,2.3924,,,
91000,,,,,,,,,,,,,,1000,4083.8821,7.8547
91500,,,50,50,3,94.5545,-258.8492,5.0887,0.8415,-8.2834,6.9664,93.7957,4.0521,,,
92000,,,50,49,3,102.5097,-265.562,5.8693,0.9434,-10.1866,5.5117,134.4866,3.862,,,
92000,,,,,,,,,,,,,,1000,3969.1025,7.643
92500,,,50,50,3,97.631,-260.4459,6.6763,0.8386,-9.2205,6.0173,110.3328,3.7745,,,
93000,,,50,49,3,101.7067,-264.4686,5.4277,0.8571,-9.2499,7.6609,146.9862,3.8798,,,
93000,,,,,,,,,,,,,,1000,3934.8683,8.3999
93500,,,50,50,3,95.7073,-255.6143,7.9268,0.8897,-10.1861,5.866,185.6005,2.6901,,,
94000,,,50,49,3,101.5795,-273.5148,6.8481,0.8394,-9.5376,6.3828,345.5736,2.9375,,,
94000,,,,,,,,,,,,,,1000,3917.9021,7.6863
94500,,,50,49,3,100.1009,-267.4413,5.2817,0.8907,-9.4062,6.4164,165.6008,3.2937,,,
95000,,,50,49,3,103.7793,-278.8926,7.5783,0.8581,-9.431,6.4576,228.7447,3.2853,,,
95000,4891.5892,1000.0,,,,,,,,,,,,,,
