env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
32500,,,1.2516,0.6914,0.4995,133.0773,27.2529,1.5148,-0.4673,0.4257,10.8445,0.6,,,
33000,,,1.213,0.6487,0.4869,124.3159,21.3956,1.4209,-0.4884,0.3534,5.8684,0.6672,,,
33000,,,,,,,,,,,,,1000,-333.2978,48.0432
33500,,,1.218,0.6841,0.4873,133.4215,36.1697,1.5023,-0.4946,0.3736,4.5495,0.531,,,
34000,,,1.242,0.6382,0.5126,134.6313,34.6707,1.5211,-0.4831,0.6538,13.4793,1.0877,,,
34000,,,,,,,,,,,,,1000,-253.5807,48.5803
34500,,,1.2027,0.6581,0.4905,137.7893,29.0161,1.5551,-0.4764,0.6829,10.1613,1.1513,,,
35000,,,1.198,0.7188,0.4865,154.8284,33.9891,1.7334,-0.485,0.5732,10.2718,1.1916,,,
35000,-160.2028,1000.0,,,,,,,,,,,,,
35000,,,,,,,,,,,,,1000,-440.8636,44.8857
35500,,,1.1875,0.6489,0.4749,125.3024,19.1494,1.4363,-0.4886,0.5589,8.9979,1.0463,,,
36000,,,1.2308,0.6594,0.5104,141.4012,32.7229,1.6013,-0.4915,0.7494,15.0075,0.6958,,,
36000,,,,,,,,,,,,,1000,-351.9143,48.4759
36500,,,1.1998,0.6223,0.4907,126.9942,21.1887,1.4565,-0.5071,0.8022,10.1289,0.7711,,,
37000,,,1.206,0.6807,0.4849,137.8084,33.1859,1.563,-0.4963,0.5695,7.1103,0.5213,,,
37000,,,,,,,,,,,,,1000,7.6496,48.0239
37500,,,1.201,0.6492,0.4968,134.0608,23.5129,1.5233,-0.4804,0.5428,9.9662,0.7251,,,
38000,,,1.1798,0.6292,0.4851,127.6059,22.3651,1.4538,-0.4842,0.6009,13.9394,1.2605,,,
38000,,,,,,,,,,,,,1000,-259.7954,47.6483
38500,,,1.21,0.6717,0.4996,144.5858,40.0032,1.6195,-0.4901,0.7133,19.5694,0.4539,,,
39000,,,1.2012,0.6666,0.488,135.627,30.6313,1.5263,-0.5008,0.7754,9.2947,0.9692,,,
39000,,,,,,,,,,,,,1000,-191.4491,47.9646
39500,,,1.1904,0.6689,0.4876,134.972,50.861,1.5169,-0.4966,0.6242,37.4719,0.5608,,,
40000,,,1.1844,0.6767,0.4922,137.4804,47.5301,1.5375,-0.4699,0.5146,14.4819,0.4175,,,
40000,-220.0058,1000.0,,,,,,,,,,,,,
40000,,,,,,,,,,,,,1000,-183.9378,45.2397
40500,,,1.2118,0.6493,0.5077,139.9157,27.5306,1.5566,-0.5081,0.6941,20.3886,0.8533,,,
41000,,,1.2271,0.6628,0.5197,148.1143,35.5117,1.6412,-0.4896,0.5856,21.2366,0.4616,,,
41000,,,,,,,,,,,,,1000,-231.0458,48.434
41500,,,1.213,0.6408,0.5005,135.311,15.7988,1.5103,-0.4977,0.5511,13.456,0.4218,,,
42000,,,1.2065,0.6724,0.4993,145.4876,53.9717,1.6116,-0.4931,0.5009,20.923,0.8411,,,
42000,,,,,,,,,,,,,1000,-221.0239,48.609
42500,,,1.2208,0.6233,0.5092,133.353,24.7925,1.485,-0.5052,0.4961,17.0391,0.6672,,,
43000,,,1.2343,0.6265,0.5164,133.4198,24.4368,1.4818,-0.5002,0.5773,7.726,0.5692,,,
43000,,,,,,,,,,,,,1000,-223.4822,48.1257
43500,,,1.1858,0.6552,0.4887,135.5844,38.0483,1.5017,-0.5196,0.7534,18.2993,0.6964,,,
44000,,,1.2439,0.6202,0.5247,134.9724,11.7086,1.4918,-0.5125,0.7294,27.0225,0.589,,,
44000,,,,,,,,,,,,,1000,-194.4996,48.0819
44500,,,1.1763,0.6448,0.4789,132.2684,19.0784,1.4711,-0.5086,0.876,41.0947,0.6422,,,
45000,,,1.1876,0.6373,0.4939,135.6565,30.3735,1.5042,-0.513,0.9161,37.0081,1.2562,,,
45000,-261.0982,1000.0,,,,,,,,,,,,,
45000,,,,,,,,,,,,,1000,-273.6144,44.923
45500,,,1.2037,0.6214,0.499,128.5081,26.9502,1.4333,-0.5059,0.6977,17.4383,0.6978,,,
46000,,,1.2237,0.6533,0.5198,151.6858,37.5492,1.6594,-0.5168,0.7481,26.7733,0.3739,,,
46000,,,,,,,,,,,,,1000,-232.6184,49.0559
46500,,,1.2364,0.6497,0.524,144.4112,33.3373,1.5864,-0.5086,0.9239,52.9751,0.6788,,,
47000,,,1.2399,0.6527,0.5198,144.2558,20.2105,1.5868,-0.5131,1.07,28.7825,0.7515,,,
47000,,,,,,,,,,,,,1000,-113.08,48.1647
47500,,,1.1889,0.6051,0.497,128.1599,34.7103,1.4216,-0.4924,1.0246,53.4867,0.54,,,
48000,,,1.2419,0.617,0.5243,131.6485,36.9777,1.4579,-0.5127,0.851,46.565,0.9515,,,
48000,,,,,,,,,,,,,1000,-309.3282,48.8824
48500,,,1.2184,0.6307,0.508,135.2829,20.8548,1.4912,-0.5218,0.8015,42.0488,0.6606,,,
49000,,,1.1989,0.6027,0.4976,130.4795,17.6811,1.4342,-0.5051,0.8513,28.3383,1.0788,,,
49000,,,,,,,,,,,,,1000,-142.4884,47.7309
49500,,,1.1912,0.6512,0.4844,137.4011,34.0856,1.5047,-0.4934,0.8692,37.799,0.722,,,
50000,,,1.2189,0.6424,0.505,140.5172,25.66,1.5362,-0.4771,1.0065,75.289,0.6694,,,
50000,-98.306,1000.0,,,,,,,,,,,,,
50000,,,,,,,,,,,,,1000,-226.7681,45.0276
50500,,,1.2259,0.6452,0.5109,141.5128,28.6475,1.5418,-0.5014,1.1473,91.4048,0.5375,,,
