env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
4631,,,42,42.0,93.2875,,,,,,,
4650,,,19,19.0,93.7276,,,,,,,
4654,,,4,4.0,93.5931,,,,,,,
4673,,,19,19.0,94.0681,,,,,,,
4681,,,8,8.0,93.6101,,,,,,,
4697,,,16,16.0,92.4263,,,,,,,
4750,,,53,53.0,91.6001,,,,,,,
4793,,,43,43.0,92.2,,,,,,,
4809,,,16,16.0,92.6154,,,,,,,
4814,,,5,5.0,93.1807,,,,,,,
4821,,,7,7.0,93.3538,,,,,,,
4859,,,38,38.0,92.9591,,,,,,,
4899,,,40,40.0,93.4731,,,,,,,
4902,,,3,3.0,92.1805,,,,,,,
4911,,,9,9.0,94.6081,,,,,,,
4919,,,8,8.0,93.7128,,,,,,,
4964,,,45,45.0,92.6221,,,,,,,
4997,,,33,33.0,93.6111,,,,,,,
5000,,,,,,32.3827,43.2314,3066.5684,32.3827,3.3326,28.4737,0.3109
5000,43.7,43.7,,,,,,,,,,
5041,,,44,44.0,54.61,,,,,,,
5046,,,5,5.0,84.0441,,,,,,,
5054,,,8,8.0,85.8727,,,,,,,
5077,,,23,23.0,93.3361,,,,,,,
5095,,,18,18.0,93.8688,,,,,,,
5136,,,41,41.0,93.3901,,,,,,,
5166,,,30,30.0,93.6364,,,,,,,
5170,,,4,4.0,94.4849,,,,,,,
5181,,,11,11.0,93.6843,,,,,,,
5226,,,45,45.0,93.6174,,,,,,,
5230,,,4,4.0,94.6619,,,,,,,
5280,,,50,50.0,93.4651,,,,,,,
5285,,,5,5.0,94.5085,,,,,,,
5294,,,9,9.0,93.1833,,,,,,,
5334,,,40,40.0,93.6856,,,,,,,
5343,,,9,9.0,93.6224,,,,,,,
5366,,,23,23.0,92.0742,,,,,,,
5384,,,18,18.0,93.3878,,,,,,,
5390,,,6,6.0,94.2399,,,,,,,
5436,,,46,46.0,93.6006,,,,,,,
5472,,,36,36.0,93.4845,,,,,,,
5500,,,,,,29.6822,35.8592,1907.6433,29.6822,3.6815,39.9721,0.642
5522,,,50,50.0,93.814,,,,,,,
5567,,,45,45.0,93.5825,,,,,,,
5576,,,9,9.0,93.4238,,,,,,,
5627,,,51,51.0,93.9335,,,,,,,
5631,,,4,4.0,92.564,,,,,,,
5690,,,59,59.0,93.6619,,,,,,,
5746,,,56,56.0,93.5888,,,,,,,
5771,,,25,25.0,94.0584,,,,,,,
5793,,,22,22.0,93.5189,,,,,,,
5799,,,6,6.0,95.0177,,,,,,,
5806,,,7,7.0,93.1252,,,,,,,
