env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
64000,,,8272.2051,8683.252,361798.3438,8272.2051,145.8492,5343.9111,3.3366,,,
64000,,,,,,,,,,500,-3000.2547,70.1068
64500,,,9144.7656,9548.7236,347249.6562,9144.7656,290.0678,8298.6963,4.8225,,,
64500,,,,,,,,,,500,-3735.1166,69.7354
65000,,,8089.251,8478.1113,333517.0938,8089.251,124.2091,7445.6582,4.6844,,,
65000,-12916.5267,500.0,,,,,,,,,,
65000,,,,,,,,,,500,-1990.0829,53.7948
65500,,,8266.6875,8670.1621,412721.875,8266.6875,157.557,5814.9165,5.8145,,,
65500,,,,,,,,,,500,-2247.6246,76.8119
66000,,,8902.2832,9297.7695,365938.7188,8902.2832,294.8397,5163.001,3.609,,,
66000,,,,,,,,,,500,-441.636,76.4031
66500,,,8130.9297,8520.918,296828.7812,8130.9297,103.3561,8762.4658,4.9121,,,
66500,,,,,,,,,,500,-2665.7812,74.2043
67000,,,8394.0664,8790.7998,505225.6562,8394.0664,215.0679,3284.6233,4.9818,,,
67000,,,,,,,,,,500,-1685.0395,74.2029
67500,,,8186.0449,8582.0146,294535.0312,8186.0449,157.0533,10591.0283,4.6028,,,
67500,,,,,,,,,,500,-2508.7312,77.4611
68000,,,7523.4561,7913.1353,271657.7188,7523.4561,86.3123,2365.6084,4.4805,,,
68000,,,,,,,,,,500,-3297.7358,77.9027
68500,,,8439.4805,8829.502,737749.125,8439.4805,197.0721,5769.4019,4.5561,,,
68500,,,,,,,,,,500,-2433.3258,76.2754
69000,,,7225.2236,7612.2129,234276.9844,7225.2236,157.2937,6266.5591,5.1398,,,
69000,,,,,,,,,,500,-2828.1055,75.3169
69500,,,7703.499,8094.606,401048.375,7703.499,392.4694,7102.5112,3.6312,,,
69500,,,,,,,,,,500,-3659.3243,75.2704
70000,,,6853.123,7238.7788,242806.5469,6853.123,151.3177,5079.6685,3.9421,,,
70000,-8990.7063,500.0,,,,,,,,,,
70000,,,,,,,,,,500,-1727.294,56.6893
70500,,,7653.1104,8040.7529,344305.9375,7653.1104,151.5883,5755.7656,6.5723,,,
70500,,,,,,,,,,500,-1429.5926,74.7304
71000,,,8053.5283,8445.8008,323207.5312,8053.5283,70.1022,5019.8105,4.7976,,,
71000,,,,,,,,,,500,-837.8026,74.9204
71500,,,8480.8223,8872.6963,404625.6875,8480.8223,358.1784,4580.3442,4.3685,,,
71500,,,,,,,,,,500,-3610.5898,75.9296
72000,,,8048.083,8445.3301,333617.9688,8048.083,195.0387,6695.7344,4.6132,,,
72000,,,,,,,,,,500,-2191.2974,73.982
72500,,,7462.5039,7842.5747,201918.25,7462.5039,77.9275,10197.6367,3.888,,,
72500,,,,,,,,,,500,-3704.011,77.5925
73000,,,8385.2471,8761.834,320703.5938,8385.2471,81.3172,9052.1309,3.7234,,,
73000,,,,,,,,,,500,-1100.0188,81.2867
