env_steps,return,length,success,train/return,train/length,train/success,zp_loss,rp_loss,critic_loss,FPS
3280000,0.9469,8.5,1.0,0.8739,7.2098,0.9589,0.0009,0.0,0.0012,615.8349
3290000,0.9625,6.0,1.0,0.8694,7.391,0.9571,0.0009,0.0,0.0012,609.676
3300000,0.9606,6.3,1.0,0.838,7.4963,0.9415,0.0009,0.0,0.0012,613.7799
3310000,0.9606,6.3,1.0,0.8576,7.4963,0.9513,0.0009,0.0,0.0012,607.1228
3320000,0.9512,7.8,1.0,0.8697,7.3153,0.9568,0.0009,0.0,0.0012,614.5671
3330000,0.9313,11.0,1.0,0.8515,7.4349,0.948,0.0009,0.0,0.0012,620.9716
3340000,0.96,6.4,1.0,0.8462,8.1967,0.9475,0.001,0.0001,0.0014,613.8892
3350000,0.9469,8.5,1.0,0.8389,8.3333,0.9433,0.001,0.0,0.0012,622.2231
3360000,0.9644,5.7,1.0,0.8531,7.5075,0.9489,0.0009,0.0,0.0012,619.7499
3370000,0.9531,7.5,1.0,0.8403,7.5301,0.9428,0.0009,0.0,0.0012,616.0996
3380000,0.9544,7.3,1.0,0.873,7.5415,0.9593,0.0009,0.0,0.0012,612.9323
3390000,0.9475,8.4,1.0,0.874,7.5586,0.9599,0.0009,0.0,0.0013,614.1463
3400000,0.9587,6.6,1.0,0.8729,7.6453,0.9595,0.0009,0.0,0.0012,608.2986
3410000,0.9512,7.8,1.0,0.8548,7.3421,0.9493,0.0009,0.0,0.0012,618.8548
3420000,0.9375,10.0,1.0,0.8305,7.3964,0.9371,0.0009,0.0,0.0012,618.8955
3430000,0.9444,8.9,1.0,0.8575,7.1378,0.95,0.0009,0.0,0.0012,609.3656
3440000,0.955,7.2,1.0,0.8697,7.4627,0.9575,0.0009,0.0,0.0012,611.7187
3450000,0.9587,6.6,1.0,0.8756,7.4794,0.9604,0.0009,0.0,0.0012,608.61
3460000,0.9631,5.9,1.0,0.8558,7.5758,0.9508,0.0009,0.0,0.0012,608.1978
3470000,0.9313,11.0,1.0,0.8893,7.3368,0.967,0.0009,0.0,0.0012,615.2533
3480000,0.9475,8.4,1.0,0.8336,7.446,0.9389,0.0009,0.0,0.0012,617.3113
3490000,0.9575,6.8,1.0,0.868,7.1685,0.9556,0.0009,0.0,0.0012,609.2537
3500000,0.9375,10.0,1.0,0.8549,7.4794,0.9499,0.0009,0.0,0.0012,606.586
3510000,0.925,12.0,1.0,0.8341,7.5643,0.9395,0.0009,0.0,0.0012,609.094
3520000,0.945,8.8,1.0,0.8768,7.5758,0.9614,0.0009,0.0,0.0012,611.4097
3530000,0.9437,9.0,1.0,0.871,7.57,0.9584,0.0009,0.0,0.0012,616.7255
3540000,0.9619,6.1,1.0,0.8596,7.4627,0.9522,0.0009,0.0,0.0012,610.0865
3550000,0.9512,7.8,1.0,0.8586,7.6864,0.9523,0.0009,0.0,0.0012,617.8022
3560000,0.9625,6.0,1.0,0.8712,7.5472,0.9585,0.0009,0.0,0.0012,612.5734
3570000,0.9425,9.2,1.0,0.8523,7.6046,0.949,0.0009,0.0,0.0012,612.577
3580000,0.9612,6.2,1.0,0.8462,7.4019,0.9452,0.0009,0.0,0.0013,620.8328
3590000,0.9619,6.1,1.0,0.8503,7.2046,0.9467,0.0009,0.0,0.0012,608.0724
3600000,0.96,6.4,1.0,0.8646,7.5758,0.9553,0.0009,0.0,0.0012,611.5974
3610000,0.9619,6.1,1.0,0.8671,7.2939,0.9555,0.0009,0.0,0.0012,610.785
3620000,0.9362,10.2,1.0,0.871,7.4019,0.9578,0.0009,0.0,0.0012,620.3749
3630000,0.9425,9.2,1.0,0.8203,7.5075,0.9324,0.0009,0.0,0.0012,618.6932
3640000,0.9481,8.3,1.0,0.8645,7.3421,0.9545,0.0009,0.0,0.0012,616.4833
3650000,0.945,8.8,1.0,0.8473,7.4294,0.9458,0.0009,0.0,0.0012,616.9521
3660000,0.9544,7.3,1.0,0.8597,7.4683,0.9522,0.0009,0.0,0.0012,621.2813
3670000,0.965,5.6,1.0,0.8499,7.4349,0.9472,0.0009,0.0,0.0012,619.9557
3680000,0.9387,9.8,1.0,0.8646,7.4294,0.9547,0.0009,0.0,0.0012,618.3927
3690000,0.9425,9.2,1.0,0.8604,7.4963,0.9528,0.0009,0.0,0.0012,610.9366
3700000,0.9606,6.3,1.0,0.866,7.4239,0.9555,0.0009,0.0,0.0012,613.6924
3710000,0.9594,6.5,1.0,0.8581,7.3153,0.951,0.0009,0.0,0.0012,621.4629
3720000,0.9519,7.7,1.0,0.835,7.3153,0.9393,0.0009,0.0,0.0012,622.5632
3730000,0.97,4.8,1.0,0.848,7.2307,0.9458,0.0009,0.0,0.0012,616.6798
