env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,fkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
4386,,,64,319.8573,22.7371,,,,,,,,,,,,,
4437,,,51,258.5678,22.2624,,,,,,,,,,,,,
4488,,,51,272.7903,24.9785,,,,,,,,,,,,,
4500,,,,,,50,50,30,22.2445,92.0715,48.9859,-44.1217,-47.9901,48.5828,92.0715,47.9687,233.8754,0.4878
4542,,,54,262.3437,23.685,,,,,,,,,,,,,
4585,,,43,217.4031,21.5561,,,,,,,,,,,,,
4628,,,43,206.8025,23.8548,,,,,,,,,,,,,
4677,,,49,241.7883,23.7217,,,,,,,,,,,,,
4708,,,31,160.1424,21.9946,,,,,,,,,,,,,
4749,,,41,201.8456,23.7206,,,,,,,,,,,,,
4786,,,37,186.502,23.1907,,,,,,,,,,,,,
4824,,,38,193.6794,23.1717,,,,,,,,,,,,,
4864,,,40,187.8045,23.1992,,,,,,,,,,,,,
4891,,,27,132.3333,26.2697,,,,,,,,,,,,,
4918,,,27,124.2393,28.3728,,,,,,,,,,,,,
4974,,,56,255.0879,26.6727,,,,,,,,,,,,,
5000,,,,,,50,50,30,21.4174,93.1121,49.2657,-44.1469,-56.3331,46.3746,93.1121,62.0156,176.5883,0.4255
5000,192.3445,40.0,,,,,,,,,,,,,,,,
5005,,,31,148.8375,14.7328,,,,,,,,,,,,,
5046,,,41,203.6368,22.8612,,,,,,,,,,,,,
5095,,,49,234.3938,22.4896,,,,,,,,,,,,,
5156,,,61,287.7926,24.3695,,,,,,,,,,,,,
5191,,,35,166.6914,21.8063,,,,,,,,,,,,,
5229,,,38,179.9122,24.0648,,,,,,,,,,,,,
5282,,,53,278.2595,22.7214,,,,,,,,,,,,,
5324,,,42,217.281,22.5156,,,,,,,,,,,,,
5364,,,40,194.0899,28.0402,,,,,,,,,,,,,
5407,,,43,202.5714,29.7556,,,,,,,,,,,,,
5450,,,43,215.9835,29.8112,,,,,,,,,,,,,
5494,,,44,218.7888,26.7798,,,,,,,,,,,,,
5500,,,,,,50,50,34,18.4925,95.3102,50.9468,-44.1431,-65.4086,51.8995,95.3102,67.7922,408.9179,0.5501
5540,,,46,240.7524,22.261,,,,,,,,,,,,,
5582,,,42,200.2684,22.6325,,,,,,,,,,,,,
5626,,,44,199.1571,23.0389,,,,,,,,,,,,,
5656,,,30,145.6939,24.7001,,,,,,,,,,,,,
5688,,,32,145.3069,24.0445,,,,,,,,,,,,,
5741,,,53,250.1368,26.26,,,,,,,,,,,,,
5786,,,45,207.5754,21.6556,,,,,,,,,,,,,
5810,,,24,115.9707,23.7886,,,,,,,,,,,,,
5858,,,48,238.3217,22.1782,,,,,,,,,,,,,
5895,,,37,173.4198,23.5515,,,,,,,,,,,,,
5932,,,37,167.3322,26.353,,,,,,,,,,,,,
5981,,,49,233.2056,23.1558,,,,,,,,,,,,,
6000,,,,,,50,50,34,18.3029,93.9523,50.4925,-44.1419,-86.9204,49.8066,93.9523,75.226,221.4338,0.3897
6035,,,54,290.912,23.1038,,,,,,,,,,,,,
6070,,,35,164.8596,27.7776,,,,,,,,,,,,,
6110,,,40,197.2211,23.958,,,,,,,,,,,,,
6152,,,42,206.4202,22.3739,,,,,,,,,,,,,
6187,,,35,170.8204,23.1542,,,,,,,,,,,,,
6235,,,48,221.7946,24.3682,,,,,,,,,,,,,
6287,,,52,245.1064,23.2084,,,,,,,,,,,,,
6308,,,21,100.8248,23.0067,,,,,,,,,,,,,
6329,,,21,104.0115,24.4949,,,,,,,,,,,,,
6370,,,41,191.9191,25.3235,,,,,,,,,,,,,
6414,,,44,206.3418,24.2863,,,,,,,,,,,,,
6439,,,25,123.338,23.3747,,,,,,,,,,,,,
6482,,,43,232.6277,21.8437,,,,,,,,,,,,,
6500,,,,,,50,50,35,18.0327,95.4156,51.7367,-44.152,-99.3859,49.4445,95.4156,77.5628,147.3383,0.4435
6530,,,48,235.5291,22.3846,,,,,,,,,,,,,
6550,,,20,96.9237,26.1414,,,,,,,,,,,,,
6597,,,47,228.3233,26.3021,,,,,,,,,,,,,
6642,,,45,212.6066,26.9696,,,,,,,,,,,,,
6688,,,46,231.9703,28.3959,,,,,,,,,,,,,
6728,,,40,193.8354,21.6977,,,,,,,,,,,,,
6757,,,29,144.074,24.0933,,,,,,,,,,,,,
6790,,,33,170.3681,21.4349,,,,,,,,,,,,,
6859,,,69,324.0942,24.3868,,,,,,,,,,,,,
6898,,,39,192.9737,28.4903,,,,,,,,,,,,,
6939,,,41,203.449,23.2033,,,,,,,,,,,,,
6975,,,36,170.0852,23.6578,,,,,,,,,,,,,
7000,,,,,,50,50,34,18.5471,96.1346,50.4396,-44.1528,-107.8366,70.8825,96.1346,65.2184,174.2861,0.4632
7021,,,46,222.5067,22.4892,,,,,,,,,,,,,
7066,,,45,222.9669,24.6093,,,,,,,,,,,,,
7094,,,28,139.0824,25.4465,,,,,,,,,,,,,
7147,,,53,252.9368,23.4711,,,,,,,,,,,,,
7193,,,46,212.7993,23.3523,,,,,,,,,,,,,
7236,,,43,202.3399,23.3705,,,,,,,,,,,,,
7277,,,41,211.4945,26.4644,,,,,,,,,,,,,
7327,,,50,260.1279,28.4267,,,,,,,,,,,,,
7373,,,46,229.5669,25.5667,,,,,,,,,,,,,
7415,,,42,202.5315,22.7189,,,,,,,,,,,,,
7456,,,41,205.3419,23.976,,,,,,,,,,,,,
7498,,,42,210.6463,23.0823,,,,,,,,,,,,,
7500,,,,,,50,50,35,17.7352,96.9348,52.8817,-44.1696,-127.7446,65.5793,96.9348,124.7936,415.6353,0.4707
7542,,,44,233.9955,24.313,,,,,,,,,,,,,
7577,,,35,169.6861,29.3761,,,,,,,,,,,,,
7615,,,38,168.2676,24.5611,,,,,,,,,,,,,
7660,,,45,225.2645,23.261,,,,,,,,,,,,,
7707,,,47,228.7734,23.0154,,,,,,,,,,,,,
7754,,,47,219.3356,24.9211,,,,,,,,,,,,,
7777,,,23,114.81,21.0954,,,,,,,,,,,,,
7821,,,44,212.4825,25.5314,,,,,,,,,,,,,
7848,,,27,133.0968,27.0394,,,,,,,,,,,,,
7913,,,65,355.8886,23.9361,,,,,,,,,,,,,
7958,,,45,221.9939,23.1826,,,,,,,,,,,,,
8000,,,,,,50,50,32,18.4056,95.9599,52.5465,-44.1571,-127.0555,59.7511,95.9599,87.985,293.7956,0.4997
8003,,,45,217.8496,22.0196,,,,,,,,,,,,,
8054,,,51,259.4718,23.9755,,,,,,,,,,,,,
8099,,,45,227.7728,28.5091,,,,,,,,,,,,,
8144,,,45,233.0446,28.9797,,,,,,,,,,,,,
8186,,,42,205.9964,23.5484,,,,,,,,,,,,,
8222,,,36,183.7359,22.1927,,,,,,,,,,,,,
8280,,,58,294.8033,25.3673,,,,,,,,,,,,,
8322,,,42,202.8027,22.8685,,,,,,,,,,,,,
8381,,,59,293.7083,22.5992,,,,,,,,,,,,,
8410,,,29,143.3327,27.209,,,,,,,,,,,,,
8456,,,46,222.832,25.3772,,,,,,,,,,,,,
8500,,,,,,50,50,36,17.2262,97.4889,52.5669,-44.1663,-141.9891,68.8943,97.4889,119.7523,428.1681,0.5954
8500,,,44,224.5123,21.972,,,,,,,,,,,,,
8537,,,37,191.6047,22.6091,,,,,,,,,,,,,
8580,,,43,219.3049,24.6059,,,,,,,,,,,,,
8620,,,40,202.7858,21.6197,,,,,,,,,,,,,
8655,,,35,183.7825,21.4904,,,,,,,,,,,,,
8683,,,28,139.9346,23.3944,,,,,,,,,,,,,
8711,,,28,140.7331,23.1161,,,,,,,,,,,,,
8754,,,43,224.0936,21.857,,,,,,,,,,,,,
8802,,,48,220.3262,21.71,,,,,,,,,,,,,
8839,,,37,184.7537,25.338,,,,,,,,,,,,,
8886,,,47,232.5368,23.654,,,,,,,,,,,,,
8944,,,58,308.4888,25.2009,,,,,,,,,,,,,
8974,,,30,150.7607,26.6532,,,,,,,,,,,,,
9000,,,,,,50,50,31,20.1953,96.984,53.2768,-44.1587,-157.3057,80.4329,96.984,162.2298,422.793,1.1493
9013,,,39,200.7448,24.7959,,,,,,,,,,,,,
9056,,,43,218.5296,21.3431,,,,,,,,,,,,,
9099,,,43,207.3883,23.9259,,,,,,,,,,,,,
9165,,,66,345.3597,22.9904,,,,,,,,,,,,,
9209,,,44,220.2295,20.5285,,,,,,,,,,,,,
9254,,,45,234.4656,22.6556,,,,,,,,,,,,,
9304,,,50,252.0133,21.6026,,,,,,,,,,,,,
9348,,,44,225.7564,22.6244,,,,,,,,,,,,,
9391,,,43,219.5173,23.8764,,,,,,,,,,,,,
9430,,,39,190.0083,25.53,,,,,,,,,,,,,
9470,,,40,210.0506,24.0944,,,,,,,,,,,,,
9500,,,,,,50,50,30,21.1268,97.8861,53.3536,-44.1761,-145.9657,72.7749,97.8861,171.9242,676.046,0.6818
9501,,,31,157.0242,23.0477,,,,,,,,,,,,,
9543,,,42,202.233,21.8664,,,,,,,,,,,,,
9588,,,45,223.657,22.4511,,,,,,,,,,,,,
9631,,,43,229.9769,22.7298,,,,,,,,,,,,,
9681,,,50,256.1843,22.0482,,,,,,,,,,,,,
9722,,,41,218.3376,23.076,,,,,,,,,,,,,
9741,,,19,93.1051,23.7881,,,,,,,,,,,,,
9785,,,44,218.7552,23.8514,,,,,,,,,,,,,
9830,,,45,233.6241,23.4452,,,,,,,,,,,,,
9872,,,42,213.3976,22.2759,,,,,,,,,,,,,
9900,,,28,136.2497,20.6492,,,,,,,,,,,,,
9944,,,44,220.085,21.5142,,,,,,,,,,,,,
9997,,,53,263.9582,23.2525,,,,,,,,,,,,,
10000,,,,,,50,50,34,17.0689,98.2155,53.9671,-44.176,-170.1299,65.222,98.2155,158.3377,719.4713,0.9903
10000,239.8981,47.0,,,,,,,,,,,,,,,,
