env_steps,return,length,train/length,train/return,FPS,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
4997,,,30,30.0,84.6603,,,,,,,
5000,,,,,,-19.7999,0.342,0.0008,-0.0176,2.7791,50.4737,0.0668
5000,35.1,35.1,,,,,,,,,,
5014,,,17,17.0,37.6249,,,,,,,
5030,,,16,16.0,84.2782,,,,,,,
5042,,,12,12.0,84.0906,,,,,,,
5046,,,4,4.0,83.6435,,,,,,,
5063,,,17,17.0,84.3998,,,,,,,
5099,,,36,36.0,84.5123,,,,,,,
5109,,,10,10.0,84.2976,,,,,,,
5117,,,8,8.0,83.5174,,,,,,,
5120,,,3,3.0,84.1132,,,,,,,
5124,,,4,4.0,83.2901,,,,,,,
5129,,,5,5.0,84.9108,,,,,,,
5142,,,13,13.0,84.1151,,,,,,,
5145,,,3,3.0,85.4052,,,,,,,
5155,,,10,10.0,84.2209,,,,,,,
5182,,,27,27.0,84.4856,,,,,,,
5211,,,29,29.0,84.5326,,,,,,,
5226,,,15,15.0,84.401,,,,,,,
5235,,,9,9.0,84.0057,,,,,,,
5245,,,10,10.0,84.3013,,,,,,,
5266,,,21,21.0,83.693,,,,,,,
5271,,,5,5.0,84.7084,,,,,,,
5276,,,5,5.0,84.2142,,,,,,,
5290,,,14,14.0,84.0637,,,,,,,
5304,,,14,14.0,88.7937,,,,,,,
5318,,,14,14.0,81.346,,,,,,,
5332,,,14,14.0,84.8629,,,,,,,
5336,,,4,4.0,83.7671,,,,,,,
5354,,,18,18.0,84.4514,,,,,,,
5367,,,13,13.0,84.307,,,,,,,
5379,,,12,12.0,83.0276,,,,,,,
5383,,,4,4.0,84.0555,,,,,,,
5388,,,5,5.0,83.5369,,,,,,,
5405,,,17,17.0,84.3752,,,,,,,
5410,,,5,5.0,83.6529,,,,,,,
5424,,,14,14.0,84.3326,,,,,,,
5429,,,5,5.0,83.3917,,,,,,,
5438,,,9,9.0,84.5741,,,,,,,
5442,,,4,4.0,85.5095,,,,,,,
5478,,,36,36.0,84.0804,,,,,,,
5490,,,12,12.0,83.0162,,,,,,,
5500,,,,,,-21.0907,0.2927,0.0013,-0.0299,4.8926,99.2076,0.3909
5502,,,12,12.0,84.4509,,,,,,,
5516,,,14,14.0,84.5388,,,,,,,
5528,,,12,12.0,84.5646,,,,,,,
5545,,,17,17.0,83.3876,,,,,,,
5556,,,11,11.0,83.5768,,,,,,,
5560,,,4,4.0,85.2496,,,,,,,
5565,,,5,5.0,83.8774,,,,,,,
5584,,,19,19.0,84.5764,,,,,,,
5605,,,21,21.0,84.2906,,,,,,,
5625,,,20,20.0,83.5521,,,,,,,
5636,,,11,11.0,84.0982,,,,,,,
5647,,,11,11.0,84.2731,,,,,,,
5660,,,13,13.0,83.992,,,,,,,
5664,,,4,4.0,85.1834,,,,,,,
5670,,,6,6.0,83.7769,,,,,,,
5685,,,15,15.0,84.1454,,,,,,,
5704,,,19,19.0,84.3024,,,,,,,
5721,,,17,17.0,84.1308,,,,,,,
5737,,,16,16.0,84.1597,,,,,,,
5742,,,5,5.0,80.5983,,,,,,,
5746,,,4,4.0,83.3439,,,,,,,
5755,,,9,9.0,83.8144,,,,,,,
5777,,,22,22.0,84.1936,,,,,,,
5785,,,8,8.0,84.2727,,,,,,,
5804,,,19,19.0,84.1208,,,,,,,
