env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
59500,,,557.2244,780.6538,32193.9883,557.2244,4.3689,314.08,3.3866,,,
60000,,,590.5378,850.4491,36994.3828,590.5378,3.9758,216.0892,4.0546,,,
60000,6326.6683,1000.0,,,,,,,,,,
60000,,,,,,,,,,1000,4280.4712,33.247
60500,,,555.4625,770.814,36081.6719,555.4625,4.0631,177.7296,5.3655,,,
61000,,,607.0518,874.5991,59737.5898,607.0518,4.179,302.1945,3.4814,,,
61000,,,,,,,,,,1000,4697.0066,41.1901
61500,,,606.9432,873.1505,68847.3281,606.9432,4.7294,224.6102,4.5315,,,
62000,,,533.2051,713.4407,32276.8613,533.2051,4.317,274.5984,4.634,,,
62000,,,,,,,,,,1000,4614.8984,40.9199
62500,,,561.8319,776.1582,47637.5469,561.8319,4.2999,345.3279,3.8695,,,
63000,,,607.6837,866.6057,45328.8242,607.6837,4.3305,391.3037,5.2691,,,
63000,,,,,,,,,,1000,4672.5857,40.8915
63500,,,535.7897,714.3151,38075.3828,535.7897,4.7193,309.2307,3.9378,,,
64000,,,586.6865,821.705,46162.918,586.6865,4.7414,324.289,6.6316,,,
64000,,,,,,,,,,1000,4783.1837,40.9299
64500,,,607.5818,850.0967,47073.0508,607.5818,4.3426,242.0228,3.9906,,,
65000,,,542.3821,721.879,33016.3203,542.3821,4.5857,140.5958,5.6121,,,
65000,6548.4748,1000.0,,,,,,,,,,
65000,,,,,,,,,,1000,4670.8961,33.4117
65500,,,564.7899,765.4513,52133.7305,564.7899,4.2735,320.0902,6.0042,,,
66000,,,561.7216,760.8522,37981.0859,561.7216,4.6179,356.8369,10.0898,,,
66000,,,,,,,,,,1000,5116.6425,40.9039
66500,,,578.2357,786.0691,44006.3164,578.2357,4.3291,232.1748,5.4894,,,
67000,,,550.1118,726.9706,48096.2031,550.1118,5.3164,524.0649,4.2034,,,
67000,,,,,,,,,,1000,5081.3971,40.8725
67500,,,553.7361,734.1994,50419.1484,553.7361,3.7905,179.1421,5.858,,,
68000,,,574.9714,773.0937,53969.918,574.9714,5.1004,316.5222,3.918,,,
68000,,,,,,,,,,1000,5131.0376,37.0954
68500,,,551.6061,721.7081,51905.3359,551.6061,3.9584,214.1604,4.9314,,,
69000,,,535.2034,692.2882,43898.668,535.2034,5.2805,572.1942,3.1785,,,
69000,,,,,,,,,,1000,5081.1187,38.2835
69500,,,524.007,663.8498,34733.3633,524.007,4.4716,412.8967,3.2732,,,
70000,,,537.476,686.2398,32190.2969,537.476,4.8759,240.2358,3.8062,,,
70000,6369.0298,1000.0,,,,,,,,,,
70000,,,,,,,,,,1000,5379.8866,31.4015
70500,,,579.3895,766.6167,43622.3594,579.3895,5.5036,170.2059,4.8791,,,
71000,,,502.269,612.3167,44278.4492,502.269,5.1487,278.3556,3.267,,,
71000,,,,,,,,,,1000,5452.6714,33.6249
71500,,,602.6437,813.707,48140.1172,602.6437,5.358,187.2467,5.3265,,,
72000,,,556.491,712.9608,41035.8164,556.491,5.8061,240.3773,3.7483,,,
72000,,,,,,,,,,1000,5470.6271,38.5606
72500,,,563.389,730.6321,34156.6367,563.389,4.9329,285.5764,4.2448,,,
73000,,,568.8075,738.741,57025.7422,568.8075,5.1843,361.0912,4.1973,,,
73000,,,,,,,,,,1000,5534.8327,40.1526
73500,,,530.0005,656.4227,49715.2422,530.0005,4.3803,250.4666,4.8849,,,
74000,,,565.974,724.993,53641.2031,565.974,6.7599,422.9667,6.427,,,
74000,,,,,,,,,,1000,5697.7506,36.6419
74500,,,563.9005,722.947,40862.7773,563.9005,4.5766,355.0237,5.9696,,,
75000,,,641.8052,879.4443,81203.7656,641.8052,6.1088,517.6742,4.1191,,,
75000,6440.1996,1000.0,,,,,,,,,,
75000,,,,,,,,,,1000,5442.1084,32.7777
75500,,,549.1884,688.0419,27836.7988,549.1884,5.2417,255.0594,6.5678,,,
76000,,,547.1243,677.6857,33974.8867,547.1243,6.5707,581.5552,4.3888,,,
76000,,,,,,,,,,1000,5877.3456,40.4429
76500,,,510.6979,603.299,47130.8516,510.6979,5.6994,302.6507,4.3279,,,
77000,,,562.5206,704.978,72183.4688,562.5206,4.7069,154.045,4.3821,,,
77000,,,,,,,,,,1000,5879.9479,40.6236
77500,,,602.5585,782.325,79777.7109,602.5585,5.1708,532.0847,6.593,,,
78000,,,523.8462,624.1891,29163.4707,523.8462,6.3476,427.4635,4.5453,,,
78000,,,,,,,,,,1000,5895.2835,40.9837
78500,,,541.4038,655.3073,48453.0977,541.4038,6.8556,306.9047,5.9684,,,
79000,,,542.4719,647.66,42135.3398,542.4719,7.2912,530.3188,4.1373,,,
79000,,,,,,,,,,1000,5878.5869,41.097
79500,,,551.1063,669.4967,29464.4082,551.1063,5.1195,303.5304,5.5242,,,
80000,,,572.069,708.4931,71962.5859,572.069,4.766,260.9464,5.0804,,,
80000,6948.2114,1000.0,,,,,,,,,,
80000,,,,,,,,,,1000,6029.6367,32.746
80500,,,512.4194,582.1827,38532.2031,512.4194,7.5767,674.1749,8.2592,,,
81000,,,529.828,620.1376,55452.8359,529.828,4.6812,329.3529,3.5445,,,
81000,,,,,,,,,,1000,5751.284,36.4528
81500,,,584.6715,724.7202,51857.6406,584.6715,7.2961,425.7438,3.3969,,,
82000,,,585.6348,727.1003,49964.1133,585.6348,5.8953,287.7354,6.2081,,,
82000,,,,,,,,,,1000,6110.2401,40.7735
82500,,,562.8571,682.663,37510.8984,562.8571,5.7151,491.2336,3.5703,,,
83000,,,615.2725,776.8565,67554.4922,615.2725,6.2947,411.6939,5.1965,,,
83000,,,,,,,,,,1000,6359.414,39.643
83500,,,543.2713,631.5845,54871.4805,543.2713,5.2284,390.7201,5.2669,,,
84000,,,699.363,944.0446,72495.7188,699.363,5.5069,264.5098,4.0966,,,
84000,,,,,,,,,,1000,6330.015,34.1466
84500,,,553.7181,653.8839,57676.0,553.7181,5.1663,190.9308,9.5684,,,
85000,,,589.1542,722.8531,56941.1328,589.1542,6.7535,422.9392,4.3011,,,
85000,7034.817,1000.0,,,,,,,,,,
85000,,,,,,,,,,1000,6415.7469,33.2358
85500,,,569.918,674.2725,46645.6406,569.918,5.5066,330.5597,8.1786,,,
86000,,,520.4756,577.799,28197.0566,520.4756,8.9709,547.4416,7.9974,,,
86000,,,,,,,,,,1000,6518.0106,39.7284
86500,,,581.7945,691.3973,63223.2539,581.7945,5.9779,574.9849,3.643,,,
87000,,,525.1319,581.6777,41417.7227,525.1319,6.1603,368.7402,4.9821,,,
87000,,,,,,,,,,1000,6518.9497,40.443
87500,,,561.353,651.3906,40653.0547,561.353,5.7116,377.6516,3.4547,,,
88000,,,551.5337,627.0842,38216.25,551.5337,6.687,505.7811,6.001,,,
88000,,,,,,,,,,1000,6601.4367,41.0808
88500,,,605.8951,732.4713,43492.3438,605.8951,5.4672,247.9646,4.2131,,,
89000,,,575.4478,670.0012,54921.2266,575.4478,6.0543,494.5834,4.1756,,,
89000,,,,,,,,,,1000,6801.84,40.7957
89500,,,550.9977,618.5138,44677.4141,550.9977,8.6054,411.0807,6.6418,,,
90000,,,534.5947,584.2714,46907.1562,534.5947,5.6966,161.0243,5.3796,,,
90000,7346.8963,1000.0,,,,,,,,,,
90000,,,,,,,,,,1000,6865.4739,33.3241
90500,,,567.1974,641.8102,41764.2266,567.1974,8.5363,440.1295,4.656,,,
91000,,,541.4261,596.8446,53535.7227,541.4261,5.7504,288.0937,8.7359,,,
91000,,,,,,,,,,1000,6889.0295,40.6608
91500,,,564.4191,633.1575,50397.7148,564.4191,7.6949,512.1908,5.4164,,,
92000,,,575.6797,655.3495,70408.4688,575.6797,5.7476,261.3197,4.313,,,
92000,,,,,,,,,,1000,6931.4204,36.9959
92500,,,561.6831,618.9666,48970.4414,561.6831,5.313,418.3872,6.4622,,,
93000,,,532.2195,564.9731,38561.082,532.2195,6.7452,451.3662,5.8034,,,
93000,,,,,,,,,,1000,6994.7147,39.1371
93500,,,538.2676,571.0081,44435.6094,538.2676,5.9216,548.0706,5.9676,,,
94000,,,552.1516,600.7755,35091.0664,552.1516,9.098,589.1175,4.4584,,,
94000,,,,,,,,,,1000,7135.8965,38.4401
94500,,,593.1959,677.1983,103189.3906,593.1959,6.3017,474.5321,4.169,,,
95000,,,527.27,543.1171,44165.875,527.27,7.8235,347.8416,3.9003,,,
95000,7755.5506,1000.0,,,,,,,,,,
95000,,,,,,,,,,1000,7161.4701,32.9543
95500,,,505.0811,491.7799,38722.8984,505.0811,6.2789,544.9207,5.9396,,,
96000,,,535.1246,546.533,59566.3828,535.1246,6.6756,492.9945,6.4235,,,
96000,,,,,,,,,,1000,7320.0829,40.5288
96500,,,586.9094,647.7264,34078.1133,586.9094,7.2935,355.2181,3.3563,,,
97000,,,513.5052,498.8706,43641.75,513.5052,5.9883,231.5275,4.642,,,
97000,,,,,,,,,,1000,7417.9822,40.5414
97500,,,489.7459,450.4833,24100.4531,489.7459,6.4928,535.6226,4.3852,,,
98000,,,587.8485,651.2963,42911.2695,587.8485,6.3629,259.4392,4.2602,,,
98000,,,,,,,,,,1000,7308.6747,40.2111
98500,,,552.1021,572.2312,73783.1875,552.1021,6.0726,215.3851,5.1679,,,
99000,,,559.8852,580.2158,47896.7539,559.8852,5.591,471.154,4.2555,,,
99000,,,,,,,,,,1000,7519.3701,40.1311
99500,,,555.6344,563.3131,71520.9375,555.6344,5.7161,455.641,6.4807,,,
100000,,,546.1556,546.0299,78417.8672,546.1556,5.7467,250.7045,4.4845,,,
100000,7918.9985,1000.0,,,,,,,,,,
100000,,,,,,,,,,1000,7460.3933,32.0311
100500,,,562.4086,577.5507,44963.0625,562.4086,8.3142,616.119,3.9313,,,
101000,,,501.1252,446.1278,36210.0234,501.1252,6.5139,476.7671,5.532,,,
101000,,,,,,,,,,1000,7668.6352,39.3356
101500,,,523.0665,491.8344,47799.7969,523.0665,5.6953,482.7887,5.8303,,,
102000,,,575.8563,584.9733,59699.7734,575.8563,6.074,176.9066,5.3175,,,
102000,,,,,,,,,,1000,7652.7153,41.4152
102500,,,559.6182,551.8794,86644.1016,559.6182,6.522,722.3482,5.3921,,,
103000,,,532.2338,485.8445,44520.8164,532.2338,6.3319,411.475,5.2385,,,
103000,,,,,,,,,,1000,7698.4315,41.8161
103500,,,529.5657,483.2021,46831.4844,529.5657,6.5108,442.6549,4.5028,,,
104000,,,510.8367,438.565,38874.9414,510.8367,5.9684,593.8937,3.8511,,,
104000,,,,,,,,,,1000,7689.5231,41.826
104500,,,549.056,514.3017,39560.0078,549.056,7.3905,466.3954,7.8646,,,
105000,,,481.707,373.9177,46632.0352,481.707,6.7691,260.9221,8.1043,,,
105000,8136.6413,1000.0,,,,,,,,,,
105000,,,,,,,,,,1000,7864.7741,32.9563
105500,,,636.1869,682.3678,97002.1484,636.1869,6.4438,380.7609,4.5151,,,
106000,,,486.5548,375.4,44927.4844,486.5548,16.9591,396.9767,4.9451,,,
106000,,,,,,,,,,1000,7891.3047,40.9551
106500,,,499.4846,393.6549,46751.8555,499.4846,7.5745,524.0807,4.9001,,,
107000,,,503.1107,400.2015,59973.5703,503.1107,6.2675,479.545,6.2369,,,
107000,,,,,,,,,,1000,7872.9296,40.9488
107500,,,544.8353,481.6702,58244.2227,544.8353,6.6797,629.8545,8.3333,,,
108000,,,499.2441,384.125,54710.3242,499.2441,7.1681,411.0166,5.9483,,,
108000,,,,,,,,,,1000,7904.4556,41.196
108500,,,507.8927,398.79,35858.3633,507.8927,8.0725,817.548,5.1769,,,
109000,,,512.8464,405.3248,94401.3359,512.8464,6.3872,273.8106,5.5419,,,
109000,,,,,,,,,,1000,7826.5715,41.4885
109500,,,518.1044,412.918,98709.3906,518.1044,6.7341,624.7568,5.1254,,,
