env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
73500,,,-216.5725,3.5197,0.003,-0.044,2.2808,73.3746,5.1668,,,
74000,,,-218.6016,4.0181,0.0024,-0.0392,2.3912,82.1736,3.9017,,,
74000,,,,,,,,,,1000,3538.3759,33.8851
74500,,,-220.8477,3.8719,0.0026,-0.0413,2.071,89.3042,3.9227,,,
75000,,,-218.1446,3.4219,0.0028,-0.0412,2.234,97.0043,3.0723,,,
75000,4266.7725,1000.0,,,,,,,,,,
75000,,,,,,,,,,1000,3504.2316,29.3096
75500,,,-228.5238,3.3409,0.0027,-0.0388,2.5268,92.3476,2.7747,,,
76000,,,-228.5892,3.7416,0.0031,-0.0439,2.5373,71.8826,3.3663,,,
76000,,,,,,,,,,1000,3495.5678,36.2973
76500,,,-225.1052,2.9372,0.0026,-0.0403,2.5369,166.608,3.6674,,,
77000,,,-232.1438,2.9414,0.0027,-0.0414,2.4334,102.3053,3.7693,,,
77000,,,,,,,,,,1000,3772.3685,35.807
77500,,,-232.0275,3.5831,0.0029,-0.0422,2.4606,122.7401,3.5545,,,
78000,,,-231.342,4.1126,0.0028,-0.0406,2.888,110.4078,4.9781,,,
78000,,,,,,,,,,1000,3550.7981,36.437
78500,,,-236.0759,3.7688,0.0025,-0.0381,2.3868,184.232,3.3395,,,
79000,,,-239.3141,4.1602,0.0028,-0.0425,2.7491,138.6077,3.2903,,,
79000,,,,,,,,,,1000,3718.4154,36.5058
79500,,,-237.6494,3.3018,0.003,-0.0441,2.6975,217.3586,4.5061,,,
80000,,,-237.8682,4.6458,0.0031,-0.0446,2.124,68.4863,3.3741,,,
80000,4486.524,1000.0,,,,,,,,,,
80000,,,,,,,,,,1000,3772.8271,31.1441
80500,,,-243.1761,4.3689,0.0028,-0.0432,2.2002,91.0904,4.3198,,,
81000,,,-241.5446,3.6546,0.0029,-0.0423,2.8984,266.0751,5.1138,,,
81000,,,,,,,,,,1000,3776.4383,35.6674
81500,,,-250.983,3.0829,0.0025,-0.0385,2.3343,72.955,4.6225,,,
82000,,,-245.7766,3.455,0.0024,-0.0374,2.3023,76.2602,4.1012,,,
82000,,,,,,,,,,1000,4027.2725,35.5295
82500,,,-248.2791,3.2423,0.0026,-0.0404,2.6616,75.9205,3.6887,,,
83000,,,-247.7375,3.8769,0.0028,-0.0419,2.6697,147.4998,6.0502,,,
83000,,,,,,,,,,1000,3977.8574,35.0265
83500,,,-254.5976,3.9479,0.0025,-0.0393,2.2475,105.5439,4.2923,,,
84000,,,-253.9584,3.9107,0.0025,-0.0379,2.3517,87.3009,4.853,,,
84000,,,,,,,,,,1000,4146.9558,35.7626
84500,,,-256.1855,4.0226,0.0027,-0.0414,2.5245,83.7561,7.9097,,,
85000,,,-255.1607,3.3858,0.0027,-0.0413,2.4027,140.6973,2.7512,,,
85000,4743.0934,1000.0,,,,,,,,,,
85000,,,,,,,,,,1000,4216.1479,31.277
85500,,,-266.3903,3.3402,0.0024,-0.0381,3.0134,187.3716,4.1618,,,
86000,,,-260.3414,3.886,0.0025,-0.0399,2.5217,109.5065,4.7727,,,
86000,,,,,,,,,,1000,4210.8673,36.0606
86500,,,-267.1552,3.9922,0.0025,-0.04,6.0342,256.5064,3.707,,,
87000,,,-264.7862,4.0827,0.0027,-0.0415,2.6669,137.1472,3.5774,,,
87000,,,,,,,,,,1000,4347.9477,35.9156
87500,,,-271.9159,3.3445,0.0027,-0.0414,2.4492,104.0846,3.854,,,
88000,,,-267.1576,4.6095,0.0025,-0.0401,3.0631,112.2597,4.1684,,,
88000,,,,,,,,,,1000,4209.1451,32.9038
88500,,,-272.9528,3.7183,0.0025,-0.0388,2.7054,132.0211,5.0268,,,
89000,,,-270.1255,3.2476,0.0025,-0.0397,2.7984,84.6529,2.8891,,,
89000,,,,,,,,,,1000,4560.8938,36.1873
89500,,,-275.6523,4.9653,0.0024,-0.0388,2.9528,142.7847,4.8041,,,
90000,,,-271.6939,3.4208,0.0023,-0.0381,3.1551,155.4218,4.6232,,,
90000,4924.6503,1000.0,,,,,,,,,,
90000,,,,,,,,,,1000,4461.4675,30.9817
90500,,,-280.1578,3.7315,0.0026,-0.0416,2.861,142.5597,4.8838,,,
91000,,,-276.6859,3.5975,0.0028,-0.042,2.8408,200.2493,4.8617,,,
91000,,,,,,,,,,1000,4519.8078,35.7672
91500,,,-284.791,4.6212,0.0023,-0.038,2.696,106.4937,4.5148,,,
92000,,,-281.1656,4.6491,0.0023,-0.0383,2.6006,135.8125,6.6732,,,
92000,,,,,,,,,,1000,4668.9798,30.5875
92500,,,-287.2789,4.1869,0.0022,-0.0369,2.9225,144.5361,5.0627,,,
93000,,,-284.3354,5.0256,0.0023,-0.0378,3.0973,120.7229,7.0844,,,
93000,,,,,,,,,,1000,4740.1731,34.8984
93500,,,-293.7157,5.0185,0.0024,-0.0382,2.7484,110.0629,6.6134,,,
94000,,,-295.6717,4.1869,0.0025,-0.0388,2.6827,104.6536,4.4993,,,
94000,,,,,,,,,,1000,4710.4846,36.0729
94500,,,-297.9174,3.6146,0.0022,-0.0366,2.8807,90.5516,5.3032,,,
95000,,,-298.2384,4.4296,0.0027,-0.0407,3.0594,73.5,4.9615,,,
95000,5140.7209,1000.0,,,,,,,,,,
95000,,,,,,,,,,1000,4801.4399,31.3652
95500,,,-300.6283,3.9089,0.0027,-0.0405,2.577,128.5648,5.6319,,,
96000,,,-306.7704,5.2068,0.0022,-0.0359,3.6967,337.7476,7.7692,,,
96000,,,,,,,,,,1000,4930.2617,36.0223
96500,,,-300.1966,4.3704,0.0023,-0.0366,3.0374,196.2052,7.8523,,,
97000,,,-309.3941,5.1498,0.0024,-0.0383,2.9292,78.2292,3.3902,,,
97000,,,,,,,,,,1000,4882.1277,35.9541
97500,,,-306.1162,3.6804,0.0022,-0.0368,2.8397,129.4373,4.7713,,,
98000,,,-312.953,3.7624,0.0025,-0.0392,3.3418,107.5271,5.7161,,,
98000,,,,,,,,,,1000,4898.2127,36.683
98500,,,-314.977,3.6702,0.0023,-0.0381,3.2379,176.4898,6.1489,,,
