env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
47000,,,0.3769,0.8331,0.1128,-180.1035,7.1019,0.076,-0.2222,3.4779,112.3975,3.9733,,,
47000,,,,,,,,,,,,,1000,2588.9618,17.3261
47500,,,0.3697,0.8167,0.1149,-181.4039,5.2273,0.0708,-0.2293,3.3832,93.6389,1.4372,,,
48000,,,0.3827,0.8275,0.1227,-181.957,7.5275,0.0737,-0.2458,4.9167,168.754,4.086,,,
48000,,,,,,,,,,,,,1000,2520.0995,17.7405
48500,,,0.3723,0.8256,0.1166,-191.6161,6.049,0.0713,-0.2387,2.8291,125.4671,3.3592,,,
49000,,,0.3855,0.8293,0.5681,-188.816,8.3403,0.0534,-1.0713,3.3577,195.1385,3.6364,,,
49000,,,,,,,,,,,,,1000,2466.2814,17.2619
49500,,,0.3774,0.8296,0.1185,-190.7306,7.7639,0.0728,-0.2303,3.5035,155.8806,3.3551,,,
50000,,,0.3817,0.829,0.1261,-193.1266,6.8646,0.0707,-0.2452,3.3004,223.6644,3.1399,,,
50000,4265.7876,1000.0,,,,,,,,,,,,,
50000,,,,,,,,,,,,,1000,2624.5711,16.0881
50500,,,0.3829,0.8362,0.1217,-197.2127,6.12,0.0743,-0.2292,3.9648,182.0575,3.438,,,
51000,,,0.3811,0.8345,0.1155,-200.0348,4.8553,0.0764,-0.225,4.376,179.2074,2.24,,,
51000,,,,,,,,,,,,,1000,2748.4995,16.4996
51500,,,0.3765,0.8315,0.1138,-202.9277,5.4521,0.0746,-0.2297,4.5656,186.4687,2.4414,,,
52000,,,0.3762,0.835,0.1157,-206.6404,6.1832,0.0739,-0.2349,2.9848,150.0403,3.6619,,,
52000,,,,,,,,,,,,,1000,2645.6852,17.2825
52500,,,0.3759,0.8424,0.1179,-207.423,5.999,0.0724,-0.2344,3.4792,147.3217,1.4417,,,
53000,,,0.3791,0.8423,0.1195,-208.6165,6.533,0.0735,-0.2371,3.9417,179.0267,2.4807,,,
53000,,,,,,,,,,,,,1000,2977.9487,17.5754
53500,,,0.382,0.8417,0.1215,-211.1418,6.1127,0.0737,-0.2406,3.1151,200.1647,3.9923,,,
