env_steps,return,length,success,train/return,train/length,train/success,zp_loss,rp_loss,critic_loss,FPS
1730000,0.9081,14.7,1.0,0.6492,13.4228,0.8631,0.0012,0.0,0.0013,688.838
1740000,0.9063,15.0,1.0,0.6801,13.4771,0.8787,0.0012,0.0,0.0013,683.6518
1750000,0.9156,13.5,1.0,0.6782,13.8889,0.8792,0.0012,0.0,0.0013,685.7162
1760000,0.9187,13.0,1.0,0.6467,13.4409,0.8616,0.0012,0.0,0.0013,684.4722
1770000,0.9363,10.2,1.0,0.6638,12.987,0.8688,0.0012,0.0,0.0013,686.5229
1780000,0.9094,14.5,1.0,0.7156,13.5135,0.8973,0.0012,0.0,0.0013,688.8032
1790000,0.9025,15.6,1.0,0.6413,13.245,0.8583,0.0012,0.0,0.0013,689.2617
1800000,0.8938,17.0,1.0,0.6636,13.5135,0.8703,0.0012,0.0,0.0013,677.5483
1810000,0.9138,13.8,1.0,0.6757,13.8889,0.8778,0.0012,0.0,0.0013,677.7875
1820000,0.9125,14.0,1.0,0.6823,13.587,0.8804,0.0012,0.0,0.0013,690.3292
1830000,0.9169,13.3,1.0,0.6902,13.4771,0.8841,0.0012,0.0,0.0013,690.7473
1840000,0.9038,15.4,1.0,0.6878,13.9276,0.8844,0.0012,0.0,0.0013,687.8242
1850000,0.9119,14.1,1.0,0.699,13.4228,0.8886,0.0012,0.0,0.0013,683.6969
1860000,0.9094,14.5,1.0,0.6477,13.3869,0.8621,0.0012,0.0,0.0013,677.8979
1870000,0.9225,12.4,1.0,0.7331,13.8313,0.9073,0.0012,0.0,0.0013,674.8052
1880000,0.9287,11.4,1.0,0.7039,13.6799,0.8919,0.0012,0.0,0.0013,684.4025
1890000,0.9137,13.8,1.0,0.67,13.3333,0.8733,0.0012,0.0,0.0013,681.4752
1900000,0.9106,14.3,1.0,0.6729,13.5318,0.8755,0.0012,0.0,0.0013,677.3044
1910000,0.9056,15.1,1.0,0.659,13.21,0.8679,0.0012,0.0,0.0013,677.1964
1920000,0.9081,14.7,1.0,0.7003,13.4048,0.8887,0.0012,0.0,0.0013,677.3619
1930000,0.905,15.2,1.0,0.6582,13.587,0.8682,0.0012,0.0,0.0013,673.6657
1940000,0.9194,12.9,1.0,0.6753,13.5685,0.8765,0.0012,0.0,0.0013,675.7605
1950000,0.9163,13.4,1.0,0.6494,13.5685,0.863,0.0012,0.0001,0.0015,667.9224
1960000,0.8994,16.1,1.0,0.7104,13.7363,0.8956,0.0012,0.0,0.0013,669.5269
1970000,0.9056,15.1,1.0,0.6963,13.3156,0.8868,0.0012,0.0,0.0013,668.9944
1980000,0.9144,13.7,1.0,0.6758,14.1243,0.8785,0.0012,0.0,0.0013,674.0472
1990000,0.9187,13.0,1.0,0.6967,13.5135,0.8878,0.0012,0.0,0.0013,664.8595
2000000,0.9269,11.7,1.0,0.7028,13.587,0.8913,0.0012,0.0,0.0013,664.1233
2010000,0.9237,12.2,1.0,0.6932,13.5685,0.886,0.0012,0.0,0.0013,663.2582
2020000,0.9169,13.3,1.0,0.6561,13.3333,0.8667,0.0012,0.0,0.0013,662.2589
2030000,0.9163,13.4,1.0,0.717,13.3333,0.8973,0.0012,0.0,0.0013,659.9878
2040000,0.9263,11.8,1.0,0.6787,13.2802,0.8778,0.0012,0.0,0.0013,657.6854
2050000,0.91,14.4,1.0,0.7425,13.624,0.9114,0.0012,0.0,0.0013,660.2674
2060000,0.8962,16.6,1.0,0.6565,13.5685,0.867,0.0012,0.0,0.0013,660.0299
