env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
54000,,,1.4159,0.774,0.1486,-129.7727,6.0185,0.3802,2.8507,31.8486,3.0146,,,
54000,,,,,,,,,,,,1000,1054.7169,93.4533
54500,,,1.4306,0.7783,0.1485,-128.5723,6.3449,0.3847,4.2658,50.1841,2.078,,,
55000,,,1.4011,0.7776,0.1458,-130.3028,5.6149,0.369,2.7672,19.2061,2.0783,,,
55000,2284.6538,1000.0,,,,,,,,,,,,
55000,,,,,,,,,,,,1000,979.331,80.5953
55500,,,1.4272,0.7662,0.1498,-135.4992,6.2144,0.3989,3.077,27.1941,1.7348,,,
56000,,,1.4483,0.7697,0.1511,-131.8115,8.1349,0.4281,3.5491,27.3665,2.1728,,,
56000,,,,,,,,,,,,1000,831.7103,92.2338
56500,,,1.3905,0.7682,0.144,-133.4792,11.0938,0.3532,2.8913,26.5448,2.4385,,,
57000,,,1.4276,0.7819,0.1471,-138.0873,6.6,0.3773,3.5884,29.3576,2.6573,,,
57000,,,,,,,,,,,,1000,1294.344,92.3066
57500,,,1.4177,0.7758,0.148,-133.3586,5.3604,0.3955,5.3484,31.2874,2.4633,,,
58000,,,1.3991,0.7687,0.1443,-135.8523,7.1058,0.3599,3.5921,26.8277,1.8464,,,
58000,,,,,,,,,,,,1000,891.239,92.3042
58500,,,1.4086,0.7777,0.1454,-135.1785,5.0016,0.36,2.7702,22.5789,1.5488,,,
59000,,,1.394,0.7746,0.1439,-135.7192,6.1664,0.3467,2.8802,28.2361,1.7954,,,
59000,,,,,,,,,,,,1000,991.1838,95.6972
59500,,,1.4293,0.7867,0.1488,-137.803,6.5204,0.3641,2.676,19.8096,2.3223,,,
60000,,,1.4667,0.7773,0.1539,-140.3084,7.5862,0.4133,4.5181,42.5621,2.5141,,,
60000,2171.3667,1000.0,,,,,,,,,,,,
60000,,,,,,,,,,,,1000,1093.2922,79.944
60500,,,1.4498,0.7801,0.1522,-139.3107,5.5198,0.4144,3.6438,25.2648,1.8218,,,
61000,,,1.43,0.7823,0.1481,-138.638,7.0906,0.3861,3.0005,24.4882,1.8978,,,
61000,,,,,,,,,,,,1000,1298.0629,92.1828
61500,,,1.3875,0.7681,0.1443,-139.9122,5.8945,0.3492,3.6245,32.8202,1.493,,,
62000,,,1.4469,0.786,0.1506,-141.1486,7.3256,0.404,4.0276,35.5066,1.9241,,,
62000,,,,,,,,,,,,1000,1848.7652,96.5765
62500,,,1.3928,0.7717,0.1452,-143.3908,5.5103,0.3534,2.7646,33.5154,1.8288,,,
63000,,,1.4046,0.7823,0.147,-140.4428,5.1586,0.3467,3.6642,36.8116,1.8111,,,
63000,,,,,,,,,,,,1000,1098.3398,91.9465
63500,,,1.4338,0.7818,0.1487,-144.8002,9.6131,0.3761,4.7411,42.7213,1.6627,,,
64000,,,1.4255,0.7854,0.148,-143.9885,6.1658,0.3737,2.4121,26.8163,2.1882,,,
64000,,,,,,,,,,,,1000,1340.5924,91.9137
64500,,,1.4253,0.7854,0.1482,-146.3819,7.4206,0.3687,4.3642,43.9262,2.4189,,,
65000,,,1.4216,0.7817,0.1475,-144.4092,5.8301,0.3703,2.6496,24.2711,1.8627,,,
65000,2528.2972,1000.0,,,,,,,,,,,,
