env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
21507,,,61,-102.9584,79.215,,,,,,,
21583,,,76,-109.3331,81.4971,,,,,,,
21640,,,57,-106.0434,86.307,,,,,,,
21704,,,64,-101.684,85.5666,,,,,,,
21769,,,65,-105.2206,85.5913,,,,,,,
21832,,,63,-106.5204,85.2518,,,,,,,
21925,,,93,-126.0089,81.0655,,,,,,,
21991,,,66,-104.672,83.8449,,,,,,,
22000,,,,,,2500.1587,2506.4126,14195.7461,2500.1587,2.5392,87.8604,0.4869
22063,,,72,-107.0578,83.4508,,,,,,,
22140,,,77,-108.421,83.8165,,,,,,,
22219,,,79,-106.9305,83.2401,,,,,,,
22281,,,62,-103.4608,84.5998,,,,,,,
22350,,,69,-112.0124,83.2005,,,,,,,
22429,,,79,-106.3317,83.773,,,,,,,
22489,,,60,-103.7563,85.2784,,,,,,,
22500,,,,,,2569.1855,2578.5144,25922.7109,2569.1855,1.9821,110.7227,0.4858
22616,,,127,-107.8131,85.0291,,,,,,,
22692,,,76,-107.0723,85.0284,,,,,,,
22771,,,79,-109.3562,88.1309,,,,,,,
22846,,,75,-107.7916,86.5639,,,,,,,
22926,,,80,-102.8439,88.215,,,,,,,
23000,,,,,,2453.0596,2464.5391,14397.9678,2453.0596,1.6258,56.3843,0.4926
23025,,,99,-110.2077,87.8698,,,,,,,
23114,,,89,-108.0635,87.0408,,,,,,,
23178,,,64,-103.8222,84.2812,,,,,,,
23256,,,78,-98.8369,81.7361,,,,,,,
23339,,,83,-105.2447,82.0093,,,,,,,
23407,,,68,-99.7701,85.724,,,,,,,
23482,,,75,-111.3634,84.9548,,,,,,,
23500,,,,,,2689.053,2697.3926,18604.3145,2689.053,2.1964,81.8245,0.4481
24000,,,,,,2717.041,2726.9473,19299.5996,2717.041,2.0454,109.0732,0.7253
24500,,,,,,2701.2642,2710.9866,13933.9121,2701.2642,2.3324,173.5397,0.566
