env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
49000,,,,,,,,,,1000,3049.8908,82.6492
49500,,,-261.125,4.3444,0.0037,-0.0486,3.9138,239.455,5.581,,,
50000,,,-266.1073,4.8452,0.0035,-0.0464,3.5637,96.8079,6.4246,,,
50000,4565.9508,1000.0,,,,,,,,,,
50000,,,,,,,,,,1000,3406.7649,73.216
50500,,,-269.6555,5.7556,0.0043,-0.0516,3.9313,306.5117,6.333,,,
51000,,,-270.8152,4.5611,0.0039,-0.0476,3.4243,159.3039,5.3905,,,
51000,,,,,,,,,,1000,3383.912,85.9582
51500,,,-273.0866,4.65,0.0038,-0.0483,3.4147,119.3895,4.9697,,,
52000,,,-275.7871,6.0534,0.004,-0.0471,3.6444,161.7527,4.4766,,,
52000,,,,,,,,,,1000,3541.342,82.8638
52500,,,-280.4571,4.484,0.0033,-0.0458,3.7073,107.4202,4.3967,,,
53000,,,-284.5616,4.5056,0.0033,-0.0456,3.5578,144.6535,3.227,,,
53000,,,,,,,,,,1000,3471.8573,87.4999
53500,,,-282.7752,5.8163,0.0033,-0.0462,3.6676,171.7641,6.5725,,,
54000,,,-287.5546,6.1564,0.0037,-0.0485,3.3554,127.2465,4.253,,,
54000,,,,,,,,,,1000,3509.3328,83.8997
54500,,,-286.0685,4.2661,0.0029,-0.0425,3.122,143.0768,5.4019,,,
55000,,,-295.8241,5.2165,0.0033,-0.0449,3.4696,133.2018,6.041,,,
55000,4775.3591,1000.0,,,,,,,,,,
55000,,,,,,,,,,1000,3621.4552,76.5143
55500,,,-297.9628,5.7998,0.0033,-0.0453,3.6655,202.6731,4.2081,,,
56000,,,-297.0083,4.9383,0.0038,-0.0486,3.6263,210.7541,4.9447,,,
56000,,,,,,,,,,1000,3598.257,82.2398
56500,,,-300.4933,4.4013,0.0034,-0.0465,3.106,141.4796,5.2941,,,
57000,,,-301.3442,4.415,0.0029,-0.0427,2.9665,175.0078,6.3005,,,
57000,,,,,,,,,,1000,3761.8905,83.1528
57500,,,-304.956,5.4705,0.0031,-0.043,3.0787,114.3063,5.0683,,,
58000,,,-306.7976,5.5957,0.0036,-0.0487,3.3586,151.4104,5.5513,,,
58000,,,,,,,,,,1000,3742.1455,82.621
58500,,,-310.3688,4.9222,0.0029,-0.0437,3.5578,246.5285,7.0066,,,
59000,,,-316.7048,4.2663,0.0033,-0.0456,3.4182,152.6762,4.9749,,,
59000,,,,,,,,,,1000,3775.265,84.054
59500,,,-316.1534,4.9266,0.0031,-0.0438,3.3719,128.6104,5.5185,,,
60000,,,-318.3232,6.218,0.003,-0.0439,3.1364,192.0601,6.6899,,,
60000,4847.0818,1000.0,,,,,,,,,,
60000,,,,,,,,,,1000,3800.1847,75.7978
60500,,,-318.9328,4.3594,0.0028,-0.0417,3.6004,115.7645,6.3223,,,
61000,,,-321.522,3.9113,0.0028,-0.0434,3.2891,255.2323,4.1975,,,
61000,,,,,,,,,,1000,3830.9618,82.5638
61500,,,-324.8519,5.1713,0.0033,-0.0455,2.8284,95.9466,7.0932,,,
62000,,,-324.4612,5.9896,0.003,-0.0442,3.3227,125.4577,8.4104,,,
62000,,,,,,,,,,1000,4008.9474,81.9769
62500,,,-328.9856,4.5401,0.0025,-0.0395,2.897,120.3054,4.5291,,,
63000,,,-326.5524,4.199,0.0029,-0.0422,3.039,226.1478,3.9462,,,
63000,,,,,,,,,,1000,3890.6736,82.4469
63500,,,-331.8585,4.3658,0.0025,-0.0394,3.0941,145.1963,5.1188,,,
64000,,,-339.0812,4.925,0.0027,-0.042,3.3723,157.2349,6.2166,,,
64000,,,,,,,,,,1000,4062.7584,82.0289
64500,,,-339.2845,3.8045,0.0028,-0.0422,3.1314,89.102,2.948,,,
65000,,,-336.9643,4.6817,0.0028,-0.0408,2.9837,218.6056,4.089,,,
65000,4835.6134,1000.0,,,,,,,,,,
65000,,,,,,,,,,1000,4025.9136,73.9249
65500,,,-338.2337,4.1818,0.0027,-0.0421,3.2295,104.9839,3.8652,,,
66000,,,-347.786,4.7475,0.0032,-0.043,2.9683,149.8012,5.7016,,,
66000,,,,,,,,,,1000,3999.4859,85.9983
66500,,,-342.0468,4.114,0.0028,-0.0414,2.745,140.9931,4.3414,,,
67000,,,-344.2226,5.1477,0.0037,-0.0435,3.0222,214.3156,4.4844,,,
67000,,,,,,,,,,1000,4229.7655,84.4959
67500,,,-347.0231,5.6726,0.0027,-0.0411,2.6328,140.7374,4.8793,,,
68000,,,-348.0388,4.1955,0.0032,-0.0444,2.9916,157.094,5.7404,,,
68000,,,,,,,,,,1000,4230.8895,84.8262
68500,,,-352.7021,4.4578,0.0022,-0.0367,2.9589,249.4393,4.2821,,,
69000,,,-347.5235,4.7093,0.0029,-0.0428,3.2888,280.6775,2.7606,,,
69000,,,,,,,,,,1000,4401.0855,81.8232
69500,,,-352.8752,4.0463,0.0028,-0.0419,2.7805,117.603,4.6232,,,
70000,,,-354.9514,4.3206,0.0028,-0.0415,2.9179,102.8556,5.3933,,,
70000,5184.7843,1000.0,,,,,,,,,,
70000,,,,,,,,,,1000,4119.3379,73.4464
70500,,,-356.7144,4.8959,0.0028,-0.0422,3.1557,278.5127,5.1347,,,
71000,,,-356.7214,4.2849,0.0026,-0.0402,2.7611,117.304,4.7773,,,
71000,,,,,,,,,,1000,4325.5079,84.4484
71500,,,-359.2639,4.3529,0.0026,-0.0394,2.8027,196.1482,4.1695,,,
72000,,,-363.3812,5.1142,0.0024,-0.0381,3.1705,237.8175,6.206,,,
72000,,,,,,,,,,1000,4180.6332,83.1683
72500,,,-365.6949,4.8856,0.0026,-0.0407,3.4891,438.3677,5.7295,,,
73000,,,-363.633,4.817,0.0026,-0.0406,2.5795,88.7868,3.7093,,,
73000,,,,,,,,,,1000,4388.403,81.9155
73500,,,-367.1775,4.1568,0.0027,-0.0402,3.0147,156.0068,5.3869,,,
74000,,,-369.0735,4.9707,0.0027,-0.0412,2.3799,170.5372,3.5824,,,
74000,,,,,,,,,,1000,4319.4285,82.7411
