env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
13166,,,90,-117.3797,17.9649,,,,,,,,,,,,,,,
13208,,,42,-122.4182,18.2875,,,,,,,,,,,,,,,
13261,,,53,-111.7317,17.6964,,,,,,,,,,,,,,,
13408,,,147,-115.0201,17.8305,,,,,,,,,,,,,,,
13500,,,,,,33,4,1,1277.7373,1.5955,1.1894,4.4517,1.2117,140.0992,83.0595,101.3864,-3.782,24.3525,3838.5349,0.0
13500,,,92,-113.27,17.6378,,,,,,,,,,,,,,,
13751,,,251,-129.0217,17.6753,,,,,,,,,,,,,,,
13851,,,100,-115.1155,17.9104,,,,,,,,,,,,,,,
13906,,,55,-113.0699,17.3158,,,,,,,,,,,,,,,
13965,,,59,-112.2678,17.2475,,,,,,,,,,,,,,,
14000,,,,,,31,4,1,1349.5751,0.8876,0.7989,1.7999,0.8079,83.8221,26.8243,46.277,-1.0824,22.242,3415.502,0.0
14133,,,168,-117.3195,17.9518,,,,,,,,,,,,,,,
14177,,,44,-116.7468,19.4975,,,,,,,,,,,,,,,
14279,,,102,-119.8013,19.7093,,,,,,,,,,,,,,,
14321,,,42,-120.4732,18.7588,,,,,,,,,,,,,,,
14425,,,104,-116.0517,17.8199,,,,,,,,,,,,,,,
14471,,,46,-113.5943,18.5449,,,,,,,,,,,,,,,
14500,,,,,,32,3,1,1354.8723,1.4223,1.5759,3.0116,1.5909,146.7768,102.9161,101.1941,-3.8485,11.848,1000.6996,0.0031
14571,,,100,-113.5816,19.2864,,,,,,,,,,,,,,,
14683,,,112,-109.8238,17.3068,,,,,,,,,,,,,,,
14791,,,108,-105.4491,17.711,,,,,,,,,,,,,,,
14848,,,57,-107.4667,18.6094,,,,,,,,,,,,,,,
14896,,,48,-107.6718,18.3625,,,,,,,,,,,,,,,
14978,,,82,-102.5949,18.3589,,,,,,,,,,,,,,,
15000,,,,,,34,4,1,1292.7443,1.1744,1.1867,3.8532,1.206,123.1759,45.4538,82.4056,-4.2397,17.8008,894.3724,0.0452
15000,-105.0155,103.8,,,,,,,,,,,,,,,,,,
15069,,,91,-103.1604,16.7573,,,,,,,,,,,,,,,
15123,,,54,-120.9112,18.632,,,,,,,,,,,,,,,
15189,,,66,-105.2154,17.9805,,,,,,,,,,,,,,,
15280,,,91,-105.2259,19.2299,,,,,,,,,,,,,,,
15335,,,55,-101.4405,20.2403,,,,,,,,,,,,,,,
15404,,,69,-104.992,20.086,,,,,,,,,,,,,,,
15459,,,55,-103.2849,19.0443,,,,,,,,,,,,,,,
15500,,,,,,30,4,1,1365.0453,1.6995,1.576,4.7265,1.5997,122.0173,54.164,77.8083,-4.8945,19.688,1143.1171,0.0004
15502,,,43,-103.4898,18.1255,,,,,,,,,,,,,,,
15548,,,46,-104.4496,18.6579,,,,,,,,,,,,,,,
15599,,,51,-101.9951,18.7035,,,,,,,,,,,,,,,
15648,,,49,-102.539,18.1644,,,,,,,,,,,,,,,
15714,,,66,-103.5812,19.5213,,,,,,,,,,,,,,,
15784,,,70,-107.7452,18.5221,,,,,,,,,,,,,,,
15849,,,65,-108.9956,19.2431,,,,,,,,,,,,,,,
15904,,,55,-108.1109,18.9507,,,,,,,,,,,,,,,
15975,,,71,-104.4661,18.6826,,,,,,,,,,,,,,,
16000,,,,,,27,3,1,1458.7742,0.8341,0.7974,8.144,0.8381,85.9704,121.2872,40.1581,-5.8726,21.9334,2216.061,0.0
16031,,,56,-106.7039,17.8721,,,,,,,,,,,,,,,
16091,,,60,-104.4675,18.7334,,,,,,,,,,,,,,,
16137,,,46,-107.1765,18.8714,,,,,,,,,,,,,,,
16274,,,137,-135.9753,19.2677,,,,,,,,,,,,,,,
16374,,,100,-132.9567,19.4048,,,,,,,,,,,,,,,
16453,,,79,-103.6122,18.2482,,,,,,,,,,,,,,,
16500,,,,,,28,4,1,1432.4553,2.2919,1.9655,5.1396,1.9912,157.8322,107.2018,111.4008,-4.6521,43.0818,7411.0806,0.0004
16518,,,65,-102.3174,18.6765,,,,,,,,,,,,,,,
16565,,,47,-106.7704,20.3606,,,,,,,,,,,,,,,
16625,,,60,-107.4015,19.0499,,,,,,,,,,,,,,,
16695,,,70,-104.7917,18.8912,,,,,,,,,,,,,,,
16747,,,52,-107.2047,18.546,,,,,,,,,,,,,,,
16828,,,81,-102.6867,18.5868,,,,,,,,,,,,,,,
16959,,,131,-111.1595,18.7181,,,,,,,,,,,,,,,
17000,,,,,,25,3,1,1484.322,1.2498,0.0251,7.918,0.0647,76.241,97.147,28.1154,-8.6588,17.5733,2729.3445,0.0589
17007,,,48,-106.7607,18.2912,,,,,,,,,,,,,,,
17074,,,67,-105.9204,18.1153,,,,,,,,,,,,,,,
17134,,,60,-104.5758,19.2462,,,,,,,,,,,,,,,
17199,,,65,-102.3032,18.4907,,,,,,,,,,,,,,,
17257,,,58,-108.4516,18.7148,,,,,,,,,,,,,,,
17308,,,51,-107.0467,19.3096,,,,,,,,,,,,,,,
17393,,,85,-129.4985,17.1752,,,,,,,,,,,,,,,
17500,,,,,,24,4,1,1485.7473,1.6453,2.3551,8.3814,2.397,181.4649,18.9404,126.41,-9.2748,40.0151,5975.9673,0.0521
17503,,,110,-133.8031,16.4487,,,,,,,,,,,,,,,
17592,,,89,-107.5998,18.2532,,,,,,,,,,,,,,,
17679,,,87,-129.3636,19.3637,,,,,,,,,,,,,,,
17741,,,62,-108.0104,19.9287,,,,,,,,,,,,,,,
17834,,,93,-103.644,19.6122,,,,,,,,,,,,,,,
17885,,,51,-106.0178,19.4645,,,,,,,,,,,,,,,
18000,,,,,,24,3,1,1554.1761,1.2294,0.8038,11.4716,0.8612,112.3345,56.1731,60.6465,-15.4836,18.5497,3117.5769,0.0
18008,,,123,-135.6118,18.7054,,,,,,,,,,,,,,,
18060,,,52,-107.317,19.0775,,,,,,,,,,,,,,,
18111,,,51,-105.9748,18.9533,,,,,,,,,,,,,,,
18220,,,109,-103.9578,18.8211,,,,,,,,,,,,,,,
18332,,,112,-104.2422,19.1023,,,,,,,,,,,,,,,
18500,,,,,,24,3,1,1497.7833,1.2839,1.5785,4.7681,1.6024,132.8276,68.4051,79.2089,-6.4877,12.5002,1771.1012,0.0
19000,,,,,,23,4,1,1493.9301,2.0308,2.3573,21.3254,2.4639,182.4576,92.6242,129.2194,-16.9993,11.1085,1947.119,0.0023
19500,,,,,,26,4,1,1444.788,1.723,2.3528,13.3581,2.4196,198.5859,129.1732,141.5596,-15.5375,7.2011,752.0728,0.0
19932,,,1600,-147.8196,19.7088,,,,,,,,,,,,,,,
20000,,,,,,23,4,1,1488.1847,1.3356,1.9687,13.5957,2.0367,155.8098,135.7174,101.2497,-14.8365,5.4086,506.3186,0.0
20000,-101.8145,69.2,,,,,,,,,,,,,,,,,,
20500,,,,,,24,4,1,1464.8972,1.7857,1.9671,10.0726,2.0174,180.3413,65.4537,122.4885,-12.1492,6.4439,567.0051,0.0
21000,,,,,,25,4,1,1540.9535,0.9375,0.0228,11.588,0.0807,70.711,62.925,14.5002,-8.7866,9.7915,1043.4965,0.0018
21500,,,,,,25,4,1,1549.7859,1.5869,1.5739,10.3904,1.6258,144.3141,44.5468,89.0348,-15.4637,3.8285,757.2909,0.0002
21532,,,1600,-148.5601,19.1756,,,,,,,,,,,,,,,
21640,,,108,-104.171,19.7223,,,,,,,,,,,,,,,
21713,,,73,-100.7059,18.2954,,,,,,,,,,,,,,,
21795,,,82,-104.5237,17.7889,,,,,,,,,,,,,,,
21860,,,65,-103.7038,18.8835,,,,,,,,,,,,,,,
21912,,,52,-119.6909,18.5027,,,,,,,,,,,,,,,
21988,,,76,-100.6004,18.1842,,,,,,,,,,,,,,,
