env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
12997,,,10,-7.5861,93.1351,,,,,,,,,
13000,,,,,,1.9574,1.1845,0.1833,-142.8775,10.7673,0.8906,146.4939,427.1086,4.5461
13045,,,48,21.3901,92.7401,,,,,,,,,
13053,,,8,-5.2945,93.1173,,,,,,,,,
13066,,,13,-5.167,89.7987,,,,,,,,,
13117,,,51,21.8645,93.3367,,,,,,,,,
13136,,,19,-6.0144,93.4981,,,,,,,,,
13195,,,59,31.5955,92.8731,,,,,,,,,
13227,,,32,8.6,93.4115,,,,,,,,,
13244,,,17,-5.383,92.0266,,,,,,,,,
13262,,,18,-5.9737,93.2178,,,,,,,,,
13270,,,8,-4.8488,92.8657,,,,,,,,,
13280,,,10,-5.2743,93.2774,,,,,,,,,
13299,,,19,-5.8761,93.0648,,,,,,,,,
13322,,,23,-0.9458,93.7469,,,,,,,,,
13376,,,54,48.8047,93.2977,,,,,,,,,
13398,,,22,-4.1314,92.9371,,,,,,,,,
13500,,,,,,1.9112,1.2181,0.1819,-153.2429,13.545,0.776,278.3432,930.9743,4.0734
13550,,,152,309.0273,94.4182,,,,,,,,,
13603,,,53,28.5103,92.539,,,,,,,,,
13683,,,80,105.9908,92.9362,,,,,,,,,
13744,,,61,31.966,92.8293,,,,,,,,,
13766,,,22,-4.422,93.047,,,,,,,,,
13839,,,73,67.9902,93.1515,,,,,,,,,
13847,,,8,-5.2972,93.0646,,,,,,,,,
13854,,,7,-4.4647,93.9088,,,,,,,,,
13862,,,8,-4.8364,92.5104,,,,,,,,,
13873,,,11,-5.6837,93.5539,,,,,,,,,
13884,,,11,-8.6282,92.8705,,,,,,,,,
13893,,,9,-7.1984,92.9513,,,,,,,,,
13962,,,69,44.2498,93.2141,,,,,,,,,
13984,,,22,-2.5316,93.259,,,,,,,,,
13993,,,9,-5.6085,92.7711,,,,,,,,,
14000,,,,,,1.9305,1.2055,0.1806,-157.7041,9.1579,0.7922,209.2374,348.0532,2.241
14004,,,11,-7.6509,92.5958,,,,,,,,,
