env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
30000,,,,,,1158.679,1031.4558,7255.6699,1158.679,126.5506,5468.1274,15.6218
30000,-409.6389,908.9,,,,,,,,,,
30500,,,,,,1173.4506,1048.3601,8702.2275,1173.4506,91.4518,2813.4917,15.9955
30641,,,1000,-1327.9036,54.6376,,,,,,,
30718,,,77,-128.0116,76.5842,,,,,,,
30815,,,97,-65.1423,72.7961,,,,,,,
31000,,,,,,1143.7938,1015.9235,8437.0957,1143.7938,124.4406,6426.4858,16.3046
31076,,,261,-247.9876,72.4972,,,,,,,
31135,,,59,-73.9686,73.6702,,,,,,,
31311,,,176,-175.0491,70.7934,,,,,,,
31500,,,,,,1209.1885,1062.4141,8930.5635,1209.1885,184.1353,4050.1194,15.1842
31676,,,365,-274.2265,71.2338,,,,,,,
31706,,,30,-26.0121,69.1861,,,,,,,
31907,,,201,-282.8099,72.4455,,,,,,,
31960,,,53,-32.968,71.4062,,,,,,,
32000,,,,,,1195.0242,1039.9905,9007.6182,1195.0242,269.4312,6420.2646,17.4647
32167,,,207,-178.3042,73.1023,,,,,,,
32287,,,120,-129.4775,70.8254,,,,,,,
32500,,,,,,1259.9648,1112.3687,9032.4492,1259.9648,169.836,4062.7463,19.587
33000,,,,,,1283.5603,1105.3363,9051.7148,1283.5603,200.9814,5740.2876,21.6478
33287,,,1000,-1285.4894,72.2597,,,,,,,
33302,,,15,-15.308,71.0563,,,,,,,
33422,,,120,-126.0214,76.2001,,,,,,,
33500,,,,,,1181.6794,1007.3064,8691.7109,1181.6794,148.7505,5185.0142,17.3939
33610,,,188,-182.6421,77.1894,,,,,,,
33658,,,48,-73.4191,76.2679,,,,,,,
33752,,,94,-99.5846,76.2893,,,,,,,
33816,,,64,-67.5284,75.1571,,,,,,,
33902,,,86,-62.1254,76.5298,,,,,,,
33989,,,87,-56.1891,74.2934,,,,,,,
34000,,,,,,1275.8518,1094.8867,7055.7979,1275.8518,228.6884,5812.5391,18.8122
34041,,,52,-66.938,70.8473,,,,,,,
34133,,,92,-73.0467,69.9403,,,,,,,
34500,,,,,,1272.8118,1095.9529,8315.7939,1272.8118,230.553,6500.6519,21.4929
35000,,,,,,1292.4657,1106.1882,7664.0913,1292.4657,251.355,8074.4629,20.273
35000,-361.2008,824.0,,,,,,,,,,
35133,,,1000,-1270.2545,55.808,,,,,,,
35500,,,,,,1247.2716,1055.9564,7002.3784,1247.2716,202.2458,4717.6055,20.2635
36000,,,,,,1271.9559,1070.2198,9359.7588,1271.9559,211.7022,8236.2178,22.1927
36133,,,1000,-1303.7527,72.2239,,,,,,,
36337,,,204,-422.4799,75.5593,,,,,,,
36500,,,,,,1252.1229,1058.3571,7969.8955,1252.1229,326.3811,8947.3936,22.3604
