env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
15575,,,11,10.7818,92.5182,,,,,,,,,
15642,,,67,122.352,92.2237,,,,,,,,,
15714,,,72,118.9343,92.9974,,,,,,,,,
15725,,,11,11.3295,92.9529,,,,,,,,,
15774,,,49,75.8978,91.9376,,,,,,,,,
15893,,,119,243.3037,92.8523,,,,,,,,,
15985,,,92,178.6201,92.7352,,,,,,,,,
16000,,,,,,0.8663,0.7382,0.0817,-133.0533,6.8193,0.259,124.7195,220.2179,1.679
16028,,,43,64.5509,92.7214,,,,,,,,,
16087,,,59,95.9612,92.5978,,,,,,,,,
16117,,,30,41.8784,93.1553,,,,,,,,,
16130,,,13,13.5139,93.1808,,,,,,,,,
16164,,,34,51.2726,92.6116,,,,,,,,,
16187,,,23,29.1697,92.8292,,,,,,,,,
16234,,,47,71.2291,93.2179,,,,,,,,,
16245,,,11,11.3398,92.9958,,,,,,,,,
16288,,,43,70.1935,98.4358,,,,,,,,,
16328,,,40,63.089,98.8045,,,,,,,,,
16357,,,29,36.2358,99.3316,,,,,,,,,
16369,,,12,10.6121,98.3612,,,,,,,,,
16422,,,53,79.2132,98.1713,,,,,,,,,
16500,,,,,,0.8935,0.7525,0.0881,-132.903,19.6478,0.2812,71.7205,189.2732,2.4864
16501,,,79,149.2533,94.148,,,,,,,,,
16519,,,18,20.9569,98.701,,,,,,,,,
16543,,,24,31.6669,99.1258,,,,,,,,,
16553,,,10,9.2446,98.7974,,,,,,,,,
16659,,,106,234.1935,95.1396,,,,,,,,,
16678,,,19,19.9547,93.0344,,,,,,,,,
16749,,,71,129.4031,93.1971,,,,,,,,,
16831,,,82,155.7522,95.2094,,,,,,,,,
16912,,,81,145.731,99.1179,,,,,,,,,
17000,,,,,,0.8282,0.7398,0.0764,-140.7003,6.5209,0.2201,173.6075,458.1976,2.9976
17035,,,123,264.2559,98.9071,,,,,,,,,
17046,,,11,10.1124,98.8077,,,,,,,,,
17158,,,112,283.9883,93.4882,,,,,,,,,
17283,,,125,305.6772,96.0108,,,,,,,,,
17351,,,68,126.32,93.1357,,,,,,,,,
17365,,,14,16.0231,93.6423,,,,,,,,,
17446,,,81,149.8525,92.8881,,,,,,,,,
17469,,,23,26.9335,93.3239,,,,,,,,,
17478,,,9,7.5028,93.5301,,,,,,,,,
17494,,,16,21.6637,92.8968,,,,,,,,,
17500,,,,,,0.8508,0.7351,0.0809,-141.1267,5.8419,0.2554,124.7837,447.1392,2.0153
17521,,,27,42.7869,93.0425,,,,,,,,,
17544,,,23,32.1085,93.2676,,,,,,,,,
17631,,,87,157.3213,92.992,,,,,,,,,
17643,,,12,13.6872,93.4411,,,,,,,,,
17654,,,11,10.3526,92.6935,,,,,,,,,
17678,,,24,33.4944,93.1836,,,,,,,,,
17701,,,23,28.4779,92.8967,,,,,,,,,
17717,,,16,20.1305,93.5582,,,,,,,,,
