env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
43000,,,0.8982,0.7611,0.0817,-70.3771,9.6651,0.7166,2.9517,18.3204,1.054,,,
43000,,,,,,,,,,,,1000,1382.038,92.6993
43500,,,0.887,0.7667,0.0793,-74.2822,11.0019,0.7003,2.9494,13.3629,1.8428,,,
44000,,,0.9054,0.7584,0.083,-74.2375,9.8976,0.7281,4.8158,38.3765,1.7522,,,
44000,,,,,,,,,,,,1000,218.7231,92.2944
44500,,,0.9261,0.7583,0.0844,-75.9256,13.2959,0.7651,4.0688,17.0136,1.7515,,,
45000,,,0.9007,0.7568,0.0831,-73.6464,10.4752,0.726,3.954,15.3415,2.254,,,
45000,1859.5526,1000.0,,,,,,,,,,,,
45000,,,,,,,,,,,,1000,1246.0793,77.0135
45500,,,0.8966,0.7517,0.0807,-73.3909,9.6975,0.7202,3.8781,13.536,1.8026,,,
46000,,,0.9118,0.7644,0.0833,-78.8661,8.7901,0.7423,3.2187,23.9016,1.8808,,,
46000,,,,,,,,,,,,1000,450.5372,92.6082
46500,,,0.8913,0.7595,0.0816,-80.87,8.4224,0.7035,3.0611,13.2806,1.2542,,,
47000,,,0.8846,0.7552,0.0794,-75.8089,9.3849,0.698,4.6065,29.3257,1.6008,,,
47000,,,,,,,,,,,,1000,1409.0204,93.831
47500,,,0.8942,0.7711,0.0802,-80.7335,9.6086,0.715,3.9918,27.7435,2.2943,,,
48000,,,0.9036,0.7825,0.0819,-83.7063,9.2119,0.7295,3.3804,18.9237,1.4421,,,
48000,,,,,,,,,,,,1000,1524.437,92.498
48500,,,0.8731,0.7627,0.078,-80.5166,9.3801,0.6863,3.5144,29.9295,1.2636,,,
49000,,,0.9014,0.772,0.0821,-84.5926,12.65,0.7245,3.2104,17.3125,1.9436,,,
49000,,,,,,,,,,,,1000,1436.5857,94.3263
49500,,,0.8691,0.7729,0.0766,-84.904,10.7383,0.6734,3.2337,38.6646,1.617,,,
50000,,,0.9012,0.769,0.083,-87.1975,14.7325,0.721,3.2722,39.1175,1.5234,,,
50000,1765.691,1000.0,,,,,,,,,,,,
50000,,,,,,,,,,,,1000,1397.0036,77.0266
50500,,,0.9068,0.768,0.0828,-85.1355,10.6486,0.7268,2.985,27.6483,2.2079,,,
51000,,,0.8844,0.7778,0.0798,-88.3773,10.9071,0.689,3.5589,23.5753,1.3698,,,
51000,,,,,,,,,,,,1000,732.9126,95.9602
51500,,,0.9058,0.7738,0.0838,-89.156,11.6951,0.7258,3.1251,23.9502,2.2209,,,
52000,,,0.8886,0.776,0.0803,-89.0933,11.5209,0.7033,3.5529,31.5409,2.1494,,,
52000,,,,,,,,,,,,1000,524.9557,93.7464
52500,,,0.8828,0.7696,0.0796,-89.9772,9.7187,0.6837,2.7938,45.9587,1.8792,,,
53000,,,0.8804,0.7746,0.0796,-90.3743,8.7832,0.6909,3.7998,26.5106,1.6919,,,
53000,,,,,,,,,,,,1000,1658.374,92.6231
53500,,,0.88,0.7745,0.0801,-93.7045,9.4023,0.691,3.0647,21.8124,1.3917,,,
54000,,,0.9014,0.7872,0.0818,-95.869,11.2817,0.7196,2.9864,24.7878,1.9223,,,
54000,,,,,,,,,,,,1000,1484.8132,97.3346
54500,,,0.9196,0.7828,0.0853,-98.1224,10.0354,0.7575,3.2321,25.9159,1.9759,,,
55000,,,0.8919,0.7864,0.0818,-100.9264,12.0414,0.7094,3.7965,20.4208,1.5255,,,
55000,2289.5559,1000.0,,,,,,,,,,,,
55000,,,,,,,,,,,,1000,1673.1306,77.8716
55500,,,0.8866,0.7756,0.081,-97.7085,11.8043,0.7021,2.6999,12.53,1.4971,,,
56000,,,0.9014,0.7767,0.0825,-99.3908,10.9937,0.73,2.9747,15.1173,1.8754,,,
56000,,,,,,,,,,,,1000,1370.0159,92.3487
56500,,,0.8695,0.7874,0.078,-99.6681,11.5611,0.6723,3.1023,24.0279,1.549,,,
57000,,,0.8941,0.7829,0.0807,-97.9148,10.872,0.7194,4.5221,35.6702,1.4525,,,
57000,,,,,,,,,,,,1000,1404.3564,92.5781
57500,,,0.9008,0.7766,0.0835,-100.136,9.4684,0.7214,4.0919,59.5208,2.6162,,,
58000,,,0.9307,0.7945,0.0871,-108.6024,12.7164,0.7608,2.9906,33.2061,1.8369,,,
58000,,,,,,,,,,,,1000,1671.9176,92.4231
58500,,,0.8884,0.7807,0.0812,-106.1974,10.7359,0.7005,3.1585,14.4642,1.5799,,,
59000,,,0.8913,0.7881,0.0805,-106.6915,9.9788,0.7041,2.7805,42.7662,1.8327,,,
59000,,,,,,,,,,,,1000,1712.4237,92.6086
59500,,,0.9028,0.7837,0.0829,-104.3601,10.3348,0.7249,4.1104,26.171,1.5797,,,
60000,,,0.9007,0.7825,0.0816,-106.4976,10.8634,0.7301,4.4168,30.0348,2.1097,,,
60000,1791.9832,1000.0,,,,,,,,,,,,
60000,,,,,,,,,,,,1000,1813.7581,76.5352
60500,,,0.9107,0.7851,0.0827,-108.3533,10.5588,0.7372,3.9024,24.9836,1.8591,,,
61000,,,0.9189,0.7794,0.0835,-108.4834,12.6038,0.7466,2.8273,33.2826,2.8581,,,
61000,,,,,,,,,,,,1000,1695.1127,92.2463
61500,,,0.9322,0.7895,0.0868,-113.1701,11.8256,0.7693,3.7059,35.4264,2.6449,,,
62000,,,0.8946,0.7907,0.0821,-115.864,9.6885,0.7044,3.6228,47.4275,1.2999,,,
62000,,,,,,,,,,,,1000,1729.6531,92.2497
62500,,,0.9085,0.7939,0.0835,-112.5288,11.3776,0.7293,3.1759,12.5885,1.4025,,,
63000,,,0.8858,0.7865,0.0815,-115.2742,11.8826,0.6876,3.7537,23.9264,2.3566,,,
63000,,,,,,,,,,,,1000,1849.8481,92.2922
63500,,,0.9175,0.7827,0.0857,-113.3001,12.9192,0.7535,4.6357,38.0977,1.8696,,,
64000,,,0.8864,0.7928,0.081,-118.1166,11.4443,0.7016,4.9773,104.8005,1.5677,,,
64000,,,,,,,,,,,,1000,582.9348,94.6738
64500,,,0.8776,0.7892,0.0793,-118.3278,9.5555,0.6836,5.6719,33.0932,1.1725,,,
65000,,,0.9001,0.7871,0.0824,-118.5882,13.6582,0.7174,2.6924,12.7072,1.3547,,,
65000,2250.7883,1000.0,,,,,,,,,,,,
65000,,,,,,,,,,,,1000,1890.4932,77.1993
65500,,,0.9152,0.7779,0.0839,-119.9128,10.581,0.7523,3.1261,16.6389,1.8757,,,
66000,,,0.8893,0.7912,0.0814,-116.2389,10.9118,0.6975,3.0877,45.4637,1.5235,,,
66000,,,,,,,,,,,,1000,1977.88,92.7256
66500,,,0.9108,0.7797,0.0856,-119.6548,10.9034,0.7269,3.1713,40.0594,1.6349,,,
67000,,,0.9028,0.7984,0.083,-120.8455,10.3747,0.7269,3.4234,44.9348,2.1911,,,
67000,,,,,,,,,,,,1000,1758.9548,92.3199
67500,,,0.9182,0.7943,0.0849,-123.4023,11.3623,0.7447,3.1207,19.627,2.0591,,,
68000,,,0.9175,0.7968,0.0849,-126.9833,11.7956,0.7494,3.445,30.6534,1.2231,,,
68000,,,,,,,,,,,,1000,1971.7449,92.2169
68500,,,0.9101,0.7936,0.0843,-124.2956,11.8004,0.7365,4.1837,20.8695,1.8317,,,
69000,,,0.9134,0.7845,0.0839,-125.6348,10.1334,0.7418,2.7451,47.1054,1.3989,,,
69000,,,,,,,,,,,,1000,1974.3417,94.0696
69500,,,0.896,0.7927,0.0818,-128.6398,10.9144,0.7111,3.8191,24.938,1.4181,,,
70000,,,0.879,0.7877,0.0796,-126.6693,11.0413,0.6816,3.2681,21.4294,1.9134,,,
70000,2293.033,1000.0,,,,,,,,,,,,
70000,,,,,,,,,,,,1000,2022.2411,76.8089
70500,,,0.9174,0.8004,0.0844,-127.9709,10.4616,0.7469,3.0847,12.1578,1.7255,,,
71000,,,0.8976,0.7895,0.0836,-129.2942,11.3259,0.7141,3.1601,20.1406,2.2404,,,
71000,,,,,,,,,,,,1000,2014.5579,92.1907
71500,,,0.9034,0.8026,0.0845,-133.785,11.0697,0.7214,3.4429,67.9273,1.0579,,,
72000,,,0.8912,0.8025,0.0807,-135.2632,10.381,0.7117,3.4183,27.0411,1.1713,,,
72000,,,,,,,,,,,,1000,2037.4295,92.3262
72500,,,0.912,0.8056,0.0847,-134.0715,11.8226,0.7354,3.1716,68.409,1.8781,,,
73000,,,0.8935,0.7992,0.0814,-131.6624,12.6241,0.7081,3.2772,46.3375,2.8875,,,
73000,,,,,,,,,,,,1000,2116.1885,92.4168
73500,,,0.8996,0.7954,0.083,-136.6615,11.3777,0.7221,3.4698,66.6452,2.8685,,,
74000,,,0.9047,0.7976,0.0827,-132.8285,12.1208,0.7256,3.6314,30.4594,1.6275,,,
74000,,,,,,,,,,,,1000,2136.9451,92.3636
74500,,,0.9025,0.8026,0.0836,-135.7508,10.1679,0.7192,3.8828,16.234,2.1178,,,
75000,,,0.9232,0.8,0.0863,-134.6049,12.9759,0.7565,4.0042,22.7983,2.0014,,,
75000,2569.8964,1000.0,,,,,,,,,,,,
75000,,,,,,,,,,,,1000,877.5883,76.3491
75500,,,0.9276,0.8046,0.0868,-137.472,11.4603,0.7658,4.515,34.4911,1.3728,,,
76000,,,0.9067,0.8005,0.0839,-141.9249,12.0376,0.7265,3.3561,22.1483,1.3748,,,
76000,,,,,,,,,,,,1000,2259.603,92.2181
76500,,,0.9069,0.8043,0.0839,-141.0719,12.9615,0.7278,3.7899,48.306,1.874,,,
77000,,,0.9054,0.8136,0.0834,-143.3629,12.3105,0.7244,2.9615,16.8426,2.1031,,,
77000,,,,,,,,,,,,1000,2147.2457,92.1983
77500,,,0.9072,0.8089,0.0831,-141.705,13.3653,0.7303,4.185,24.1743,2.0617,,,
78000,,,0.9268,0.8073,0.0855,-141.5288,12.7386,0.7653,4.065,35.3886,1.3488,,,
78000,,,,,,,,,,,,1000,1444.5316,92.267
78500,,,0.9286,0.8151,0.0865,-141.6864,12.1037,0.7622,3.7756,38.0266,2.0832,,,
79000,,,0.9151,0.8119,0.0847,-145.4318,11.8523,0.7458,3.9503,36.4503,2.1751,,,
79000,,,,,,,,,,,,1000,2486.0451,92.333
79500,,,0.9152,0.8108,0.084,-142.9835,12.8502,0.7492,4.4247,62.8249,2.4245,,,
80000,,,0.9052,0.8074,0.0842,-143.4883,11.1454,0.7299,3.2584,16.9105,1.6052,,,
80000,2753.6233,1000.0,,,,,,,,,,,,
80000,,,,,,,,,,,,1000,2483.8115,76.5642
80500,,,0.9366,0.807,0.0878,-149.5296,12.2578,0.7747,4.0539,51.8585,1.733,,,
81000,,,0.9078,0.8025,0.0837,-146.9716,12.3401,0.7367,3.6177,34.731,1.3807,,,
81000,,,,,,,,,,,,1000,2399.1142,91.7644
81500,,,0.9191,0.8173,0.0862,-155.4783,12.9949,0.7378,3.4715,29.1499,2.5571,,,
82000,,,0.9199,0.8164,0.0855,-149.1746,12.9496,0.7506,3.4839,15.5411,1.3378,,,
82000,,,,,,,,,,,,1000,2444.7289,92.2222
82500,,,0.9443,0.8067,0.0879,-150.6496,12.3597,0.7989,3.6207,16.8775,2.1543,,,
83000,,,0.9345,0.8112,0.0878,-154.1289,12.9493,0.7681,3.7415,44.3925,1.4618,,,
83000,,,,,,,,,,,,1000,2434.3491,91.9762
83500,,,0.9247,0.8079,0.0841,-152.3515,11.0932,0.7716,4.2601,22.3644,2.3379,,,
84000,,,0.908,0.8227,0.0831,-152.2849,11.9821,0.7357,4.1285,19.9023,2.7523,,,
