env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
4504,,,35,35.0,88.7352,,,,,,,,,,
4522,,,18,18.0,82.4072,,,,,,,,,,
4529,,,7,7.0,79.6779,,,,,,,,,,
4537,,,8,8.0,81.8479,,,,,,,,,,
4542,,,5,5.0,81.0187,,,,,,,,,,
4547,,,5,5.0,80.9808,,,,,,,,,,
4553,,,6,6.0,83.1876,,,,,,,,,,
4587,,,34,34.0,81.8019,,,,,,,,,,
4611,,,24,24.0,81.9393,,,,,,,,,,
4617,,,6,6.0,82.2854,,,,,,,,,,
4646,,,29,29.0,80.1076,,,,,,,,,,
4651,,,5,5.0,75.9675,,,,,,,,,,
4685,,,34,34.0,80.7639,,,,,,,,,,
4690,,,5,5.0,81.1434,,,,,,,,,,
4694,,,4,4.0,82.8349,,,,,,,,,,
4698,,,4,4.0,81.7452,,,,,,,,,,
4713,,,15,15.0,82.2737,,,,,,,,,,
4717,,,4,4.0,79.1065,,,,,,,,,,
4722,,,5,5.0,76.0287,,,,,,,,,,
4726,,,4,4.0,83.0716,,,,,,,,,,
4731,,,5,5.0,81.5077,,,,,,,,,,
4736,,,5,5.0,81.7329,,,,,,,,,,
4767,,,31,31.0,81.3629,,,,,,,,,,
4779,,,12,12.0,81.9455,,,,,,,,,,
4783,,,4,4.0,82.4794,,,,,,,,,,
4790,,,7,7.0,82.6208,,,,,,,,,,
4795,,,5,5.0,82.4151,,,,,,,,,,
4801,,,6,6.0,78.3128,,,,,,,,,,
4816,,,15,15.0,81.5126,,,,,,,,,,
4825,,,9,9.0,82.5643,,,,,,,,,,
4836,,,11,11.0,82.047,,,,,,,,,,
4850,,,14,14.0,82.4025,,,,,,,,,,
4860,,,10,10.0,82.2692,,,,,,,,,,
4864,,,4,4.0,82.9545,,,,,,,,,,
4869,,,5,5.0,78.2952,,,,,,,,,,
4884,,,15,15.0,81.1721,,,,,,,,,,
4890,,,6,6.0,82.0052,,,,,,,,,,
4910,,,20,20.0,82.0732,,,,,,,,,,
4917,,,7,7.0,83.3903,,,,,,,,,,
4931,,,14,14.0,81.4723,,,,,,,,,,
4949,,,18,18.0,81.4714,,,,,,,,,,
4954,,,5,5.0,80.5989,,,,,,,,,,
4966,,,12,12.0,79.4395,,,,,,,,,,
4970,,,4,4.0,81.4464,,,,,,,,,,
4989,,,19,19.0,82.4513,,,,,,,,,,
5000,,,,,,0.2291,0.5,0.1237,-21.1713,0.4341,0.0191,-0.247,3.9579,60.1273,0.0614
5000,35.5,35.5,,,,,,,,,,,,,
5004,,,15,15.0,34.5685,,,,,,,,,,
5038,,,34,34.0,80.9722,,,,,,,,,,
5050,,,12,12.0,82.2422,,,,,,,,,,
5071,,,21,21.0,80.9246,,,,,,,,,,
5090,,,19,19.0,82.326,,,,,,,,,,
5099,,,9,9.0,82.0635,,,,,,,,,,
5107,,,8,8.0,85.3158,,,,,,,,,,
5133,,,26,26.0,88.1513,,,,,,,,,,
5139,,,6,6.0,89.393,,,,,,,,,,
5146,,,7,7.0,88.1196,,,,,,,,,,
5151,,,5,5.0,87.908,,,,,,,,,,
5166,,,15,15.0,89.2103,,,,,,,,,,
5175,,,9,9.0,88.9055,,,,,,,,,,
5194,,,19,19.0,88.6447,,,,,,,,,,
5202,,,8,8.0,89.7168,,,,,,,,,,
5218,,,16,16.0,88.6088,,,,,,,,,,
5236,,,18,18.0,88.9877,,,,,,,,,,
5244,,,8,8.0,88.373,,,,,,,,,,
5250,,,6,6.0,88.4796,,,,,,,,,,
5263,,,13,13.0,88.4263,,,,,,,,,,
5280,,,17,17.0,88.5244,,,,,,,,,,
5293,,,13,13.0,88.5277,,,,,,,,,,
5297,,,4,4.0,89.3612,,,,,,,,,,
5303,,,6,6.0,88.8564,,,,,,,,,,
5307,,,4,4.0,89.4136,,,,,,,,,,
5318,,,11,11.0,89.0596,,,,,,,,,,
5354,,,36,36.0,88.9972,,,,,,,,,,
5363,,,9,9.0,88.5171,,,,,,,,,,
5399,,,36,36.0,87.2543,,,,,,,,,,
5408,,,9,9.0,81.104,,,,,,,,,,
5432,,,24,24.0,82.0807,,,,,,,,,,
5438,,,6,6.0,81.2805,,,,,,,,,,
5442,,,4,4.0,81.339,,,,,,,,,,
5447,,,5,5.0,82.3284,,,,,,,,,,
5465,,,18,18.0,78.8818,,,,,,,,,,
5479,,,14,14.0,80.3843,,,,,,,,,,
5486,,,7,7.0,81.1369,,,,,,,,,,
5500,,,,,,0.2254,0.5,0.1233,-22.6969,0.6536,0.0195,-0.2481,4.1484,40.5702,0.6267
5503,,,17,17.0,82.0986,,,,,,,,,,
5506,,,3,3.0,83.2005,,,,,,,,,,
5521,,,15,15.0,82.2048,,,,,,,,,,
5542,,,21,21.0,81.6515,,,,,,,,,,
5553,,,11,11.0,82.4902,,,,,,,,,,
5560,,,7,7.0,81.9497,,,,,,,,,,
5567,,,7,7.0,78.4235,,,,,,,,,,
5579,,,12,12.0,80.7407,,,,,,,,,,
5583,,,4,4.0,80.984,,,,,,,,,,
5595,,,12,12.0,80.0214,,,,,,,,,,
5600,,,5,5.0,81.7568,,,,,,,,,,
5606,,,6,6.0,82.1044,,,,,,,,,,
5620,,,14,14.0,82.1953,,,,,,,,,,
5628,,,8,8.0,81.7356,,,,,,,,,,
5637,,,9,9.0,82.0405,,,,,,,,,,
5640,,,3,3.0,80.366,,,,,,,,,,
5655,,,15,15.0,82.0417,,,,,,,,,,
5663,,,8,8.0,81.8038,,,,,,,,,,
5671,,,8,8.0,82.0831,,,,,,,,,,
5679,,,8,8.0,82.1889,,,,,,,,,,
5684,,,5,5.0,81.3155,,,,,,,,,,
5719,,,35,35.0,81.6707,,,,,,,,,,
5733,,,14,14.0,81.8364,,,,,,,,,,
5737,,,4,4.0,83.2401,,,,,,,,,,
5745,,,8,8.0,82.2207,,,,,,,,,,
5752,,,7,7.0,81.9776,,,,,,,,,,
5756,,,4,4.0,81.1344,,,,,,,,,,
5761,,,5,5.0,82.8845,,,,,,,,,,
5765,,,4,4.0,81.324,,,,,,,,,,
5776,,,11,11.0,82.0219,,,,,,,,,,
5788,,,12,12.0,82.3562,,,,,,,,,,
5798,,,10,10.0,81.7081,,,,,,,,,,
5805,,,7,7.0,82.6036,,,,,,,,,,
5811,,,6,6.0,81.9085,,,,,,,,,,
5818,,,7,7.0,82.0248,,,,,,,,,,
5822,,,4,4.0,80.943,,,,,,,,,,
5829,,,7,7.0,82.7078,,,,,,,,,,
5841,,,12,12.0,81.7316,,,,,,,,,,
