env_steps,return,length,op-l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
37500,,,7.3594,-236.4259,186.9428,7.3594,4.6127,142.4972,4.5423,,,
38000,,,6.7612,-243.6314,109.6475,6.7612,5.8125,205.6022,4.5718,,,
38000,,,,,,,,,,1000,3056.3859,107.424
38500,,,7.8723,-246.7084,132.9014,7.8723,5.1859,177.9904,7.015,,,
39000,,,6.5619,-249.2397,128.1288,6.5619,5.0014,116.3593,5.2232,,,
39000,,,,,,,,,,1000,3413.2572,107.3134
39500,,,6.9934,-255.8509,126.4099,6.9934,4.8752,227.2083,5.964,,,
40000,,,7.7718,-255.8687,193.7404,7.7718,4.6641,156.3001,5.2261,,,
40000,5549.7109,1000.0,,,,,,,,,,
40000,,,,,,,,,,1000,3236.2878,95.4637
40500,,,7.3017,-262.5263,106.579,7.3017,4.7285,144.3268,6.6097,,,
41000,,,7.0403,-264.8072,131.888,7.0403,4.8625,124.8233,3.0136,,,
41000,,,,,,,,,,1000,3561.4423,109.6435
41500,,,6.4323,-273.629,173.3691,6.4323,5.1555,272.1584,5.2077,,,
42000,,,6.836,-273.9637,244.636,6.836,4.5423,192.2737,6.2926,,,
42000,,,,,,,,,,1000,3721.1741,107.3166
42500,,,7.1646,-277.0746,138.6852,7.1646,4.6491,235.4363,8.718,,,
43000,,,6.2036,-277.8081,136.0322,6.2036,5.0096,163.6792,6.6375,,,
43000,,,,,,,,,,1000,3749.1114,107.987
43500,,,6.2635,-285.8037,93.8655,6.2635,4.6031,121.3686,4.3186,,,
44000,,,6.1789,-284.8341,198.7424,6.1789,4.979,229.6171,6.3117,,,
44000,,,,,,,,,,1000,3859.9585,108.0567
44500,,,6.703,-286.5144,142.8958,6.703,5.5598,257.175,4.9357,,,
45000,,,6.5964,-293.0698,168.5158,6.5964,4.5849,231.6274,9.592,,,
45000,5640.0181,1000.0,,,,,,,,,,
45000,,,,,,,,,,1000,3776.6333,93.8875
45500,,,6.5308,-300.61,148.8425,6.5308,5.1987,151.9371,10.0762,,,
46000,,,6.2986,-302.6412,140.8153,6.2986,4.9757,270.4138,8.1443,,,
46000,,,,,,,,,,1000,4040.5077,107.2406
46500,,,6.3407,-307.3243,124.8775,6.3407,5.2348,157.1638,4.3705,,,
47000,,,5.938,-302.8493,131.9015,5.938,4.858,230.2334,5.0647,,,
47000,,,,,,,,,,1000,4123.8453,107.4083
47500,,,6.393,-313.2777,91.2317,6.393,4.8119,128.8407,3.9883,,,
48000,,,6.2104,-312.3782,129.4117,6.2104,5.2485,199.2105,8.9832,,,
48000,,,,,,,,,,1000,4127.764,107.3213
48500,,,6.8957,-318.9788,140.9801,6.8957,5.3536,255.4419,5.3761,,,
49000,,,6.3069,-319.3705,112.5779,6.3069,4.797,230.6308,5.1816,,,
49000,,,,,,,,,,1000,4056.6031,107.355
49500,,,6.2654,-320.4336,117.2498,6.2654,5.6997,172.222,5.1631,,,
50000,,,5.8071,-327.7178,109.6902,5.8071,5.1233,154.8272,5.3593,,,
50000,5986.1875,1000.0,,,,,,,,,,
50000,,,,,,,,,,1000,4302.7769,93.5254
50500,,,5.905,-330.6364,128.7176,5.905,6.2804,223.3135,9.204,,,
51000,,,5.8412,-335.5834,112.4028,5.8412,4.7751,282.6592,7.7038,,,
51000,,,,,,,,,,1000,4484.9915,107.1705
51500,,,5.9982,-336.0961,133.5467,5.9982,6.8902,323.6246,6.5369,,,
52000,,,5.9271,-338.7643,167.9088,5.9271,5.3957,281.2123,8.7221,,,
52000,,,,,,,,,,1000,4422.948,107.2692
52500,,,6.694,-346.7365,243.4938,6.694,5.2937,249.6726,7.3805,,,
53000,,,5.9334,-349.2734,296.8774,5.9334,6.6681,322.0954,9.8232,,,
53000,,,,,,,,,,1000,4356.1958,107.1511
53500,,,5.6079,-349.9321,207.393,5.6079,5.2468,261.7008,6.1755,,,
54000,,,6.1378,-355.3898,142.8034,6.1378,6.2874,403.2849,6.9041,,,
54000,,,,,,,,,,1000,4570.5044,107.1202
54500,,,5.0829,-356.3895,122.184,5.0829,5.3522,290.9382,9.3645,,,
55000,,,5.6952,-362.8934,116.0954,5.6952,6.2682,273.4865,11.9099,,,
55000,6184.6058,1000.0,,,,,,,,,,
55000,,,,,,,,,,1000,4739.2786,95.301
55500,,,6.2664,-369.0379,148.3964,6.2664,5.4311,263.0675,4.9076,,,
56000,,,6.1617,-365.4436,233.6052,6.1617,4.4884,349.0308,11.7347,,,
56000,,,,,,,,,,1000,4370.2049,107.5704
56500,,,6.2973,-366.3854,316.1038,6.2973,5.427,455.6449,9.7248,,,
57000,,,5.2447,-375.9273,145.7492,5.2447,5.8724,426.7574,5.3707,,,
57000,,,,,,,,,,1000,4673.5868,107.3479
57500,,,5.2582,-373.7589,117.763,5.2582,5.7655,286.6408,7.8125,,,
58000,,,6.0902,-375.3285,162.6861,6.0902,6.1154,297.9069,8.9848,,,
58000,,,,,,,,,,1000,4947.6628,107.2903
58500,,,5.5548,-377.394,228.7986,5.5548,5.5966,271.8919,8.3409,,,
59000,,,5.3317,-391.505,102.3034,5.3317,4.6011,151.8678,5.6357,,,
59000,,,,,,,,,,1000,4693.8945,107.0461
59500,,,5.2002,-389.1938,123.7692,5.2002,5.8468,332.9698,5.9341,,,
60000,,,4.7681,-392.2622,120.2538,4.7681,4.7394,244.8356,6.2788,,,
60000,6522.2186,1000.0,,,,,,,,,,
60000,,,,,,,,,,1000,4838.9532,94.2124
