env_steps,return,length,train/length,train/return,FPS,op-l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
15000,,,,,,24.6549,-207.346,240.2335,24.6549,91.141,1360.4122,4.5599
15000,-15.7276,91.6,,,,,,,,,,
15076,,,521,155.2249,102.7262,,,,,,,
15182,,,106,171.9779,106.6136,,,,,,,
15276,,,94,-27.8982,106.6971,,,,,,,
15339,,,63,34.1549,106.6847,,,,,,,
15437,,,98,-51.9515,106.517,,,,,,,
15500,,,,,,24.375,-211.3496,286.0165,24.375,120.4847,3922.9062,8.8336
15525,,,88,-24.8857,106.6027,,,,,,,
15612,,,87,-20.1781,106.4583,,,,,,,
15729,,,117,-57.4948,106.5035,,,,,,,
15853,,,124,-43.3622,106.6673,,,,,,,
15989,,,136,261.6698,106.6215,,,,,,,
16000,,,,,,23.4729,-215.0872,196.7057,23.4729,106.7486,3517.906,7.6852
16070,,,81,-31.9476,106.5668,,,,,,,
16273,,,203,285.8081,106.7089,,,,,,,
16386,,,113,-4.7206,106.5573,,,,,,,
16500,,,,,,22.3088,-226.6861,154.5396,22.3088,102.3109,3136.1831,11.1368
16607,,,221,215.7756,106.4905,,,,,,,
16772,,,165,-27.6097,106.7366,,,,,,,
16997,,,225,345.911,106.5735,,,,,,,
17000,,,,,,23.1216,-230.7341,226.265,23.1216,111.4838,3432.3474,10.0133
17344,,,347,-59.3696,106.6679,,,,,,,
17363,,,19,7.5799,107.2037,,,,,,,
17500,,,,,,20.8502,-231.7864,163.9399,20.8502,116.1932,3327.5537,6.499
17537,,,174,258.2379,106.8098,,,,,,,
17714,,,177,261.3086,106.3422,,,,,,,
17726,,,12,2.7849,105.7596,,,,,,,
17866,,,140,267.7612,106.9528,,,,,,,
17891,,,25,14.7872,106.8643,,,,,,,
17998,,,107,168.0257,106.9525,,,,,,,
18000,,,,,,22.2127,-235.2017,232.2688,22.2127,126.8094,2266.7568,8.6171
18020,,,22,4.5735,106.9133,,,,,,,
18191,,,171,350.2805,106.8617,,,,,,,
18264,,,73,47.7625,106.8904,,,,,,,
18275,,,11,-4.0299,106.7885,,,,,,,
18289,,,14,-5.1461,106.1669,,,,,,,
18384,,,95,138.009,106.9771,,,,,,,
18491,,,107,210.7928,106.865,,,,,,,
18500,,,,,,21.2744,-243.6902,187.3428,21.2744,144.3199,2547.9546,6.2771
18612,,,121,224.6669,106.6602,,,,,,,
18620,,,8,-4.0395,106.2976,,,,,,,
18767,,,147,204.6875,106.7159,,,,,,,
18776,,,9,-6.8163,106.795,,,,,,,
18952,,,176,1.5438,106.4576,,,,,,,
18961,,,9,-2.6305,106.5016,,,,,,,
19000,,,,,,20.2307,-251.4368,168.4862,20.2307,139.757,3959.6184,9.6412
19023,,,62,35.8054,106.595,,,,,,,
19033,,,10,-5.2781,105.3096,,,,,,,
19141,,,108,222.6356,106.5906,,,,,,,
19150,,,9,-3.7999,106.7187,,,,,,,
19172,,,22,-4.187,106.8372,,,,,,,
19248,,,76,148.41,106.9605,,,,,,,
19355,,,107,165.8932,107.0256,,,,,,,
19375,,,20,-4.6768,106.793,,,,,,,
19432,,,57,79.8847,109.008,,,,,,,
19443,,,11,-5.8737,111.1371,,,,,,,
19450,,,7,-5.1707,112.0107,,,,,,,
19458,,,8,-4.1536,110.5929,,,,,,,
19500,,,,,,21.606,-262.0229,228.1699,21.606,141.5213,2396.3247,6.5646
19599,,,141,17.2852,110.9182,,,,,,,
19738,,,139,258.0496,111.1737,,,,,,,
19767,,,29,6.562,111.1771,,,,,,,
19777,,,10,-4.9758,110.8256,,,,,,,
19804,,,27,7.0653,111.1007,,,,,,,
19812,,,8,-3.993,111.8694,,,,,,,
19819,,,7,-4.6967,110.7269,,,,,,,
19960,,,141,52.2343,107.4793,,,,,,,
19970,,,10,-6.2185,106.9067,,,,,,,
20000,,,,,,21.7635,-265.4853,155.0169,21.7635,126.4115,1968.1495,5.6575
20000,207.3234,123.3,,,,,,,,,,
20231,,,261,263.145,97.1615,,,,,,,
20329,,,98,102.9758,106.8627,,,,,,,
20500,,,,,,20.4211,-278.3108,198.1385,20.4211,130.449,2413.5173,7.3494
20717,,,388,-261.3279,106.6766,,,,,,,
20749,,,32,12.1705,106.6925,,,,,,,
20757,,,8,-5.5676,106.0396,,,,,,,
20766,,,9,-6.2827,106.6469,,,,,,,
20954,,,188,180.3709,106.6911,,,,,,,
20972,,,18,-8.933,107.4521,,,,,,,
21000,,,,,,20.5987,-282.2064,256.1861,20.5987,134.1858,4168.3618,8.8772
21026,,,54,38.8354,106.8627,,,,,,,
21064,,,38,23.0848,106.8944,,,,,,,
21083,,,19,-7.6128,107.0864,,,,,,,
21104,,,21,-7.0723,106.7895,,,,,,,
21151,,,47,105.1605,106.6497,,,,,,,
21163,,,12,-2.3713,107.0422,,,,,,,
21248,,,85,62.3711,107.0222,,,,,,,
21333,,,85,134.5542,107.0287,,,,,,,
21346,,,13,-2.5533,105.3821,,,,,,,
21390,,,44,24.6029,106.8494,,,,,,,
21409,,,19,-5.4647,106.7143,,,,,,,
21428,,,19,-7.8131,106.909,,,,,,,
21459,,,31,11.4519,106.5678,,,,,,,
21488,,,29,4.1302,107.0746,,,,,,,
21500,,,,,,20.042,-288.184,183.1438,20.042,160.2426,2785.7036,7.805
21659,,,171,265.8542,106.7509,,,,,,,
