env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
15500,,,,,,1.6897,0.7498,0.1809,-134.2481,12.7862,0.7537,123.9387,778.1614,9.4498
15972,,,1000,-1029.0619,73.2556,,,,,,,,,
16000,,,,,,1.6576,0.7403,0.1796,-138.3576,15.2576,0.7091,172.7296,639.5861,9.1988
16500,,,,,,1.7266,0.7423,0.1869,-150.4557,18.2271,0.798,148.8947,950.9639,10.294
16972,,,1000,-1012.5699,95.8241,,,,,,,,,
17000,,,,,,1.7064,0.7392,0.1839,-155.1688,16.2481,0.7854,202.5055,937.7777,8.723
17228,,,256,-403.1782,95.908,,,,,,,,,
17270,,,42,-27.7778,95.8174,,,,,,,,,
17281,,,11,-11.8906,95.9242,,,,,,,,,
17305,,,24,-53.1376,94.8448,,,,,,,,,
17441,,,136,-159.89,95.9466,,,,,,,,,
17500,,,,,,1.6761,0.7458,0.1818,-163.3965,16.6093,0.7228,172.7121,843.6174,10.2069
17527,,,86,-128.4688,96.0505,,,,,,,,,
17542,,,15,-7.0681,95.6204,,,,,,,,,
18000,,,,,,1.7145,0.7394,0.1871,-171.6285,19.097,0.8021,237.6808,1521.5438,10.0514
18500,,,,,,1.6956,0.7453,0.1845,-186.0326,21.7439,0.7396,216.2982,1320.1769,13.8344
18542,,,1000,-979.4475,95.784,,,,,,,,,
18609,,,67,-87.3943,96.0808,,,,,,,,,
18686,,,77,-96.7892,95.6517,,,,,,,,,
18707,,,21,-20.1671,96.1153,,,,,,,,,
18736,,,29,-39.4973,95.8808,,,,,,,,,
18766,,,30,-33.6032,95.779,,,,,,,,,
18859,,,93,-85.3404,95.6991,,,,,,,,,
18880,,,21,-17.1066,96.0108,,,,,,,,,
18904,,,24,-13.0977,96.2005,,,,,,,,,
18938,,,34,-44.7228,95.8836,,,,,,,,,
19000,,,,,,1.6341,0.7464,0.1793,-181.7164,22.0976,0.6575,286.7267,1478.4396,14.4834
