env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
6267,,,9,9.0,105.157,,,,,,,
6281,,,14,14.0,103.0773,,,,,,,
6298,,,17,17.0,104.6506,,,,,,,
6302,,,4,4.0,107.5607,,,,,,,
6317,,,15,15.0,104.7187,,,,,,,
6323,,,6,6.0,105.821,,,,,,,
6332,,,9,9.0,106.8994,,,,,,,
6336,,,4,4.0,102.1686,,,,,,,
6350,,,14,14.0,105.0655,,,,,,,
6359,,,9,9.0,105.8547,,,,,,,
6365,,,6,6.0,104.9407,,,,,,,
6378,,,13,13.0,105.1559,,,,,,,
6382,,,4,4.0,104.796,,,,,,,
6399,,,17,17.0,105.7738,,,,,,,
6404,,,5,5.0,103.1215,,,,,,,
6408,,,4,4.0,104.9389,,,,,,,
6418,,,10,10.0,103.6311,,,,,,,
6421,,,3,3.0,104.9171,,,,,,,
6454,,,33,33.0,104.4094,,,,,,,
6465,,,11,11.0,103.544,,,,,,,
6470,,,5,5.0,107.0221,,,,,,,
6476,,,6,6.0,103.8961,,,,,,,
6490,,,14,14.0,105.5896,,,,,,,
6495,,,5,5.0,105.6894,,,,,,,
6500,,,,,,0.0014,-25.2346,3.1464,0.0014,5.2179,96.7593,1.4564
6511,,,16,16.0,104.7079,,,,,,,
6516,,,5,5.0,107.479,,,,,,,
6524,,,8,8.0,104.7679,,,,,,,
6533,,,9,9.0,104.0767,,,,,,,
6538,,,5,5.0,109.1607,,,,,,,
6551,,,13,13.0,102.7708,,,,,,,
6555,,,4,4.0,104.0093,,,,,,,
6564,,,9,9.0,105.2872,,,,,,,
6572,,,8,8.0,103.4634,,,,,,,
6589,,,17,17.0,103.0677,,,,,,,
6616,,,27,27.0,104.9626,,,,,,,
6620,,,4,4.0,108.9288,,,,,,,
6630,,,10,10.0,109.0906,,,,,,,
6644,,,14,14.0,107.4097,,,,,,,
6661,,,17,17.0,107.9192,,,,,,,
6668,,,7,7.0,106.9909,,,,,,,
6673,,,5,5.0,108.016,,,,,,,
6679,,,6,6.0,108.4435,,,,,,,
6702,,,23,23.0,108.9447,,,,,,,
6715,,,13,13.0,107.2501,,,,,,,
6738,,,23,23.0,103.6592,,,,,,,
6743,,,5,5.0,104.899,,,,,,,
6757,,,14,14.0,105.439,,,,,,,
6761,,,4,4.0,105.0112,,,,,,,
6781,,,20,20.0,104.2261,,,,,,,
6796,,,15,15.0,106.3484,,,,,,,
6835,,,39,39.0,104.216,,,,,,,
6859,,,24,24.0,105.8211,,,,,,,
6870,,,11,11.0,104.247,,,,,,,
6884,,,14,14.0,103.5653,,,,,,,
6891,,,7,7.0,106.2176,,,,,,,
6896,,,5,5.0,102.3066,,,,,,,
6902,,,6,6.0,104.7795,,,,,,,
6920,,,18,18.0,104.1171,,,,,,,
6943,,,23,23.0,104.5457,,,,,,,
6951,,,8,8.0,103.8111,,,,,,,
6961,,,10,10.0,106.5694,,,,,,,
6976,,,15,15.0,103.8069,,,,,,,
6982,,,6,6.0,103.3156,,,,,,,
7000,,,,,,0.0012,-25.8637,0.7459,0.0012,5.6777,86.5398,0.334
7003,,,21,21.0,105.2459,,,,,,,
7011,,,8,8.0,103.2403,,,,,,,
7015,,,4,4.0,105.9482,,,,,,,
7018,,,3,3.0,102.8007,,,,,,,
7030,,,12,12.0,99.614,,,,,,,
7035,,,5,5.0,104.5513,,,,,,,
7042,,,7,7.0,103.6834,,,,,,,
7046,,,4,4.0,108.6741,,,,,,,
7059,,,13,13.0,104.4208,,,,,,,
7074,,,15,15.0,104.2146,,,,,,,
7080,,,6,6.0,105.037,,,,,,,
7084,,,4,4.0,102.1332,,,,,,,
7098,,,14,14.0,103.8126,,,,,,,
7124,,,26,26.0,103.819,,,,,,,
7141,,,17,17.0,105.3027,,,,,,,
7157,,,16,16.0,103.066,,,,,,,
7178,,,21,21.0,105.1284,,,,,,,
7183,,,5,5.0,109.8221,,,,,,,
7193,,,10,10.0,108.075,,,,,,,
7212,,,19,19.0,108.3402,,,,,,,
7233,,,21,21.0,108.5296,,,,,,,
7238,,,5,5.0,106.8134,,,,,,,
7255,,,17,17.0,107.2393,,,,,,,
7259,,,4,4.0,108.801,,,,,,,
7295,,,36,36.0,108.2141,,,,,,,
7312,,,17,17.0,104.0295,,,,,,,
7317,,,5,5.0,108.9282,,,,,,,
7341,,,24,24.0,108.6312,,,,,,,
7454,,,113,113.0,107.0014,,,,,,,
7472,,,18,18.0,105.0451,,,,,,,
7500,,,,,,0.0021,-26.6147,0.359,0.0021,6.1692,88.6179,0.2369
7506,,,34,34.0,107.5302,,,,,,,
7536,,,30,30.0,109.7859,,,,,,,
7559,,,23,23.0,107.6294,,,,,,,
7566,,,7,7.0,109.8146,,,,,,,
7580,,,14,14.0,107.7602,,,,,,,
7588,,,8,8.0,111.4839,,,,,,,
7610,,,22,22.0,107.5446,,,,,,,
7648,,,38,38.0,110.1481,,,,,,,
7677,,,29,29.0,108.9195,,,,,,,
7693,,,16,16.0,107.9072,,,,,,,
7705,,,12,12.0,96.2419,,,,,,,
7713,,,8,8.0,101.8539,,,,,,,
7749,,,36,36.0,101.5905,,,,,,,
7758,,,9,9.0,110.9053,,,,,,,
7777,,,19,19.0,110.1736,,,,,,,
7786,,,9,9.0,109.137,,,,,,,
7791,,,5,5.0,108.4192,,,,,,,
7795,,,4,4.0,109.384,,,,,,,
7819,,,24,24.0,110.2606,,,,,,,
7840,,,21,21.0,111.6275,,,,,,,
7865,,,25,25.0,108.2632,,,,,,,
7872,,,7,7.0,109.6407,,,,,,,
7888,,,16,16.0,105.6798,,,,,,,
7903,,,15,15.0,108.5795,,,,,,,
7942,,,39,39.0,103.4602,,,,,,,
7961,,,19,19.0,105.0496,,,,,,,
7975,,,14,14.0,102.5414,,,,,,,
7978,,,3,3.0,80.77,,,,,,,
8000,,,,,,0.0013,-29.9548,0.2531,0.0013,8.3722,102.2593,0.125
8002,,,24,24.0,96.6001,,,,,,,
8019,,,17,17.0,104.1533,,,,,,,
8023,,,4,4.0,104.6692,,,,,,,
8032,,,9,9.0,106.9885,,,,,,,
8046,,,14,14.0,99.3591,,,,,,,
8054,,,8,8.0,105.9539,,,,,,,
8061,,,7,7.0,102.3122,,,,,,,
8066,,,5,5.0,89.4762,,,,,,,
8086,,,20,20.0,104.3656,,,,,,,
8108,,,22,22.0,101.6557,,,,,,,
8119,,,11,11.0,99.0576,,,,,,,
8123,,,4,4.0,103.0301,,,,,,,
8148,,,25,25.0,99.8392,,,,,,,
8151,,,3,3.0,101.7376,,,,,,,
8154,,,3,3.0,105.94,,,,,,,
8191,,,37,37.0,109.518,,,,,,,
8217,,,26,26.0,106.1269,,,,,,,
8238,,,21,21.0,98.0494,,,,,,,
8242,,,4,4.0,104.815,,,,,,,
8258,,,16,16.0,108.6827,,,,,,,
8285,,,27,27.0,108.1746,,,,,,,
8320,,,35,35.0,108.0643,,,,,,,
8358,,,38,38.0,108.5594,,,,,,,
8369,,,11,11.0,107.9494,,,,,,,
8387,,,18,18.0,108.179,,,,,,,
8396,,,9,9.0,107.3008,,,,,,,
8405,,,9,9.0,109.7331,,,,,,,
8420,,,15,15.0,87.1854,,,,,,,
8460,,,40,40.0,108.3319,,,,,,,
8471,,,11,11.0,110.9116,,,,,,,
8499,,,28,28.0,108.127,,,,,,,
8500,,,,,,0.0006,-33.5374,0.3644,0.0006,9.8143,86.0724,0.0772
8504,,,5,5.0,108.4708,,,,,,,
8531,,,27,27.0,107.46,,,,,,,
8535,,,4,4.0,113.4362,,,,,,,
8563,,,28,28.0,109.5314,,,,,,,
8587,,,24,24.0,108.5666,,,,,,,
8612,,,25,25.0,109.9673,,,,,,,
8621,,,9,9.0,109.4715,,,,,,,
8653,,,32,32.0,108.9315,,,,,,,
8671,,,18,18.0,110.028,,,,,,,
8687,,,16,16.0,107.7415,,,,,,,
