env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
27213,,,40,-9.2142,89.9455,,,,,,,,,
27250,,,37,-61.7736,89.7452,,,,,,,,,
27343,,,93,-108.6488,89.8353,,,,,,,,,
27474,,,131,-134.2492,89.7509,,,,,,,,,
27500,,,,,,2.5427,0.7375,0.2842,-284.0865,26.3152,1.4057,886.1178,5180.9302,16.6681
27549,,,75,-59.1552,89.6149,,,,,,,,,
27567,,,18,-22.4774,90.1059,,,,,,,,,
27683,,,116,-131.3477,89.8327,,,,,,,,,
28000,,,,,,2.5622,0.7386,0.2853,-317.6255,29.3329,1.466,716.6427,3511.5579,18.5974
28500,,,,,,2.5786,0.7385,0.2876,-346.7464,27.7705,1.4815,786.6889,4600.1548,19.9577
28683,,,1000,-940.5752,90.2078,,,,,,,,,
28757,,,74,-88.5346,95.2647,,,,,,,,,
28816,,,59,-62.795,95.309,,,,,,,,,
28834,,,18,-13.6054,95.3066,,,,,,,,,
28862,,,28,-31.8415,95.419,,,,,,,,,
28882,,,20,-18.5469,95.2587,,,,,,,,,
28892,,,10,-4.2457,95.4186,,,,,,,,,
28910,,,18,-20.4831,95.7915,,,,,,,,,
28974,,,64,-57.3752,95.299,,,,,,,,,
29000,,,,,,2.5672,0.7363,0.2852,-371.3179,30.1504,1.4708,933.4603,6153.811,16.194
29087,,,113,-149.9804,93.7393,,,,,,,,,
29152,,,65,-111.3338,89.6435,,,,,,,,,
29188,,,36,-61.0767,89.663,,,,,,,,,
29300,,,112,-21.6894,89.736,,,,,,,,,
29347,,,47,-75.7384,89.5107,,,,,,,,,
29395,,,48,-58.8034,89.9001,,,,,,,,,
29424,,,29,-30.8999,89.7993,,,,,,,,,
29500,,,,,,2.5502,0.7415,0.281,-392.7712,34.7733,1.444,1127.6167,10083.8623,23.8261
29531,,,107,-142.7626,92.7747,,,,,,,,,
29660,,,129,-86.1565,95.0765,,,,,,,,,
29862,,,202,-151.4622,95.2074,,,,,,,,,
30000,,,,,,2.541,0.7335,0.2801,-406.2232,32.6189,1.4367,1154.6018,5636.1084,18.0945
30000,-30.8152,613.5,,,,,,,,,,,,
30500,,,,,,2.5613,0.7381,0.2862,-406.6283,36.5956,1.4753,1916.3816,9029.6455,22.2511
30862,,,1000,-969.1311,74.7434,,,,,,,,,
31000,,,,,,2.5552,0.7378,0.2862,-399.3732,31.9626,1.4678,1391.4514,8541.3379,21.2995
31016,,,154,-94.3299,89.5498,,,,,,,,,
31050,,,34,-33.6768,89.504,,,,,,,,,
31500,,,,,,2.5859,0.7394,0.2901,-465.577,33.7401,1.5129,1594.073,9004.2217,24.7403
32000,,,,,,2.6051,0.7326,0.2902,-449.3523,35.8336,1.5025,1150.0024,7246.3755,31.2306
32050,,,1000,-898.7244,94.5568,,,,,,,,,
32104,,,54,-59.7919,95.2831,,,,,,,,,
32131,,,27,-33.249,94.9428,,,,,,,,,
32220,,,89,-43.7832,95.2129,,,,,,,,,
32500,,,,,,2.566,0.7305,0.2877,-484.9988,41.4927,1.4794,1773.3705,10462.6338,26.4444
33000,,,,,,2.5743,0.7429,0.2895,-522.1146,42.8651,1.5073,1641.9338,10726.415,18.0919
33220,,,1000,-926.1686,92.5023,,,,,,,,,
33276,,,56,-28.3485,89.5035,,,,,,,,,
33343,,,67,-95.2138,89.6579,,,,,,,,,
33474,,,131,-137.4726,89.3271,,,,,,,,,
33500,,,,,,2.6103,0.7465,0.2914,-526.3162,33.8879,1.5345,1453.66,7447.2476,29.3513
33578,,,104,-111.7894,89.4469,,,,,,,,,
33656,,,78,-53.2209,89.293,,,,,,,,,
33759,,,103,-139.8268,89.5339,,,,,,,,,
34000,,,,,,2.6334,0.743,0.2949,-507.0625,41.4336,1.5765,1551.2203,9707.5381,24.1486
34500,,,,,,2.6014,0.7381,0.2909,-538.4312,37.5357,1.5216,1501.7424,13043.666,25.5568
34759,,,1000,-1004.5565,95.0671,,,,,,,,,
34923,,,164,-153.6437,95.2251,,,,,,,,,
35000,,,,,,2.6095,0.7399,0.2911,-569.6291,33.2392,1.5279,1725.4292,10195.71,24.0805
35000,-87.9265,485.8,,,,,,,,,,,,
35500,,,,,,2.5817,0.745,0.2902,-551.1601,39.2074,1.4964,1411.7256,14893.9844,19.877
35923,,,1000,-1017.3204,80.3043,,,,,,,,,
36000,,,,,,2.5476,0.7328,0.2869,-569.1821,37.5832,1.4654,980.912,10433.5312,20.6235
36500,,,,,,2.5589,0.7354,0.2903,-573.9618,39.9644,1.5002,868.3539,7751.7739,22.3178
36923,,,1000,-1031.8764,95.0926,,,,,,,,,
37000,,,,,,2.5633,0.7411,0.2856,-576.7196,39.0457,1.4687,1532.0251,14787.1797,25.1236
37500,,,,,,2.52,0.7313,0.2832,-558.6548,38.9327,1.4311,1283.5138,11236.7373,24.3328
37923,,,1000,-1147.2594,94.9827,,,,,,,,,
37958,,,35,-33.8258,95.4482,,,,,,,,,
38000,,,,,,2.56,0.7429,0.2837,-606.5505,42.1792,1.4432,1228.7052,14251.3486,22.4354
38010,,,52,-42.4972,95.0996,,,,,,,,,
38104,,,94,-20.8241,95.2813,,,,,,,,,
38120,,,16,-28.815,95.0762,,,,,,,,,
38500,,,,,,2.5688,0.7407,0.2843,-599.3958,41.2286,1.4597,1220.8892,10408.8594,22.0262
39000,,,,,,2.5534,0.7272,0.2815,-583.5693,36.803,1.4631,1462.5847,9890.0029,20.2727
39120,,,1000,-1150.0766,90.2215,,,,,,,,,
39156,,,36,-27.4521,89.3794,,,,,,,,,
39226,,,70,-72.5749,89.6589,,,,,,,,,
39265,,,39,-53.6307,89.4829,,,,,,,,,
39335,,,70,-70.0904,89.6242,,,,,,,,,
39459,,,124,-151.8128,89.2816,,,,,,,,,
39482,,,23,-25.3427,89.2917,,,,,,,,,
39500,,,,,,2.5553,0.7445,0.2874,-638.1702,40.5349,1.4653,1660.1299,14062.5029,24.4757
40000,,,,,,2.523,0.7337,0.2811,-618.7454,34.1862,1.4194,1369.8848,14949.4072,20.6295
40000,-425.9909,380.0,,,,,,,,,,,,
40482,,,1000,-1254.5855,78.8304,,,,,,,,,
40500,,,,,,2.5437,0.7354,0.2829,-629.0137,42.3374,1.4417,1328.6404,10800.2939,23.5694
40522,,,40,-35.3151,88.9606,,,,,,,,,
40595,,,73,-54.3338,89.2985,,,,,,,,,
40617,,,22,-24.8255,89.5424,,,,,,,,,
40670,,,53,-62.9183,88.6289,,,,,,,,,
40781,,,111,-140.9904,89.5237,,,,,,,,,
41000,,,,,,2.5526,0.7307,0.2882,-576.8151,41.758,1.4734,1276.619,13998.4277,20.2753
41500,,,,,,2.5341,0.7449,0.2844,-617.188,46.8342,1.4541,1758.0908,12711.542,17.9098
41781,,,1000,-1476.0954,89.5447,,,,,,,,,
41838,,,57,-77.5616,89.4271,,,,,,,,,
41954,,,116,-105.3809,89.0787,,,,,,,,,
42000,,,,,,2.4919,0.742,0.2804,-608.9973,34.2685,1.3668,1354.2513,13637.9766,21.119
42203,,,249,-295.7449,89.4275,,,,,,,,,
42239,,,36,-16.9305,89.4243,,,,,,,,,
42252,,,13,-16.7631,89.7719,,,,,,,,,
42369,,,117,-107.7602,89.4886,,,,,,,,,
42386,,,17,-23.4405,89.5601,,,,,,,,,
42403,,,17,-21.3888,88.489,,,,,,,,,
42500,,,,,,2.5472,0.7318,0.2852,-653.2336,40.2734,1.4689,2079.6724,14863.501,22.4767
43000,,,,,,2.4864,0.7411,0.2788,-591.7789,40.4001,1.3588,1572.5576,16663.2227,21.8586
43403,,,1000,-1492.9658,88.8533,,,,,,,,,
43500,,,,,,2.5661,0.7512,0.2882,-658.2035,44.7265,1.4336,1147.5751,12196.5488,25.2161
43739,,,336,-362.6529,89.2929,,,,,,,,,
43892,,,153,-147.172,89.3459,,,,,,,,,
43987,,,95,-118.2746,89.2395,,,,,,,,,
44000,,,,,,2.5286,0.744,0.2832,-661.5232,37.1539,1.4346,2395.1064,22385.7285,21.4553
44500,,,,,,2.5504,0.7422,0.2858,-683.9545,46.9918,1.4405,1506.0372,22384.3926,22.2071
44987,,,1000,-1464.7836,89.1149,,,,,,,,,
45000,,,,,,2.5556,0.7366,0.2849,-694.2556,39.8084,1.4494,1912.9973,12990.7705,20.0348
45000,-690.7549,406.3,,,,,,,,,,,,
45083,,,96,-57.7743,35.4126,,,,,,,,,
45140,,,57,-93.1031,89.6853,,,,,,,,,
45195,,,55,-68.3082,89.5469,,,,,,,,,
45258,,,63,-84.2171,89.6795,,,,,,,,,
45500,,,,,,2.5589,0.7442,0.2859,-653.3959,52.0263,1.4604,1156.2289,14349.6816,19.5584
46000,,,,,,2.4899,0.7262,0.2825,-620.9603,36.449,1.3978,1794.1647,17904.0918,22.8346
46258,,,1000,-1424.4519,89.2909,,,,,,,,,
46500,,,,,,2.5331,0.7347,0.2866,-628.4296,48.8038,1.4475,1301.1763,13159.9521,23.1916
47000,,,,,,2.4791,0.7501,0.2773,-632.8631,40.293,1.3596,1022.8654,13071.0635,18.3855
47258,,,1000,-1521.6458,89.1651,,,,,,,,,
47323,,,65,-82.8835,89.2751,,,,,,,,,
47381,,,58,-74.2335,89.3991,,,,,,,,,
47500,,,,,,2.5151,0.7303,0.2851,-602.5634,44.5091,1.4608,1483.3298,14404.3359,24.7089
47578,,,197,-196.5195,93.5681,,,,,,,,,
47819,,,241,-242.6657,92.912,,,,,,,,,
47877,,,58,-51.1535,89.287,,,,,,,,,
47919,,,42,-61.9689,89.471,,,,,,,,,
48000,,,,,,2.5403,0.7396,0.2842,-678.5542,40.0142,1.44,2274.5938,21530.9688,18.9812
48500,,,,,,2.5446,0.7417,0.2857,-641.5535,37.2716,1.4738,1343.5964,13004.8975,23.4784
48919,,,1000,-1607.4788,89.2503,,,,,,,,,
48955,,,36,-38.3758,89.209,,,,,,,,,
49000,,,,,,2.5406,0.7429,0.2813,-645.0873,34.4723,1.442,1191.8933,16330.0273,18.084
49500,,,,,,2.5216,0.74,0.2846,-612.3287,34.2741,1.4402,1106.0638,14966.3594,16.5811
49955,,,1000,-1358.6794,89.8535,,,,,,,,,
50000,,,,,,2.5088,0.7443,0.2831,-658.2872,34.5813,1.4218,1427.438,18739.9688,20.3836
50000,-657.3762,347.1,,,,,,,,,,,,
50029,,,74,-121.6473,33.4319,,,,,,,,,
50500,,,,,,2.4144,0.7298,0.271,-555.8776,33.5679,1.2932,1298.0432,13365.9004,16.6558
51000,,,,,,2.5079,0.7325,0.2826,-631.6077,33.6845,1.452,1065.7302,12421.3311,20.8062
51029,,,1000,-1598.9069,89.6955,,,,,,,,,
51060,,,31,-42.705,95.3277,,,,,,,,,
51078,,,18,-17.5885,95.1652,,,,,,,,,
51241,,,163,-156.3617,95.3222,,,,,,,,,
51469,,,228,-262.797,95.3551,,,,,,,,,
51500,,,,,,2.4706,0.7315,0.2752,-570.9078,30.1157,1.3923,1128.1064,17346.5625,19.5119
51626,,,157,-262.861,95.3289,,,,,,,,,
51658,,,32,-50.435,95.3372,,,,,,,,,
51875,,,217,-84.021,95.4592,,,,,,,,,
51892,,,17,-25.3918,91.4447,,,,,,,,,
51946,,,54,-25.4,89.1701,,,,,,,,,
51980,,,34,-42.7566,89.1814,,,,,,,,,
52000,,,,,,2.4994,0.7357,0.2815,-593.9878,45.7113,1.4342,1197.1129,14647.6182,24.0666
52006,,,26,-30.9165,89.7394,,,,,,,,,
52146,,,140,-140.0515,89.2439,,,,,,,,,
52233,,,87,-115.7815,89.2401,,,,,,,,,
52276,,,43,-53.7278,89.6466,,,,,,,,,
52500,,,,,,2.5101,0.7364,0.2796,-614.9246,41.4284,1.4081,833.6729,13905.3369,20.9663
53000,,,,,,2.4848,0.7389,0.2807,-573.7511,34.7725,1.4002,749.2875,11463.0762,18.5941
53276,,,1000,-1737.1456,89.2962,,,,,,,,,
53314,,,38,-24.1353,89.2473,,,,,,,,,
53362,,,48,-44.2545,89.8152,,,,,,,,,
53500,,,,,,2.4998,0.735,0.2797,-599.2211,37.7481,1.4261,1690.8617,18662.2734,19.1546
54000,,,,,,2.4797,0.7298,0.2781,-544.566,33.9042,1.3914,1117.7312,9641.8408,16.8067
54362,,,1000,-1786.6002,92.4425,,,,,,,,,
54500,,,,,,2.5006,0.738,0.2797,-561.8325,37.8295,1.3959,718.4327,14911.5557,20.4462
55000,,,,,,2.4981,0.7542,0.28,-574.249,37.9238,1.4218,763.8986,9795.3789,19.4377
55000,-536.5955,226.1,,,,,,,,,,,,
55362,,,1000,-1687.6494,82.4697,,,,,,,,,
55415,,,53,-56.5672,89.6325,,,,,,,,,
55500,,,,,,2.5385,0.7388,0.2847,-590.836,39.2009,1.4762,864.8062,12021.5352,16.2264
56000,,,,,,2.5059,0.7385,0.2794,-519.7708,35.3908,1.4067,563.5883,8877.5459,12.4376
